tps_code_census,tsp_name_census,tsp_code_mimu,tsp_name_mimu,state_region,tsp_type
AREA # 130503,Kukai,MMR015011,Kutkai,Shan (north),main
AREA # 130551,Monekoe(ST),MMR015009,Muse,Shan (north),sub
AREA # 130552,Manhero(ST),MMR015009,Muse,Shan (north),sub
AREA # 130553,Pansai(KyuKute)(ST),MMR015009,Muse,Shan (north),sub
AREA # 130554,Tamoenye(ST),MMR015011,Kutkai,Shan (north),sub
AREA # 130601,Kyukme,MMR015012,Kyaukme,Shan (north),main
AREA # 130602,Naungkhio,MMR015013,Nawnghkio,Shan (north),main
AREA # 130603,Hsipaw,MMR015014,Hsipaw,Shan (north),main
AREA # 130604,Namtu,MMR015015,Namtu,Shan (north),main
AREA # 130605,Namsan(North),MMR015016,Namhsan,Shan (north),main
AREA # 130606,Momeik,MMR015017,Mongmit,Shan (north),main
AREA # 130607,Mabane,MMR015018,Mabein,Shan (north),main
AREA # 130608,Manton,MMR015019,Manton,Shan (north),main
AREA # 130651,Minengaw(ST),MMR015012,Kyaukme,Shan (north),sub
AREA # 130652,Minelon(ST),MMR015012,Kyaukme,Shan (north),sub
AREA # 130701,Kunlon,MMR015020,Kunlong,Shan (north),main
AREA # 130801,Laukine,MMR015022,Laukkaing,Shan (north),main
AREA # 130802,Kongyan,MMR015023,Konkyan,Shan (north),main
AREA # 130851,Chinshwehaw(ST),MMR015022,Laukkaing,Shan (north),sub
AREA # 130852,Mawhtike(ST),MMR015023,Konkyan,Shan (north),sub
AREA # 130901,Hopan,MMR015021,Hopang,Shan (north),main
AREA # 130902,Minemaw,MMR015008,Mongmao,Shan (north),main
AREA # 130903,Panwine,MMR015007,Pangwaun,Shan (north),main
AREA # 130952,Panlon(ST),MMR015021,Hopang,Shan (north),sub
AREA # 131001,Makman,MMR015024,Matman,Shan (north),main
AREA # 131002,Pan San(Pan Kham),MMR015005,Pangsang,Shan (north),main
AREA # 131003,Naphang,MMR015006,Narphan,Shan (north),main
AREA # 131051,ManKan(ST),MMR015005,Pangsang,Shan (north),sub
AREA # 131101,Kengtung,MMR016001,Kengtung,Shan (east),main
AREA # 131102,Minekat,MMR016002,Mongkhet,Shan (east),main
AREA # 131103,Mineyan,MMR016003,Mongyang,Shan (east),main
AREA # 131104,Minelar,MMR016005,Mongla,Shan (east),main
AREA # 131151,Mine Pauk(ST),MMR016003,Mongyang,Shan (east),sub
AREA # 131201,Minesat,MMR016006,Monghsat,Shan (east),main
AREA # 131202,Minepyin,MMR016007,Mongping,Shan (east),main
AREA # 131203,Minetung,MMR016008,Mongton,Shan (east),main
AREA # 131251,Minekoke(ST),MMR016006,Monghsat,Shan (east),sub
AREA # 131252,Tontar(ST),MMR016007,Mongping,Shan (east),sub
AREA # 131253,Ponparkyin(ST),MMR016008,Mongton,Shan (east),sub
AREA # 131254,Monehta(ST),MMR016008,Mongton,Shan (east),sub
AREA # 131301,Tachileik,MMR016009,Tachileik,Shan (east),main
AREA # 131351,Talay(ST),MMR016009,Tachileik,Shan (east),sub
AREA # 131352,Kenglat(ST),MMR016009,Tachileik,Shan (east),sub
AREA # 131401,Minephyat,MMR016010,Monghpyak,Shan (east),main
AREA # 131402,Mineyaung,MMR016011,Mongyawng,Shan (east),main
AREA # 131451,Mineyu(ST),MMR016011,Mongyawng,Shan (east),sub
AREA # 140101,Kangyidaunt,MMR017002,Kangyidaunt,Ayeyarwady,Main
AREA # 140102,Kyaungon,MMR017007,Kyaunggon,Ayeyarwady,Main
AREA # 140103,Kyonpyaw,MMR017005,Kyonpyaw,Ayeyarwady,Main
AREA # 140104,Ngaputaw,MMR017004,Ngapudaw,Ayeyarwady,Main
AREA # 140105,Pathein,MMR017001,Pathein,Ayeyarwady,Main
AREA # 140106,Yekyi,MMR017006,Yegyi,Ayeyarwady,Main
AREA # 140107,Thapaung,MMR017003,Thabaung,Ayeyarwady,Main
AREA # 140151,Ngayokaung(ST),MMR017004,Ngapudaw,Ayeyarwady,Sub
AREA # 140152,Hainggyikyun(ST),MMR017004,Ngapudaw,Ayeyarwady,Sub
AREA # 140153,Shwethaungyan(ST),MMR017001,Pathein,Ayeyarwady,Sub
AREA # 140154,Ngwehsaung(ST),MMR017001,Pathein,Ayeyarwady,Sub
AREA # 140155,Ngathaingchaung(ST),MMR017006,Yegyi,Ayeyarwady,Sub
AREA # 140201,Kyaiklatt,MMR017025,Kyaiklat,Ayeyarwady,Main
AREA # 140202,Daydaye,MMR017026,Dedaye,Ayeyarwady,Main
AREA # 140203,Phyapon,MMR017023,Pyapon,Ayeyarwady,Main
AREA # 140204,Bogale,MMR017024,Bogale,Ayeyarwady,Main
