Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total,Township,MIMU_code
 Urban,173,967,1140,Kyaukhtu(ST),MMR009025
 Rural,4029,2440,6469,Kyaukhtu(ST),MMR009025
 Total,4202,3407,7609,Kyaukhtu(ST),MMR009025
 Urban,182,49549,49731,Aungmyetharzan,MMR010001
 Total,182,49549,49731,Aungmyetharzan,MMR010001
 Urban,47,33234,33281,Chanayeharzan,MMR010002
 Total,47,33234,33281,Chanayeharzan,MMR010002
 Urban,51,41876,41927,Mahaaungmye,MMR010003
 Total,51,41876,41927,Mahaaungmye,MMR010003
 Urban,324,52723,53047,Chanmyatharzi,MMR010004
 Total,324,52723,53047,Chanmyatharzi,MMR010004
 Urban,257,43618,43875,Pyigyidagun,MMR010005
 Total,257,43618,43875,Pyigyidagun,MMR010005
 Urban,88,16542,16630,Amarapura,MMR010006
 Rural,4120,28876,32996,Amarapura,MMR010006
 Total,4208,45418,49626,Amarapura,MMR010006
 Urban,31,2671,2702,Patheingyi,MMR010007
 Rural,6550,43738,50288,Patheingyi,MMR010007
 Total,6581,46409,52990,Patheingyi,MMR010007
 Urban,516,31425,31941,Pyin Oo Lwin,MMR010008
 Rural,5242,16199,21441,Pyin Oo Lwin,MMR010008
 Total,5758,47624,53382,Pyin Oo Lwin,MMR010008
 Urban,141,5170,5311,Madaya,MMR010009
 Rural,17517,35817,53334,Madaya,MMR010009
 Total,17658,40987,58645,Madaya,MMR010009
 Urban,206,1526,1732,Sinku,MMR010010
 Rural,12530,20271,32801,Sinku,MMR010010
 Total,12736,21797,34533,Sinku,MMR010010
 Urban,233,16453,16686,Mogok,MMR010011
 Rural,1479,17082,18561,Mogok,MMR010011
 Total,1712,33535,35247,Mogok,MMR010011
 Urban,196,992,1188,Thabeikkyin,MMR010012
 Rural,6374,18187,24561,Thabeikkyin,MMR010012
 Total,6570,19179,25749,Thabeikkyin,MMR010012
 Urban,448,1345,1793,Tagaung,MMR010012
 Rural,3308,2291,5599,Tagaung,MMR010012
 Total,3756,3636,7392,Tagaung,MMR010012
 Urban,160,8331,8491,Kyaukse,MMR010013
 Rural,15529,33745,49274,Kyaukse,MMR010013
 Total,15689,42076,57765,Kyaukse,MMR010013
 Urban,138,1642,1780,Singaing,MMR010014
 Rural,10046,21753,31799,Singaing,MMR010014
 Total,10184,23395,33579,Singaing,MMR010014
 Urban,263,4083,4346,Myitthar,MMR010015
 Rural,15342,26329,41671,Myitthar,MMR010015
 Total,15605,30412,46017,Myitthar,MMR010015
 Urban,217,2435,2652,Tada U,MMR010016
 Rural,15902,14073,29975,Tada U,MMR010016
 Total,16119,16508,32627,Tada U,MMR010016
 Urban,161,18736,18897,Myingyan,MMR010017
 Rural,18126,25317,43443,Myingyan,MMR010017
 Total,18287,44053,62340,Myingyan,MMR010017
 Urban,146,3717,3863,Taungtha,MMR010018
 Rural,20554,25435,45989,Taungtha,MMR010018
 Total,20700,29152,49852,Taungtha,MMR010018
 Urban,368,2474,2842,Natogyi,MMR010019
 Rural,20111,18012,38123,Natogyi,MMR010019
 Total,20479,20486,40965,Natogyi,MMR010019
 Urban,197,8816,9013,Kyaukpadaung,MMR010020
 Rural,24533,28415,52948,Kyaukpadaung,MMR010020
 Total,24730,37231,61961,Kyaukpadaung,MMR010020
 Urban,488,1169,1657,Ngazun,MMR010021
 Rural,14982,11199,26181,Ngazun,MMR010021
 Total,15470,12368,27838,Ngazun,MMR010021
 Urban,643,8872,9515,Nyaung U,MMR010022
 Rural,15166,19981,35147,Nyaung U,MMR010022
 Total,15809,28853,44662,Nyaung U,MMR010022
 Urban,138,5189,5327,Yame`thin,MMR010023
 Rural,26545,25387,51932,Yame`thin,MMR010023
 Total,26683,30576,57259,Yame`thin,MMR010023
 Urban,137,6737,6874,Pyawbwe,MMR010024
 Rural,28400,23589,51989,Pyawbwe,MMR010024
 Total,28537,30326,58863,Pyawbwe,MMR010024
 Urban,446,23517,23963,Meiktila,MMR010028
 Rural,19922,24554,44476,Meiktila,MMR010028
 Total,20368,48071,68439,Meiktila,MMR010028
 Urban,127,4593,4720,Thazi,MMR010030
 Rural,17407,22765,40172,Thazi,MMR010030
 Total,17534,27358,44892,Thazi,MMR010030
 Urban,331,6969,7300,Wundwin,MMR010031
 Rural,23061,23208,46269,Wundwin,MMR010031
 Total,23392,30177,53569,Wundwin,MMR010031
 Urban,486,49248,49734,Mawlamyine,MMR011001
 Rural,553,7170,7723,Mawlamyine,MMR011001
 Total,1039,56418,57457,Mawlamyine,MMR011001
 Urban,113,2063,2176,Kyaikemaraw,MMR011002
 Rural,6352,30360,36712,Kyaikemaraw,MMR011002
 Total,6465,32423,38888,Kyaikemaraw,MMR011002
 Urban,245,1499,1744,Chaungzon,MMR011003
 Rural,4909,21291,26200,Chaungzon,MMR011003
 Total,5154,22790,27944,Chaungzon,MMR011003
 Urban,47,11668,11715,Thanbyuzayat,MMR011004
 Rural,1135,23384,24519,Thanbyuzayat,MMR011004
 Total,1182,35052,36234,Thanbyuzayat,MMR011004
 Urban,320,10472,10792,Mudon,MMR011005
 Rural,2873,25647,28520,Mudon,MMR011005
 Total,3193,36119,39312,Mudon,MMR011005
 Urban,47,6066,6113,Ye,MMR011006
 Rural,751,23127,23878,Ye,MMR011006
 Total,798,29193,29991,Ye,MMR011006
 Urban,40,2927,2967,Lamine,MMR011006
 Rural,1431,14241,15672,Lamine,MMR011006
 Total,1471,17168,18639,Lamine,MMR011006
 Urban,13,765,778,Khawzar,MMR011006
 Rural,140,3900,4040,Khawzar,MMR011006
 Total,153,4665,4818,Khawzar,MMR011006
 Urban,284,10422,10706,Thaton,MMR011007
 Rural,3637,33941,37578,Thaton,MMR011007
 Total,3921,44363,48284,Thaton,MMR011007
 Urban,1160,4742,5902,Paung,MMR011008
 Rural,7134,30690,37824,Paung,MMR011008
 Total,8294,35432,43726,Paung,MMR011008
 Urban,182,7334,7516,Kyaikto,MMR011009
 Rural,2998,27574,30572,Kyaikto,MMR011009
 Total,3180,34908,38088,Kyaikto,MMR011009
 Urban,205,3839,4044,Bilin,MMR011010
 Rural,5112,30075,35187,Bilin,MMR011010
 Total,5317,33914,39231,Bilin,MMR011010
 Urban,125,18781,18906,Sittway,MMR012001
 Rural,1246,8884,10130,Sittway,MMR012001
 Total,1371,27665,29036,Sittway,MMR012001
 Urban,83,2383,2466,Ponnagyun,MMR012002
 Rural,2520,20349,22869,Ponnagyun,MMR012002
 Total,2603,22732,25335,Ponnagyun,MMR012002
 Urban,154,2316,2470,Pauktaw,MMR012007
 Rural,3975,24099,28074,Pauktaw,MMR012007
 Total,4129,26415,30544,Pauktaw,MMR012007
 Urban,89,1421,1510,Yethedaung,MMR012008
 Rural,4142,18689,22831,Yethedaung,MMR012008
 Total,4231,20110,24341,Yethedaung,MMR012008
 Urban,366,6908,7274,Myauk U,MMR012003
 Rural,4925,29326,34251,Myauk U,MMR012003
 Total,5291,36234,41525,Myauk U,MMR012003
 Urban,176,3663,3839,Kyauktaw,MMR012004
 Rural,7136,25520,32656,Kyauktaw,MMR012004
 Total,7312,29183,36495,Kyauktaw,MMR012004
 Urban,119,4496,4615,Minbya,MMR012005
 Rural,3334,28679,32013,Minbya,MMR012005
 Total,3453,33175,36628,Minbya,MMR012005
 Urban,54,2564,2618,Myebon,MMR012006
 Rural,2364,26357,28721,Myebon,MMR012006
 Total,2418,28921,31339,Myebon,MMR012006
 Urban,77,2237,2314,Maungtaw,MMR012009
 Rural,440,4636,5076,Maungtaw,MMR012009
 Total,517,6873,7390,Maungtaw,MMR012009
 Urban,38,2024,2062,Buthidaung,MMR012010
 Rural,961,8241,9202,Buthidaung,MMR012010
 Total,999,10265,11264,Buthidaung,MMR012010
 Urban,-,158,158,Taungpyoletwe(ST),MMR012009
 Rural,36,312,348,Taungpyoletwe(ST),MMR012009
 Total,36,470,506,Taungpyoletwe(ST),MMR012009
 Urban,26,4228,4254,Kyaukpyu,MMR012011
 Rural,6791,26219,33010,Kyaukpyu,MMR012011
 Total,6817,30447,37264,Kyaukpyu,MMR012011
 Urban,26,1280,1306,Mannaung,MMR017011
 Rural,3456,9973,13429,Mannaung,MMR017011
 Total,3482,11253,14735,Mannaung,MMR017011
 Urban,177,2071,2248,Yanbye,MMR012013
 Rural,3853,16317,20170,Yanbye,MMR012013
 Total,4030,18388,22418,Yanbye,MMR012013
 Urban,115,1763,1878,An,MMR012014
 Rural,5343,20138,25481,An,MMR012014
 Total,5458,21901,27359,An,MMR012014
 Urban,84,3266,3350,Thandwe,MMR012015
 Rural,8360,19365,27725,Thandwe,MMR012015
 Total,8444,22631,31075,Thandwe,MMR012015
 Urban,247,5931,6178,Toungup,MMR012016
 Rural,6432,12629,19061,Toungup,MMR012016
 Total,6679,18560,25239,Toungup,MMR012016
 Urban,107,2381,2488,Gwa,MMR012017
 Rural,2201,6556,8757,Gwa,MMR012017
 Total,2308,8937,11245,Gwa,MMR012017
 Urban,257,958,1215,Maei(ST),MMR012016
 Rural,2428,6310,8738,Maei(ST),MMR012016
 Total,2685,7268,9953,Maei(ST),MMR012016
 Urban,241,1234,1475,Kyeintali(ST),MMR012017
 Rural,2059,2547,4606,Kyeintali(ST),MMR012017
 Total,2300,3781,6081,Kyeintali(ST),MMR012017
 Urban,104,61572,61676,Insein,MMR013001
 Total,104,61572,61676,Insein,MMR013001
 Urban,195,41446,41641,Mingaladon,MMR013002
 Rural,269,24393,24662,Mingaladon,MMR013002
 Total,464,65839,66303,Mingaladon,MMR013002
 Urban,162,5780,5942,Hmawby,MMR013003
 Rural,3679,46848,50527,Hmawby,MMR013003
 Total,3841,52628,56469,Hmawby,MMR013003
 Urban,132,8617,8749,Hlegu,MMR013004
 Rural,7262,42012,49274,Hlegu,MMR013004
 Total,7394,50629,58023,Hlegu,MMR013004
 Urban,863,19496,20359,Taikkyi,MMR013005
 Rural,12815,33825,46640,Taikkyi,MMR013005
 Total,13678,53321,66999,Taikkyi,MMR013005
 Urban,79,1977,2056,Htantabin,MMR013006
 Rural,4436,27719,32155,Htantabin,MMR013006
 Total,4515,29696,34211,Htantabin,MMR013006
 Urban,248,58263,58511,Shwepyitha,MMR013007
 Rural,105,15159,15264,Shwepyitha,MMR013007
 Total,353,73422,73775,Shwepyitha,MMR013007
 Urban,197,103610,103807,Hlinethaya,MMR013008
 Rural,186,44718,44904,Hlinethaya,MMR013008
 Total,383,148328,148711,Hlinethaya,MMR013008
 Urban,51,43269,43320,Thingangyun,MMR013009
 Total,51,43269,43320,Thingangyun,MMR013009
 Urban,15,14622,14637,Yankin,MMR013010
 Total,15,14622,14637,Yankin,MMR013010
 Urban,36,32689,32725,South Okkalapa,MMR013011
 Total,36,32689,32725,South Okkalapa,MMR013011
 Urban,142,64614,64756,North Okkalapa,MMR013012
 Total,142,64614,64756,North Okkalapa,MMR013012
 Urban,75,45381,45456,Thakayta,MMR013013
 Total,75,45381,45456,Thakayta,MMR013013
 Urban,17,14392,14409,Dawbon,MMR013014
 Total,17,14392,14409,Dawbon,MMR013014
 Urban,40,35320,35360,Tamway,MMR013015
 Total,40,35320,35360,Tamway,MMR013015
 Urban,10,10296,10306,Pazuntaung,MMR013016
 Total,10,10296,10306,Pazuntaung,MMR013016
 Urban,13,8384,8397,Botahtaung,MMR013017
 Total,13,8384,8397,Botahtaung,MMR013017
 Urban,787,76197,76984,Dagon Myothit(South),MMR013018
 Total,787,76197,76984,Dagon Myothit(South),MMR013018
 Urban,123,42581,42704,Dagon Myothit(North),MMR013019
 Total,123,42581,42704,Dagon Myothit(North),MMR013019
 Urban,233,31662,31895,Dagon Myothit(East),MMR013020
 Rural,262,1756,2018,Dagon Myothit(East),MMR013020
 Total,495,33418,33913,Dagon Myothit(East),MMR013020
 Urban,251,33921,34172,Dagon Myothit(Seik),MMR013021
 Rural,353,3380,3733,Dagon Myothit(Seik),MMR013021
 Total,604,37301,37905,Dagon Myothit(Seik),MMR013021
 Urban,29,25889,25918,Mingala Taungnyunt,MMR013022
 Total,29,25889,25918,Mingala Taungnyunt,MMR013022
 Urban,99,18610,18709,Thanlyin,MMR013023
 Rural,4801,38087,42888,Thanlyin,MMR013023
 Total,4900,56697,61597,Thanlyin,MMR013023
 Urban,432,9432,9864,Kyauktan,MMR013024
 Rural,4841,18271,23112,Kyauktan,MMR013024
 Total,5273,27703,32976,Kyauktan,MMR013024
 Urban,211,6545,6756,Thongwa,MMR013025
 Rural,8504,24827,33331,Thongwa,MMR013025
 Total,8715,31372,40087,Thongwa,MMR013025
 Urban,359,7519,7878,Khayan,MMR013026
 Rural,8199,23237,31436,Khayan,MMR013026
 Total,8558,30756,39314,Khayan,MMR013026
 Urban,55,9142,9197,Twantay,MMR013027
 Rural,3039,39366,42405,Twantay,MMR013027
 Total,3094,48508,51602,Twantay,MMR013027
 Urban,239,1992,2231,Kawhmu,MMR013028
 Rural,4010,23551,27561,Kawhmu,MMR013028
 Total,4249,25543,29792,Kawhmu,MMR013028
 Urban,149,3809,3958,Kungyangon,MMR013029
 Rural,4011,20383,24394,Kungyangon,MMR013029
 Total,4160,24192,28352,Kungyangon,MMR013029
 Urban,141,25190,25331,Dala,MMR013030
 Rural,2208,10373,12581,Dala,MMR013030
 Total,2349,35563,37912,Dala,MMR013030
 Urban,3,348,351,Cocogyun,MMR013032
 Total,3,348,351,Cocogyun,MMR013032
 Urban,341,2149,2490,Tada(ST),MMR013024
 Rural,927,6076,7003,Tada(ST),MMR013024
 Total,1268,8225,9493,Tada(ST),MMR013024
 Urban,5,6115,6120,Kyauktada,MMR013033
 Total,5,6115,6120,Kyauktada,MMR013033
 Urban,4,6559,6563,Pabedan,MMR013034
 Total,4,6559,6563,Pabedan,MMR013034
 Urban,4,8595,8599,Lanmadaw,MMR013035
 Total,4,8595,8599,Lanmadaw,MMR013035
 Urban,5,4468,4473,Latha,MMR013036
 Total,5,4468,4473,Latha,MMR013036
 Urban,5,10938,10943,Ahlon,MMR013037
 Total,5,10938,10943,Ahlon,MMR013037
 Urban,190,22872,23062,Kyimyindine,MMR013038
 Total,190,22872,23062,Kyimyindine,MMR013038
 Urban,28,20607,20635,Sangyoung,MMR013039
 Total,28,20607,20635,Sangyoung,MMR013039
 Urban,88,32749,32837,Hline,MMR013040
 Total,88,32749,32837,Hline,MMR013040
 Urban,24,16275,16299,Kamayut,MMR013041
 Total,24,16275,16299,Kamayut,MMR013041
 Urban,52,38755,38807,Mayangon,MMR013042
 Total,52,38755,38807,Mayangon,MMR013042
 Urban,4,4604,4608,Dagon,MMR013043
 Total,4,4604,4608,Dagon,MMR013043
 Urban,14,17412,17426,Bahan,MMR013044
 Total,14,17412,17426,Bahan,MMR013044
 Urban,1,409,410,Seikkan,MMR013045
 Total,1,409,410,Seikkan,MMR013045
 Urban,569,56079,56648,Taunggyi,MMR014001
 Rural,3966,21990,25956,Taunggyi,MMR014001
 Total,4535,78069,82604,Taunggyi,MMR014001
 Urban,47,3012,3059,Nyaungshwe,MMR014002
 Rural,3898,35677,39575,Nyaungshwe,MMR014002
 Total,3945,38689,42634,Nyaungshwe,MMR014002
 Urban,84,4452,4536,Hopon,MMR014003
 Rural,2137,18055,20192,Hopon,MMR014003
 Total,2221,22507,24728,Hopon,MMR014003
 Urban,354,2295,2649,Hsihseng,MMR014004
 Rural,8147,21975,30122,Hsihseng,MMR014004
 Total,8501,24270,32771,Hsihseng,MMR014004
 Urban,279,12319,12598,Kalaw,MMR014005
 Rural,10015,18728,28743,Kalaw,MMR014005
 Total,10294,31047,41341,Kalaw,MMR014005
 Urban,28,2231,2259,Pindaya,MMR014006
 Rural,5866,9419,15285,Pindaya,MMR014006
 Total,5894,11650,17544,Pindaya,MMR014006
 Urban,49,1106,1155,Ywarngan,MMR014007
 Rural,5314,11879,17193,Ywarngan,MMR014007
 Total,5363,12985,18348,Ywarngan,MMR014007
 Urban,273,5404,5677,Yatsauk,MMR014008
 Rural,5613,14667,20280,Yatsauk,MMR014008
 Total,5886,20071,25957,Yatsauk,MMR014008
 Urban,15,2755,2770,Pinlaung,MMR014009
 Rural,2359,20375,22734,Pinlaung,MMR014009
 Total,2374,23130,25504,Pinlaung,MMR014009
 Urban,80,3351,3431,Phekon,MMR014010
 Rural,1318,15335,16653,Phekon,MMR014010
 Total,1398,18686,20084,Phekon,MMR014010
 Urban,34,568,602,Kyauktalongyi(ST),MMR014001
 Rural,1823,9840,11663,Kyauktalongyi(ST),MMR014001
 Total,1857,10408,12265,Kyauktalongyi(ST),MMR014001
 Urban,483,1353,1836,Indaw(ST),MMR014008
 Rural,2006,4308,6314,Indaw(ST),MMR014008
 Total,2489,5661,8150,Indaw(ST),MMR014008
 Urban,74,905,979,Naungtayar(ST),MMR014009
 Rural,4276,11324,15600,Naungtayar(ST),MMR014009
 Total,4350,12229,16579,Naungtayar(ST),MMR014009
 Urban,31,2822,2853,Loilem,MMR014011
 Rural,476,7572,8048,Loilem,MMR014011
 Total,507,10394,10901,Loilem,MMR014011
 Urban,28,1302,1330,Le`char,MMR014012
 Rural,2202,5258,7460,Le`char,MMR014012
 Total,2230,6560,8790,Le`char,MMR014012
 Urban,344,4497,4841,Nanhsam(South),MMR014013
 Rural,2718,11304,14022,Nanhsam(South),MMR014013
 Total,3062,15801,18863,Nanhsam(South),MMR014013
 Urban,160,1382,1542,Kunhing,MMR014014
 Rural,1348,1680,3028,Kunhing,MMR014014
 Total,1508,3062,4570,Kunhing,MMR014014
 Urban,73,769,842,Kehsi,MMR014015
 Rural,3224,4835,8059,Kehsi,MMR014015
 Total,3297,5604,8901,Kehsi,MMR014015
 Urban,430,1789,2219,Mongkai,MMR014016
 Rural,4628,9485,14113,Mongkai,MMR014016
 Total,5058,11274,16332,Mongkai,MMR014016
 Urban,43,2040,2083,Mineshu,MMR014017
 Rural,2211,4907,7118,Mineshu,MMR014017
 Total,2254,6947,9201,Mineshu,MMR014017
 Urban,76,5148,5224,Panglong(ST),MMR014011
 Rural,789,8503,9292,Panglong(ST),MMR014011
 Total,865,13651,14516,Panglong(ST),MMR014011
 Urban,254,1494,1748,Kholan(ST),MMR014013
 Rural,663,1953,2616,Kholan(ST),MMR014013
 Total,917,3447,4364,Kholan(ST),MMR014013
 Urban,102,1563,1665,Karli(ST),MMR014014
 Rural,2134,2768,4902,Karli(ST),MMR014014
 Total,2236,4331,6567,Karli(ST),MMR014014
 Urban,53,699,752,Minenaung(ST),MMR014015
 Rural,1586,3473,5059,Minenaung(ST),MMR014015
 Total,1639,4172,5811,Minenaung(ST),MMR014015
 Urban,26,481,507,Minesan(Monsan)(ST),MMR014017
 Rural,662,5497,6159,Minesan(Monsan)(ST),MMR014017
 Total,688,5978,6666,Minesan(Monsan)(ST),MMR014017
 Urban,247,1471,1718,Linkhe`,MMR014018
 Rural,2112,4558,6670,Linkhe`,MMR014018
 Total,2359,6029,8388,Linkhe`,MMR014018
 Urban,128,1975,2103,Mone`,MMR014019
 Rural,691,3430,4121,Mone`,MMR014019
 Total,819,5405,6224,Mone`,MMR014019
 Urban,61,1131,1192,Maukme`,MMR014020
 Rural,2496,3506,6002,Maukme`,MMR014020
 Total,2557,4637,7194,Maukme`,MMR014020
 Urban,29,1930,1959,Minepan,MMR014021
 Rural,814,2648,3462,Minepan,MMR014021
 Total,843,4578,5421,Minepan,MMR014021
 Urban,53,621,674,Homane(ST),MMR014018
 Rural,129,357,486,Homane(ST),MMR014018
 Total,182,978,1160,Homane(ST),MMR014018
 Urban,267,1830,2097,Kengtaung(ST),MMR014019
 Rural,62,102,164,Kengtaung(ST),MMR014019
 Total,329,1932,2261,Kengtaung(ST),MMR014019
 Urban,196,33903,34099,Lashio,MMR015001
 Rural,8971,21862,30833,Lashio,MMR015001
 Total,9167,55765,64932,Lashio,MMR015001
 Urban,65,1858,1923,Theinni,MMR015002
 Rural,886,8970,9856,Theinni,MMR015002
 Total,951,10828,11779,Theinni,MMR015002
 Urban,105,1365,1470,Mineye`,MMR015003
 Rural,4825,7033,11858,Mineye`,MMR015003
 Total,4930,8398,13328,Mineye`,MMR015003
 Urban,281,6527,6808,Tantyan,MMR015004
 Rural,12513,15821,28334,Tantyan,MMR015004
 Total,12794,22348,35142,Tantyan,MMR015004
 Urban,81,13253,13334,MuSe,MMR015009
 Rural,580,8300,8880,MuSe,MMR015009
 Total,661,21553,22214,MuSe,MMR015009
 Urban,7,6125,6132,Namkham,MMR015010
 Rural,276,15009,15285,Namkham,MMR015010
 Total,283,21134,21417,Namkham,MMR015010
 Urban,330,4353,4683,Kukai,MMR015011
 Rural,2113,12235,14348,Kukai,MMR015011
 Total,2443,16588,19031,Kukai,MMR015011
 Urban,7,1462,1469,Monekoe(ST),MMR015009
 Rural,57,2832,2889,Monekoe(ST),MMR015009
 Total,64,4294,4358,Monekoe(ST),MMR015009
 Urban,-,346,346,Manhero(ST),MMR015009
 Rural,-,1297,1297,Manhero(ST),MMR015009
 Total,-,1643,1643,Manhero(ST),MMR015009
 Urban,1,1767,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,75,2700,2775,Pansai(KyuKute)(ST),MMR015009
 Total,76,4467,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,430,2057,2487,Tamoenye(ST),MMR015011
 Rural,4830,5732,10562,Tamoenye(ST),MMR015011
 Total,5260,7789,13049,Tamoenye(ST),MMR015011
 Urban,57,8596,8653,Kyukme,MMR015012
 Rural,5282,14436,19718,Kyukme,MMR015012
 Total,5339,23032,28371,Kyukme,MMR015012
 Urban,299,3872,4171,Naungkhio,MMR015013
 Rural,6883,21170,28053,Naungkhio,MMR015013
 Total,7182,25042,32224,Naungkhio,MMR015013
 Urban,80,3929,4009,Hsipaw,MMR015014
 Rural,6213,27684,33897,Hsipaw,MMR015014
 Total,6293,31613,37906,Hsipaw,MMR015014
 Urban,78,3179,3257,Namtu,MMR015015
 Rural,2339,6045,8384,Namtu,MMR015015
 Total,2417,9224,11641,Namtu,MMR015015
 Urban,-,935,935,Namsan(North),MMR015016
 Rural,137,12613,12750,Namsan(North),MMR015016
 Total,137,13548,13685,Namsan(North),MMR015016
 Urban,196,2037,2233,Momeik,MMR015017
 Rural,4198,7221,11419,Momeik,MMR015017
 Total,4394,9258,13652,Momeik,MMR015017
 Urban,262,452,714,Mabane,MMR015018
 Rural,5170,2748,7918,Mabane,MMR015018
 Total,5432,3200,8632,Mabane,MMR015018
 Urban,34,745,779,Manton,MMR015019
 Rural,1204,5700,6904,Manton,MMR015019
 Total,1238,6445,7683,Manton,MMR015019
 Urban,21,592,613,Minengaw(ST),MMR015012
 Rural,125,3291,3416,Minengaw(ST),MMR015012
 Total,146,3883,4029,Minengaw(ST),MMR015012
 Urban,122,464,586,Minelon(ST),MMR015012
 Rural,1322,3948,5270,Minelon(ST),MMR015012
 Total,1444,4412,5856,Minelon(ST),MMR015012
 Urban,13,1145,1158,Kunlon,MMR015020
 Rural,1319,7915,9234,Kunlon,MMR015020
 Total,1332,9060,10392,Kunlon,MMR015020
 Urban,2,2939,2941,Laukine,MMR015022
 Rural,326,10964,11290,Laukine,MMR015022
 Total,328,13903,14231,Laukine,MMR015022
 Urban,-,194,194,Kongyan,MMR015023
 Rural,34,5234,5268,Kongyan,MMR015023
 Total,34,5428,5462,Kongyan,MMR015023
 Urban,-,619,619,Chinshwehaw(ST),MMR015022
 Rural,-,331,331,Chinshwehaw(ST),MMR015022
 Total,-,950,950,Chinshwehaw(ST),MMR015022
 Urban,-,85,85,Mawhtike(ST),MMR015023
 Rural,305,3813,4118,Mawhtike(ST),MMR015023
 Total,305,3898,4203,Mawhtike(ST),MMR015023
 Urban,284,3094,3378,Hopan,MMR015021
 Rural,2095,4558,6653,Hopan,MMR015021
 Total,2379,7652,10031,Hopan,MMR015021
 Urban,130,723,853,Minemaw,MMR015008
 Rural,5535,4057,9592,Minemaw,MMR015008
 Total,5665,4780,10445,Minemaw,MMR015008
 Urban,274,195,469,Panwine,MMR015007
 Rural,8078,5422,13500,Panwine,MMR015007
 Total,8352,5617,13969,Panwine,MMR015007
 Urban,71,590,661,Panlon(ST),MMR015021
 Rural,272,252,524,Panlon(ST),MMR015021
 Total,343,842,1185,Panlon(ST),MMR015021
 Urban,-,67,67,Makman,MMR015024
 Rural,134,3117,3251,Makman,MMR015024
 Total,134,3184,3318,Makman,MMR015024
 Urban,6,2016,2022,Pan San(Pan Kham),MMR015005
 Rural,916,13204,14120,Pan San(Pan Kham),MMR015005
 Total,922,15220,16142,Pan San(Pan Kham),MMR015005
 Urban,29,126,155,Naphang,MMR015006
 Rural,6328,9991,16319,Naphang,MMR015006
 Total,6357,10117,16474,Naphang,MMR015006
 Urban,15,66,81,ManKan(ST),MMR015005
 Rural,69,165,234,ManKan(ST),MMR015005
 Total,84,231,315,ManKan(ST),MMR015005
 Urban,116,8986,9102,Kengtung,MMR016001
 Rural,3248,21746,24994,Kengtung,MMR016001
 Total,3364,30732,34096,Kengtung,MMR016001
 Urban,99,459,558,Minekat,MMR016002
 Rural,3435,4032,7467,Minekat,MMR016002
 Total,3534,4491,8025,Minekat,MMR016002
 Urban,16,973,989,Mineyan,MMR016003
 Rural,1143,7987,9130,Mineyan,MMR016003
 Total,1159,8960,10119,Mineyan,MMR016003
 Urban,19,1541,1560,Minelar,MMR016005
 Rural,579,3069,3648,Minelar,MMR016005
 Total,598,4610,5208,Minelar,MMR016005
 Rural,1285,8000,9285,Mine Pauk(ST),MMR016003
 Total,1285,8000,9285,Mine Pauk(ST),MMR016003
 Urban,44,1517,1561,Minesat,MMR016006
 Rural,1923,12425,14348,Minesat,MMR016006
 Total,1967,13942,15909,Minesat,MMR016006
 Urban,147,1186,1333,Minepyin,MMR016007
 Rural,2088,7184,9272,Minepyin,MMR016007
 Total,2235,8370,10605,Minepyin,MMR016007
 Urban,33,1086,1119,Minetung,MMR016008
 Rural,493,2646,3139,Minetung,MMR016008
 Total,526,3732,4258,Minetung,MMR016008
 Urban,106,178,284,Minekoke(ST),MMR016006
 Rural,942,1976,2918,Minekoke(ST),MMR016006
 Total,1048,2154,3202,Minekoke(ST),MMR016006
 Urban,98,329,427,Tontar(ST),MMR016007
 Rural,909,1358,2267,Tontar(ST),MMR016007
 Total,1007,1687,2694,Tontar(ST),MMR016007
 Urban,1,720,721,Ponparkyin(ST),MMR016008
 Rural,517,6096,6613,Ponparkyin(ST),MMR016008
 Total,518,6816,7334,Ponparkyin(ST),MMR016008
 Urban,1,90,91,Monehta(ST),MMR016008
 Rural,21,817,838,Monehta(ST),MMR016008
 Total,22,907,929,Monehta(ST),MMR016008
 Urban,135,10959,11094,Tachileik,MMR016009
 Rural,519,19566,20085,Tachileik,MMR016009
 Total,654,30525,31179,Tachileik,MMR016009
 Urban,24,849,873,Talay(ST),MMR016009
 Rural,377,2768,3145,Talay(ST),MMR016009
 Total,401,3617,4018,Talay(ST),MMR016009
 Urban,7,755,762,Kenglat(ST),MMR016009
 Rural,270,1444,1714,Kenglat(ST),MMR016009
 Total,277,2199,2476,Kenglat(ST),MMR016009
 Urban,15,1308,1323,Minephyat,MMR016010
 Rural,373,4469,4842,Minephyat,MMR016010
 Total,388,5777,6165,Minephyat,MMR016010
 Urban,35,1155,1190,Mineyaung,MMR016011
 Rural,729,4410,5139,Mineyaung,MMR016011
 Total,764,5565,6329,Mineyaung,MMR016011
 Urban,-,231,231,Mineyu(ST),MMR016011
 Rural,516,10120,10636,Mineyu(ST),MMR016011
 Total,516,10351,10867,Mineyu(ST),MMR016011
 Urban,271,2403,2674,Kangyidaunt,MMR017002
 Rural,5693,34599,40292,Kangyidaunt,MMR017002
 Total,5964,37002,42966,Kangyidaunt,MMR017002
 Urban,127,3823,3950,Kyaungon,MMR017007
 Rural,5461,31991,37452,Kyaungon,MMR017007
