Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total,Township,MIMU_code
 Total,804,7521,8325,Saw,MMR009025
 Urban,154,986,1140,Kyaukhtu(ST),MMR009025
 Rural,722,5747,6469,Kyaukhtu(ST),MMR009025
 Total,876,6733,7609,Kyaukhtu(ST),MMR009025
 Urban,27864,21867,49731,Aungmyetharzan,MMR010001
 Total,27864,21867,49731,Aungmyetharzan,MMR010001
 Urban,15008,18273,33281,Chanayeharzan,MMR010002
 Total,15008,18273,33281,Chanayeharzan,MMR010002
 Urban,18189,23738,41927,Mahaaungmye,MMR010003
 Total,18189,23738,41927,Mahaaungmye,MMR010003
 Urban,27566,25481,53047,Chanmyatharzi,MMR010004
 Total,27566,25481,53047,Chanmyatharzi,MMR010004
 Urban,21748,22127,43875,Pyigyidagun,MMR010005
 Total,21748,22127,43875,Pyigyidagun,MMR010005
 Urban,8542,8088,16630,Amarapura,MMR010006
 Rural,17264,15732,32996,Amarapura,MMR010006
 Total,25806,23820,49626,Amarapura,MMR010006
 Urban,1874,828,2702,Patheingyi,MMR010007
 Rural,24755,25533,50288,Patheingyi,MMR010007
 Total,26629,26361,52990,Patheingyi,MMR010007
 Urban,13417,18524,31941,Pyin Oo Lwin,MMR010008
 Rural,3157,18284,21441,Pyin Oo Lwin,MMR010008
 Total,16574,36808,53382,Pyin Oo Lwin,MMR010008
 Urban,3396,1915,5311,Madaya,MMR010009
 Rural,21186,32148,53334,Madaya,MMR010009
 Total,24582,34063,58645,Madaya,MMR010009
 Urban,999,733,1732,Sinku,MMR010010
 Rural,7458,25343,32801,Sinku,MMR010010
 Total,8457,26076,34533,Sinku,MMR010010
 Urban,4099,12587,16686,Mogok,MMR010011
 Rural,1716,16845,18561,Mogok,MMR010011
 Total,5815,29432,35247,Mogok,MMR010011
 Urban,75,1113,1188,Thabeikkyin,MMR010012
 Rural,2211,22350,24561,Thabeikkyin,MMR010012
 Total,2286,23463,25749,Thabeikkyin,MMR010012
 Urban,471,1322,1793,Tagaung,MMR010012
 Rural,842,4757,5599,Tagaung,MMR010012
 Total,1313,6079,7392,Tagaung,MMR010012
 Urban,4636,3855,8491,Kyaukse,MMR010013
 Rural,22052,27222,49274,Kyaukse,MMR010013
 Total,26688,31077,57765,Kyaukse,MMR010013
 Urban,1249,531,1780,Singaing,MMR010014
 Rural,16518,15281,31799,Singaing,MMR010014
 Total,17767,15812,33579,Singaing,MMR010014
 Urban,3278,1068,4346,Myitthar,MMR010015
 Rural,20049,21622,41671,Myitthar,MMR010015
 Total,23327,22690,46017,Myitthar,MMR010015
 Urban,1825,827,2652,Tada U,MMR010016
 Rural,12450,17525,29975,Tada U,MMR010016
 Total,14275,18352,32627,Tada U,MMR010016
 Urban,11194,7703,18897,Myingyan,MMR010017
 Rural,21895,21548,43443,Myingyan,MMR010017
 Total,33089,29251,62340,Myingyan,MMR010017
 Urban,2342,1521,3863,Taungtha,MMR010018
 Rural,14241,31748,45989,Taungtha,MMR010018
 Total,16583,33269,49852,Taungtha,MMR010018
 Urban,1546,1296,2842,Natogyi,MMR010019
 Rural,14478,23645,38123,Natogyi,MMR010019
 Total,16024,24941,40965,Natogyi,MMR010019
 Urban,3835,5178,9013,Kyaukpadaung,MMR010020
 Rural,7190,45758,52948,Kyaukpadaung,MMR010020
 Total,11025,50936,61961,Kyaukpadaung,MMR010020
 Urban,1180,477,1657,Ngazun,MMR010021
 Rural,10103,16078,26181,Ngazun,MMR010021
 Total,11283,16555,27838,Ngazun,MMR010021
 Urban,5066,4449,9515,Nyaung U,MMR010022
 Rural,5880,29267,35147,Nyaung U,MMR010022
 Total,10946,33716,44662,Nyaung U,MMR010022
 Urban,3356,1971,5327,Yame`thin,MMR010023
 Rural,17503,34429,51932,Yame`thin,MMR010023
 Total,20859,36400,57259,Yame`thin,MMR010023
 Urban,3472,3402,6874,Pyawbwe,MMR010024
 Rural,16670,35319,51989,Pyawbwe,MMR010024
 Total,20142,38721,58863,Pyawbwe,MMR010024
 Urban,8290,15673,23963,Meiktila,MMR010028
 Rural,16152,28324,44476,Meiktila,MMR010028
 Total,24442,43997,68439,Meiktila,MMR010028
 Urban,2198,2522,4720,Thazi,MMR010030
 Rural,13616,26556,40172,Thazi,MMR010030
 Total,15814,29078,44892,Thazi,MMR010030
 Urban,4774,2526,7300,Wundwin,MMR010031
 Rural,20363,25906,46269,Wundwin,MMR010031
 Total,25137,28432,53569,Wundwin,MMR010031
 Urban,16495,33239,49734,Mawlamyine,MMR011001
 Rural,4139,3584,7723,Mawlamyine,MMR011001
 Total,20634,36823,57457,Mawlamyine,MMR011001
 Urban,1227,949,2176,Kyaikemaraw,MMR011002
 Rural,15394,21318,36712,Kyaikemaraw,MMR011002
 Total,16621,22267,38888,Kyaikemaraw,MMR011002
 Urban,1153,591,1744,Chaungzon,MMR011003
 Rural,13659,12541,26200,Chaungzon,MMR011003
 Total,14812,13132,27944,Chaungzon,MMR011003
 Urban,7534,4181,11715,Thanbyuzayat,MMR011004
 Rural,12527,11992,24519,Thanbyuzayat,MMR011004
 Total,20061,16173,36234,Thanbyuzayat,MMR011004
 Urban,8046,2746,10792,Mudon,MMR011005
 Rural,19453,9067,28520,Mudon,MMR011005
 Total,27499,11813,39312,Mudon,MMR011005
 Urban,1648,4465,6113,Ye,MMR011006
 Rural,4470,19408,23878,Ye,MMR011006
 Total,6118,23873,29991,Ye,MMR011006
 Urban,1824,1143,2967,Lamine,MMR011006
 Rural,5659,10013,15672,Lamine,MMR011006
 Total,7483,11156,18639,Lamine,MMR011006
 Urban,152,626,778,Khawzar,MMR011006
 Rural,435,3605,4040,Khawzar,MMR011006
 Total,587,4231,4818,Khawzar,MMR011006
 Urban,7076,3630,10706,Thaton,MMR011007
 Rural,23990,13588,37578,Thaton,MMR011007
 Total,31066,17218,48284,Thaton,MMR011007
 Urban,4053,1849,5902,Paung,MMR011008
 Rural,18306,19518,37824,Paung,MMR011008
 Total,22359,21367,43726,Paung,MMR011008
 Urban,5211,2305,7516,Kyaikto,MMR011009
 Rural,13293,17279,30572,Kyaikto,MMR011009
 Total,18504,19584,38088,Kyaikto,MMR011009
 Urban,2801,1243,4044,Bilin,MMR011010
 Rural,19301,15886,35187,Bilin,MMR011010
 Total,22102,17129,39231,Bilin,MMR011010
 Urban,9403,9503,18906,Sittway,MMR012001
 Rural,1815,8315,10130,Sittway,MMR012001
 Total,11218,17818,29036,Sittway,MMR012001
 Urban,735,1731,2466,Ponnagyun,MMR012002
 Rural,551,22318,22869,Ponnagyun,MMR012002
 Total,1286,24049,25335,Ponnagyun,MMR012002
 Urban,343,2127,2470,Pauktaw,MMR012007
 Rural,162,27912,28074,Pauktaw,MMR012007
 Total,505,30039,30544,Pauktaw,MMR012007
 Urban,405,1105,1510,Yethedaung,MMR012008
 Rural,910,21921,22831,Yethedaung,MMR012008
 Total,1315,23026,24341,Yethedaung,MMR012008
 Urban,2475,4799,7274,Myauk U,MMR012003
 Rural,2932,31319,34251,Myauk U,MMR012003
 Total,5407,36118,41525,Myauk U,MMR012003
 Urban,1865,1974,3839,Kyauktaw,MMR012004
 Rural,3509,29147,32656,Kyauktaw,MMR012004
 Total,5374,31121,36495,Kyauktaw,MMR012004
 Urban,1412,3203,4615,Minbya,MMR012005
 Rural,1464,30549,32013,Minbya,MMR012005
 Total,2876,33752,36628,Minbya,MMR012005
 Urban,502,2116,2618,Myebon,MMR012006
 Rural,1162,27559,28721,Myebon,MMR012006
 Total,1664,29675,31339,Myebon,MMR012006
 Urban,738,1576,2314,Maungtaw,MMR012009
 Rural,667,4409,5076,Maungtaw,MMR012009
 Total,1405,5985,7390,Maungtaw,MMR012009
 Urban,735,1327,2062,Buthidaung,MMR012010
 Rural,765,8437,9202,Buthidaung,MMR012010
 Total,1500,9764,11264,Buthidaung,MMR012010
 Urban,15,143,158,Taungpyoletwe(ST),MMR012009
 Rural,7,341,348,Taungpyoletwe(ST),MMR012009
 Total,22,484,506,Taungpyoletwe(ST),MMR012009
 Urban,2198,2056,4254,Kyaukpyu,MMR012011
 Rural,2273,30737,33010,Kyaukpyu,MMR012011
 Total,4471,32793,37264,Kyaukpyu,MMR012011
 Urban,429,877,1306,Mannaung,MMR017011
 Rural,1796,11633,13429,Mannaung,MMR017011
 Total,2225,12510,14735,Mannaung,MMR017011
 Urban,778,1470,2248,Yanbye,MMR012013
 Rural,958,19212,20170,Yanbye,MMR012013
 Total,1736,20682,22418,Yanbye,MMR012013
 Urban,206,1672,1878,An,MMR012014
 Rural,1175,24306,25481,An,MMR012014
 Total,1381,25978,27359,An,MMR012014
 Urban,2159,1191,3350,Thandwe,MMR012015
 Rural,9333,18392,27725,Thandwe,MMR012015
 Total,11492,19583,31075,Thandwe,MMR012015
 Urban,3690,2488,6178,Toungup,MMR012016
 Rural,3769,15292,19061,Toungup,MMR012016
 Total,7459,17780,25239,Toungup,MMR012016
 Urban,1357,1131,2488,Gwa,MMR012017
 Rural,2537,6220,8757,Gwa,MMR012017
 Total,3894,7351,11245,Gwa,MMR012017
 Urban,282,933,1215,Maei(ST),MMR012016
 Rural,773,7965,8738,Maei(ST),MMR012016
 Total,1055,8898,9953,Maei(ST),MMR012016
 Urban,703,772,1475,Kyeintali(ST),MMR012017
 Rural,1385,3221,4606,Kyeintali(ST),MMR012017
 Total,2088,3993,6081,Kyeintali(ST),MMR012017
 Urban,31893,29783,61676,Insein,MMR013001
 Total,31893,29783,61676,Insein,MMR013001
 Urban,20799,20842,41641,Mingaladon,MMR013002
 Rural,13030,11632,24662,Mingaladon,MMR013002
 Total,33829,32474,66303,Mingaladon,MMR013002
 Urban,3720,2222,5942,Hmawby,MMR013003
 Rural,27543,22984,50527,Hmawby,MMR013003
 Total,31263,25206,56469,Hmawby,MMR013003
 Urban,6090,2659,8749,Hlegu,MMR013004
 Rural,24910,24364,49274,Hlegu,MMR013004
 Total,31000,27023,58023,Hlegu,MMR013004
 Urban,13596,6763,20359,Taikkyi,MMR013005
 Rural,23387,23253,46640,Taikkyi,MMR013005
 Total,36983,30016,66999,Taikkyi,MMR013005
 Urban,904,1152,2056,Htantabin,MMR013006
 Rural,11182,20973,32155,Htantabin,MMR013006
 Total,12086,22125,34211,Htantabin,MMR013006
 Urban,37792,20719,58511,Shwepyitha,MMR013007
 Rural,7286,7978,15264,Shwepyitha,MMR013007
 Total,45078,28697,73775,Shwepyitha,MMR013007
 Urban,51686,52121,103807,Hlinethaya,MMR013008
 Rural,22120,22784,44904,Hlinethaya,MMR013008
 Total,73806,74905,148711,Hlinethaya,MMR013008
 Urban,20959,22361,43320,Thingangyun,MMR013009
 Total,20959,22361,43320,Thingangyun,MMR013009
 Urban,4852,9785,14637,Yankin,MMR013010
 Total,4852,9785,14637,Yankin,MMR013010
 Urban,22098,10627,32725,South Okkalapa,MMR013011
 Total,22098,10627,32725,South Okkalapa,MMR013011
 Urban,42232,22524,64756,North Okkalapa,MMR013012
 Total,42232,22524,64756,North Okkalapa,MMR013012
 Urban,28462,16994,45456,Thakayta,MMR013013
 Total,28462,16994,45456,Thakayta,MMR013013
 Urban,6802,7607,14409,Dawbon,MMR013014
 Total,6802,7607,14409,Dawbon,MMR013014
 Urban,4301,31059,35360,Tamway,MMR013015
 Total,4301,31059,35360,Tamway,MMR013015
 Urban,511,9795,10306,Pazuntaung,MMR013016
 Total,511,9795,10306,Pazuntaung,MMR013016
 Urban,1288,7109,8397,Botahtaung,MMR013017
 Total,1288,7109,8397,Botahtaung,MMR013017
 Urban,50200,26784,76984,Dagon Myothit(South),MMR013018
 Total,50200,26784,76984,Dagon Myothit(South),MMR013018
 Urban,30575,12129,42704,Dagon Myothit(North),MMR013019
 Total,30575,12129,42704,Dagon Myothit(North),MMR013019
 Urban,21747,10148,31895,Dagon Myothit(East),MMR013020
 Rural,808,1210,2018,Dagon Myothit(East),MMR013020
 Total,22555,11358,33913,Dagon Myothit(East),MMR013020
 Urban,17435,16737,34172,Dagon Myothit(Seik),MMR013021
 Rural,1869,1864,3733,Dagon Myothit(Seik),MMR013021
 Total,19304,18601,37905,Dagon Myothit(Seik),MMR013021
 Urban,2809,23109,25918,Mingala Taungnyunt,MMR013022
 Total,2809,23109,25918,Mingala Taungnyunt,MMR013022
 Urban,6286,12423,18709,Thanlyin,MMR013023
 Rural,14725,28163,42888,Thanlyin,MMR013023
 Total,21011,40586,61597,Thanlyin,MMR013023
 Urban,4249,5615,9864,Kyauktan,MMR013024
 Rural,7488,15624,23112,Kyauktan,MMR013024
 Total,11737,21239,32976,Kyauktan,MMR013024
 Urban,4443,2313,6756,Thongwa,MMR013025
 Rural,17521,15810,33331,Thongwa,MMR013025
 Total,21964,18123,40087,Thongwa,MMR013025
 Urban,5306,2572,7878,Khayan,MMR013026
 Rural,16974,14462,31436,Khayan,MMR013026
 Total,22280,17034,39314,Khayan,MMR013026
 Urban,4307,4890,9197,Twantay,MMR013027
 Rural,12112,30293,42405,Twantay,MMR013027
 Total,16419,35183,51602,Twantay,MMR013027
 Urban,1200,1031,2231,Kawhmu,MMR013028
 Rural,7830,19731,27561,Kawhmu,MMR013028
 Total,9030,20762,29792,Kawhmu,MMR013028
 Urban,2191,1767,3958,Kungyangon,MMR013029
 Rural,7446,16948,24394,Kungyangon,MMR013029
 Total,9637,18715,28352,Kungyangon,MMR013029
 Urban,12114,13217,25331,Dala,MMR013030
 Rural,3960,8621,12581,Dala,MMR013030
 Total,16074,21838,37912,Dala,MMR013030
 Urban,182,169,351,Cocogyun,MMR013032
 Total,182,169,351,Cocogyun,MMR013032
 Urban,1276,1214,2490,Tada(ST),MMR013024
 Rural,2998,4005,7003,Tada(ST),MMR013024
 Total,4274,5219,9493,Tada(ST),MMR013024
 Urban,96,6024,6120,Kyauktada,MMR013033
 Total,96,6024,6120,Kyauktada,MMR013033
 Urban,67,6496,6563,Pabedan,MMR013034
 Total,67,6496,6563,Pabedan,MMR013034
 Urban,397,8202,8599,Lanmadaw,MMR013035
 Total,397,8202,8599,Lanmadaw,MMR013035
 Urban,90,4383,4473,Latha,MMR013036
 Total,90,4383,4473,Latha,MMR013036
 Urban,1784,9159,10943,Ahlon,MMR013037
 Total,1784,9159,10943,Ahlon,MMR013037
 Urban,3622,19440,23062,Kyimyindine,MMR013038
 Total,3622,19440,23062,Kyimyindine,MMR013038
 Urban,1872,18763,20635,Sangyoung,MMR013039
 Total,1872,18763,20635,Sangyoung,MMR013039
 Urban,11602,21235,32837,Hline,MMR013040
 Total,11602,21235,32837,Hline,MMR013040
 Urban,2744,13555,16299,Kamayut,MMR013041
 Total,2744,13555,16299,Kamayut,MMR013041
 Urban,16579,22228,38807,Mayangon,MMR013042
 Total,16579,22228,38807,Mayangon,MMR013042
 Urban,920,3688,4608,Dagon,MMR013043
 Total,920,3688,4608,Dagon,MMR013043
 Urban,2484,14942,17426,Bahan,MMR013044
 Total,2484,14942,17426,Bahan,MMR013044
 Urban,147,263,410,Seikkan,MMR013045
 Total,147,263,410,Seikkan,MMR013045
 Urban,7732,48916,56648,Taunggyi,MMR014001
 Rural,3194,22762,25956,Taunggyi,MMR014001
 Total,10926,71678,82604,Taunggyi,MMR014001
 Urban,2258,801,3059,Nyaungshwe,MMR014002
 Rural,5981,33594,39575,Nyaungshwe,MMR014002
 Total,8239,34395,42634,Nyaungshwe,MMR014002
 Urban,1032,3504,4536,Hopon,MMR014003
 Rural,984,19208,20192,Hopon,MMR014003
 Total,2016,22712,24728,Hopon,MMR014003
 Urban,327,2322,2649,Hsihseng,MMR014004
 Rural,2297,27825,30122,Hsihseng,MMR014004
 Total,2624,30147,32771,Hsihseng,MMR014004
 Urban,2052,10546,12598,Kalaw,MMR014005
 Rural,3227,25516,28743,Kalaw,MMR014005
 Total,5279,36062,41341,Kalaw,MMR014005
 Urban,1316,943,2259,Pindaya,MMR014006
 Rural,2708,12577,15285,Pindaya,MMR014006
 Total,4024,13520,17544,Pindaya,MMR014006
 Urban,86,1069,1155,Ywarngan,MMR014007
 Rural,1310,15883,17193,Ywarngan,MMR014007
 Total,1396,16952,18348,Ywarngan,MMR014007
 Urban,1715,3962,5677,Yatsauk,MMR014008
 Rural,2578,17702,20280,Yatsauk,MMR014008
 Total,4293,21664,25957,Yatsauk,MMR014008
 Urban,747,2023,2770,Pinlaung,MMR014009
 Rural,1538,21196,22734,Pinlaung,MMR014009
 Total,2285,23219,25504,Pinlaung,MMR014009
 Urban,1449,1982,3431,Phekon,MMR014010
 Rural,2832,13821,16653,Phekon,MMR014010
 Total,4281,15803,20084,Phekon,MMR014010
 Urban,35,567,602,Kyauktalongyi(ST),MMR014001
 Rural,278,11385,11663,Kyauktalongyi(ST),MMR014001
 Total,313,11952,12265,Kyauktalongyi(ST),MMR014001
 Urban,114,1722,1836,Indaw(ST),MMR014008
 Rural,547,5767,6314,Indaw(ST),MMR014008
 Total,661,7489,8150,Indaw(ST),MMR014008
 Urban,70,909,979,Naungtayar(ST),MMR014009
 Rural,899,14701,15600,Naungtayar(ST),MMR014009
 Total,969,15610,16579,Naungtayar(ST),MMR014009
 Urban,485,2368,2853,Loilem,MMR014011
 Rural,218,7830,8048,Loilem,MMR014011
 Total,703,10198,10901,Loilem,MMR014011
 Urban,452,878,1330,Le`char,MMR014012
 Rural,1232,6228,7460,Le`char,MMR014012
 Total,1684,7106,8790,Le`char,MMR014012
 Urban,645,4196,4841,Nanhsam(South),MMR014013
 Rural,759,13263,14022,Nanhsam(South),MMR014013
 Total,1404,17459,18863,Nanhsam(South),MMR014013
 Urban,372,1170,1542,Kunhing,MMR014014
 Rural,357,2671,3028,Kunhing,MMR014014
 Total,729,3841,4570,Kunhing,MMR014014
 Urban,291,551,842,Kehsi,MMR014015
 Rural,614,7445,8059,Kehsi,MMR014015
 Total,905,7996,8901,Kehsi,MMR014015
 Urban,497,1722,2219,Mongkai,MMR014016
 Rural,498,13615,14113,Mongkai,MMR014016
 Total,995,15337,16332,Mongkai,MMR014016
 Urban,408,1675,2083,Mineshu,MMR014017
 Rural,448,6670,7118,Mineshu,MMR014017
 Total,856,8345,9201,Mineshu,MMR014017
 Urban,422,4802,5224,Panglong(ST),MMR014011
 Rural,137,9155,9292,Panglong(ST),MMR014011
 Total,559,13957,14516,Panglong(ST),MMR014011
 Urban,264,1484,1748,Kholan(ST),MMR014013
 Rural,133,2483,2616,Kholan(ST),MMR014013
 Total,397,3967,4364,Kholan(ST),MMR014013
 Urban,481,1184,1665,Karli(ST),MMR014014
 Rural,560,4342,4902,Karli(ST),MMR014014
 Total,1041,5526,6567,Karli(ST),MMR014014
 Urban,96,656,752,Minenaung(ST),MMR014015
 Rural,126,4933,5059,Minenaung(ST),MMR014015
 Total,222,5589,5811,Minenaung(ST),MMR014015
 Urban,71,436,507,Minesan(Monsan)(ST),MMR014017
 Rural,86,6073,6159,Minesan(Monsan)(ST),MMR014017
 Total,157,6509,6666,Minesan(Monsan)(ST),MMR014017
 Urban,869,849,1718,Linkhe`,MMR014018
 Rural,1790,4880,6670,Linkhe`,MMR014018
 Total,2659,5729,8388,Linkhe`,MMR014018
 Urban,470,1633,2103,Mone`,MMR014019
 Rural,259,3862,4121,Mone`,MMR014019
 Total,729,5495,6224,Mone`,MMR014019
 Urban,578,614,1192,Maukme`,MMR014020
 Rural,356,5646,6002,Maukme`,MMR014020
 Total,934,6260,7194,Maukme`,MMR014020
 Urban,1393,566,1959,Minepan,MMR014021
 Rural,545,2917,3462,Minepan,MMR014021
 Total,1938,3483,5421,Minepan,MMR014021
 Urban,101,573,674,Homane(ST),MMR014018
 Rural,39,447,486,Homane(ST),MMR014018
 Total,140,1020,1160,Homane(ST),MMR014018
 Urban,386,1711,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,386,1875,2261,Kengtaung(ST),MMR014019
 Urban,4681,29418,34099,Lashio,MMR015001
 Rural,1343,29490,30833,Lashio,MMR015001
 Total,6024,58908,64932,Lashio,MMR015001
 Urban,677,1246,1923,Theinni,MMR015002
 Rural,1559,8297,9856,Theinni,MMR015002
 Total,2236,9543,11779,Theinni,MMR015002
 Urban,657,813,1470,Mineye`,MMR015003
 Rural,603,11255,11858,Mineye`,MMR015003
 Total,1260,12068,13328,Mineye`,MMR015003
 Urban,1508,5300,6808,Tantyan,MMR015004
 Rural,561,27773,28334,Tantyan,MMR015004
 Total,2069,33073,35142,Tantyan,MMR015004
 Urban,1874,11460,13334,MuSe,MMR015009
 Rural,1322,7558,8880,MuSe,MMR015009
 Total,3196,19018,22214,MuSe,MMR015009
 Urban,1551,4581,6132,Namkham,MMR015010
 Rural,1993,13292,15285,Namkham,MMR015010
 Total,3544,17873,21417,Namkham,MMR015010
 Urban,782,3901,4683,Kukai,MMR015011
 Rural,508,13840,14348,Kukai,MMR015011
 Total,1290,17741,19031,Kukai,MMR015011
 Urban,183,1286,1469,Monekoe(ST),MMR015009
 Rural,37,2852,2889,Monekoe(ST),MMR015009
 Total,220,4138,4358,Monekoe(ST),MMR015009
 Urban,200,146,346,Manhero(ST),MMR015009
 Rural,701,596,1297,Manhero(ST),MMR015009
 Total,901,742,1643,Manhero(ST),MMR015009
 Urban,135,1633,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,121,2654,2775,Pansai(KyuKute)(ST),MMR015009
 Total,256,4287,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,104,2383,2487,Tamoenye(ST),MMR015011
 Rural,266,10296,10562,Tamoenye(ST),MMR015011
 Total,370,12679,13049,Tamoenye(ST),MMR015011
 Urban,3454,5199,8653,Kyukme,MMR015012
 Rural,2479,17239,19718,Kyukme,MMR015012
 Total,5933,22438,28371,Kyukme,MMR015012
 Urban,1592,2579,4171,Naungkhio,MMR015013
 Rural,3046,25007,28053,Naungkhio,MMR015013
 Total,4638,27586,32224,Naungkhio,MMR015013
 Urban,1934,2075,4009,Hsipaw,MMR015014
 Rural,2630,31267,33897,Hsipaw,MMR015014
 Total,4564,33342,37906,Hsipaw,MMR015014
 Urban,213,3044,3257,Namtu,MMR015015
 Rural,420,7964,8384,Namtu,MMR015015
 Total,633,11008,11641,Namtu,MMR015015
 Urban,39,896,935,Namsan(North),MMR015016
 Rural,103,12647,12750,Namsan(North),MMR015016
 Total,142,13543,13685,Namsan(North),MMR015016
 Urban,1503,730,2233,Momeik,MMR015017
 Rural,3610,7809,11419,Momeik,MMR015017
 Total,5113,8539,13652,Momeik,MMR015017
 Urban,226,488,714,Mabane,MMR015018
 Rural,3051,4867,7918,Mabane,MMR015018
 Total,3277,5355,8632,Mabane,MMR015018
 Urban,30,749,779,Manton,MMR015019
 Rural,23,6881,6904,Manton,MMR015019
 Total,53,7630,7683,Manton,MMR015019
 Urban,89,524,613,Minengaw(ST),MMR015012
 Rural,85,3331,3416,Minengaw(ST),MMR015012
 Total,174,3855,4029,Minengaw(ST),MMR015012
 Urban,91,495,586,Minelon(ST),MMR015012
 Rural,76,5194,5270,Minelon(ST),MMR015012
 Total,167,5689,5856,Minelon(ST),MMR015012
 Urban,70,1088,1158,Kunlon,MMR015020
 Rural,365,8869,9234,Kunlon,MMR015020
 Total,435,9957,10392,Kunlon,MMR015020
 Urban,487,2454,2941,Laukine,MMR015022
 Rural,568,10722,11290,Laukine,MMR015022
 Total,1055,13176,14231,Laukine,MMR015022
 Urban,42,152,194,Kongyan,MMR015023
 Rural,15,5253,5268,Kongyan,MMR015023
 Total,57,5405,5462,Kongyan,MMR015023
 Urban,17,602,619,Chinshwehaw(ST),MMR015022
 Rural,15,316,331,Chinshwehaw(ST),MMR015022
 Total,32,918,950,Chinshwehaw(ST),MMR015022
 Urban,5,80,85,Mawhtike(ST),MMR015023
 Rural,20,4098,4118,Mawhtike(ST),MMR015023
 Total,25,4178,4203,Mawhtike(ST),MMR015023
 Urban,232,3146,3378,Hopan,MMR015021
 Rural,267,6386,6653,Hopan,MMR015021
 Total,499,9532,10031,Hopan,MMR015021
 Urban,70,783,853,Minemaw,MMR015008
 Rural,128,9464,9592,Minemaw,MMR015008
 Total,198,10247,10445,Minemaw,MMR015008
 Urban,18,451,469,Panwine,MMR015007
 Rural,203,13297,13500,Panwine,MMR015007
 Total,221,13748,13969,Panwine,MMR015007
 Urban,55,606,661,Panlon(ST),MMR015021
 Rural,8,516,524,Panlon(ST),MMR015021
 Total,63,1122,1185,Panlon(ST),MMR015021
 Urban,1,66,67,Makman,MMR015024
 Rural,8,3243,3251,Makman,MMR015024
 Total,9,3309,3318,Makman,MMR015024
 Urban,105,1917,2022,Pan San(Pan Kham),MMR015005
 Rural,209,13911,14120,Pan San(Pan Kham),MMR015005
 Total,314,15828,16142,Pan San(Pan Kham),MMR015005
 Urban,16,139,155,Naphang,MMR015006
 Rural,163,16156,16319,Naphang,MMR015006
 Total,179,16295,16474,Naphang,MMR015006
 Urban,-,81,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,-,315,315,ManKan(ST),MMR015005
 Urban,2567,6535,9102,Kengtung,MMR016001
 Rural,4248,20746,24994,Kengtung,MMR016001
 Total,6815,27281,34096,Kengtung,MMR016001
 Urban,97,461,558,Minekat,MMR016002
 Rural,162,7305,7467,Minekat,MMR016002
 Total,259,7766,8025,Minekat,MMR016002
 Urban,182,807,989,Mineyan,MMR016003
 Rural,664,8466,9130,Mineyan,MMR016003
 Total,846,9273,10119,Mineyan,MMR016003
 Urban,170,1390,1560,Minelar,MMR016005
 Rural,215,3433,3648,Minelar,MMR016005
 Total,385,4823,5208,Minelar,MMR016005
 Rural,199,9086,9285,Mine Pauk(ST),MMR016003
 Total,199,9086,9285,Mine Pauk(ST),MMR016003
 Urban,792,769,1561,Minesat,MMR016006
 Rural,1658,12690,14348,Minesat,MMR016006
 Total,2450,13459,15909,Minesat,MMR016006
 Urban,138,1195,1333,Minepyin,MMR016007
 Rural,384,8888,9272,Minepyin,MMR016007
 Total,522,10083,10605,Minepyin,MMR016007
 Urban,393,726,1119,Minetung,MMR016008
 Rural,254,2885,3139,Minetung,MMR016008
 Total,647,3611,4258,Minetung,MMR016008
 Urban,91,193,284,Minekoke(ST),MMR016006
 Rural,152,2766,2918,Minekoke(ST),MMR016006
 Total,243,2959,3202,Minekoke(ST),MMR016006
 Urban,182,245,427,Tontar(ST),MMR016007
 Rural,78,2189,2267,Tontar(ST),MMR016007
 Total,260,2434,2694,Tontar(ST),MMR016007
 Urban,52,669,721,Ponparkyin(ST),MMR016008
 Rural,512,6101,6613,Ponparkyin(ST),MMR016008
 Total,564,6770,7334,Ponparkyin(ST),MMR016008
 Urban,4,87,91,Monehta(ST),MMR016008
 Rural,7,831,838,Monehta(ST),MMR016008
 Total,11,918,929,Monehta(ST),MMR016008
 Urban,3769,7325,11094,Tachileik,MMR016009
 Rural,7791,12294,20085,Tachileik,MMR016009
 Total,11560,19619,31179,Tachileik,MMR016009
 Urban,532,341,873,Talay(ST),MMR016009
 Rural,1388,1757,3145,Talay(ST),MMR016009
 Total,1920,2098,4018,Talay(ST),MMR016009
 Urban,267,495,762,Kenglat(ST),MMR016009
 Rural,465,1249,1714,Kenglat(ST),MMR016009
 Total,732,1744,2476,Kenglat(ST),MMR016009
 Urban,491,832,1323,Minephyat,MMR016010
 Rural,910,3932,4842,Minephyat,MMR016010
 Total,1401,4764,6165,Minephyat,MMR016010
 Urban,421,769,1190,Mineyaung,MMR016011
 Rural,1372,3767,5139,Mineyaung,MMR016011
 Total,1793,4536,6329,Mineyaung,MMR016011
 Urban,40,191,231,Mineyu(ST),MMR016011
 Rural,396,10240,10636,Mineyu(ST),MMR016011
 Total,436,10431,10867,Mineyu(ST),MMR016011
 Urban,1294,1380,2674,Kangyidaunt,MMR017002
 Rural,13554,26738,40292,Kangyidaunt,MMR017002
