Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Total,1272,26530,27802,Yekyi,MMR017006
 Urban,16,1724,1740,Thapaung,MMR017003
 Rural,358,35139,35497,Thapaung,MMR017003
 Total,374,36863,37237,Thapaung,MMR017003
 Urban,5,828,833,Ngayokaung(ST),MMR017004
 Rural,93,9275,9368,Ngayokaung(ST),MMR017004
 Total,98,10103,10201,Ngayokaung(ST),MMR017004
 Urban,18,3531,3549,Hainggyikyun(ST),MMR017004
 Rural,268,25258,25526,Hainggyikyun(ST),MMR017004
 Total,286,28789,29075,Hainggyikyun(ST),MMR017004
 Urban,14,805,819,Shwethaungyan(ST),MMR017001
 Rural,45,9317,9362,Shwethaungyan(ST),MMR017001
 Total,59,10122,10181,Shwethaungyan(ST),MMR017001
 Urban,17,2658,2675,Ngwehsaung(ST),MMR017001
 Rural,19,6776,6795,Ngwehsaung(ST),MMR017001
 Total,36,9434,9470,Ngwehsaung(ST),MMR017001
 Urban,125,4472,4597,Ngathaingchaung(ST),MMR017006
 Rural,795,17521,18316,Ngathaingchaung(ST),MMR017006
 Total,920,21993,22913,Ngathaingchaung(ST),MMR017006
 Urban,34,5383,5417,Kyaiklatt,MMR017025
 Rural,591,37740,38331,Kyaiklatt,MMR017025
 Total,625,43123,43748,Kyaiklatt,MMR017025
 Urban,46,3520,3566,Daydaye,MMR017026
 Rural,1158,43886,45044,Daydaye,MMR017026
 Total,1204,47406,48610,Daydaye,MMR017026
 Urban,76,9978,10054,Phyapon,MMR017023
 Rural,821,30755,31576,Phyapon,MMR017023
 Total,897,40733,41630,Phyapon,MMR017023
 Urban,46,10069,10115,Bogale,MMR017024
 Rural,1881,63991,65872,Bogale,MMR017024
 Total,1927,74060,75987,Bogale,MMR017024
 Urban,6,771,777,Ahmar(ST),MMR017023
 Rural,382,26627,27009,Ahmar(ST),MMR017023
 Total,388,27398,27786,Ahmar(ST),MMR017023
 Urban,131,5769,5900,Nyaungdon,MMR017021
 Rural,1983,43318,45301,Nyaungdon,MMR017021
 Total,2114,49087,51201,Nyaungdon,MMR017021
 Urban,76,5104,5180,Danubyu,MMR017022
 Rural,1748,37869,39617,Danubyu,MMR017022
 Total,1824,42973,44797,Danubyu,MMR017022
 Urban,223,4069,4292,Pantanaw,MMR017020
 Rural,2728,53257,55985,Pantanaw,MMR017020
 Total,2951,57326,60277,Pantanaw,MMR017020
 Urban,169,8968,9137,Maubin,MMR017019
 Rural,1702,60965,62667,Maubin,MMR017019
 Total,1871,69933,71804,Maubin,MMR017019
 Urban,254,12259,12513,Myaungmya,MMR017014
 Rural,834,52825,53659,Myaungmya,MMR017014
 Total,1088,65084,66172,Myaungmya,MMR017014
 Urban,15,5290,5305,Wakema,MMR017017
 Rural,1332,60811,62143,Wakema,MMR017017
 Total,1347,66101,67448,Wakema,MMR017017
 Urban,137,2909,3046,Einme,MMR017015
 Rural,1818,41591,43409,Einme,MMR017015
 Total,1955,44500,46455,Einme,MMR017015
 Urban,74,7509,7583,Mawlamyinegyun,MMR017018
 Rural,687,66616,67303,Mawlamyinegyun,MMR017018
 Total,761,74125,74886,Mawlamyinegyun,MMR017018
 Urban,126,7077,7203,Labutta,MMR017016
 Rural,533,47410,47943,Labutta,MMR017016
 Total,659,54487,55146,Labutta,MMR017016
 Urban,1,500,501,Pyinsalu(ST),MMR017016
 Rural,132,19804,19936,Pyinsalu(ST),MMR017016
 Total,133,20304,20437,Pyinsalu(ST),MMR017016
 Urban,87,5219,5306,Kyangin,MMR017012
 Rural,370,21181,21551,Kyangin,MMR017012
 Total,457,26400,26857,Kyangin,MMR017012
 Urban,117,5140,5257,Zalun,MMR017009
 Rural,1435,35381,36816,Zalun,MMR017009
 Total,1552,40521,42073,Zalun,MMR017009
 Urban,57,5992,6049,Myanaung,MMR017011
 Rural,625,53246,53871,Myanaung,MMR017011
 Total,682,59238,59920,Myanaung,MMR017011
 Urban,16,754,770,Laymyethna,MMR017010
 Rural,713,24761,25474,Laymyethna,MMR017010
 Total,729,25515,26244,Laymyethna,MMR017010
 Urban,148,19681,19829,Hinthada,MMR017008
 Rural,2523,63777,66300,Hinthada,MMR017008
 Total,2671,83458,86129,Hinthada,MMR017008
 Urban,74,3504,3578,Ingapu,MMR017013
 Rural,710,52941,53651,Ingapu,MMR017013
 Total,784,56445,57229,Ingapu,MMR017013
 Urban,95,9051,9146,Tatkon,MMR018003
 Rural,177,42424,42601,Tatkon,MMR018003
 Total,272,51475,51747,Tatkon,MMR018003
 Urban,34,8212,8246,Zeyarthiri,MMR018001
 Rural,176,17653,17829,Zeyarthiri,MMR018001
 Total,210,25865,26075,Zeyarthiri,MMR018001
 Urban,15,4880,4895,Ottarathiri,MMR018008
 Rural,63,13703,13766,Ottarathiri,MMR018008
 Total,78,18583,18661,Ottarathiri,MMR018008
 Urban,32,10216,10248,Pobbathiri,MMR018005
 Rural,108,17260,17368,Pobbathiri,MMR018005
 Total,140,27476,27616,Pobbathiri,MMR018005
 Urban,102,14354,14456,Pyinmana,MMR018006
 Rural,185,25022,25207,Pyinmana,MMR018006
 Total,287,39376,39663,Pyinmana,MMR018006
 Urban,75,6048,6123,Lewe,MMR018007
 Rural,530,58521,59051,Lewe,MMR018007
 Total,605,64569,65174,Lewe,MMR018007
 Urban,64,24658,24722,Zabuthiri,MMR018002
 Rural,14,1584,1598,Zabuthiri,MMR018002
 Total,78,26242,26320,Zabuthiri,MMR018002
 Urban,9,899,908,Dekkhinathiri,MMR018004
 Rural,65,6024,6089,Dekkhinathiri,MMR018004
 Total,74,6923,6997,Dekkhinathiri,MMR018004
 Urban,42274,3007159,3049433,Dekkhinathiri,MMR018004
 Rural,225798,7602601,7828399,Dekkhinathiri,MMR018004
 Total,268072,10609760,10877832,Dekkhinathiri,MMR018004
