Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
AREA # 040301,Mindat,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,261,2082,2343
 Rural,116,6063,6179
 Total,377,8145,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,209,1461,1670
 Rural,71,5895,5966
 Total,280,7356,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,31,776,807
 Rural,23,3147,3170
 Total,54,3923,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,48,1302,1350
 Rural,27,11916,11943
 Total,75,13218,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,7,455,462
 Rural,41,2018,2059
 Total,48,2473,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1,632,633
 Rural,47,5543,5590
 Total,48,6175,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1075,15421,16496
 Rural,1287,47360,48647
 Total,2362,62781,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,586,3045,3631
 Rural,381,21292,21673
 Total,967,24337,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,196,1757,1953
 Rural,941,21368,22309
 Total,1137,23125,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1137,12394,13531
 Rural,1261,35455,36716
 Total,2398,47849,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,273,2018,2291
 Rural,887,29446,30333
 Total,1160,31464,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,336,1970,2306
 Rural,1227,43179,44406
 Total,1563,45149,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,436,4747,5183
 Rural,1980,54163,56143
 Total,2416,58910,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,345,2154,2499
 Rural,852,17512,18364
 Total,1197,19666,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,526,3439,3965
 Rural,843,21565,22408
 Total,1369,25004,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,114,841,955
 Rural,859,28531,29390
 Total,973,29372,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,505,2467,2972
 Rural,1316,31649,32965
 Total,1821,34116,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,127,2179,2306
 Rural,94,4650,4744
 Total,221,6829,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4532,35874,40406
 Rural,686,34870,35556
 Total,5218,70744,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,225,968,1193
 Rural,703,26720,27423
 Total,928,27688,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,154,2001,2155
 Rural,567,32869,33436
 Total,721,34870,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,531,4550,5081
 Rural,544,17751,18295
 Total,1075,22301,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,689,4574,5263
 Rural,557,26141,26698
 Total,1246,30715,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,286,1556,1842
 Rural,964,20424,21388
 Total,1250,21980,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,500,2570,3070
 Rural,544,22775,23319
 Total,1044,25345,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,179,1033,1212
 Rural,506,17150,17656
 Total,685,18183,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,759,3810,4569
 Rural,1361,25473,26834
 Total,2120,29283,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,292,2298,2590
 Rural,338,11277,11615
 Total,630,13575,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,71,1398,1469
