Urban_Rural,Cart_(bullock)_Yes,Cart_(bullock)_No,Cart_(bullock)_Total
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,110,1707,1817
 Rural,4351,15872,20223
 Total,4461,17579,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,10,6086,6096
 Rural,2769,8930,11699
 Total,2779,15016,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,22,658,680
 Rural,1914,8139,10053
 Total,1936,8797,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,181,5040,5221
 Rural,1188,3508,4696
 Total,1369,8548,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,24,1483,1507
 Rural,1692,6583,8275
 Total,1716,8066,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,6,1996,2002
 Rural,273,6153,6426
 Total,279,8149,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,28,2222,2250
 Rural,755,11678,12433
 Total,783,13900,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,1,639,640
 Rural,199,2572,2771
 Total,200,3211,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,3,667,670
 Rural,32,496,528
 Total,35,1163,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Cart (bullock),*,*
*,Yes,No,Total
 Urban,-,215,215
 Rural,-,1315,1315
 Total,-,1530,1530
NotApp :,6,*,*
