Urban_Rural,Canoe_Boat_Yes,Canoe_Boat_No,Canoe_Boat_Total
 Total,1,2520,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,10,623,633
 Rural,105,5485,5590
 Total,115,6108,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,71,16425,16496
 Rural,1967,46680,48647
 Total,2038,63105,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,18,3613,3631
 Rural,368,21305,21673
 Total,386,24918,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,13,1940,1953
 Rural,2131,20178,22309
 Total,2144,22118,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,54,13477,13531
 Rural,113,36603,36716
 Total,167,50080,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,2289,2291
 Rural,94,30239,30333
 Total,96,32528,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,2306,2306
 Rural,418,43988,44406
 Total,418,46294,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,2,5181,5183
 Rural,230,55913,56143
 Total,232,61094,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,4,2495,2499
 Rural,786,17578,18364
 Total,790,20073,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,3964,3965
 Rural,29,22379,22408
 Total,30,26343,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,954,955
 Rural,19,29371,29390
 Total,20,30325,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,1,2971,2972
 Rural,113,32852,32965
 Total,114,35823,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,55,2251,2306
 Rural,147,4597,4744
 Total,202,6848,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,106,40300,40406
 Rural,850,34706,35556
 Total,956,75006,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,-,1193,1193
 Rural,116,27307,27423
 Total,116,28500,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Canoe/Boat,*,*
*,Yes,No,Total
 Urban,4,2151,2155
 Rural,54,33382,33436
 Total,58,35533,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
