Urban_Rural,Bicycle_Yes,Bicycle_No,Bicycle_Total
 Urban,213,1789,2002
 Rural,196,6230,6426
 Total,409,8019,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,352,1898,2250
 Rural,1125,11308,12433
 Total,1477,13206,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,23,617,640
 Rural,129,2642,2771
 Total,152,3259,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,39,631,670
 Rural,4,524,528
 Total,43,1155,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,12,203,215
 Rural,28,1287,1315
 Total,40,1490,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,90,2253,2343
 Rural,40,6139,6179
 Total,130,8392,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,67,1603,1670
 Rural,47,5919,5966
 Total,114,7522,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6,801,807
 Rural,16,3154,3170
 Total,22,3955,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,172,1178,1350
 Rural,75,11868,11943
 Total,247,13046,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,18,444,462
 Rural,21,2038,2059
 Total,39,2482,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,25,608,633
 Rural,31,5559,5590
 Total,56,6167,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8563,7933,16496
 Rural,16984,31663,48647
 Total,25547,39596,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2391,1240,3631
 Rural,9435,12238,21673
 Total,11826,13478,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1198,755,1953
 Rural,13416,8893,22309
 Total,14614,9648,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,8452,5079,13531
 Rural,19159,17557,36716
 Total,27611,22636,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1432,859,2291
 Rural,9382,20951,30333
 Total,10814,21810,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1674,632,2306
 Rural,16432,27974,44406
 Total,18106,28606,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2418,2765,5183
 Rural,11131,45012,56143
 Total,13549,47777,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1380,1119,2499
 Rural,3235,15129,18364
 Total,4615,16248,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2677,1288,3965
 Rural,10857,11551,22408
 Total,13534,12839,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,691,264,955
 Rural,11439,17951,29390
 Total,12130,18215,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,2270,702,2972
 Rural,15763,17202,32965
 Total,18033,17904,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,938,1368,2306
 Rural,1016,3728,4744
 Total,1954,5096,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,26850,13556,40406
 Rural,20753,14803,35556
 Total,47603,28359,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,940,253,1193
 Rural,13600,13823,27423
 Total,14540,14076,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1441,714,2155
 Rural,13911,19525,33436
 Total,15352,20239,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3880,1201,5081
 Rural,12542,5753,18295
 Total,16422,6954,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3201,2062,5263
 Rural,7748,18950,26698
 Total,10949,21012,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1253,589,1842
 Rural,8155,13233,21388
 Total,9408,13822,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1475,1595,3070
 Rural,5812,17507,23319
 Total,7287,19102,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,615,597,1212
 Rural,1847,15809,17656
 Total,2462,16406,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3096,1473,4569
 Rural,10296,16538,26834
 Total,13392,18011,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1651,939,2590
 Rural,4299,7316,11615
 Total,5950,8255,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,889,580,1469
 Rural,3531,16900,20431
 Total,4420,17480,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,18015,7706,25721
 Rural,25157,21891,47048
 Total,43172,29597,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,748,1205,1953
 Rural,1181,8601,9782
 Total,1929,9806,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,286,550,836
 Rural,3360,17862,21222
 Total,3646,18412,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,5148,3841,8989
 Rural,1112,1885,2997
 Total,6260,5726,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,84,224,308
 Rural,805,1984,2789
 Total,889,2208,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1173,1665,2838
 Rural,1833,2837,4670
 Total,3006,4502,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,980,844,1824
 Rural,1385,7136,8521
 Total,2365,7980,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1035,907,1942
 Rural,4014,14290,18304
 Total,5049,15197,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,559,1624,2183
 Rural,239,4939,5178
 Total,798,6563,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1644,1931,3575
 Rural,4027,28141,32168
 Total,5671,30072,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1,252,253
 Rural,6,1397,1403
 Total,7,1649,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,15,523,538
 Rural,8,6431,6439
 Total,23,6954,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,6,369,375
 Rural,4,1189,1193
 Total,10,1558,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,17,193,210
 Rural,1,99,100
 Total,18,292,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,-,286,286
 Rural,2,906,908
 Total,2,1192,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,-,633,633
 Total,-,761,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,7,331,338
 Rural,2,2009,2011
 Total,9,2340,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,2,3752,3754
 Total,2,3921,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,735,342,1077
 Rural,13720,14735,28455
 Total,14455,15077,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,899,323,1222
 Rural,16895,8350,25245
 Total,17794,8673,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,701,230,931
 Rural,10614,20817,31431
 Total,11315,21047,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,731,407,1138
 Rural,7264,20821,28085
 Total,7995,21228,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,9215,6167,15382
 Rural,3681,5880,9561
 Total,12896,12047,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,605,635,1240
 Rural,8985,15510,24495
 Total,9590,16145,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,925,1482,2407
 Rural,4790,15677,20467
 Total,5715,17159,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,300,777,1077
 Rural,4387,16609,20996
 Total,4687,17386,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,32,464,496
 Rural,248,3446,3694
 Total,280,3910,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,122,502,624
 Rural,351,3302,3653
 Total,473,3804,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,3083,18465,21548
 Rural,3754,29047,32801
 Total,6837,47512,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,70,1072,1142
 Rural,2007,29839,31846
 Total,2077,30911,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1291,2280,3571
 Rural,2600,12354,14954
 Total,3891,14634,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,230,896,1126
 Rural,2039,16764,18803
 Total,2269,17660,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,123,1088,1211
 Rural,699,5218,5917
 Total,822,6306,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,1506,11074,12580
 Rural,1562,11339,12901
 Total,3068,22413,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Bicycle,*,*
*,Yes,No,Total
 Urban,343,704,1047
 Rural,865,6964,7829
