Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Semi-pacca house,2564,3657,6221
 Wooden house,4059,12285,16344
 Bamboo,11327,22933,34260
 Hut 2 - 3 years,42,476,518
 Hut 1 year,168,108,276
 Other,70,62,132
 Total,23963,44476,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,38,27,65
 Bungalow/Brick house,413,3086,3499
 Semi-pacca house,241,2449,2690
 Wooden house,879,5718,6597
 Bamboo,1522,18039,19561
 Hut 2 - 3 years,4,636,640
 Hut 1 year,1,150,151
 Other,13,111,124
 Total,3111,30216,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,88,1249,1337
 Bungalow/Brick house,787,2447,3234
 Semi-pacca house,439,2680,3119
 Wooden house,2211,14901,17112
 Bamboo,1192,18408,19600
 Hut 2 - 3 years,-,342,342
 Hut 1 year,1,114,115
 Other,2,31,33
 Total,4720,40172,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,42,65,107
 Bungalow/Brick house,1067,2907,3974
 Semi-pacca house,334,2051,2385
 Wooden house,1619,9780,11399
 Bamboo,4185,31068,35253
 Hut 2 - 3 years,28,230,258
 Hut 1 year,9,87,96
 Other,16,81,97
 Total,7300,46269,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3214,154,3368
 Bungalow/Brick house,8898,641,9539
 Semi-pacca house,6088,1630,7718
 Wooden house,26905,4184,31089
 Bamboo,3837,893,4730
 Hut 2 - 3 years,364,137,501
 Hut 1 year,205,53,258
 Other,223,31,254
 Total,49734,7723,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,11,258,269
 Bungalow/Brick house,118,2775,2893
 Semi-pacca house,246,4469,4715
 Wooden house,1641,23060,24701
 Bamboo,146,3464,3610
 Hut 2 - 3 years,11,1601,1612
 Hut 1 year,2,639,641
 Other,1,446,447
 Total,2176,36712,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,17,18,35
 Bungalow/Brick house,254,1365,1619
 Semi-pacca house,226,3562,3788
 Wooden house,946,15042,15988
 Bamboo,289,5519,5808
 Hut 2 - 3 years,1,495,496
 Hut 1 year,2,175,177
 Other,9,24,33
 Total,1744,26200,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,124,319,443
 Bungalow/Brick house,1156,1966,3122
 Semi-pacca house,1565,2957,4522
 Wooden house,6638,13485,20123
 Bamboo,1700,3854,5554
 Hut 2 - 3 years,381,1096,1477
 Hut 1 year,101,629,730
 Other,50,213,263
 Total,11715,24519,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,163,368,531
 Bungalow/Brick house,1759,2111,3870
 Semi-pacca house,2312,5014,7326
 Wooden house,4900,16810,21710
 Bamboo,1498,3653,5151
 Hut 2 - 3 years,99,426,525
 Hut 1 year,17,99,116
 Other,44,39,83
 Total,10792,28520,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,298,375,673
 Bungalow/Brick house,544,864,1408
 Semi-pacca house,552,1409,1961
 Wooden house,3307,13614,16921
 Bamboo,1215,6559,7774
 Hut 2 - 3 years,70,676,746
 Hut 1 year,17,311,328
 Other,110,70,180
 Total,6113,23878,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,11,186,197
 Bungalow/Brick house,308,880,1188
 Semi-pacca house,301,2711,3012
 Wooden house,2090,9131,11221
 Bamboo,133,2308,2441
 Hut 2 - 3 years,106,320,426
 Hut 1 year,13,112,125
 Other,5,24,29
 Total,2967,15672,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,76,46,122
 Bungalow/Brick house,76,255,331
 Semi-pacca house,66,275,341
 Wooden house,468,2536,3004
 Bamboo,92,837,929
 Hut 2 - 3 years,-,55,55
 Hut 1 year,-,30,30
 Other,-,6,6
 Total,778,4040,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,296,1043,1339
 Bungalow/Brick house,1317,1800,3117
 Semi-pacca house,1551,2869,4420
 Wooden house,5826,20993,26819
 Bamboo,1481,9287,10768
 Hut 2 - 3 years,96,1076,1172
 Hut 1 year,62,400,462
 Other,77,110,187
 Total,10706,37578,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,69,302,371
 Bungalow/Brick house,681,2429,3110
 Semi-pacca house,692,3240,3932
 Wooden house,3942,23010,26952
 Bamboo,356,6498,6854
 Hut 2 - 3 years,77,1147,1224
 Hut 1 year,47,548,595
 Other,38,650,688
 Total,5902,37824,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,204,1171,1375
 Bungalow/Brick house,949,1338,2287
 Semi-pacca house,765,1916,2681
 Wooden house,3930,15143,19073
 Bamboo,1421,8985,10406
 Hut 2 - 3 years,142,1054,1196
 Hut 1 year,41,641,682
 Other,64,324,388
 Total,7516,30572,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,402,252,654
 Bungalow/Brick house,354,944,1298
 Semi-pacca house,255,1518,1773
 Wooden house,2154,21374,23528
 Bamboo,736,9617,10353
 Hut 2 - 3 years,63,834,897
 Hut 1 year,28,430,458
 Other,52,218,270
 Total,4044,35187,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,737,1452,2189
 Bungalow/Brick house,1739,138,1877
 Semi-pacca house,1944,158,2102
 Wooden house,7230,2921,10151
 Bamboo,7011,5194,12205
 Hut 2 - 3 years,143,128,271
 Hut 1 year,56,105,161
 Other,46,34,80
 Total,18906,10130,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,16,6,22
 Bungalow/Brick house,221,69,290
 Semi-pacca house,111,102,213
 Wooden house,1098,10220,11318
 Bamboo,958,12240,13198
 Hut 2 - 3 years,30,149,179
 Hut 1 year,11,56,67
 Other,21,27,48
 Total,2466,22869,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,29,6,35
 Bungalow/Brick house,82,33,115
 Semi-pacca house,96,113,209
 Wooden house,1383,10826,12209
 Bamboo,877,15833,16710
 Hut 2 - 3 years,1,561,562
 Hut 1 year,-,311,311
 Other,2,391,393
 Total,2470,28074,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6,247,253
 Bungalow/Brick house,65,116,181
 Semi-pacca house,195,202,397
 Wooden house,450,8511,8961
 Bamboo,786,13281,14067
 Hut 2 - 3 years,6,303,309
 Hut 1 year,2,106,108
 Other,-,65,65
 Total,1510,22831,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,206,217,423
 Bungalow/Brick house,285,41,326
 Semi-pacca house,178,76,254
 Wooden house,2307,7981,10288
 Bamboo,4223,25309,29532
 Hut 2 - 3 years,45,373,418
 Hut 1 year,26,179,205
 Other,4,75,79
 Total,7274,34251,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,17,539,556
 Bungalow/Brick house,265,162,427
 Semi-pacca house,285,176,461
 Wooden house,1440,10223,11663
 Bamboo,1785,20922,22707
 Hut 2 - 3 years,11,426,437
 Hut 1 year,9,166,175
 Other,27,42,69
 Total,3839,32656,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,460,482
 Bungalow/Brick house,167,65,232
 Semi-pacca house,124,102,226
 Wooden house,2296,13136,15432
 Bamboo,1937,17486,19423
 Hut 2 - 3 years,25,495,520
 Hut 1 year,13,195,208
 Other,31,74,105
 Total,4615,32013,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8,9,17
 Bungalow/Brick house,256,147,403
 Semi-pacca house,91,250,341
 Wooden house,878,16042,16920
 Bamboo,869,11214,12083
 Hut 2 - 3 years,36,692,728
 Hut 1 year,52,232,284
 Other,428,135,563
 Total,2618,28721,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,242,195,437
 Bungalow/Brick house,179,49,228
 Semi-pacca house,230,81,311
 Wooden house,864,1898,2762
 Bamboo,684,2773,3457
 Hut 2 - 3 years,17,9,26
 Hut 1 year,33,32,65
 Other,65,39,104
 Total,2314,5076,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,113,1253,1366
 Bungalow/Brick house,147,47,194
 Semi-pacca house,133,214,347
 Wooden house,981,2035,3016
 Bamboo,638,5540,6178
 Hut 2 - 3 years,30,71,101
 Hut 1 year,7,29,36
 Other,13,13,26
 Total,2062,9202,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,24,-,24
 Bungalow/Brick house,-,4,4
 Semi-pacca house,5,5,10
 Wooden house,117,106,223
 Bamboo,7,210,217
 Hut 2 - 3 years,1,9,10
 Hut 1 year,-,1,1
 Other,4,13,17
 Total,158,348,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,249,573,822
 Bungalow/Brick house,423,120,543
 Semi-pacca house,598,370,968
 Wooden house,2040,23837,25877
 Bamboo,922,7543,8465
 Hut 2 - 3 years,15,395,410
 Hut 1 year,3,108,111
 Other,4,64,68
 Total,4254,33010,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,16,16,32
 Bungalow/Brick house,44,16,60
 Semi-pacca house,226,203,429
 Wooden house,839,11191,12030
 Bamboo,171,1925,2096
 Hut 2 - 3 years,2,57,59
 Hut 1 year,7,12,19
 Other,1,9,10
 Total,1306,13429,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,4,4,8
 Bungalow/Brick house,14,30,44
 Semi-pacca house,79,137,216
 Wooden house,1898,17781,19679
 Bamboo,244,2077,2321
 Hut 2 - 3 years,7,94,101
 Hut 1 year,1,37,38
 Other,1,10,11
 Total,2248,20170,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,136,781,917
 Bungalow/Brick house,99,119,218
 Semi-pacca house,136,262,398
 Wooden house,782,14471,15253
 Bamboo,663,9265,9928
 Hut 2 - 3 years,19,388,407
 Hut 1 year,35,151,186
 Other,8,44,52
 Total,1878,25481,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,83,334,417
 Bungalow/Brick house,210,302,512
 Semi-pacca house,377,759,1136
 Wooden house,2498,21683,24181
 Bamboo,120,3680,3800
 Hut 2 - 3 years,19,580,599
 Hut 1 year,12,288,300
 Other,31,99,130
 Total,3350,27725,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,421,13,434
 Bungalow/Brick house,189,37,226
 Semi-pacca house,642,86,728
 Wooden house,4501,14956,19457
 Bamboo,351,2964,3315
 Hut 2 - 3 years,19,681,700
 Hut 1 year,5,202,207
 Other,50,122,172
 Total,6178,19061,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,169,12,181
 Bungalow/Brick house,97,43,140
 Semi-pacca house,138,96,234
 Wooden house,1478,6119,7597
 Bamboo,521,1914,2435
 Hut 2 - 3 years,53,314,367
 Hut 1 year,29,236,265
 Other,3,23,26
 Total,2488,8757,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,25,3,28
 Bungalow/Brick house,15,5,20
 Semi-pacca house,42,33,75
 Wooden house,819,7276,8095
 Bamboo,306,1204,1510
 Hut 2 - 3 years,1,170,171
 Hut 1 year,7,35,42
 Other,-,12,12
 Total,1215,8738,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,15,1,16
 Bungalow/Brick house,26,6,32
 Semi-pacca house,60,57,117
 Wooden house,1192,3572,4764
 Bamboo,160,755,915
 Hut 2 - 3 years,13,138,151
 Hut 1 year,3,68,71
 Other,6,9,15
 Total,1475,4606,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6174,-,6174
 Bungalow/Brick house,6785,-,6785
 Semi-pacca house,12274,-,12274
 Wooden house,28627,-,28627
 Bamboo,6746,-,6746
 Hut 2 - 3 years,260,-,260
 Hut 1 year,226,-,226
 Other,584,-,584
 Total,61676,-,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6631,1773,8404
 Bungalow/Brick house,4779,2666,7445
 Semi-pacca house,7341,2988,10329
 Wooden house,17296,11379,28675
 Bamboo,4600,5218,9818
 Hut 2 - 3 years,181,252,433
 Hut 1 year,103,113,216
 Other,710,273,983
 Total,41641,24662,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,64,4073,4137
 Bungalow/Brick house,925,3255,4180
 Semi-pacca house,622,3662,4284
 Wooden house,3059,20868,23927
 Bamboo,1137,17049,18186
 Hut 2 - 3 years,57,581,638
 Hut 1 year,24,552,576
 Other,54,487,541
 Total,5942,50527,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,292,3687,3979
 Bungalow/Brick house,1216,2594,3810
 Semi-pacca house,1188,2552,3740
 Wooden house,4265,22770,27035
 Bamboo,1584,15329,16913
 Hut 2 - 3 years,48,1102,1150
 Hut 1 year,25,831,856
 Other,131,409,540
 Total,8749,49274,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,608,929,1537
 Bungalow/Brick house,1590,670,2260
 Semi-pacca house,2159,1773,3932
 Wooden house,10064,23261,33325
 Bamboo,4954,17936,22890
 Hut 2 - 3 years,408,1010,1418
 Hut 1 year,421,902,1323
 Other,155,159,314
 Total,20359,46640,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,136,158
 Bungalow/Brick house,109,511,620
 Semi-pacca house,110,981,1091
 Wooden house,1091,14850,15941
 Bamboo,536,14671,15207
 Hut 2 - 3 years,32,389,421
 Hut 1 year,57,278,335
 Other,99,339,438
 Total,2056,32155,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1369,1331,2700
 Bungalow/Brick house,4940,898,5838
 Semi-pacca house,5436,1885,7321
 Wooden house,31494,7285,38779
 Bamboo,13032,3246,16278
 Hut 2 - 3 years,990,84,1074
 Hut 1 year,656,56,712
 Other,594,479,1073
 Total,58511,15264,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,9725,4564,14289
 Bungalow/Brick house,7907,1699,9606
 Semi-pacca house,14241,2920,17161
 Wooden house,52532,17006,69538
 Bamboo,16788,15514,32302
 Hut 2 - 3 years,769,1354,2123
 Hut 1 year,561,1038,1599
 Other,1284,809,2093
 Total,103807,44904,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,15549,-,15549
 Bungalow/Brick house,4792,-,4792
 Semi-pacca house,5110,-,5110
 Wooden house,15908,-,15908
 Bamboo,1028,-,1028
 Hut 2 - 3 years,231,-,231
 Hut 1 year,139,-,139
 Other,563,-,563
 Total,43320,-,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6460,-,6460
 Bungalow/Brick house,1837,-,1837
 Semi-pacca house,1620,-,1620
 Wooden house,4290,-,4290
 Bamboo,194,-,194
 Hut 2 - 3 years,76,-,76
 Hut 1 year,23,-,23
 Other,137,-,137
 Total,14637,-,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2299,-,2299
 Bungalow/Brick house,5809,-,5809
 Semi-pacca house,7093,-,7093
 Wooden house,15829,-,15829
 Bamboo,1348,-,1348
 Hut 2 - 3 years,89,-,89
 Hut 1 year,34,-,34
 Other,224,-,224
 Total,32725,-,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2096,-,2096
 Bungalow/Brick house,8633,-,8633
 Semi-pacca house,10642,-,10642
 Wooden house,36459,-,36459
 Bamboo,5679,-,5679
 Hut 2 - 3 years,430,-,430
 Hut 1 year,90,-,90
 Other,727,-,727
 Total,64756,-,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3868,-,3868
 Bungalow/Brick house,3454,-,3454
 Semi-pacca house,8015,-,8015
 Wooden house,27030,-,27030
 Bamboo,2174,-,2174
 Hut 2 - 3 years,181,-,181
 Hut 1 year,225,-,225
 Other,509,-,509
 Total,45456,-,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2356,-,2356
 Bungalow/Brick house,948,-,948
 Semi-pacca house,2263,-,2263
 Wooden house,8088,-,8088
 Bamboo,579,-,579
 Hut 2 - 3 years,13,-,13
 Hut 1 year,28,-,28
 Other,134,-,134
 Total,14409,-,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,29261,-,29261
 Bungalow/Brick house,2022,-,2022
 Semi-pacca house,1340,-,1340
 Wooden house,2362,-,2362
 Bamboo,172,-,172
 Hut 2 - 3 years,58,-,58
 Hut 1 year,15,-,15
 Other,130,-,130
 Total,35360,-,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8460,-,8460
 Bungalow/Brick house,434,-,434
 Semi-pacca house,769,-,769
 Wooden house,480,-,480
 Bamboo,107,-,107
 Hut 2 - 3 years,6,-,6
 Hut 1 year,1,-,1
 Other,49,-,49
 Total,10306,-,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,6986,-,6986
 Bungalow/Brick house,277,-,277
 Semi-pacca house,290,-,290
 Wooden house,630,-,630
 Bamboo,159,-,159
 Hut 1 year,5,-,5
 Other,50,-,50
 Total,8397,-,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3291,-,3291
 Bungalow/Brick house,4855,-,4855
 Semi-pacca house,7098,-,7098
 Wooden house,46860,-,46860
 Bamboo,11790,-,11790
 Hut 2 - 3 years,874,-,874
 Hut 1 year,685,-,685
 Other,1531,-,1531
 Total,76984,-,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3274,-,3274
 Bungalow/Brick house,9769,-,9769
 Semi-pacca house,5323,-,5323
 Wooden house,19201,-,19201
 Bamboo,3761,-,3761
 Hut 2 - 3 years,326,-,326
 Hut 1 year,153,-,153
 Other,897,-,897
 Total,42704,-,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,775,16,791
 Bungalow/Brick house,3250,30,3280
 Semi-pacca house,2847,46,2893
 Wooden house,16689,772,17461
 Bamboo,6588,906,7494
 Hut 2 - 3 years,630,115,745
 Hut 1 year,484,89,573
 Other,632,44,676
 Total,31895,2018,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,8905,67,8972
 Bungalow/Brick house,686,94,780
 Semi-pacca house,1106,207,1313
 Wooden house,11312,1206,12518
 Bamboo,10689,2037,12726
 Hut 2 - 3 years,640,56,696
 Hut 1 year,528,22,550
 Other,306,44,350
 Total,34172,3733,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,19003,-,19003
 Bungalow/Brick house,698,-,698
 Semi-pacca house,1003,-,1003
 Wooden house,4537,-,4537
 Bamboo,433,-,433
 Hut 2 - 3 years,56,-,56
 Hut 1 year,45,-,45
 Other,143,-,143
 Total,25918,-,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1137,1960,3097
 Bungalow/Brick house,3055,2021,5076
 Semi-pacca house,2804,2765,5569
 Wooden house,8642,18209,26851
 Bamboo,2605,16960,19565
 Hut 2 - 3 years,76,436,512
 Hut 1 year,50,307,357
 Other,340,230,570
 Total,18709,42888,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,314,307,621
 Bungalow/Brick house,870,482,1352
 Semi-pacca house,1257,917,2174
 Wooden house,4274,8665,12939
 Bamboo,3032,11815,14847
 Hut 2 - 3 years,43,576,619
 Hut 1 year,41,276,317
 Other,33,74,107
 Total,9864,23112,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,49,10,59
 Bungalow/Brick house,524,491,1015
 Semi-pacca house,688,1273,1961
 Wooden house,3566,14119,17685
 Bamboo,1710,16453,18163
 Hut 2 - 3 years,56,518,574
 Hut 1 year,68,309,377
 Other,95,158,253
 Total,6756,33331,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,80,21,101
 Bungalow/Brick house,500,342,842
 Semi-pacca house,767,1067,1834
 Wooden house,4306,14086,18392
 Bamboo,1914,15302,17216
 Hut 2 - 3 years,189,351,540
 Hut 1 year,95,246,341
 Other,27,21,48
 Total,7878,31436,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,36,172,208
 Bungalow/Brick house,985,681,1666
 Semi-pacca house,1026,1155,2181
 Wooden house,3664,14448,18112
 Bamboo,3417,24180,27597
 Hut 2 - 3 years,32,1114,1146
 Hut 1 year,24,579,603
 Other,13,76,89
 Total,9197,42405,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,40,79,119
 Bungalow/Brick house,105,534,639
 Semi-pacca house,120,662,782
 Wooden house,967,8318,9285
 Bamboo,942,16938,17880
 Hut 2 - 3 years,41,655,696
 Hut 1 year,9,310,319
 Other,7,65,72
 Total,2231,27561,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,83,12,95
 Bungalow/Brick house,586,311,897
 Semi-pacca house,250,506,756
 Wooden house,2090,9185,11275
 Bamboo,874,13783,14657
 Hut 2 - 3 years,46,266,312
 Hut 1 year,21,223,244
 Other,8,108,116
 Total,3958,24394,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,279,142,421
 Bungalow/Brick house,582,54,636
 Semi-pacca house,1104,174,1278
 Wooden house,13623,5326,18949
 Bamboo,8791,6407,15198
 Hut 2 - 3 years,311,178,489
 Hut 1 year,389,126,515
 Other,252,174,426
 Total,25331,12581,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,22,-,22
 Bungalow/Brick house,43,-,43
 Semi-pacca house,186,-,186
 Wooden house,5153,-,5153
 Bamboo,2246,-,2246
 Hut 2 - 3 years,32,-,32
 Hut 1 year,28,-,28
 Other,19,-,19
 Total,7729,-,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,49,-,49
 Bungalow/Brick house,14,-,14
 Semi-pacca house,9,-,9
 Wooden house,167,-,167
 Bamboo,5,-,5
 Hut 2 - 3 years,95,-,95
 Hut 1 year,2,-,2
 Other,10,-,10
 Total,351,-,351
