Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Semi-pacca house,170,6,176
 Wooden house,1488,5999,7487
 Bamboo,-,209,209
 Hut 2 - 3 years,1,35,36
 Hut 1 year,-,16,16
 Other,10,150,160
 Total,2002,6426,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,44,5,49
 Bungalow/Brick house,139,56,195
 Semi-pacca house,151,116,267
 Wooden house,1882,11186,13068
 Bamboo,22,901,923
 Hut 2 - 3 years,3,90,93
 Hut 1 year,-,21,21
 Other,9,58,67
 Total,2250,12433,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Bungalow/Brick house,4,2,6
 Semi-pacca house,24,1,25
 Wooden house,600,1902,2502
 Bamboo,3,756,759
 Hut 2 - 3 years,1,77,78
 Hut 1 year,1,28,29
 Other,7,5,12
 Total,640,2771,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,12,-,12
 Bungalow/Brick house,30,-,30
 Semi-pacca house,100,2,102
 Wooden house,447,427,874
 Bamboo,72,97,169
 Hut 2 - 3 years,1,-,1
 Other,8,2,10
 Total,670,528,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,1,-,1
 Bungalow/Brick house,2,-,2
 Semi-pacca house,11,2,13
 Wooden house,142,929,1071
 Bamboo,59,255,314
 Hut 2 - 3 years,-,102,102
 Hut 1 year,-,21,21
 Other,-,6,6
 Total,215,1315,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,120,1,121
 Bungalow/Brick house,45,3,48
 Semi-pacca house,131,7,138
 Wooden house,1589,3394,4983
 Bamboo,442,2678,3120
 Hut 2 - 3 years,3,56,59
 Hut 1 year,4,31,35
 Other,9,9,18
 Total,2343,6179,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,192,3,195
 Bungalow/Brick house,41,6,47
 Semi-pacca house,118,15,133
 Wooden house,1185,4347,5532
 Bamboo,132,1568,1700
 Hut 2 - 3 years,-,15,15
 Hut 1 year,-,6,6
 Other,2,6,8
 Total,1670,5966,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3,1,4
 Bungalow/Brick house,20,4,24
 Semi-pacca house,41,5,46
 Wooden house,545,1064,1609
 Bamboo,194,2079,2273
 Hut 2 - 3 years,-,5,5
 Hut 1 year,-,1,1
 Other,4,11,15
 Total,807,3170,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,93,-,93
 Bungalow/Brick house,53,-,53
 Semi-pacca house,95,26,121
 Wooden house,481,2213,2694
 Bamboo,618,9593,10211
 Hut 2 - 3 years,2,66,68
 Hut 1 year,4,37,41
 Other,4,8,12
 Total,1350,11943,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,2,-,2
 Bungalow/Brick house,14,-,14
 Semi-pacca house,16,2,18
 Wooden house,427,1957,2384
 Bamboo,2,90,92
 Hut 2 - 3 years,1,5,6
 Other,-,5,5
 Total,462,2059,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,3,1,4
 Bungalow/Brick house,1,-,1
 Semi-pacca house,12,2,14
 Wooden house,112,999,1111
 Bamboo,501,4493,4994
 Hut 2 - 3 years,3,85,88
 Hut 1 year,1,10,11
 Total,633,5590,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,520,748,1268
 Bungalow/Brick house,2523,4554,7077
 Semi-pacca house,1117,2366,3483
 Wooden house,8091,20325,28416
 Bamboo,3972,19556,23528
 Hut 2 - 3 years,152,667,819
 Hut 1 year,65,266,331
 Other,56,165,221
 Total,16496,48647,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,58,12,70
 Bungalow/Brick house,507,1265,1772
 Semi-pacca house,246,833,1079
 Wooden house,1023,4561,5584
 Bamboo,1760,14711,16471
 Hut 2 - 3 years,26,242,268
 Hut 1 year,2,39,41
 Other,9,10,19
 Total,3631,21673,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,9,15,24
 Bungalow/Brick house,167,803,970
 Semi-pacca house,83,605,688
 Wooden house,1026,12462,13488
 Bamboo,640,8106,8746
 Hut 2 - 3 years,19,165,184
 Hut 1 year,4,76,80
 Other,5,77,82
 Total,1953,22309,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,369,320,689
 Bungalow/Brick house,2006,2175,4181
 Semi-pacca house,1042,1579,2621
 Wooden house,4881,14680,19561
 Bamboo,5067,16744,21811
 Hut 2 - 3 years,74,488,562
 Hut 1 year,20,87,107
 Other,72,643,715
 Total,13531,36716,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Type residence,Urban/Rural,*,*
*,Urban,Rural,Total
 Condominium/Apartment/Flat,29,13,42
 Bungalow/Brick house,196,1909,2105
 Semi-pacca house,246,1815,2061
 Wooden house,444,8233,8677
 Bamboo,1330,17287,18617
