Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,2400,2465,4865
 Rural,2697,14220,16917
 Total,5097,16685,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,13390,8510,21900
 Rural,12024,23536,35560
 Total,25414,32046,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,3033,2922,5955
 Rural,11632,32940,44572
 Total,14665,35862,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,722,1536,2258
 Rural,2622,18003,20625
 Total,3344,19539,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Mobile phone,*,*
*,Yes,No,Total
 Urban,6104,7723,13827
 Rural,8330,32774,41104
 Total,14434,40497,54931
NotApp :,386,*,*
