Urban_Rural,Sex_Male,Sex_Female,Sex_Total
AREA # 040303,Kanpalet,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2028,2131,4159
 Rural,8285,9049,17334
 Total,10313,11180,21493
AREA # 040304,Paletwat,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3064,3310,6374
 Rural,28040,30557,58597
 Total,31104,33867,64971
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,986,1243,2229
 Rural,4485,5551,10036
 Total,5471,6794,12265
AREA # 040352,Sami(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1468,1564,3032
 Rural,14198,14852,29050
 Total,15666,16416,32082
AREA # 050101,Sagaing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,38551,42881,81432
 Rural,104869,120893,225762
 Total,143420,163774,307194
AREA # 050102,Myinmu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7719,8839,16558
 Rural,41230,49198,90428
 Total,48949,58037,106986
AREA # 050103,Myaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3523,4272,7795
 Rural,44154,54462,98616
 Total,47677,58734,106411
AREA # 050201,Shwebo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,32425,36611,69036
 Rural,76530,89976,166506
 Total,108955,126587,235542
AREA # 050202,Khin U,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5194,6140,11334
 Rural,62735,72388,135123
 Total,67929,78528,146457
AREA # 050203,Wetlet,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4931,5883,10814
 Rural,85158,100244,185402
 Total,90089,106127,196216
AREA # 050204,Kambalu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11976,13046,25022
 Rural,127968,142571,270539
 Total,139944,155617,295561
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5621,6527,12148
 Rural,45504,46435,91939
 Total,51125,52962,104087
AREA # 050206,Ye U,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9580,10878,20458
 Rural,41842,55990,97832
 Total,51422,66868,118290
AREA # 050207,Depayin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2001,2307,4308
 Rural,62395,74112,136507
 Total,64396,76419,140815
AREA # 050208,Tasei,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6472,7889,14361
 Rural,66003,84746,150749
 Total,72475,92635,165110
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5056,5647,10703
 Rural,9625,10937,20562
 Total,14681,16584,31265
AREA # 050301,Monywa,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,97076,110413,207489
 Rural,74875,89731,164606
 Total,171951,200144,372095
AREA # 050302,Butalin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2399,2811,5210
 Rural,52707,65622,118329
 Total,55106,68433,123539
AREA # 050303,Ayartaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4369,5147,9516
 Rural,66365,79888,146253
 Total,70734,85035,155769
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10145,11784,21929
 Rural,38311,45715,84026
 Total,48456,57499,105955
AREA # 050401,Katha,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12932,13800,26732
 Rural,69393,71609,141002
 Total,82325,85409,167734
AREA # 050402,Indaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3898,4631,8529
 Rural,52916,58821,111737
 Total,56814,63452,120266
AREA # 050403,Tigyaing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6395,7140,13535
 Rural,57341,59079,116420
 Total,63736,66219,129955
AREA # 050404,Banmauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2883,3282,6165
