Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
*,Urban,Rural,Total
 None,1304,17602,18906
 Grade 1,438,4841,5279
 Grade 2,650,7493,8143
 Grade 3,1012,11617,12629
 Grade 4,1394,13563,14957
 Grade 5,2816,32026,34842
 Grade 6,1235,6668,7903
 Grade 7,923,4918,5841
 Grade 8,1005,4525,5530
 Grade 9,1292,4644,5936
 Grade 10,1068,2853,3921
 Grade 11,2014,3949,5963
 College,428,1134,1562
 Vocational training,196,353,549
 Undergraduate diploma,64,179,243
 Graduate,1328,2391,3719
 Postgraduate diploma,14,38,52
 Master degree,13,28,41
 PhD,3,3,6
 Other,67,101,168
 Total,17264,118926,136190
NotApp :,13652,*,*
AREA # 130603,Hsipaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1861,60644,62505
 Grade 1,434,7630,8064
 Grade 2,687,9821,10508
 Grade 3,1159,10855,12014
 Grade 4,1515,9612,11127
 Grade 5,2614,16079,18693
 Grade 6,1268,4362,5630
 Grade 7,1142,3602,4744
 Grade 8,1268,3314,4582
 Grade 9,1424,3258,4682
 Grade 10,1671,2340,4011
 Grade 11,1881,2333,4214
 College,573,624,1197
 Vocational training,44,19,63
 Undergraduate diploma,63,60,123
 Graduate,1675,1288,2963
 Postgraduate diploma,37,53,90
 Master degree,9,40,49
 PhD,7,4,11
 Other,34,3171,3205
 Total,19366,139109,158475
NotApp :,17683,*,*
AREA # 130604,Namtu,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1613,12745,14358
 Grade 1,362,1423,1785
 Grade 2,471,1696,2167
 Grade 3,686,2407,3093
 Grade 4,810,2347,3157
 Grade 5,1571,3873,5444
 Grade 6,836,1495,2331
 Grade 7,722,1136,1858
 Grade 8,698,1061,1759
 Grade 9,848,1027,1875
 Grade 10,702,744,1446
 Grade 11,1634,1206,2840
 College,301,195,496
 Vocational training,24,10,34
 Undergraduate diploma,23,37,60
 Graduate,885,414,1299
 Postgraduate diploma,25,27,52
 Master degree,4,3,7
 PhD,1,1,2
 Other,44,998,1042
 Total,12260,32845,45105
NotApp :,5318,*,*
AREA # 130605,Namsan(North),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,262,14617,14879
 Grade 1,102,3013,3115
 Grade 2,143,3695,3838
 Grade 3,244,5210,5454
 Grade 4,299,5624,5923
 Grade 5,448,8560,9008
 Grade 6,270,4118,4388
 Grade 7,239,3459,3698
 Grade 8,232,3355,3587
 Grade 9,276,3532,3808
 Grade 10,358,2153,2511
 Grade 11,377,2029,2406
 College,151,378,529
 Vocational training,4,18,22
 Undergraduate diploma,8,54,62
 Graduate,397,513,910
 Postgraduate diploma,12,12,24
 Master degree,1,3,4
 Other,-,31,31
 Total,3823,60374,64197
NotApp :,8007,*,*
AREA # 130606,Momeik,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,582,5798,6380
 Grade 1,199,1737,1936
 Grade 2,342,2568,2910
 Grade 3,498,4002,4500
 Grade 4,678,4934,5612
 Grade 5,1520,13416,14936
 Grade 6,726,3357,4083
 Grade 7,582,2751,3333
 Grade 8,587,2232,2819
 Grade 9,701,1970,2671
 Grade 10,644,1145,1789
 Grade 11,1166,1892,3058
 College,291,508,799
 Vocational training,9,23,32
 Undergraduate diploma,35,47,82
 Graduate,874,994,1868
 Postgraduate diploma,45,31,76
 Master degree,4,11,15
 PhD,1,2,3
 Other,1,409,410
 Total,9485,47827,57312
NotApp :,6018,*,*
AREA # 130607,Mabane,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,105,2256,2361
 Grade 1,42,1372,1414
 Grade 2,70,1826,1896
 Grade 3,120,2877,2997
 Grade 4,171,3813,3984
 Grade 5,634,13871,14505
 Grade 6,275,2997,3272
 Grade 7,218,2269,2487
 Grade 8,177,2001,2178
 Grade 9,249,2044,2293
 Grade 10,121,1280,1401
 Grade 11,464,1926,2390
 College,75,534,609
 Vocational training,5,40,45
 Undergraduate diploma,30,103,133
 Graduate,272,823,1095
 Postgraduate diploma,7,12,19
 Master degree,-,8,8
 Other,1,102,103
 Total,3036,40154,43190
NotApp :,4208,*,*
AREA # 130608,Manton,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,529,11853,12382
 Grade 1,204,2219,2423
 Grade 2,185,2011,2196
 Grade 3,261,2361,2622
 Grade 4,354,2287,2641
 Grade 5,408,3242,3650
 Grade 6,254,1372,1626
 Grade 7,269,1068,1337
 Grade 8,263,860,1123
 Grade 9,233,871,1104
 Grade 10,218,476,694
 Grade 11,267,614,881
 College,65,80,145
 Vocational training,11,9,20
 Undergraduate diploma,8,21,29
 Graduate,168,86,254
 Postgraduate diploma,3,7,10
 Master degree,4,-,4
 PhD,1,1,2
 Other,2,294,296
 Total,3707,29732,33439
NotApp :,5162,*,*
AREA # 130651,Minengaw(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,471,5830,6301
 Grade 1,85,789,874
 Grade 2,107,880,987
 Grade 3,125,1122,1247
 Grade 4,177,1139,1316
 Grade 5,270,2301,2571
 Grade 6,202,628,830
 Grade 7,139,465,604
 Grade 8,146,398,544
 Grade 9,151,387,538
 Grade 10,80,193,273
 Grade 11,165,173,338
 College,28,35,63
 Vocational training,-,1,1
 Undergraduate diploma,10,7,17
 Graduate,76,62,138
 Postgraduate diploma,6,13,19
 Master degree,1,-,1
 Other,1,11,12
 Total,2240,14434,16674
NotApp :,2227,*,*
AREA # 130652,Minelon(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,347,7702,8049
 Grade 1,87,1211,1298
 Grade 2,107,1371,1478
 Grade 3,166,1981,2147
 Grade 4,223,1761,1984
 Grade 5,352,3239,3591
 Grade 6,173,901,1074
 Grade 7,109,572,681
 Grade 8,107,464,571
 Grade 9,137,506,643
 Grade 10,71,227,298
 Grade 11,114,404,518
 College,41,86,127
 Vocational training,5,5,10
 Undergraduate diploma,3,7,10
 Graduate,83,133,216
 Postgraduate diploma,-,5,5
 Other,5,262,267
 Total,2130,20837,22967
NotApp :,2681,*,*
AREA # 130701,Kunlon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1497,29767,31264
 Grade 1,246,2657,2903
 Grade 2,297,2267,2564
 Grade 3,306,2067,2373
 Grade 4,394,2452,2846
 Grade 5,375,1930,2305
 Grade 6,239,1193,1432
 Grade 7,240,894,1134
 Grade 8,229,833,1062
 Grade 9,230,676,906
 Grade 10,412,798,1210
 Grade 11,82,199,281
 College,121,148,269
 Vocational training,6,6,12
 Undergraduate diploma,8,39,47
 Graduate,298,325,623
 Postgraduate diploma,6,28,34
 Master degree,4,15,19
 PhD,-,1,1
 Other,13,189,202
 Total,5003,46484,51487
NotApp :,7287,*,*
AREA # 130801,Laukine,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4184,29236,33420
 Grade 1,898,4605,5503
 Grade 2,1042,4284,5326
 Grade 3,1453,4295,5748
 Grade 4,1695,3981,5676
 Grade 5,2022,3575,5597
 Grade 6,2571,4225,6796
 Grade 7,1610,1550,3160
 Grade 8,1081,656,1737
 Grade 9,1889,880,2769
 Grade 10,1045,757,1802
 Grade 11,406,307,713
 College,513,210,723
 Vocational training,57,17,74
 Undergraduate diploma,57,43,100
 Graduate,554,400,954
 Postgraduate diploma,30,58,88
 Master degree,8,23,31
 PhD,-,5,5
 Other,17,1,18
 Total,21132,59108,80240
NotApp :,9721,*,*
AREA # 130802,Kongyan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,253,20078,20331
 Grade 1,49,1673,1722
 Grade 2,71,1917,1988
 Grade 3,74,1556,1630
 Grade 4,93,1262,1355
 Grade 5,89,805,894
 Grade 6,87,720,807
 Grade 7,55,245,300
 Grade 8,36,67,103
 Grade 9,45,93,138
 Grade 10,50,27,77
 Grade 11,32,21,53
 College,24,13,37
 Vocational training,4,1,5
 Undergraduate diploma,2,2,4
 Graduate,84,35,119
 Postgraduate diploma,2,15,17
 Master degree,6,-,6
 Total,1056,28530,29586
NotApp :,4186,*,*
AREA # 130851,Chinshwehaw(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,516,840,1356
 Grade 1,80,21,101
 Grade 2,113,203,316
 Grade 3,184,113,297
 Grade 4,225,98,323
 Grade 5,495,104,599
 Grade 6,235,54,289
 Grade 7,190,69,259
 Grade 8,110,9,119
 Grade 9,169,5,174
 Grade 10,172,6,178
 Grade 11,145,2,147
 College,40,1,41
 Vocational training,2,-,2
 Undergraduate diploma,26,-,26
 Graduate,111,9,120
 Postgraduate diploma,4,-,4
 Total,2817,1534,4351
NotApp :,538,*,*
AREA # 130852,Mawhtike(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,105,15051,15156
 Grade 1,17,1648,1665
 Grade 2,31,1727,1758
 Grade 3,22,1504,1526
 Grade 4,19,1135,1154
 Grade 5,14,746,760
 Grade 6,65,1078,1143
 Grade 7,7,317,324
 Grade 8,9,65,74
 Grade 9,15,107,122
 Grade 10,20,67,87
 Grade 11,4,24,28
 College,8,17,25
 Vocational training,1,3,4
 Undergraduate diploma,-,3,3
 Graduate,35,46,81
 Postgraduate diploma,2,7,9
 Master degree,2,-,2
 Other,2,2,4
 Total,378,23547,23925
NotApp :,2365,*,*
AREA # 130901,Hopan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,5256,22893,28149
 Grade 1,801,1411,2212
 Grade 2,836,1433,2269
 Grade 3,984,1481,2465
 Grade 4,1156,1411,2567
 Grade 5,1491,1251,2742
 Grade 6,1060,1047,2107
 Grade 7,744,779,1523
 Grade 8,531,349,880
 Grade 9,711,389,1100
 Grade 10,566,269,835
 Grade 11,457,231,688
 College,195,65,260
 Vocational training,17,7,24
 Undergraduate diploma,36,11,47
 Graduate,347,99,446
 Postgraduate diploma,8,8,16
 Master degree,4,9,13
 PhD,-,1,1
 Other,4,219,223
 Total,15204,33363,48567
NotApp :,6327,*,*
AREA # 130902,Minemaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1868,42571,44439
 Grade 1,418,2527,2945
 Grade 2,347,2799,3146
 Grade 3,409,2813,3222
 Grade 4,379,2075,2454
 Grade 5,305,1506,1811
 Grade 6,297,969,1266
 Grade 7,246,686,932
 Grade 8,156,414,570
 Grade 9,162,276,438
 Grade 10,105,110,215
 Grade 11,54,92,146
 College,37,25,62
 Vocational training,6,6,12
 Undergraduate diploma,5,3,8
 Graduate,59,58,117
 Postgraduate diploma,-,1,1
 Master degree,-,1,1
 PhD,-,2,2
 Other,88,89,177
 Total,4941,57023,61964
NotApp :,8719,*,*
AREA # 130903,Panwine,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1508,64545,66053
 Grade 1,175,3636,3811
 Grade 2,177,3760,3937
 Grade 3,308,3628,3936
 Grade 4,200,2200,2400
 Grade 5,181,1409,1590
 Grade 6,161,1470,1631
 Grade 7,98,682,780
 Grade 8,60,291,351
 Grade 9,49,322,371
 Grade 10,36,152,188
 Grade 11,20,119,139
 College,2,45,47
 Vocational training,4,13,17
 Undergraduate diploma,-,8,8
 Graduate,6,15,21
 Postgraduate diploma,-,2,2
 PhD,4,1,5
 Other,82,560,642
 Total,3071,82858,85929
NotApp :,11168,*,*
AREA # 130952,Panlon(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1540,1391,2931
 Grade 1,158,72,230
 Grade 2,189,95,284
 Grade 3,233,136,369
 Grade 4,167,145,312
 Grade 5,195,159,354
 Grade 6,166,59,225
 Grade 7,91,49,140
 Grade 8,83,34,117
 Grade 9,82,37,119
 Grade 10,51,16,67
 Grade 11,45,22,67
 College,24,-,24
 Vocational training,1,1,2
 Undergraduate diploma,2,-,2
 Graduate,50,7,57
 Other,20,59,79
 Total,3097,2282,5379
NotApp :,827,*,*
AREA # 131001,Makman,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,59,13182,13241
 Grade 1,2,511,513
 Grade 2,9,461,470
 Grade 3,14,489,503
 Grade 4,8,497,505
 Grade 5,20,418,438
 Grade 6,8,217,225
 Grade 7,11,151,162
 Grade 8,22,118,140
 Grade 9,18,135,153
 Grade 10,23,119,142
 Grade 11,7,28,35
 College,8,18,26
 Vocational training,-,9,9
 Undergraduate diploma,11,18,29
 Graduate,40,50,90
 Postgraduate diploma,3,3,6
 Other,-,2,2
 Total,263,16426,16689
NotApp :,3043,*,*
AREA # 131002,Pan San(Pan Kham),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2764,54661,57425
 Grade 1,443,3067,3510
 Grade 2,588,2815,3403
 Grade 3,791,2861,3652
 Grade 4,937,2745,3682
 Grade 5,1886,2458,4344
 Grade 6,1215,1829,3044
 Grade 7,1083,1269,2352
 Grade 8,763,768,1531
 Grade 9,2007,1498,3505
 Grade 10,755,730,1485
 Grade 11,688,624,1312
 College,454,376,830
 Vocational training,54,49,103
 Undergraduate diploma,13,40,53
 Graduate,186,152,338
 Postgraduate diploma,7,15,22
 Master degree,3,7,10
 PhD,2,1,3
 Other,31,1117,1148
 Total,14670,77082,91752
NotApp :,12577,*,*
AREA # 131003,Naphang,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,459,78945,79404
 Grade 1,86,4017,4103
 Grade 2,26,3938,3964
 Grade 3,44,4412,4456
 Grade 4,40,3330,3370
 Grade 5,39,2442,2481
 Grade 6,56,1394,1450
 Grade 7,41,1122,1163
 Grade 8,23,462,485
 Grade 9,23,416,439
 Grade 10,16,257,273
 Grade 11,6,131,137
 College,14,125,139
 Vocational training,-,10,10
 Undergraduate diploma,-,19,19
 Graduate,16,76,92
 Postgraduate diploma,-,1,1
 Master degree,-,1,1
 PhD,-,1,1
 Other,-,177,177
 Total,889,101276,102165
NotApp :,14015,*,*
AREA # 131051,ManKan(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,142,834,976
 Grade 1,30,42,72
 Grade 2,17,35,52
 Grade 3,14,31,45
 Grade 4,26,32,58
 Grade 5,17,26,43
 Grade 6,12,14,26
 Grade 7,14,7,21
 Grade 8,10,3,13
 Grade 9,13,12,25
 Grade 10,3,3,6
 Grade 11,17,4,21
 College,14,2,16
 Undergraduate diploma,4,1,5
 Graduate,32,4,36
 Postgraduate diploma,1,4,5
 Master degree,2,-,2
 Total,368,1054,1422
NotApp :,221,*,*
AREA # 131101,Kengtung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,9383,63136,72519
 Grade 1,421,2196,2617
 Grade 2,1162,4435,5597
 Grade 3,1879,4974,6853
 Grade 4,2155,5392,7547
 Grade 5,3418,7044,10462
 Grade 6,2441,3935,6376
 Grade 7,2072,3342,5414
 Grade 8,2462,3342,5804
 Grade 9,3272,3412,6684
 Grade 10,2649,2925,5574
 Grade 11,3976,2506,6482
 College,1383,1024,2407
 Vocational training,65,73,138
 Undergraduate diploma,223,201,424
 Graduate,3647,1771,5418
 Postgraduate diploma,97,79,176
 Master degree,60,127,187
 PhD,2,12,14
 Other,398,3812,4210
 Total,41165,113738,154903
NotApp :,16717,*,*
AREA # 131102,Minekat,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,488,33364,33852
 Grade 1,100,750,850
 Grade 2,67,455,522
 Grade 3,152,363,515
 Grade 4,131,273,404
 Grade 5,288,439,727
 Grade 6,150,193,343
 Grade 7,145,98,243
 Grade 8,163,82,245
 Grade 9,196,143,339
 Grade 10,147,67,214
 Grade 11,227,63,290
 College,86,31,117
 Vocational training,3,2,5
 Undergraduate diploma,19,6,25
 Graduate,225,27,252
 Postgraduate diploma,4,12,16
 Master degree,8,-,8
 Other,4,524,528
 Total,2603,36892,39495
NotApp :,5033,*,*
AREA # 131103,Mineyan,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1232,32308,33540
 Grade 1,115,2398,2513
 Grade 2,162,2030,2192
 Grade 3,259,1501,1760
 Grade 4,259,1250,1509
 Grade 5,308,817,1125
 Grade 6,222,682,904
 Grade 7,226,399,625
 Grade 8,224,213,437
 Grade 9,268,263,531
 Grade 10,149,148,297
 Grade 11,306,82,388
 College,75,92,167
 Vocational training,6,15,21
 Undergraduate diploma,15,11,26
 Graduate,211,41,252
 Postgraduate diploma,7,1,8
 Master degree,9,3,12
 PhD,-,1,1
 Other,475,404,879
 Total,4528,42659,47187
NotApp :,5404,*,*
AREA # 131104,Minelar,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,4363,13857,18220
 Grade 1,481,836,1317
 Grade 2,482,796,1278
 Grade 3,826,815,1641
 Grade 4,886,629,1515
 Grade 5,1217,750,1967
 Grade 6,2615,926,3541
 Grade 7,962,246,1208
 Grade 8,1616,316,1932
 Grade 9,3168,671,3839
 Grade 10,753,130,883
 Grade 11,769,95,864
 College,532,191,723
 Vocational training,64,10,74
 Undergraduate diploma,67,15,82
 Graduate,234,17,251
 Postgraduate diploma,20,15,35
 Master degree,3,4,7
 PhD,4,6,10
 Other,431,177,608
 Total,19493,20502,39995
NotApp :,3073,*,*
AREA # 131151,Mine Pauk(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,-,36387,36387
 Grade 1,-,1935,1935
 Grade 2,-,1630,1630
 Grade 3,-,1576,1576
 Grade 4,-,1243,1243
 Grade 5,-,1215,1215
 Grade 6,-,1680,1680
 Grade 7,-,693,693
 Grade 8,-,346,346
 Grade 9,-,770,770
 Grade 10,-,386,386
 Grade 11,-,156,156
 College,-,136,136
 Vocational training,-,15,15
 Undergraduate diploma,-,11,11
 Graduate,-,32,32
 Other,-,772,772
 Total,-,48983,48983
NotApp :,6071,*,*
AREA # 131201,Minesat,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1232,43189,44421
 Grade 1,260,4701,4961
 Grade 2,385,3341,3726
 Grade 3,400,2847,3247
 Grade 4,674,3103,3777
 Grade 5,604,2318,2922
 Grade 6,437,1646,2083
 Grade 7,545,1211,1756
 Grade 8,586,1236,1822
 Grade 9,404,1018,1422
 Grade 10,901,1139,2040
 Grade 11,166,377,543
 College,176,194,370
 Vocational training,9,19,28
 Undergraduate diploma,10,37,47
 Graduate,503,415,918
 Postgraduate diploma,7,13,20
 Master degree,20,8,28
 PhD,3,1,4
 Other,8,684,692
 Total,7330,67497,74827
NotApp :,11726,*,*
AREA # 131202,Minepyin,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1720,32851,34571
 Grade 1,156,1225,1381
 Grade 2,232,989,1221
 Grade 3,363,989,1352
 Grade 4,412,993,1405
 Grade 5,558,1265,1823
 Grade 6,344,508,852
 Grade 7,348,401,749
 Grade 8,397,341,738
 Grade 9,345,328,673
 Grade 10,604,318,922
 Grade 11,178,80,258
 College,107,30,137
 Vocational training,10,9,19
 Undergraduate diploma,15,7,22
 Graduate,328,105,433
 Postgraduate diploma,17,17,34
 Master degree,11,1,12
 PhD,1,-,1
 Other,76,568,644
 Total,6222,41025,47247
NotApp :,6902,*,*
AREA # 131203,Minetung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1143,9073,10216
 Grade 1,206,464,670
 Grade 2,272,600,872
 Grade 3,287,675,962
 Grade 4,566,769,1335
 Grade 5,464,868,1332
 Grade 6,277,321,598
 Grade 7,309,245,554
 Grade 8,394,246,640
 Grade 9,282,186,468
 Grade 10,583,229,812
 Grade 11,101,59,160
 College,110,30,140
 Vocational training,9,5,14
 Undergraduate diploma,28,13,41
 Graduate,294,74,368
 Postgraduate diploma,5,1,6
 Master degree,6,6,12
 Other,3,12,15
 Total,5339,13876,19215
NotApp :,2779,*,*
AREA # 131251,Minekoke(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,619,11600,12219
 Grade 1,43,320,363
 Grade 2,87,275,362
 Grade 3,84,256,340
 Grade 4,78,383,461
 Grade 5,69,256,325
 Grade 6,37,160,197
 Grade 7,40,133,173
 Grade 8,39,145,184
 Grade 9,25,122,147
 Grade 10,45,134,179
 Grade 11,14,23,37
 College,9,9,18
 Vocational training,1,-,1
 Undergraduate diploma,2,11,13
 Graduate,47,68,115
 Postgraduate diploma,4,4,8
 Master degree,2,9,11
 Other,34,136,170
 Total,1279,14044,15323
NotApp :,2773,*,*
AREA # 131252,Tontar(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,639,8868,9507
 Grade 1,62,231,293
 Grade 2,62,215,277
 Grade 3,108,215,323
 Grade 4,110,196,306
 Grade 5,205,358,563
 Grade 6,70,172,242
 Grade 7,92,115,207
 Grade 8,80,95,175
 Grade 9,68,115,183
 Grade 10,117,93,210
 Grade 11,43,64,107
 College,25,4,29
 Vocational training,2,5,7
 Undergraduate diploma,11,3,14
 Graduate,75,49,124
 Postgraduate diploma,7,1,8
 Master degree,4,-,4
 Other,91,8,99
 Total,1871,10807,12678
NotApp :,2006,*,*
AREA # 131253,Ponparkyin(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1386,21716,23102
 Grade 1,74,2331,2405
 Grade 2,136,1975,2111
 Grade 3,169,1925,2094
 Grade 4,181,1575,1756
 Grade 5,196,1503,1699
 Grade 6,149,1268,1417
 Grade 7,93,845,938
 Grade 8,114,637,751
 Grade 9,121,745,866
 Grade 10,169,601,770
 Grade 11,49,224,273
 College,19,214,233
 Vocational training,-,25,25
 Undergraduate diploma,7,20,27
 Graduate,81,95,176
 Postgraduate diploma,-,23,23
 Master degree,2,3,5
 Other,7,41,48
 Total,2953,35766,38719
NotApp :,5100,*,*
AREA # 131254,Monehta(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,159,2301,2460
 Grade 1,3,197,200
 Grade 2,13,202,215
 Grade 3,21,191,212
 Grade 4,12,100,112
 Grade 5,29,78,107
 Grade 6,12,67,79
 Grade 7,15,37,52
 Grade 8,14,17,31
 Grade 9,30,13,43
 Grade 10,20,18,38
 Grade 11,7,5,12
 College,1,6,7
 Vocational training,2,1,3
 Undergraduate diploma,2,1,3
 Graduate,26,-,26
 Postgraduate diploma,4,-,4
 Other,1,52,53
 Total,371,3286,3657
NotApp :,619,*,*
AREA # 131301,Tachileik,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,7919,39004,46923
 Grade 1,1146,2927,4073
 Grade 2,1527,3191,4718
 Grade 3,2266,4020,6286
 Grade 4,3245,4522,7767
 Grade 5,5256,7356,12612
 Grade 6,3105,3922,7027
 Grade 7,2785,3193,5978
 Grade 8,3256,3220,6476
 Grade 9,3725,3767,7492
 Grade 10,4010,3288,7298
 Grade 11,4306,3650,7956
 College,1320,906,2226
 Vocational training,22,45,67
 Undergraduate diploma,130,146,276
 Graduate,2918,1644,4562
 Postgraduate diploma,54,10,64
 Master degree,36,27,63
 PhD,2,5,7
 Other,391,2298,2689
 Total,47419,87141,134560
NotApp :,13461,*,*
AREA # 131351,Talay(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,733,6524,7257
 Grade 1,88,485,573
 Grade 2,130,480,610
 Grade 3,202,658,860
 Grade 4,217,617,834
 Grade 5,383,778,1161
 Grade 6,232,586,818
 Grade 7,232,428,660
 Grade 8,228,467,695
 Grade 9,262,448,710
 Grade 10,198,242,440
 Grade 11,304,440,744
 College,20,54,74
 Vocational training,1,10,11
 Undergraduate diploma,15,12,27
 Graduate,177,107,284
 Postgraduate diploma,3,1,4
 Master degree,6,4,10
 PhD,1,-,1
 Other,210,573,783
 Total,3642,12914,16556
NotApp :,1692,*,*
AREA # 131352,Kenglat(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1851,4466,6317
 Grade 1,87,353,440
 Grade 2,82,326,408
 Grade 3,106,359,465
 Grade 4,143,262,405
 Grade 5,191,432,623
 Grade 6,115,179,294
 Grade 7,78,133,211
 Grade 8,72,132,204
 Grade 9,69,111,180
 Grade 10,59,74,133
 Grade 11,77,79,156
 College,12,12,24
 Vocational training,1,3,4
 Undergraduate diploma,4,4,8
 Graduate,54,35,89
 Postgraduate diploma,-,1,1
 Master degree,1,-,1
 Other,-,5,5
 Total,3002,6966,9968
NotApp :,1076,*,*
AREA # 131401,Minephyat,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1630,12279,13909
 Grade 1,193,944,1137
 Grade 2,200,792,992
 Grade 3,252,992,1244
 Grade 4,268,874,1142
 Grade 5,414,1147,1561
 Grade 6,267,649,916
 Grade 7,266,564,830
 Grade 8,309,519,828
 Grade 9,325,502,827
 Grade 10,462,410,872
 Grade 11,411,374,785
 College,102,94,196
 Vocational training,6,3,9
 Undergraduate diploma,5,15,20
 Graduate,321,241,562
 Postgraduate diploma,10,17,27
 Master degree,11,18,29
 Other,96,734,830
 Total,5548,21168,26716
NotApp :,3840,*,*
AREA # 131402,Mineyaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1948,14962,16910
 Grade 1,121,663,784
 Grade 2,139,590,729
 Grade 3,184,720,904
 Grade 4,216,665,881
 Grade 5,230,833,1063
 Grade 6,186,408,594
 Grade 7,183,371,554
 Grade 8,221,322,543
 Grade 9,278,290,568
 Grade 10,283,291,574
 Grade 11,278,243,521
 College,66,67,133
 Vocational training,5,4,9
 Undergraduate diploma,7,11,18
 Graduate,190,185,375
 Postgraduate diploma,1,8,9
 Master degree,3,6,9
 PhD,-,1,1
 Other,4,144,148
 Total,4543,20784,25327
NotApp :,2232,*,*
AREA # 131451,Mineyu(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,461,32999,33460
 Grade 1,17,1579,1596
 Grade 2,34,1693,1727
 Grade 3,26,1771,1797
 Grade 4,41,1655,1696
 Grade 5,51,1572,1623
 Grade 6,31,1293,1324
 Grade 7,36,911,947
 Grade 8,23,618,641
 Grade 9,27,1086,1113
 Grade 10,37,465,502
 Grade 11,53,331,384
 College,18,305,323
 Vocational training,-,48,48
 Undergraduate diploma,1,14,15
 Graduate,38,106,144
 Postgraduate diploma,2,9,11
 Master degree,1,1,2
 Other,-,42,42
 Total,897,46498,47395
NotApp :,4936,*,*
AREA # 140101,Kangyidaunt,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,715,13076,13791
 Grade 1,289,7295,7584
 Grade 2,495,10690,11185
 Grade 3,788,16336,17124
 Grade 4,1063,18511,19574
 Grade 5,2025,40850,42875
 Grade 6,648,8637,9285
 Grade 7,506,6151,6657
 Grade 8,502,5802,6304
 Grade 9,614,5962,6576
 Grade 10,440,4232,4672
 Grade 11,998,5897,6895
 College,249,1573,1822
 Vocational training,26,382,408
 Undergraduate diploma,18,175,193
 Graduate,747,3040,3787
 Postgraduate diploma,29,162,191
 Master degree,23,116,139
 PhD,5,18,23
 Other,15,2212,2227
 Total,10195,151117,161312
NotApp :,16678,*,*
AREA # 140102,Kyaungon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,936,12100,13036
 Grade 1,375,6570,6945
 Grade 2,557,9184,9741
 Grade 3,851,13677,14528
 Grade 4,1051,16308,17359
 Grade 5,2738,34410,37148
 Grade 6,859,7436,8295
 Grade 7,765,5920,6685
 Grade 8,872,6027,6899
 Grade 9,1111,5749,6860
 Grade 10,945,4612,5557
 Grade 11,1821,5859,7680
 College,508,1405,1913
 Vocational training,24,69,93
