Highest_grade,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Master degree,10,27,37
 PhD,-,1,1
 Other,63,698,761
 Total,17232,64323,81555
NotApp :,9136,*,*
AREA # 010303,Momauk,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,546,4444,4990
 Grade 1,467,1319,1786
 Grade 2,556,1782,2338
 Grade 3,758,2551,3309
 Grade 4,702,3065,3767
 Grade 5,1159,3719,4878
 Grade 6,751,2103,2854
 Grade 7,654,1880,2534
 Grade 8,651,1696,2347
 Grade 9,835,1646,2481
 Grade 10,652,1065,1717
 Grade 11,971,1142,2113
 College,243,381,624
 Vocational training,12,14,26
 Undergraduate diploma,20,28,48
 Graduate,561,565,1126
 Postgraduate diploma,8,9,17
 Master degree,6,24,30
 Other,2,652,654
 Total,9554,28085,37639
NotApp :,3923,*,*
AREA # 010304,Mansi,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,530,5494,6024
 Grade 1,262,1952,2214
 Grade 2,345,2662,3007
 Grade 3,494,4168,4662
 Grade 4,514,4691,5205
 Grade 5,903,6929,7832
 Grade 6,608,3361,3969
 Grade 7,519,2746,3265
 Grade 8,557,2365,2922
 Grade 9,592,2162,2754
 Grade 10,405,1425,1830
 Grade 11,879,1055,1934
 College,213,457,670
 Vocational training,5,13,18
 Undergraduate diploma,26,39,65
 Graduate,454,506,960
 Postgraduate diploma,6,15,21
 Master degree,9,4,13
 PhD,-,3,3
 Other,2,576,578
 Total,7323,40623,47946
NotApp :,4999,*,*
AREA # 010351,Myohla(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,90,108,198
 Grade 1,52,72,124
 Grade 2,78,113,191
 Grade 3,136,149,285
 Grade 4,144,219,363
 Grade 5,501,618,1119
 Grade 6,123,119,242
 Grade 7,113,124,237
 Grade 8,86,132,218
 Grade 9,70,94,164
 Grade 10,48,136,184
 Grade 11,89,33,122
 College,29,32,61
 Vocational training,3,-,3
 Undergraduate diploma,2,2,4
 Graduate,33,36,69
 Postgraduate diploma,-,1,1
 Other,23,9,32
 Total,1620,1997,3617
NotApp :,476,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1794,113,1907
 Grade 1,514,59,573
 Grade 2,585,160,745
 Grade 3,673,171,844
 Grade 4,540,176,716
 Grade 5,722,220,942
 Grade 6,491,136,627
 Grade 7,465,146,611
 Grade 8,346,98,444
 Grade 9,397,100,497
 Grade 10,245,89,334
 Grade 11,375,60,435
 College,120,6,126
 Vocational training,3,-,3
 Undergraduate diploma,10,-,10
 Graduate,251,10,261
 Postgraduate diploma,2,-,2
 Master degree,6,-,6
 PhD,1,-,1
 Other,40,1,41
 Total,7580,1545,9125
NotApp :,914,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,132,1955,2087
 Grade 1,51,429,480
 Grade 2,72,588,660
 Grade 3,135,853,988
 Grade 4,136,905,1041
 Grade 5,224,1103,1327
 Grade 6,128,631,759
 Grade 7,119,489,608
 Grade 8,129,442,571
 Grade 9,153,394,547
 Grade 10,153,215,368
 Grade 11,119,187,306
 College,40,61,101
 Vocational training,-,1,1
 Undergraduate diploma,5,11,16
 Graduate,89,90,179
 Postgraduate diploma,1,1,2
 Master degree,1,-,1
 Other,12,155,167
 Total,1699,8510,10209
NotApp :,1104,*,*
AREA # 010401,Putao,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,1325,5540,6865
 Grade 1,495,1973,2468
 Grade 2,574,2287,2861
 Grade 3,685,3261,3946
 Grade 4,791,3506,4297
 Grade 5,1533,5305,6838
 Grade 6,1054,3548,4602
 Grade 7,881,2556,3437
 Grade 8,964,2468,3432
 Grade 9,1345,2796,4141
 Grade 10,1081,1970,3051
 Grade 11,2172,2748,4920
 College,382,234,616
 Vocational training,15,12,27
 Undergraduate diploma,44,67,111
 Graduate,911,359,1270
 Postgraduate diploma,19,10,29
 Master degree,46,9,55
 PhD,3,1,4
 Other,7,17,24
 Total,14327,38667,52994
NotApp :,8081,*,*
AREA # 010402,Sumprabum,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,108,315,423
 Grade 1,48,87,135
 Grade 2,42,104,146
 Grade 3,66,119,185
 Grade 4,63,115,178
 Grade 5,100,122,222
 Grade 6,59,97,156
 Grade 7,66,47,113
 Grade 8,78,58,136
 Grade 9,77,49,126
 Grade 10,109,44,153
 Grade 11,113,35,148
 College,27,2,29
 Vocational training,4,2,6
 Undergraduate diploma,1,-,1
 Graduate,75,8,83
 Postgraduate diploma,1,-,1
 Master degree,1,-,1
 Total,1038,1204,2242
NotApp :,304,*,*
AREA # 010403,Machanbaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,172,861,1033
 Grade 1,97,391,488
 Grade 2,108,421,529
 Grade 3,105,492,597
 Grade 4,168,685,853
 Grade 5,186,546,732
 Grade 6,108,383,491
 Grade 7,124,407,531
 Grade 8,168,395,563
 Grade 9,171,378,549
 Grade 10,339,380,719
 Grade 11,42,96,138
 College,41,14,55
 Vocational training,14,2,16
 Undergraduate diploma,19,18,37
 Graduate,181,66,247
 Postgraduate diploma,5,5,10
 Master degree,6,-,6
 PhD,-,1,1
 Other,1,5,6
 Total,2055,5546,7601
NotApp :,1257,*,*
AREA # 010404,Khaunglanphoo,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,16,1824,1840
 Grade 1,22,404,426
 Grade 2,20,321,341
 Grade 3,23,485,508
 Grade 4,41,714,755
 Grade 5,23,1337,1360
 Grade 6,23,879,902
 Grade 7,27,874,901
 Grade 8,26,958,984
 Grade 9,36,1085,1121
 Grade 10,23,936,959
 Grade 11,74,652,726
 College,9,7,16
 Undergraduate diploma,6,7,13
 Graduate,26,9,35
 Other,-,10,10
 Total,395,10502,10897
NotApp :,758,*,*
AREA # 010405,Naungmoon,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,113,242,355
 Grade 1,67,179,246
 Grade 2,74,191,265
 Grade 3,106,186,292
 Grade 4,96,224,320
 Grade 5,177,363,540
 Grade 6,103,248,351
 Grade 7,135,210,345
 Grade 8,104,205,309
 Grade 9,168,206,374
 Grade 10,253,225,478
 Grade 11,328,251,579
 College,38,11,49
 Vocational training,4,-,4
 Undergraduate diploma,5,1,6
 Graduate,94,10,104
 Postgraduate diploma,-,2,2
 Master degree,-,1,1
 PhD,-,1,1
 Other,1,5,6
 Total,1866,2761,4627
NotApp :,738,*,*
AREA # 010451,Pannandin(ST),*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,10,302,312
 Grade 1,5,111,116
 Grade 2,8,103,111
 Grade 3,10,125,135
 Grade 4,15,130,145
 Grade 5,8,196,204
 Grade 6,10,83,93
 Grade 7,3,63,66
 Grade 8,5,64,69
 Grade 9,4,53,57
 Grade 10,18,90,108
 Grade 11,8,26,34
 College,1,4,5
 Graduate,1,7,8
 Total,106,1357,1463
NotApp :,295,*,*
AREA # 020101,Loikaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,2859,12120,14979
 Grade 1,1220,3452,4672
 Grade 2,1510,3874,5384
 Grade 3,2213,5190,7403
 Grade 4,2763,6075,8838
 Grade 5,5206,8794,14000
 Grade 6,2831,4653,7484
 Grade 7,2601,4158,6759
 Grade 8,2969,4040,7009
 Grade 9,3977,4260,8237
 Grade 10,3805,3307,7112
 Grade 11,6654,4496,11150
 College,2235,1128,3363
 Vocational training,341,145,486
 Undergraduate diploma,242,175,417
 Graduate,5296,1960,7256
 Postgraduate diploma,153,36,189
 Master degree,118,59,177
 PhD,29,11,40
 Other,48,156,204
 Total,47070,68089,115159
NotApp :,13242,*,*
AREA # 020102,Dimawso,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,581,10923,11504
 Grade 1,220,3558,3778
 Grade 2,267,4055,4322
 Grade 3,322,5194,5516
 Grade 4,348,5947,6295
 Grade 5,450,7711,8161
 Grade 6,293,5036,5329
 Grade 7,310,4086,4396
 Grade 8,325,3863,4188
 Grade 9,367,3945,4312
 Grade 10,649,3183,3832
 Grade 11,326,4219,4545
 College,124,634,758
 Vocational training,26,91,117
 Undergraduate diploma,36,148,184
 Graduate,292,1117,1409
 Postgraduate diploma,6,38,44
 Master degree,2,31,33
 PhD,-,8,8
 Other,2,42,44
 Total,4946,63829,68775
NotApp :,10426,*,*
AREA # 020103,Phruso,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,417,5769,6186
 Grade 1,208,1600,1808
 Grade 2,148,1748,1896
 Grade 3,230,2096,2326
 Grade 4,246,2121,2367
 Grade 5,378,2305,2683
 Grade 6,260,1322,1582
 Grade 7,217,928,1145
 Grade 8,250,891,1141
 Grade 9,306,921,1227
 Grade 10,206,677,883
 Grade 11,550,727,1277
 College,98,103,201
 Vocational training,8,13,21
 Undergraduate diploma,19,25,44
 Graduate,229,165,394
 Postgraduate diploma,2,4,6
 Master degree,19,11,30
 PhD,1,1,2
 Other,-,6,6
 Total,3792,21433,25225
NotApp :,4149,*,*
AREA # 020104,Shardaw,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,340,2282,2622
 Grade 1,55,275,330
 Grade 2,57,269,326
 Grade 3,81,304,385
 Grade 4,70,352,422
 Grade 5,133,350,483
 Grade 6,73,169,242
 Grade 7,96,130,226
 Grade 8,68,68,136
 Grade 9,99,92,191
 Grade 10,64,50,114
 Grade 11,155,79,234
 College,57,14,71
 Vocational training,6,-,6
 Undergraduate diploma,7,-,7
 Graduate,79,9,88
 Postgraduate diploma,1,-,1
 Other,-,21,21
 Total,1441,4464,5905
NotApp :,837,*,*
AREA # 020201,Bawlakhe,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,398,466,864
 Grade 1,135,266,401
 Grade 2,147,322,469
 Grade 3,218,459,677
 Grade 4,333,390,723
 Grade 5,432,643,1075
 Grade 6,227,291,518
 Grade 7,221,232,453
 Grade 8,307,181,488
 Grade 9,239,230,469
 Grade 10,513,182,695
 Grade 11,152,79,231
 College,58,15,73
 Vocational training,10,6,16
 Undergraduate diploma,37,8,45
 Graduate,337,30,367
 Postgraduate diploma,4,1,5
 Master degree,17,1,18
 PhD,1,-,1
 Other,20,71,91
 Total,3806,3873,7679
NotApp :,801,*,*
AREA # 020202,Parsaung,*,*
Highest grade,Urban/Rural,*,*
*,Urban,Rural,Total
 None,229,2657,2886
 Grade 1,88,1114,1202
 Grade 2,116,1255,1371
 Grade 3,152,1768,1920
 Grade 4,179,1772,1951
 Grade 5,389,2941,3330
 Grade 6,196,1584,1780
 Grade 7,173,1179,1352
 Grade 8,170,1182,1352
 Grade 9,288,1372,1660
 Grade 10,206,921,1127
 Grade 11,331,1400,1731
 College,80,192,272
 Vocational training,16,14,30
 Undergraduate diploma,5,17,22
 Graduate,207,203,410
 Postgraduate diploma,2,7,9
 Master degree,6,6,12
 PhD,2,-,2
 Other,24,104,128
 Total,2859,19688,22547
