Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total
 Rural,101,17555,17656
 Total,102,18766,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,4568,4569
 Rural,196,26638,26834
 Total,197,31206,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2590,2590
 Rural,5,11610,11615
 Total,5,14200,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,1462,1469
 Rural,58,20373,20431
 Total,65,21835,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,17,25704,25721
 Rural,159,46889,47048
 Total,176,72593,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,45,1908,1953
 Rural,532,9250,9782
 Total,577,11158,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,25,811,836
 Rural,900,20322,21222
 Total,925,21133,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,8985,8989
 Rural,20,2977,2997
 Total,24,11962,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,308,308
 Rural,5,2784,2789
 Total,5,3092,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,2837,2838
 Rural,12,4658,4670
 Total,13,7495,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,83,1741,1824
 Rural,736,7785,8521
 Total,819,9526,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,90,1852,1942
 Rural,762,17542,18304
 Total,852,19394,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,136,2047,2183
 Rural,1041,4137,5178
 Total,1177,6184,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,123,3452,3575
 Rural,2329,29839,32168
 Total,2452,33291,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,253,253
 Rural,24,1379,1403
 Total,24,1632,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,538,538
 Rural,13,6426,6439
 Total,13,6964,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,374,375
 Rural,54,1139,1193
 Total,55,1513,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,9,201,210
 Rural,-,100,100
 Total,9,301,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,286,286
 Rural,-,908,908
 Total,-,1194,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,-,633,633
 Total,-,761,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,338,338
 Rural,1,2010,2011
 Total,1,2348,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,1,3753,3754
 Total,1,3922,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,1,1076,1077
 Rural,117,28338,28455
 Total,118,29414,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,1222,1222
 Rural,295,24950,25245
 Total,295,26172,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,931,931
 Rural,23,31408,31431
 Total,23,32339,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,10,1128,1138
 Rural,442,27643,28085
 Total,452,28771,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,140,15242,15382
 Rural,176,9385,9561
 Total,316,24627,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,10,1230,1240
 Rural,1430,23065,24495
 Total,1440,24295,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,57,2350,2407
 Rural,765,19702,20467
 Total,822,22052,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,14,1063,1077
 Rural,850,20146,20996
 Total,864,21209,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,87,409,496
 Rural,61,3633,3694
 Total,148,4042,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,617,624
 Rural,65,3588,3653
 Total,72,4205,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,566,20982,21548
 Rural,1658,31143,32801
 Total,2224,52125,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,100,1042,1142
 Rural,8088,23758,31846
 Total,8188,24800,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,313,3258,3571
 Rural,1251,13703,14954
 Total,1564,16961,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,35,1091,1126
 Rural,1308,17495,18803
 Total,1343,18586,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,8,1203,1211
 Rural,415,5502,5917
 Total,423,6705,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,485,12095,12580
 Rural,1361,11540,12901
 Total,1846,23635,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,47,1000,1047
 Rural,1837,5992,7829
 Total,1884,6992,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,20,2335,2355
 Rural,193,2317,2510
 Total,213,4652,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,52,663,715
 Rural,501,1888,2389
 Total,553,2551,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,13,273,286
 Rural,600,2876,3476
 Total,613,3149,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,61,54831,54892
 Rural,475,51765,52240
 Total,536,106596,107132
NotApp :,1161,*,*
AREA # 070102,Tanatpin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,27,3602,3629
 Rural,2861,26037,28898
 Total,2888,29639,32527
NotApp :,222,*,*
AREA # 070103,Kawa,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,70,4184,4254
 Rural,2835,38986,41821
 Total,2905,43170,46075
NotApp :,248,*,*
AREA # 070104,Waw,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,37,5009,5046
 Rural,1652,30385,32037
 Total,1689,35394,37083
NotApp :,296,*,*
AREA # 070105,Nyaunglebin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,96,12966,13062
 Rural,642,31058,31700
 Total,738,44024,44762
NotApp :,311,*,*
AREA # 070106,Kyauktaga,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,6873,6873
 Rural,133,44642,44775
 Total,133,51515,51648
NotApp :,363,*,*
AREA # 070107,Daik U,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,39,8701,8740
 Rural,1198,35815,37013
 Total,1237,44516,45753
NotApp :,339,*,*
AREA # 070108,Shwegyin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,147,4718,4865
 Rural,510,16407,16917
 Total,657,21125,21782
NotApp :,240,*,*
AREA # 070201,Toungoo,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,7,21893,21900
 Rural,109,35451,35560
 Total,116,57344,57460
NotApp :,871,*,*
AREA # 070202,Yaedashe,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,5951,5955
 Rural,96,44476,44572
 Total,100,50427,50527
NotApp :,460,*,*
AREA # 070203,Kyaukkyi,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,-,2258,2258
 Rural,60,20565,20625
 Total,60,22823,22883
NotApp :,203,*,*
AREA # 070204,Pyu,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,28,13799,13827
 Rural,202,40902,41104
 Total,230,54701,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,5,3204,3209
 Rural,196,33465,33661
 Total,201,36669,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,4,2372,2376
 Rural,69,24336,24405
 Total,73,26708,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Motorboat,*,*
*,Yes,No,Total
 Urban,35,28780,28815
 Rural,43,29699,29742
 Total,78,58479,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
