Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3,1209,1212
 Rural,24,17632,17656
 Total,27,18841,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,448,4121,4569
 Rural,387,26447,26834
 Total,835,30568,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,468,2122,2590
 Rural,205,11410,11615
 Total,673,13532,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,28,1441,1469
 Rural,15,20416,20431
 Total,43,21857,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2265,23456,25721
 Rural,967,46081,47048
 Total,3232,69537,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,101,1852,1953
 Rural,44,9738,9782
 Total,145,11590,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4,832,836
 Rural,12,21210,21222
 Total,16,22042,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,650,8339,8989
 Rural,13,2984,2997
 Total,663,11323,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,5,303,308
 Rural,5,2784,2789
 Total,10,3087,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,84,2754,2838
 Rural,41,4629,4670
 Total,125,7383,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,244,1580,1824
 Rural,62,8459,8521
 Total,306,10039,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,17,1925,1942
 Rural,36,18268,18304
 Total,53,20193,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,49,2134,2183
 Rural,22,5156,5178
 Total,71,7290,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,132,3443,3575
 Rural,199,31969,32168
 Total,331,35412,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,253,253
 Rural,1,1402,1403
 Total,1,1655,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,538,538
 Rural,2,6437,6439
 Total,2,6975,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3,372,375
 Rural,-,1193,1193
 Total,3,1565,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,209,210
 Rural,-,100,100
 Total,1,309,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,285,286
 Rural,1,907,908
 Total,2,1192,1194
NotApp :,10,*,*
AREA # 050853,Htanparkway(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,128,128
 Rural,-,633,633
 Total,-,761,761
NotApp :,9,*,*
AREA # 050854,Pansaung(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,1,337,338
 Rural,2,2009,2011
 Total,3,2346,2349
NotApp :,5,*,*
AREA # 050855,Donhee(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,-,169,169
 Rural,-,3754,3754
 Total,-,3923,3923
NotApp :,10,*,*
AREA # 050901,Yinmarpin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,167,910,1077
 Rural,405,28050,28455
 Total,572,28960,29532
NotApp :,265,*,*
AREA # 050902,Salingyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,133,1089,1222
 Rural,871,24374,25245
 Total,1004,25463,26467
NotApp :,384,*,*
AREA # 050903,Palae,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,105,826,931
 Rural,577,30854,31431
 Total,682,31680,32362
NotApp :,338,*,*
AREA # 050904,Kani,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,131,1007,1138
 Rural,100,27985,28085
 Total,231,28992,29223
NotApp :,351,*,*
AREA # 060101,Dawei,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3074,12308,15382
 Rural,468,9093,9561
 Total,3542,21401,24943
NotApp :,551,*,*
AREA # 060102,Lounglon,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,276,964,1240
 Rural,1321,23174,24495
 Total,1597,24138,25735
NotApp :,291,*,*
AREA # 060103,Thayetchaung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,392,2015,2407
 Rural,271,20196,20467
 Total,663,22211,22874
NotApp :,255,*,*
AREA # 060104,Yebyu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,177,900,1077
 Rural,212,20784,20996
 Total,389,21684,22073
NotApp :,316,*,*
AREA # 060151,Myitta(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,494,496
 Rural,5,3689,3694
 Total,7,4183,4190
NotApp :,72,*,*
AREA # 060152,Kaleinaung(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,7,617,624
 Rural,21,3632,3653
 Total,28,4249,4277
NotApp :,141,*,*
AREA # 060201,Myeik,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,4325,17223,21548
 Rural,2018,30783,32801
 Total,6343,48006,54349
NotApp :,763,*,*
AREA # 060202,Kyunsu,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,261,881,1142
 Rural,211,31635,31846
 Total,472,32516,32988
NotApp :,330,*,*
AREA # 060203,Palaw,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,271,3300,3571
 Rural,287,14667,14954
 Total,558,17967,18525
NotApp :,178,*,*
AREA # 060204,Tanintharyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,342,784,1126
 Rural,101,18702,18803
 Total,443,19486,19929
NotApp :,325,*,*
AREA # 060251,Palauk(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,108,1103,1211
 Rural,56,5861,5917
 Total,164,6964,7128
NotApp :,45,*,*
AREA # 060301,Kawthoung,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,799,11781,12580
 Rural,206,12695,12901
 Total,1005,24476,25481
NotApp :,367,*,*
AREA # 060302,Bokepyin,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,209,838,1047
 Rural,170,7659,7829
 Total,379,8497,8876
NotApp :,187,*,*
AREA # 060351,Khamaukgyi,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,25,2330,2355
 Rural,36,2474,2510
 Total,61,4804,4865
NotApp :,126,*,*
AREA # 060352,Pyigyimandaing,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,2,713,715
 Rural,1,2388,2389
 Total,3,3101,3104
NotApp :,91,*,*
AREA # 060353,Karathuri(ST),*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
 Urban,3,283,286
 Rural,5,3471,3476
 Total,8,3754,3762
NotApp :,102,*,*
AREA # 070101,Bago,*,*
Urban/Rural,Internet at home,*,*
*,Yes,No,Total
