Highest_grade,Sex_Male,Sex_Female,Sex_Total
 Grade 4,2835,2926,5761
 Grade 5,3679,2823,6502
 Grade 6,1471,1288,2759
 Grade 7,1229,1111,2340
 Grade 8,1145,1033,2178
 Grade 9,1071,887,1958
 Grade 10,1058,1237,2295
 Grade 11,504,531,1035
 College,254,280,534
 Vocational training,17,20,37
 Undergraduate diploma,36,38,74
 Graduate,471,635,1106
 Postgraduate diploma,31,72,103
 Master degree,24,3,27
 PhD,-,1,1
 Other,297,128,425
 Total,74557,79242,153799
NotApp :,19006,*,*
AREA # 130501,MuSe,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9067,10353,19420
 Grade 1,1767,1425,3192
 Grade 2,2102,1978,4080
 Grade 3,3146,3231,6377
 Grade 4,3663,3643,7306
 Grade 5,6717,6046,12763
 Grade 6,4137,3490,7627
 Grade 7,3251,2922,6173
 Grade 8,3504,2918,6422
 Grade 9,4357,3434,7791
 Grade 10,3123,2428,5551
 Grade 11,5655,4743,10398
 College,1812,1302,3114
 Vocational training,40,34,74
 Undergraduate diploma,92,64,156
 Graduate,2829,3262,6091
 Postgraduate diploma,47,37,84
 Master degree,28,28,56
 PhD,7,4,11
 Other,274,88,362
 Total,55618,51430,107048
NotApp :,10459,*,*
AREA # 130502,Namkham,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9943,15142,25085
 Grade 1,2566,2240,4806
 Grade 2,2762,2517,5279
 Grade 3,3695,3340,7035
 Grade 4,4092,3595,7687
 Grade 5,5386,5040,10426
 Grade 6,3331,3177,6508
 Grade 7,2674,2546,5220
 Grade 8,2553,2581,5134
 Grade 9,2723,2714,5437
 Grade 10,2102,2365,4467
 Grade 11,2376,2912,5288
 College,523,524,1047
 Vocational training,86,33,119
 Undergraduate diploma,84,78,162
 Graduate,856,1438,2294
 Postgraduate diploma,24,38,62
 Master degree,10,6,16
 PhD,5,4,9
 Other,63,46,109
 Total,45854,50336,96190
NotApp :,10844,*,*
AREA # 130503,Kukai,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9675,13397,23072
 Grade 1,2762,2574,5336
 Grade 2,3800,3276,7076
 Grade 3,4370,3735,8105
 Grade 4,4463,3967,8430
 Grade 5,5423,4450,9873
 Grade 6,2963,2862,5825
 Grade 7,2541,2289,4830
 Grade 8,2086,2005,4091
 Grade 9,1993,1950,3943
 Grade 10,1676,1851,3527
 Grade 11,1108,1252,2360
 College,486,526,1012
 Vocational training,17,21,38
 Undergraduate diploma,83,53,136
 Graduate,814,1016,1830
 Postgraduate diploma,22,20,42
 Master degree,29,11,40
 PhD,1,-,1
 Other,85,13,98
 Total,44397,45268,89665
NotApp :,11669,*,*
AREA # 130551,Monekoe(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6454,6209,12663
 Grade 1,647,503,1150
 Grade 2,671,539,1210
 Grade 3,704,566,1270
 Grade 4,643,463,1106
 Grade 5,644,557,1201
 Grade 6,387,349,736
 Grade 7,308,297,605
 Grade 8,215,201,416
 Grade 9,210,241,451
 Grade 10,156,202,358
 Grade 11,143,237,380
 College,34,32,66
 Undergraduate diploma,11,15,26
 Graduate,64,81,145
 Postgraduate diploma,5,15,20
 Master degree,4,2,6
 Other,40,39,79
 Total,11340,10548,21888
NotApp :,2677,*,*
AREA # 130552,Manhero(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1904,1980,3884
 Grade 1,180,156,336
 Grade 2,149,151,300
 Grade 3,198,217,415
 Grade 4,147,173,320
 Grade 5,127,224,351
 Grade 6,56,88,144
 Grade 7,48,61,109
 Grade 8,30,65,95
 Grade 9,47,36,83
 Grade 10,16,26,42
 Grade 11,39,43,82
 College,9,9,18
 Undergraduate diploma,1,7,8
 Graduate,26,23,49
 Postgraduate diploma,2,3,5
 Master degree,-,1,1
 Total,2979,3263,6242
NotApp :,545,*,*
AREA # 130553,Pansai(KyuKute)(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2979,3454,6433
 Grade 1,493,409,902
 Grade 2,570,523,1093
 Grade 3,843,765,1608
 Grade 4,780,679,1459
 Grade 5,986,907,1893
 Grade 6,677,562,1239
 Grade 7,457,478,935
 Grade 8,438,463,901
 Grade 9,445,472,917
 Grade 10,251,291,542
 Grade 11,461,558,1019
 College,109,79,188
 Vocational training,5,1,6
 Undergraduate diploma,9,17,26
 Graduate,138,204,342
 Postgraduate diploma,3,4,7
 Master degree,1,2,3
 PhD,1,-,1
 Other,621,472,1093
 Total,10267,10340,20607
NotApp :,2343,*,*
AREA # 130554,Tamoenye(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,13093,14904,27997
 Grade 1,2044,1806,3850
 Grade 2,2558,2194,4752
 Grade 3,2918,2273,5191
 Grade 4,2682,2152,4834
 Grade 5,2884,2344,5228
 Grade 6,1957,1609,3566
 Grade 7,1730,1424,3154
 Grade 8,825,806,1631
 Grade 9,788,790,1578
 Grade 10,712,782,1494
 Grade 11,379,408,787
 College,107,101,208
 Vocational training,8,6,14
 Undergraduate diploma,14,22,36
 Graduate,153,198,351
 Postgraduate diploma,10,35,45
 Master degree,6,3,9
 PhD,1,-,1
 Other,30,1,31
 Total,32899,31858,64757
NotApp :,8561,*,*
AREA # 130601,Kyukme,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9563,14237,23800
 Grade 1,3706,3244,6950
 Grade 2,4511,3885,8396
 Grade 3,5478,5185,10663
 Grade 4,5296,5187,10483
 Grade 5,8110,8355,16465
 Grade 6,3186,3276,6462
 Grade 7,2685,2514,5199
 Grade 8,2703,2554,5257
 Grade 9,2665,2490,5155
 Grade 10,1945,2030,3975
 Grade 11,2765,3334,6099
 College,779,956,1735
 Vocational training,58,26,84
 Undergraduate diploma,65,46,111
 Graduate,1613,2594,4207
 Postgraduate diploma,47,65,112
 Master degree,28,19,47
 PhD,3,5,8
 Other,566,187,753
 Total,55772,60189,115961
NotApp :,11599,*,*
AREA # 130602,Naungkhio,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8969,9937,18906
 Grade 1,2695,2584,5279
 Grade 2,3808,4335,8143
 Grade 3,5759,6870,12629
 Grade 4,7242,7715,14957
 Grade 5,17830,17012,34842
 Grade 6,4105,3798,7903
 Grade 7,3213,2628,5841
 Grade 8,3067,2463,5530
 Grade 9,3444,2492,5936
 Grade 10,2188,1733,3921
 Grade 11,3179,2784,5963
 College,782,780,1562
 Vocational training,418,131,549
 Undergraduate diploma,138,105,243
 Graduate,1728,1991,3719
 Postgraduate diploma,23,29,52
 Master degree,26,15,41
 PhD,3,3,6
 Other,124,44,168
 Total,68741,67449,136190
NotApp :,13652,*,*
AREA # 130603,Hsipaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,29017,33488,62505
 Grade 1,4251,3813,8064
 Grade 2,5431,5077,10508
 Grade 3,5915,6099,12014
 Grade 4,5221,5906,11127
 Grade 5,9326,9367,18693
 Grade 6,2735,2895,5630
 Grade 7,2381,2363,4744
 Grade 8,2300,2282,4582
 Grade 9,2472,2210,4682
 Grade 10,2008,2003,4011
 Grade 11,2024,2190,4214
 College,552,645,1197
 Vocational training,37,26,63
 Undergraduate diploma,67,56,123
 Graduate,1140,1823,2963
 Postgraduate diploma,29,61,90
 Master degree,38,11,49
 PhD,7,4,11
 Other,2025,1180,3205
 Total,76976,81499,158475
NotApp :,17683,*,*
AREA # 130604,Namtu,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6502,7856,14358
 Grade 1,918,867,1785
 Grade 2,1155,1012,2167
 Grade 3,1573,1520,3093
 Grade 4,1550,1607,3157
 Grade 5,2681,2763,5444
 Grade 6,1175,1156,2331
 Grade 7,950,908,1858
 Grade 8,910,849,1759
 Grade 9,954,921,1875
 Grade 10,691,755,1446
 Grade 11,1217,1623,2840
 College,192,304,496
 Vocational training,11,23,34
 Undergraduate diploma,31,29,60
 Graduate,451,848,1299
 Postgraduate diploma,12,40,52
 Master degree,4,3,7
 PhD,1,1,2
 Other,757,285,1042
 Total,21735,23370,45105
NotApp :,5318,*,*
AREA # 130605,Namsan(North),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5041,9838,14879
 Grade 1,1617,1498,3115
 Grade 2,1949,1889,3838
 Grade 3,2800,2654,5454
 Grade 4,3006,2917,5923
 Grade 5,4304,4704,9008
 Grade 6,2136,2252,4388
 Grade 7,1790,1908,3698
 Grade 8,1703,1884,3587
 Grade 9,1681,2127,3808
 Grade 10,1070,1441,2511
 Grade 11,975,1431,2406
 College,212,317,529
 Vocational training,8,14,22
 Undergraduate diploma,27,35,62
 Graduate,350,560,910
 Postgraduate diploma,9,15,24
 Master degree,-,4,4
 Other,25,6,31
 Total,28703,35494,64197
NotApp :,8007,*,*
AREA # 130606,Momeik,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3012,3368,6380
 Grade 1,1024,912,1936
 Grade 2,1464,1446,2910
 Grade 3,2160,2340,4500
 Grade 4,2712,2900,5612
 Grade 5,7419,7517,14936
 Grade 6,2077,2006,4083
 Grade 7,1678,1655,3333
 Grade 8,1494,1325,2819
 Grade 9,1471,1200,2671
 Grade 10,920,869,1789
 Grade 11,1510,1548,3058
 College,358,441,799
 Vocational training,21,11,32
 Undergraduate diploma,45,37,82
 Graduate,748,1120,1868
 Postgraduate diploma,30,46,76
 Master degree,9,6,15
 PhD,3,-,3
 Other,310,100,410
 Total,28465,28847,57312
NotApp :,6018,*,*
AREA # 130607,Mabane,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1054,1307,2361
 Grade 1,734,680,1414
 Grade 2,900,996,1896
 Grade 3,1381,1616,2997
 Grade 4,1880,2104,3984
 Grade 5,7513,6992,14505
 Grade 6,1771,1501,3272
 Grade 7,1385,1102,2487
 Grade 8,1261,917,2178
 Grade 9,1348,945,2293
 Grade 10,829,572,1401
 Grade 11,1307,1083,2390
 College,318,291,609
 Vocational training,26,19,45
 Undergraduate diploma,65,68,133
 Graduate,489,606,1095
 Postgraduate diploma,6,13,19
 Master degree,4,4,8
 Other,61,42,103
 Total,22332,20858,43190
NotApp :,4208,*,*
AREA # 130608,Manton,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4663,7719,12382
 Grade 1,1300,1123,2423
 Grade 2,1184,1012,2196
 Grade 3,1437,1185,2622
 Grade 4,1411,1230,2641
 Grade 5,1969,1681,3650
 Grade 6,872,754,1626
 Grade 7,702,635,1337
 Grade 8,618,505,1123
 Grade 9,588,516,1104
 Grade 10,329,365,694
 Grade 11,423,458,881
 College,67,78,145
 Vocational training,12,8,20
 Undergraduate diploma,16,13,29
 Graduate,120,134,254
 Postgraduate diploma,6,4,10
 Master degree,4,-,4
 PhD,1,1,2
 Other,254,42,296
 Total,15976,17463,33439
NotApp :,5162,*,*
AREA # 130651,Minengaw(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,2720,3581,6301
 Grade 1,471,403,874
 Grade 2,512,475,987
 Grade 3,597,650,1247
 Grade 4,620,696,1316
 Grade 5,1197,1374,2571
 Grade 6,388,442,830
 Grade 7,272,332,604
 Grade 8,268,276,544
 Grade 9,270,268,538
 Grade 10,148,125,273
 Grade 11,151,187,338
 College,29,34,63
 Vocational training,-,1,1
 Undergraduate diploma,8,9,17
 Graduate,65,73,138
 Postgraduate diploma,3,16,19
 Master degree,1,-,1
 Other,12,-,12
 Total,7732,8942,16674
NotApp :,2227,*,*
AREA # 130652,Minelon(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,3577,4472,8049
 Grade 1,690,608,1298
 Grade 2,781,697,1478
 Grade 3,1044,1103,2147
 Grade 4,974,1010,1984
 Grade 5,1647,1944,3591
 Grade 6,514,560,1074
 Grade 7,302,379,681
 Grade 8,270,301,571
 Grade 9,344,299,643
 Grade 10,147,151,298
 Grade 11,239,279,518
 College,60,67,127
 Vocational training,8,2,10
 Undergraduate diploma,3,7,10
 Graduate,84,132,216
 Postgraduate diploma,1,4,5
 Other,194,73,267
 Total,10879,12088,22967
NotApp :,2681,*,*
AREA # 130701,Kunlon,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,15604,15660,31264
 Grade 1,1579,1324,2903
 Grade 2,1472,1092,2564
 Grade 3,1356,1017,2373
 Grade 4,1665,1181,2846
 Grade 5,1381,924,2305
 Grade 6,866,566,1432
 Grade 7,680,454,1134
 Grade 8,622,440,1062
 Grade 9,548,358,906
 Grade 10,610,600,1210
 Grade 11,158,123,281
 College,152,117,269
 Vocational training,8,4,12
 Undergraduate diploma,22,25,47
 Graduate,344,279,623
 Postgraduate diploma,17,17,34
 Master degree,12,7,19
 PhD,1,-,1
 Other,141,61,202
 Total,27238,24249,51487
NotApp :,7287,*,*
AREA # 130801,Laukine,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,15101,18319,33420
 Grade 1,2933,2570,5503
 Grade 2,2931,2395,5326
 Grade 3,3297,2451,5748
 Grade 4,3308,2368,5676
 Grade 5,3390,2207,5597
 Grade 6,4107,2689,6796
 Grade 7,1992,1168,3160
 Grade 8,1048,689,1737
 Grade 9,1674,1095,2769
 Grade 10,1071,731,1802
 Grade 11,432,281,713
 College,412,311,723
 Vocational training,55,19,74
 Undergraduate diploma,74,26,100
 Graduate,586,368,954
 Postgraduate diploma,54,34,88
 Master degree,26,5,31
 PhD,5,-,5
 Other,14,4,18
 Total,42510,37730,80240
NotApp :,9721,*,*
AREA # 130802,Kongyan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,9642,10689,20331
 Grade 1,913,809,1722
 Grade 2,1058,930,1988
 Grade 3,988,642,1630
 Grade 4,889,466,1355
 Grade 5,644,250,894
 Grade 6,598,209,807
 Grade 7,236,64,300
 Grade 8,77,26,103
 Grade 9,106,32,138
 Grade 10,44,33,77
 Grade 11,36,17,53
 College,24,13,37
 Vocational training,2,3,5
 Undergraduate diploma,4,-,4
 Graduate,65,54,119
 Postgraduate diploma,12,5,17
 Master degree,5,1,6
 Total,15343,14243,29586
NotApp :,4186,*,*
AREA # 130851,Chinshwehaw(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,619,737,1356
 Grade 1,56,45,101
 Grade 2,176,140,316
 Grade 3,160,137,297
 Grade 4,182,141,323
 Grade 5,353,246,599
 Grade 6,166,123,289
 Grade 7,158,101,259
 Grade 8,72,47,119
 Grade 9,109,65,174
 Grade 10,111,67,178
 Grade 11,95,52,147
 College,27,14,41
 Vocational training,-,2,2
 Undergraduate diploma,18,8,26
 Graduate,68,52,120
 Postgraduate diploma,2,2,4
 Total,2372,1979,4351
NotApp :,538,*,*
AREA # 130852,Mawhtike(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,7239,7917,15156
 Grade 1,866,799,1665
 Grade 2,974,784,1758
 Grade 3,879,647,1526
 Grade 4,697,457,1154
 Grade 5,482,278,760
 Grade 6,758,385,1143
 Grade 7,215,109,324
 Grade 8,53,21,74
 Grade 9,91,31,122
 Grade 10,47,40,87
 Grade 11,17,11,28
 College,22,3,25
 Vocational training,3,1,4
 Undergraduate diploma,1,2,3
 Graduate,40,41,81
 Postgraduate diploma,9,-,9
 Master degree,1,1,2
 Other,3,1,4
 Total,12397,11528,23925
NotApp :,2365,*,*
AREA # 130901,Hopan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,13674,14475,28149
 Grade 1,1238,974,2212
 Grade 2,1217,1052,2269
 Grade 3,1373,1092,2465
 Grade 4,1423,1144,2567
 Grade 5,1492,1250,2742
 Grade 6,1185,922,2107
 Grade 7,839,684,1523
 Grade 8,504,376,880
 Grade 9,644,456,1100
 Grade 10,451,384,835
 Grade 11,348,340,688
 College,155,105,260
 Vocational training,12,12,24
 Undergraduate diploma,30,17,47
 Graduate,236,210,446
 Postgraduate diploma,11,5,16
 Master degree,12,1,13
 PhD,-,1,1
 Other,187,36,223
 Total,25031,23536,48567
NotApp :,6327,*,*
AREA # 130902,Minemaw,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,21816,22623,44439
 Grade 1,1677,1268,2945
 Grade 2,1738,1408,3146
 Grade 3,1884,1338,3222
 Grade 4,1458,996,2454
 Grade 5,1070,741,1811
 Grade 6,741,525,1266
 Grade 7,564,368,932
 Grade 8,330,240,570
 Grade 9,247,191,438
 Grade 10,123,92,215
 Grade 11,79,67,146
 College,35,27,62
 Vocational training,4,8,12
 Undergraduate diploma,4,4,8
 Graduate,31,86,117
 Postgraduate diploma,-,1,1
 Master degree,-,1,1
 PhD,2,-,2
 Other,142,35,177
 Total,31945,30019,61964
NotApp :,8719,*,*
AREA # 130903,Panwine,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,32239,33814,66053
 Grade 1,2064,1747,3811
 Grade 2,2112,1825,3937
 Grade 3,2244,1692,3936
 Grade 4,1359,1041,2400
 Grade 5,936,654,1590
 Grade 6,953,678,1631
 Grade 7,435,345,780
 Grade 8,191,160,351
 Grade 9,217,154,371
 Grade 10,106,82,188
 Grade 11,75,64,139
 College,26,21,47
 Vocational training,7,10,17
 Undergraduate diploma,6,2,8
 Graduate,5,16,21
 Postgraduate diploma,1,1,2
 PhD,-,5,5
 Other,366,276,642
 Total,43342,42587,85929
NotApp :,11168,*,*
AREA # 130952,Panlon(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1433,1498,2931
 Grade 1,130,100,230
 Grade 2,152,132,284
 Grade 3,195,174,369
 Grade 4,175,137,312
 Grade 5,209,145,354
 Grade 6,116,109,225
 Grade 7,77,63,140
 Grade 8,66,51,117
 Grade 9,59,60,119
 Grade 10,29,38,67
 Grade 11,37,30,67
 College,11,13,24
 Vocational training,1,1,2
 Undergraduate diploma,2,-,2
 Graduate,27,30,57
 Other,60,19,79
 Total,2779,2600,5379
NotApp :,827,*,*
AREA # 131001,Makman,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6572,6669,13241
 Grade 1,262,251,513
 Grade 2,262,208,470
 Grade 3,314,189,503
 Grade 4,294,211,505
 Grade 5,248,190,438
 Grade 6,128,97,225
 Grade 7,94,68,162
 Grade 8,80,60,140
 Grade 9,94,59,153
 Grade 10,82,60,142
 Grade 11,21,14,35
 College,18,8,26
 Vocational training,3,6,9
 Undergraduate diploma,12,17,29
 Graduate,48,42,90
 Postgraduate diploma,5,1,6
 Other,2,-,2
 Total,8539,8150,16689
NotApp :,3043,*,*
AREA # 131002,Pan San(Pan Kham),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,27836,29589,57425
 Grade 1,2091,1419,3510
 Grade 2,1955,1448,3403
 Grade 3,2125,1527,3652
 Grade 4,2183,1499,3682
 Grade 5,2501,1843,4344
 Grade 6,1733,1311,3044
 Grade 7,1392,960,2352
 Grade 8,864,667,1531
 Grade 9,1971,1534,3505
 Grade 10,885,600,1485
 Grade 11,749,563,1312
 College,481,349,830
 Vocational training,67,36,103
 Undergraduate diploma,36,17,53
 Graduate,177,161,338
 Postgraduate diploma,13,9,22
 Master degree,7,3,10
 PhD,2,1,3
 Other,811,337,1148
 Total,47879,43873,91752
NotApp :,12577,*,*
AREA # 131003,Naphang,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,39058,40346,79404
 Grade 1,2310,1793,4103
 Grade 2,2243,1721,3964
 Grade 3,2618,1838,4456
 Grade 4,2012,1358,3370
 Grade 5,1513,968,2481
 Grade 6,862,588,1450
 Grade 7,683,480,1163
 Grade 8,278,207,485
 Grade 9,269,170,439
 Grade 10,160,113,273
 Grade 11,72,65,137
 College,83,56,139
 Vocational training,3,7,10
 Undergraduate diploma,11,8,19
 Graduate,39,53,92
 Postgraduate diploma,1,-,1
 Master degree,1,-,1
 PhD,1,-,1
 Other,126,51,177
 Total,52343,49822,102165
NotApp :,14015,*,*
AREA # 131051,ManKan(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,483,493,976
 Grade 1,45,27,72
 Grade 2,28,24,52
 Grade 3,25,20,45
 Grade 4,25,33,58
 Grade 5,24,19,43
 Grade 6,9,17,26
 Grade 7,5,16,21
 Grade 8,11,2,13
 Grade 9,21,4,25
 Grade 10,5,1,6
 Grade 11,10,11,21
 College,8,8,16
 Undergraduate diploma,4,1,5
 Graduate,18,18,36
 Postgraduate diploma,1,4,5
 Master degree,1,1,2
 Total,723,699,1422
NotApp :,221,*,*
AREA # 131101,Kengtung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,34792,37727,72519
 Grade 1,1471,1146,2617
 Grade 2,3044,2553,5597
 Grade 3,3799,3054,6853
 Grade 4,4162,3385,7547
 Grade 5,5860,4602,10462
 Grade 6,3463,2913,6376
 Grade 7,2845,2569,5414
 Grade 8,3112,2692,5804
 Grade 9,3549,3135,6684
 Grade 10,2777,2797,5574
 Grade 11,3064,3418,6482
 College,1152,1255,2407
 Vocational training,64,74,138
 Undergraduate diploma,273,151,424
 Graduate,2558,2860,5418
 Postgraduate diploma,76,100,176
 Master degree,115,72,187
 PhD,6,8,14
 Other,3122,1088,4210
 Total,79304,75599,154903
NotApp :,16717,*,*
AREA # 131102,Minekat,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,16798,17054,33852
 Grade 1,503,347,850
 Grade 2,329,193,522
 Grade 3,319,196,515
 Grade 4,256,148,404
 Grade 5,478,249,727
 Grade 6,220,123,343
 Grade 7,154,89,243
 Grade 8,154,91,245
 Grade 9,215,124,339
 Grade 10,130,84,214
 Grade 11,155,135,290
 College,73,44,117
 Vocational training,2,3,5
 Undergraduate diploma,11,14,25
 Graduate,149,103,252
 Postgraduate diploma,2,14,16
 Master degree,8,-,8
 Other,458,70,528
 Total,20414,19081,39495
NotApp :,5033,*,*
AREA # 131103,Mineyan,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,15451,18089,33540
 Grade 1,1651,862,2513
 Grade 2,1474,718,2192
 Grade 3,1122,638,1760
 Grade 4,996,513,1509
 Grade 5,693,432,1125
 Grade 6,531,373,904
 Grade 7,380,245,625
 Grade 8,289,148,437
 Grade 9,328,203,531
 Grade 10,173,124,297
 Grade 11,196,192,388
 College,108,59,167
 Vocational training,12,9,21
 Undergraduate diploma,18,8,26
 Graduate,151,101,252
 Postgraduate diploma,3,5,8
 Master degree,12,-,12
 PhD,-,1,1
 Other,647,232,879
 Total,24235,22952,47187
NotApp :,5404,*,*
AREA # 131104,Minelar,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,8454,9766,18220
 Grade 1,818,499,1317
 Grade 2,731,547,1278
 Grade 3,888,753,1641
 Grade 4,772,743,1515
 Grade 5,1159,808,1967
 Grade 6,1790,1751,3541
 Grade 7,678,530,1208
 Grade 8,1110,822,1932
 Grade 9,2163,1676,3839
 Grade 10,533,350,883
 Grade 11,485,379,864
 College,416,307,723
 Vocational training,46,28,74
 Undergraduate diploma,45,37,82
 Graduate,127,124,251
 Postgraduate diploma,17,18,35
 Master degree,6,1,7
 PhD,7,3,10
 Other,506,102,608
 Total,20751,19244,39995
NotApp :,3073,*,*
AREA # 131151,Mine Pauk(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,18030,18357,36387
 Grade 1,1009,926,1935
 Grade 2,904,726,1630
 Grade 3,832,744,1576
 Grade 4,675,568,1243
 Grade 5,676,539,1215
 Grade 6,962,718,1680
 Grade 7,379,314,693
 Grade 8,198,148,346
 Grade 9,466,304,770
 Grade 10,219,167,386
 Grade 11,68,88,156
 College,75,61,136
 Vocational training,9,6,15
 Undergraduate diploma,6,5,11
 Graduate,22,10,32
 Other,522,250,772
 Total,25052,23931,48983
NotApp :,6071,*,*
AREA # 131201,Minesat,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,21965,22456,44421
 Grade 1,2723,2238,4961
 Grade 2,2035,1691,3726
 Grade 3,1889,1358,3247
 Grade 4,2262,1515,3777
 Grade 5,1830,1092,2922
 Grade 6,1304,779,2083
 Grade 7,1100,656,1756
 Grade 8,1130,692,1822
 Grade 9,863,559,1422
 Grade 10,1098,942,2040
 Grade 11,320,223,543
 College,199,171,370
 Vocational training,20,8,28
 Undergraduate diploma,30,17,47
 Graduate,509,409,918
 Postgraduate diploma,8,12,20
 Master degree,24,4,28
 PhD,4,-,4
 Other,442,250,692
 Total,39755,35072,74827
NotApp :,11726,*,*
AREA # 131202,Minepyin,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,17023,17548,34571
 Grade 1,732,649,1381
 Grade 2,659,562,1221
 Grade 3,739,613,1352
 Grade 4,740,665,1405
 Grade 5,989,834,1823
 Grade 6,450,402,852
 Grade 7,416,333,749
 Grade 8,431,307,738
 Grade 9,380,293,673
 Grade 10,485,437,922
 Grade 11,134,124,258
 College,67,70,137
 Vocational training,10,9,19
 Undergraduate diploma,17,5,22
 Graduate,211,222,433
 Postgraduate diploma,18,16,34
 Master degree,12,-,12
 PhD,-,1,1
 Other,468,176,644
 Total,23981,23266,47247
NotApp :,6902,*,*
AREA # 131203,Minetung,*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,5350,4866,10216
 Grade 1,361,309,670
 Grade 2,486,386,872
 Grade 3,545,417,962
 Grade 4,799,536,1335
 Grade 5,804,528,1332
 Grade 6,378,220,598
 Grade 7,333,221,554
 Grade 8,404,236,640
 Grade 9,298,170,468
 Grade 10,424,388,812
 Grade 11,93,67,160
 College,77,63,140
 Vocational training,6,8,14
 Undergraduate diploma,29,12,41
 Graduate,213,155,368
 Postgraduate diploma,2,4,6
 Master degree,9,3,12
 Other,11,4,15
 Total,10622,8593,19215
NotApp :,2779,*,*
AREA # 131251,Minekoke(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,6277,5942,12219
 Grade 1,179,184,363
 Grade 2,205,157,362
 Grade 3,190,150,340
 Grade 4,274,187,461
 Grade 5,192,133,325
 Grade 6,116,81,197
 Grade 7,114,59,173
 Grade 8,131,53,184
 Grade 9,100,47,147
 Grade 10,98,81,179
 Grade 11,18,19,37
 College,13,5,18
 Vocational training,1,-,1
 Undergraduate diploma,10,3,13
 Graduate,77,38,115
 Postgraduate diploma,3,5,8
 Master degree,8,3,11
 Other,141,29,170
 Total,8147,7176,15323
NotApp :,2773,*,*
AREA # 131252,Tontar(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,4753,4754,9507
 Grade 1,152,141,293
 Grade 2,144,133,277
 Grade 3,196,127,323
 Grade 4,161,145,306
 Grade 5,316,247,563
 Grade 6,129,113,242
 Grade 7,119,88,207
 Grade 8,93,82,175
 Grade 9,109,74,183
 Grade 10,108,102,210
 Grade 11,61,46,107
 College,10,19,29
 Vocational training,4,3,7
 Undergraduate diploma,6,8,14
 Graduate,70,54,124
 Postgraduate diploma,8,-,8
 Master degree,4,-,4
 Other,85,14,99
 Total,6528,6150,12678
NotApp :,2006,*,*
AREA # 131253,Ponparkyin(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,11987,11115,23102
 Grade 1,1411,994,2405
 Grade 2,1242,869,2111
 Grade 3,1256,838,2094
 Grade 4,1065,691,1756
 Grade 5,1016,683,1699
 Grade 6,827,590,1417
 Grade 7,565,373,938
 Grade 8,445,306,751
 Grade 9,507,359,866
 Grade 10,422,348,770
 Grade 11,132,141,273
 College,130,103,233
 Vocational training,17,8,25
 Undergraduate diploma,17,10,27
 Graduate,96,80,176
 Postgraduate diploma,12,11,23
 Master degree,4,1,5
 Other,39,9,48
 Total,21190,17529,38719
NotApp :,5100,*,*
AREA # 131254,Monehta(ST),*,*
Highest grade,Sex,*,*
*,Male,Female,Total
 None,1317,1143,2460
 Grade 1,124,76,200
