Sex,Industry_Not_stated,"Industry_Crop_and_animal_production,_hunting_and_related_service_activities",Industry_Forestry_and_logging,Industry_Fishing_and_aquaculture,Industry_Mining_of_coal_and_lignite,Industry_Extraction_of_crude_petroleum_and_natural_gas,Industry_Mining_of_metal_ores,Industry_Other_mining_and_quarrying,Industry_Mining_support_service_activities,Industry_Manufacture_of_food_products,Industry_Manufacture_of_beverages,Industry_Manufacture_of_tobacco_products,Industry_Manufacture_of_textiles,Industry_Manufacture_of_wearing_apparel,Industry_Manufacture_of_leather_and_related_products,"Industry_Manufacture_of_wood_and_of_products_of_wood_and_cork,_except_furniture;_manufacture_of_articles_of_straw_and_plaiting_materials",Industry_Manufacture_of_paper_and_paper_products,Industry_Printing_and_reproduction_of_recorded_media,Industry_Manufacture_of_coke_and_refined_petroleum_products,Industry_Manufacture_of_chemicals_and_chemical_products,Industry_Manufacture_of_basic_pharmaceutical_products_and_pharmaceutical_preparations,Industry_Manufacture_of_rubber_and_plastics_products,Industry_Manufacture_of_other_non-metallic_mineral_products,Industry_Manufacture_of_basic_metals,"Industry_Manufacture_of_fabricated_metal_products,_except_machinery_and_equipment","Industry_Manufacture_of_computer,_electronic_and_optical_products",Industry_Manufacture_of_electrical_equipment,Industry_Manufacture_of_machinery_and_equipment_n.e.c.,"Industry_Manufacture_of_motor_vehicles,_trailers_and_semi-trailers",Industry_Manufacture_of_other_transport_equipment,Industry_Manufacture_of_furniture,Industry_Other_manufacturing,Industry_Repair_and_installation_of_machinery_and_equipment,Industry_Making_jewellery,"Industry_Electricity,_gas,_steam_and_air_conditioning_supply","Industry_Water_collection,_treatment_and_supply",Industry_Sewerage,"Industry_Waste_collection,_treatment_and_disposal_activities;_materials_recovery",Industry_Remediation_activities_and_other_waste_management_services,Industry_Construction_of_buildings,Industry_Civil_engineering,Industry_Specialized_construction_activities,Industry_Wholesale_and_retail_trade_and_repair_of_motor_vehicles_and_motorcycles,"Industry_Wholesale_trade,_except_of_motor_vehicles_and_motorcycles","Industry_Retail_trade,_except_of_motor_vehicles_and_motorcycles",Industry_Land_transport_and_transport_via_pipelines,Industry_Water_transport,Industry_Air_transport,Industry_Warehousing_and_support_activities_for_transportation,Industry_Postal_and_courier_activities,Industry_Accommodation,Industry_Food_and_beverage_service_activities,Industry_Publishing_activities,"Industry_Motion_picture,_video_and_television_programme_production,_sound_recording_and_music_publishing_activities",Industry_Programming_and_broadcasting_activities,Industry_Telecommunications,"Industry_Computer_programming,_consultancy_and_related_activities",Industry_Information_service_activities,"Industry_Financial_service_activities,_except_insurance_and_pension_funding","Industry_Insurance,_reinsurance_and_pension_funding,_except_compulsory_social_security",Industry_Activities_auxiliary_to_financial_service_and_insurance_activities,Industry_Real_estate_activities,Industry_Legal_and_accounting_activities,Industry_Activities_of_head_offices;_management_consultancy_activities,Industry_Architectural_and_engineering_activities;_technical_testing_and_analysis,Industry_Scientific_research_and_development,Industry_Advertising_and_market_research,"Industry_Other_professional,_scientific_and_technical_activities",Industry_Veterinary_activities,Industry_Rental_and_leasing_activities,Industry_Employment_activities,"Industry_Travel_agency,_tour_operator,_reservation_service_and_related_activities",Industry_Security_and_investigation_activities,Industry_Services_to_buildings_and_landscape_activities,"Industry_Office_administrative,_office_support_and_other_business_support_activities",Industry_Public_administration_and_defence;_compulsory_social_security,Industry_Education,Industry_Human_health_activities,Industry_Residential_care_activities,Industry_Social_work_activities_without_accommodation,"Industry_Creative,_arts_and_entertainment_activities","Industry_Libraries,_archives,_museums_and_other_cultural_activities",Industry_Gambling_and_betting_activities,Industry_Sports_activities_and_amusement_and_recreation_activities,Industry_Activities_of_membership_organizations,Industry_Repair_of_computers_and_personal_and_household_goods,Industry_Other_personal_service_activities,Industry_Activities_of_households_as_employers_of_domestic_personnel,Industry_Undifferentiated_goods-_and_services-producing_activities_of_private_households_for_own_use,Industry_Activities_of_extraterritorial_organizations_and_bodies,Industry_Total,Township,MIMU_code
 Total,4568,59376,28,279,1,6,-,247,2,290,31,24,261,692,1,620,-,6,1,-,3,1,42,14,53,-,4,1,-,7,30,244,110,-,12,33,-,-,-,947,30,15,131,35,2779,607,58,-,54,-,3,1257,8,6,-,12,-,-,31,-,4,1,8,-,-,-,-,17,4,17,-,-,9,8,92,617,931,134,2,9,50,-,12,3,24,7,1260,1830,69,-,78068,Khin U,MMR005005
 Male,1908,43391,63,242,1,-,-,501,-,350,41,4,41,62,2,184,2,8,-,-,-,1,19,29,91,-,-,1,-,5,56,153,194,-,35,45,-,-,-,1578,61,34,256,51,1324,777,55,-,136,-,4,945,12,5,-,7,1,-,7,-,2,1,9,-,-,-,-,27,1,26,-,1,9,1,151,677,367,90,2,1,36,-,61,3,13,12,824,1237,39,-,56272,Wetlet,MMR005006
 Female,3712,33011,10,55,-,-,-,306,-,202,9,57,1161,1275,-,153,-,3,-,-,3,-,30,7,3,-,-,1,-,-,7,142,8,-,2,15,-,-,1,193,29,5,8,25,2982,30,10,-,23,-,4,1742,2,-,-,6,-,-,9,-,3,-,7,-,-,-,-,13,3,13,-,-,-,-,129,224,1109,138,-,-,6,-,17,-,4,1,593,939,23,-,48463,Wetlet,MMR005006
 Total,5620,76402,73,297,1,-,-,807,-,552,50,61,1202,1337,2,337,2,11,-,-,3,1,49,36,94,-,-,2,-,5,63,295,202,-,37,60,-,-,1,1771,90,39,264,76,4306,807,65,-,159,-,8,2687,14,5,-,13,1,-,16,-,5,1,16,-,-,-,-,40,4,39,-,1,9,1,280,901,1476,228,2,1,42,-,78,3,17,13,1417,2176,62,-,104735,Wetlet,MMR005006
 Male,5151,60497,218,233,-,8,1,407,-,515,26,7,63,60,1,812,-,10,-,-,2,-,88,26,117,-,1,1,-,26,235,499,232,-,55,81,-,-,-,1979,43,22,296,124,2929,1100,45,-,250,-,5,984,16,4,-,24,3,2,9,-,3,-,11,-,5,1,1,43,7,29,-,-,17,3,192,1649,567,98,12,8,37,-,16,2,51,20,1161,1645,68,1,82854,Kambalu,MMR005007
 Female,8262,49869,44,73,1,1,2,147,-,234,10,25,1103,1001,1,1182,-,4,-,-,2,-,78,5,20,-,-,2,-,7,27,628,11,-,4,11,-,-,-,239,15,6,9,119,5541,51,3,-,54,-,2,1588,6,1,-,9,1,-,13,-,3,-,3,-,-,-,-,6,1,20,-,1,-,-,129,576,1226,198,1,-,8,-,5,-,6,5,1328,1357,77,-,75361,Kambalu,MMR005007
 Total,13413,110366,262,306,1,9,3,554,-,749,36,32,1166,1061,2,1994,-,14,-,-,4,-,166,31,137,-,1,3,-,33,262,1127,243,-,59,92,-,-,-,2218,58,28,305,243,8470,1151,48,-,304,-,7,2572,22,5,-,33,4,2,22,-,6,-,14,-,5,1,1,49,8,49,-,1,17,3,321,2225,1793,296,13,8,45,-,21,2,57,25,2489,3002,145,1,158215,Kambalu,MMR005007
 Male,1345,17457,239,897,2,2341,1,2639,1,125,7,-,8,22,1,26,-,4,24,-,1,-,20,16,39,1,1,1,-,4,63,124,69,-,23,30,-,-,-,777,41,18,214,50,1226,546,115,-,127,-,1,307,7,1,-,4,-,-,10,-,1,-,6,-,3,-,-,13,3,7,-,-,4,-,44,429,214,38,-,-,5,-,15,1,4,3,216,337,15,-,30333,Kyunhlau,MMR005008
 Female,3579,12763,17,402,-,575,-,1037,1,26,2,18,40,341,-,7,-,-,12,-,1,-,20,2,2,-,-,2,-,-,1,53,3,-,3,3,-,-,1,103,37,3,8,21,1458,23,8,-,16,-,2,436,5,-,-,3,-,-,11,-,1,-,4,-,-,-,-,-,-,6,-,-,-,-,16,168,484,91,-,-,-,1,1,-,5,-,138,197,9,-,22166,Kyunhlau,MMR005008
 Total,4924,30220,256,1299,2,2916,1,3676,2,151,9,18,48,363,1,33,-,4,36,-,2,-,40,18,41,1,1,3,-,4,64,177,72,-,26,33,-,-,1,880,78,21,222,71,2684,569,123,-,143,-,3,743,12,1,-,7,-,-,21,-,2,-,10,-,3,-,-,13,3,13,-,-,4,-,60,597,698,129,-,-,5,1,16,1,9,3,354,534,24,-,52499,Kyunhlau,MMR005008
 Male,1207,17640,177,119,-,3,-,112,-,312,12,10,8,37,-,48,-,4,1,-,3,1,16,11,65,-,2,2,-,2,59,84,144,-,35,26,-,-,1,1303,6,36,230,44,1435,922,7,-,72,1,1,695,16,3,1,16,2,1,22,-,-,2,8,-,-,-,-,19,3,7,-,-,13,2,60,485,260,69,1,1,50,-,14,4,6,8,319,189,8,-,26482,Ye U,MMR005009
 Female,1342,19850,23,117,-,1,-,13,-,173,5,99,105,628,-,100,-,10,-,-,3,-,6,2,4,-,1,-,-,-,3,52,3,-,3,2,-,-,-,180,2,1,10,22,2412,26,-,-,20,-,6,1255,12,2,-,7,-,-,28,-,3,-,4,-,-,-,-,5,1,1,-,-,-,1,37,284,787,106,1,-,18,-,8,4,15,-,272,141,18,-,28234,Ye U,MMR005009
 Total,2549,37490,200,236,-,4,-,125,-,485,17,109,113,665,-,148,-,14,1,-,6,1,22,13,69,-,3,2,-,2,62,136,147,-,38,28,-,-,1,1483,8,37,240,66,3847,948,7,-,92,1,7,1950,28,5,1,23,2,1,50,-,3,2,12,-,-,-,-,24,4,8,-,-,13,3,97,769,1047,175,2,1,68,-,22,8,21,8,591,330,26,-,54716,Ye U,MMR005009
 Male,1234,29653,61,51,-,-,1,50,1,168,20,-,62,23,-,22,1,3,-,-,2,-,6,24,85,-,2,1,-,-,29,95,103,-,24,8,-,-,-,913,9,17,142,13,819,476,2,-,28,-,2,478,8,-,-,6,-,-,11,-,1,1,4,-,-,-,-,16,1,5,-,-,6,2,9,421,270,38,1,1,20,-,10,2,9,10,253,352,12,1,36098,Depayin,MMR005010
 Female,1505,23042,6,10,-,-,-,9,-,82,5,3,1072,617,-,35,1,1,-,-,1,-,1,3,6,-,-,-,-,-,2,19,5,-,4,1,-,-,-,48,2,2,3,16,1640,23,1,-,9,-,-,871,5,-,-,1,-,1,4,-,2,-,3,-,-,-,-,1,1,5,-,-,1,-,5,162,750,59,-,-,2,-,7,-,6,1,210,257,8,-,30536,Depayin,MMR005010
 Total,2739,52695,67,61,-,-,1,59,1,250,25,3,1134,640,-,57,2,4,-,-,3,-,7,27,91,-,2,1,-,-,31,114,108,-,28,9,-,-,-,961,11,19,145,29,2459,499,3,-,37,-,2,1349,13,-,-,7,-,1,15,-,3,1,7,-,-,-,-,17,2,10,-,-,7,2,14,583,1020,97,1,1,22,-,17,2,15,11,463,609,20,1,66634,Depayin,MMR005010
 Male,1871,28463,113,159,-,24,-,385,-,167,11,1,4,38,-,105,-,5,4,-,1,-,24,84,129,-,5,2,-,2,55,303,104,-,15,29,-,-,-,1854,7,21,231,33,1171,673,8,-,46,-,1,422,4,5,-,10,1,-,9,-,-,-,5,-,1,-,-,23,3,11,-,-,3,-,36,465,349,49,-,-,23,-,3,1,3,9,231,335,9,-,38158,Tasei,MMR005011
 Female,2831,27501,14,68,-,6,-,68,-,67,2,-,73,892,-,83,-,8,-,-,-,-,52,17,10,-,-,2,-,1,1,242,6,-,-,1,-,-,-,167,1,1,15,24,1791,30,1,1,7,-,1,812,5,-,-,3,-,-,23,-,3,-,4,-,-,-,-,7,-,15,-,-,-,-,21,181,891,88,1,1,7,-,2,-,3,-,256,260,11,-,36578,Tasei,MMR005011
 Total,4702,55964,127,227,-,30,-,453,-,234,13,1,77,930,-,188,-,13,4,-,1,-,76,101,139,-,5,4,-,3,56,545,110,-,15,30,-,-,-,2021,8,22,246,57,2962,703,9,1,53,-,2,1234,9,5,-,13,1,-,32,-,3,-,9,-,1,-,-,30,3,26,-,-,3,-,57,646,1240,137,1,1,30,-,5,1,6,9,487,595,20,-,74736,Tasei,MMR005011
 Male,717,4324,89,118,-,-,1,112,1,35,2,-,3,8,-,62,-,-,-,-,1,-,240,1,37,-,-,-,-,-,23,540,35,-,9,7,-,-,-,343,10,10,38,17,332,309,128,-,30,-,2,150,6,-,-,1,-,-,1,-,-,-,-,-,-,-,-,6,-,3,-,-,1,-,43,243,31,12,1,-,11,-,2,-,1,-,261,604,30,-,8991,Kyaukmyaung(ST),MMR005004
 Female,943,2808,16,28,-,-,-,10,-,11,-,-,8,139,-,47,-,-,-,-,1,-,191,1,-,-,-,-,-,-,-,537,-,-,-,1,-,-,-,118,2,2,-,12,509,1,2,-,8,-,-,408,2,-,-,3,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,37,41,150,18,-,-,-,-,-,-,-,1,198,483,19,-,6757,Kyaukmyaung(ST),MMR005004
 Total,1660,7132,105,146,-,-,1,122,1,46,2,-,11,147,-,109,-,-,-,-,2,-,431,2,37,-,-,-,-,-,23,1077,35,-,9,8,-,-,-,461,12,12,38,29,841,310,130,-,38,-,2,558,8,-,-,4,-,-,2,-,1,-,-,-,-,-,-,6,-,3,-,-,1,-,80,284,181,30,1,-,11,-,2,-,1,1,459,1087,49,-,15748,Kyaukmyaung(ST),MMR005004
 Male,12254,22930,1662,191,2,276,1,454,6,1331,114,76,934,443,162,626,6,84,176,5,66,118,164,347,1908,5,8,26,5,13,938,1081,1288,-,421,421,-,-,1,9895,58,576,2071,882,7319,7826,627,8,593,1,109,5350,153,22,1,112,8,7,160,4,40,44,73,-,1,-,1,174,9,124,-,4,66,10,983,4070,802,400,14,29,451,1,209,70,234,74,1625,2290,95,8,96226,Monywa,MMR005012
 Female,12776,20421,792,46,-,78,2,276,2,1033,57,599,4292,2938,25,1113,5,73,55,3,65,30,153,43,122,3,2,3,-,4,70,848,61,-,42,94,-,-,1,1742,56,32,71,254,11704,176,57,2,158,-,106,7748,71,7,1,61,4,3,237,1,55,9,65,-,-,-,1,60,2,122,-,3,8,10,552,2138,3289,637,8,10,110,2,41,31,169,-,1783,2162,120,10,80015,Monywa,MMR005012
 Total,25030,43351,2454,237,2,354,3,730,8,2364,171,675,5226,3381,187,1739,11,157,231,8,131,148,317,390,2030,8,10,29,5,17,1008,1929,1349,-,463,515,-,-,2,11637,114,608,2142,1136,19023,8002,684,10,751,1,215,13098,224,29,2,173,12,10,397,5,95,53,138,-,1,-,2,234,11,246,-,7,74,20,1535,6208,4091,1037,22,39,561,3,250,101,403,74,3408,4452,215,18,176241,Monywa,MMR005012
 Male,1097,20080,84,74,-,6,-,94,1,307,267,27,17,53,10,264,-,7,3,-,11,1,89,45,82,-,-,-,-,18,50,230,103,-,27,40,-,-,-,1477,31,10,116,27,702,435,87,-,20,-,1,393,7,-,-,3,-,-,13,-,4,1,6,-,-,-,-,27,1,21,-,-,7,-,50,452,301,37,-,-,37,1,8,6,14,6,1007,1652,16,-,30063,Butalin,MMR005013
 Female,2269,17354,16,17,-,-,-,20,-,224,53,435,568,645,11,280,-,6,-,-,19,7,42,3,2,-,-,-,-,2,1,248,3,-,-,4,-,-,-,72,18,3,2,10,1582,13,1,-,3,-,1,782,1,-,-,5,1,-,7,-,4,-,2,-,-,-,-,4,2,9,-,-,1,-,27,206,858,97,-,1,4,2,6,1,17,1,1066,1509,14,2,28563,Butalin,MMR005013
 Total,3366,37434,100,91,-,6,-,114,1,531,320,462,585,698,21,544,-,13,3,-,30,8,131,48,84,-,-,-,-,20,51,478,106,-,27,44,-,-,-,1549,49,13,118,37,2284,448,88,-,23,-,2,1175,8,-,-,8,1,-,20,-,8,1,8,-,-,-,-,31,3,30,-,-,8,-,77,658,1159,134,-,1,41,3,14,7,31,7,2073,3161,30,2,58626,Butalin,MMR005013
 Male,2646,27489,81,69,-,13,-,52,-,1252,627,10,109,86,1,293,-,4,8,-,1,-,66,29,69,-,-,3,-,1,101,210,105,-,18,66,-,-,-,1547,13,23,179,16,1094,592,8,-,45,-,3,605,5,-,1,3,-,1,14,-,4,-,7,-,-,-,-,13,3,27,-,-,5,1,57,624,332,62,-,1,48,-,14,-,12,4,789,1769,21,1,41352,Ayartaw,MMR005014
 Female,3259,12611,16,25,-,-,-,15,-,578,93,186,2646,1339,-,256,-,-,-,-,-,-,40,1,3,-,-,-,-,-,10,173,3,-,-,2,-,-,-,111,12,3,4,9,1460,14,2,-,3,-,-,668,2,-,-,4,-,-,9,-,14,-,4,-,-,-,-,1,2,13,-,-,1,-,34,183,628,100,-,3,5,-,3,-,8,-,461,973,16,-,26006,Ayartaw,MMR005014
 Total,5905,40100,97,94,-,13,-,67,-,1830,720,196,2755,1425,1,549,-,4,8,-,1,-,106,30,72,-,-,3,-,1,111,383,108,-,18,68,-,-,-,1658,25,26,183,25,2554,606,10,-,48,-,3,1273,7,-,1,7,-,1,23,-,18,-,11,-,-,-,-,14,5,40,-,-,6,1,91,807,960,162,-,4,53,-,17,-,20,4,1250,2742,37,1,67358,Ayartaw,MMR005014
 Male,1406,20582,43,134,-,3,-,19,-,132,27,2,9,104,3,142,-,5,1,-,2,9,9,32,79,-,-,3,-,5,45,107,148,-,17,38,-,-,-,1453,16,42,164,73,946,905,48,-,49,-,2,554,4,-,2,15,-,-,10,-,2,1,5,-,1,-,-,22,2,14,-,-,7,1,105,464,200,60,2,-,43,-,20,6,24,9,312,531,2,3,29225,Chaung Oo,MMR005015
 Female,1913,15964,5,43,1,-,-,2,-,80,8,33,34,565,1,866,-,6,-,-,1,-,7,4,2,1,-,-,-,-,6,118,-,-,-,15,-,1,-,270,9,3,6,21,1919,11,2,1,15,-,1,993,2,-,-,5,-,-,16,-,13,1,7,-,-,-,-,1,-,5,-,-,-,2,65,216,745,73,1,-,11,-,6,2,29,-,261,524,10,4,24926,Chaung Oo,MMR005015
 Total,3319,36546,48,177,1,3,-,21,-,212,35,35,43,669,4,1008,-,11,1,-,3,9,16,36,81,1,-,3,-,5,51,225,148,-,17,53,-,1,-,1723,25,45,170,94,2865,916,50,1,64,-,3,1547,6,-,2,20,-,-,26,-,15,2,12,-,1,-,-,23,2,19,-,-,7,3,170,680,945,133,3,-,54,-,26,8,53,9,573,1055,12,7,54151,Chaung Oo,MMR005015
 Male,1766,31910,708,1153,1,-,-,147,1,166,15,1,1,34,-,144,-,2,1,-,5,2,6,18,142,-,1,3,-,11,171,176,181,-,22,59,-,-,-,1409,23,45,351,73,1848,1255,682,-,461,2,22,658,11,3,-,15,-,1,28,-,2,-,23,-,-,-,1,26,4,9,-,-,11,2,143,820,163,75,3,13,41,-,23,9,26,20,390,632,33,-,46203,Katha,MMR005020
 Female,3413,23944,156,302,-,-,-,21,-,73,4,3,9,508,-,448,-,9,-,-,8,2,8,5,12,-,-,2,-,-,13,130,6,-,2,6,-,-,-,228,11,7,20,51,4289,47,75,-,35,-,16,1767,9,1,-,13,-,-,37,1,12,-,21,-,-,-,-,6,1,10,-,-,2,2,70,418,880,136,1,5,10,-,15,-,13,4,277,444,16,-,38034,Katha,MMR005020
 Total,5179,55854,864,1455,1,-,-,168,1,239,19,4,10,542,-,592,-,11,1,-,13,4,14,23,154,-,1,5,-,11,184,306,187,-,24,65,-,-,-,1637,34,52,371,124,6137,1302,757,-,496,2,38,2425,20,4,-,28,-,1,65,1,14,-,44,-,-,-,1,32,5,19,-,-,13,4,213,1238,1043,211,4,18,51,-,38,9,39,24,667,1076,49,-,84237,Katha,MMR005020
 Male,1333,23358,285,168,-,-,-,689,-,145,26,-,-,16,2,93,-,5,-,-,1,-,13,20,59,-,2,1,-,6,478,155,88,-,23,11,-,-,1,1013,11,26,202,25,937,564,1,-,110,-,13,627,17,-,-,14,-,-,10,-,5,-,5,-,-,-,-,20,8,8,-,-,7,3,28,489,171,69,-,1,34,-,23,1,9,10,180,150,27,-,31796,Indaw,MMR005021
 Female,3747,20629,28,44,-,-,-,96,-,45,12,-,10,466,2,431,-,3,1,-,7,-,7,5,12,-,-,-,-,1,46,85,2,-,4,4,-,-,-,170,9,2,8,23,2063,32,-,-,18,-,4,1811,9,-,-,3,1,-,8,-,2,1,5,-,-,-,-,10,1,5,-,-,1,2,13,192,912,106,-,-,10,-,3,2,7,-,154,177,12,-,31463,Indaw,MMR005021
 Total,5080,43987,313,212,-,-,-,785,-,190,38,-,10,482,4,524,-,8,1,-,8,-,20,25,71,-,2,1,-,7,524,240,90,-,27,15,-,-,1,1183,20,28,210,48,3000,596,1,-,128,-,17,2438,26,-,-,17,1,-,18,-,7,1,10,-,-,-,-,30,9,13,-,-,8,5,41,681,1083,175,-,1,44,-,26,3,16,10,334,327,39,-,63259,Indaw,MMR005021
 Male,2534,24274,317,647,-,1,4,174,31,206,10,-,1,29,-,73,-,4,1,-,2,-,24,24,67,1,2,-,-,7,198,223,107,-,23,10,-,1,1,786,6,27,190,27,1164,913,219,1,131,-,4,401,14,3,-,9,-,1,9,-,2,-,14,-,-,-,-,11,5,2,-,-,10,3,253,348,142,64,-,1,22,-,16,2,11,10,893,1604,29,1,36344,Tigyaing,MMR005022
 Female,3655,12956,30,153,-,-,1,49,2,68,3,1,7,317,-,19,-,2,-,-,2,-,28,3,3,-,-,-,-,1,6,79,1,-,-,1,-,-,1,115,2,1,13,26,2385,20,12,-,12,-,1,670,10,-,-,3,-,-,7,-,8,-,1,-,-,-,-,3,-,5,-,-,-,3,101,158,533,59,1,-,2,-,8,-,3,-,545,984,13,-,23092,Tigyaing,MMR005022
 Total,6189,37230,347,800,-,1,5,223,33,274,13,1,8,346,-,92,-,6,1,-,4,-,52,27,70,1,2,-,-,8,204,302,108,-,23,11,-,1,2,901,8,28,203,53,3549,933,231,1,143,-,5,1071,24,3,-,12,-,1,16,-,10,-,15,-,-,-,-,14,5,7,-,-,10,6,354,506,675,123,1,1,24,-,24,2,14,10,1438,2588,42,1,59436,Tigyaing,MMR005022
 Male,1054,17506,100,3,1,-,-,5183,-,20,9,-,-,3,-,31,-,3,2,-,1,-,4,11,54,-,-,-,-,1,72,78,65,-,15,19,-,-,-,478,10,2,214,19,692,422,24,-,41,-,1,158,4,-,-,9,-,-,6,-,1,-,5,-,-,-,-,13,1,1,-,-,1,2,19,237,124,43,3,1,12,-,6,-,10,1,77,48,9,-,26929,Banmauk,MMR005023
 Female,1748,8870,8,1,-,-,-,776,-,4,9,-,10,251,-,67,1,-,1,-,-,-,3,-,1,-,-,-,-,-,3,39,1,-,1,1,-,-,-,85,17,2,3,18,1620,4,-,-,1,-,-,487,-,-,-,4,-,-,5,-,1,-,1,-,-,-,-,3,-,2,-,-,-,1,8,121,521,68,2,1,5,-,2,-,2,1,62,92,7,-,14941,Banmauk,MMR005023
 Total,2802,26376,108,4,1,-,-,5959,-,24,18,-,10,254,-,98,1,3,3,-,1,-,7,11,55,-,-,-,-,1,75,117,66,-,16,20,-,-,-,563,27,4,217,37,2312,426,24,-,42,-,1,645,4,-,-,13,-,-,11,-,2,-,6,-,-,-,-,16,1,3,-,-,1,3,27,358,645,111,5,2,17,-,8,-,12,2,139,140,16,-,41870,Banmauk,MMR005023
 Male,1843,26284,481,257,1,7,-,1697,-,298,24,7,2,45,4,86,-,7,-,-,14,-,27,28,156,-,3,1,1,9,178,179,196,-,45,32,-,-,-,1815,13,83,357,48,2173,1087,11,-,176,-,17,519,10,7,-,11,-,4,24,-,7,-,17,-,-,-,-,30,12,45,-,-,11,4,453,796,238,65,2,1,40,1,8,3,28,19,448,726,39,1,41261,Kawlin,MMR005024
 Female,4084,16742,40,72,-,2,-,517,-,173,5,126,20,753,1,149,-,5,-,-,8,-,20,2,14,-,-,-,-,-,3,114,14,-,2,14,-,-,-,299,5,2,20,54,4002,36,-,-,16,1,8,1051,9,-,-,5,-,-,28,-,3,1,9,-,-,-,-,14,2,14,-,-,-,4,249,242,984,135,2,-,19,-,2,-,17,-,284,374,24,2,30797,Kawlin,MMR005024
 Total,5927,43026,521,329,1,9,-,2214,-,471,29,133,22,798,5,235,-,12,-,-,22,-,47,30,170,-,3,1,1,9,181,293,210,-,47,46,-,-,-,2114,18,85,377,102,6175,1123,11,-,192,1,25,1570,19,7,-,16,-,4,52,-,10,1,26,-,-,-,-,44,14,59,-,-,11,8,702,1038,1222,200,4,1,59,1,10,3,45,19,732,1100,63,3,72058,Kawlin,MMR005024
 Male,1077,12090,299,19,-,1,-,2400,1,71,8,-,-,15,-,93,-,5,1,-,3,-,25,8,23,-,1,-,-,2,28,148,54,-,11,13,-,-,-,686,19,8,143,10,706,416,2,-,50,-,2,212,8,-,-,8,-,1,8,-,4,-,3,-,-,-,-,10,1,8,-,-,5,1,28,516,75,31,-,1,19,-,1,-,12,6,83,43,11,-,19533,Wuntho,MMR005025
 Female,1558,6437,45,-,-,1,-,685,-,30,6,2,4,236,-,644,-,2,-,-,-,-,2,-,-,-,-,-,-,-,6,161,-,-,-,4,-,-,-,86,8,1,5,10,1535,15,-,-,6,-,1,552,3,-,-,5,-,-,7,-,2,-,1,-,-,-,-,4,-,4,-,-,-,1,5,137,526,61,-,-,8,-,2,2,4,1,41,42,12,-,12910,Wuntho,MMR005025
 Total,2635,18527,344,19,-,2,-,3085,1,101,14,2,4,251,-,737,-,7,1,-,3,-,27,8,23,-,1,-,-,2,34,309,54,-,11,17,-,-,-,772,27,9,148,20,2241,431,2,-,56,-,3,764,11,-,-,13,-,1,15,-,6,-,4,-,-,-,-,14,1,12,-,-,5,2,33,653,601,92,-,1,27,-,3,2,16,7,124,85,23,-,32443,Wuntho,MMR005025
 Male,1289,20917,188,4,-,3,1,526,-,23,8,1,-,8,-,41,-,5,-,-,1,-,4,4,15,-,-,-,-,-,50,56,39,-,5,17,-,-,-,519,1,8,99,7,380,277,2,-,17,-,1,73,3,2,-,3,-,-,9,-,5,-,3,-,-,-,-,4,5,1,-,1,7,1,3,309,254,34,-,-,5,-,-,-,2,6,30,12,5,-,25293,Pinlebu,MMR005026
 Female,2124,14112,10,2,-,1,-,79,-,12,2,1,5,229,-,74,-,1,-,-,1,-,1,-,1,-,-,-,-,-,-,25,-,-,-,-,-,-,-,118,-,-,4,5,723,2,-,-,1,-,1,253,-,1,-,3,-,-,3,-,3,-,1,-,-,-,-,-,-,2,-,-,-,-,6,122,671,66,-,-,1,-,-,-,1,-,26,10,7,-,18710,Pinlebu,MMR005026
 Total,3413,35029,198,6,-,4,1,605,-,35,10,2,5,237,-,115,-,6,-,-,2,-,5,4,16,-,-,-,-,-,50,81,39,-,5,17,-,-,-,637,1,8,103,12,1103,279,2,-,18,-,2,326,3,3,-,6,-,-,12,-,8,-,4,-,-,-,-,4,5,3,-,1,7,1,9,431,925,100,-,-,6,-,-,-,3,6,56,22,12,-,44003,Pinlebu,MMR005026
 Male,6512,44519,2080,428,2,924,4,166,2,613,90,8,297,156,8,277,-,24,14,-,10,18,81,119,288,-,1,2,-,5,640,802,587,-,197,166,-,-,-,6505,88,344,892,111,3884,3398,35,24,368,2,46,1446,66,4,-,58,1,12,61,-,31,7,28,-,-,-,2,87,19,31,-,-,54,4,195,2818,711,244,120,1054,71,-,48,15,257,49,1473,1188,168,3,85062,Kalay,MMR014005
 Female,7569,21655,200,97,-,213,1,33,2,221,43,11,3742,1239,1,203,-,17,6,-,8,3,36,7,15,1,-,-,-,-,13,457,13,-,9,12,-,-,-,1113,53,34,26,97,6333,82,3,2,54,1,24,2899,25,1,-,34,3,4,77,-,35,6,18,-,-,-,2,25,1,46,-,3,3,4,143,756,2479,469,46,233,15,-,12,9,79,2,1007,720,65,1,52871,Kalay,MMR014005
 Total,14081,66174,2280,525,2,1137,5,199,4,834,133,19,4039,1395,9,480,-,41,20,-,18,21,117,126,303,1,1,2,-,5,653,1259,600,-,206,178,-,-,-,7618,141,378,918,208,10217,3480,38,26,422,3,70,4345,91,5,-,92,4,16,138,-,66,13,46,-,-,-,4,112,20,77,-,3,57,8,338,3574,3190,713,166,1287,86,-,60,24,336,51,2480,1908,233,4,137933,Kalay,MMR014005
