Urban_Rural,Mobile_phone_Yes,Mobile_phone_No,Mobile_phone_Total,Township,MIMU_code
 Total,1857,6468,8325,Saw,MMR009025
 Urban,681,459,1140,Kyaukhtu(ST),MMR009025
 Rural,1966,4503,6469,Kyaukhtu(ST),MMR009025
 Total,2647,4962,7609,Kyaukhtu(ST),MMR009025
 Urban,37880,11851,49731,Aungmyetharzan,MMR010001
 Total,37880,11851,49731,Aungmyetharzan,MMR010001
 Urban,28208,5073,33281,Chanayeharzan,MMR010002
 Total,28208,5073,33281,Chanayeharzan,MMR010002
 Urban,33694,8233,41927,Mahaaungmye,MMR010003
 Total,33694,8233,41927,Mahaaungmye,MMR010003
 Urban,39645,13402,53047,Chanmyatharzi,MMR010004
 Total,39645,13402,53047,Chanmyatharzi,MMR010004
 Urban,30646,13229,43875,Pyigyidagun,MMR010005
 Total,30646,13229,43875,Pyigyidagun,MMR010005
 Urban,10925,5705,16630,Amarapura,MMR010006
 Rural,18980,14016,32996,Amarapura,MMR010006
 Total,29905,19721,49626,Amarapura,MMR010006
 Urban,2231,471,2702,Patheingyi,MMR010007
 Rural,27795,22493,50288,Patheingyi,MMR010007
 Total,30026,22964,52990,Patheingyi,MMR010007
 Urban,23642,8299,31941,Pyin Oo Lwin,MMR010008
 Rural,12185,9256,21441,Pyin Oo Lwin,MMR010008
 Total,35827,17555,53382,Pyin Oo Lwin,MMR010008
 Urban,2805,2506,5311,Madaya,MMR010009
 Rural,12529,40805,53334,Madaya,MMR010009
 Total,15334,43311,58645,Madaya,MMR010009
 Urban,987,745,1732,Sinku,MMR010010
 Rural,7450,25351,32801,Sinku,MMR010010
 Total,8437,26096,34533,Sinku,MMR010010
 Urban,9416,7270,16686,Mogok,MMR010011
 Rural,5472,13089,18561,Mogok,MMR010011
 Total,14888,20359,35247,Mogok,MMR010011
 Urban,195,993,1188,Thabeikkyin,MMR010012
 Rural,2378,22183,24561,Thabeikkyin,MMR010012
 Total,2573,23176,25749,Thabeikkyin,MMR010012
 Urban,385,1408,1793,Tagaung,MMR010012
 Rural,601,4998,5599,Tagaung,MMR010012
 Total,986,6406,7392,Tagaung,MMR010012
 Urban,5994,2497,8491,Kyaukse,MMR010013
 Rural,17035,32239,49274,Kyaukse,MMR010013
 Total,23029,34736,57765,Kyaukse,MMR010013
 Urban,1163,617,1780,Singaing,MMR010014
 Rural,13028,18771,31799,Singaing,MMR010014
 Total,14191,19388,33579,Singaing,MMR010014
 Urban,2685,1661,4346,Myitthar,MMR010015
 Rural,10394,31277,41671,Myitthar,MMR010015
 Total,13079,32938,46017,Myitthar,MMR010015
 Urban,1624,1028,2652,Tada U,MMR010016
 Rural,8534,21441,29975,Tada U,MMR010016
 Total,10158,22469,32627,Tada U,MMR010016
 Urban,10246,8651,18897,Myingyan,MMR010017
 Rural,10419,33024,43443,Myingyan,MMR010017
 Total,20665,41675,62340,Myingyan,MMR010017
 Urban,2168,1695,3863,Taungtha,MMR010018
 Rural,9475,36514,45989,Taungtha,MMR010018
 Total,11643,38209,49852,Taungtha,MMR010018
 Urban,1698,1144,2842,Natogyi,MMR010019
 Rural,8889,29234,38123,Natogyi,MMR010019
 Total,10587,30378,40965,Natogyi,MMR010019
 Urban,6317,2696,9013,Kyaukpadaung,MMR010020
 Rural,13033,39915,52948,Kyaukpadaung,MMR010020
 Total,19350,42611,61961,Kyaukpadaung,MMR010020
 Urban,818,839,1657,Ngazun,MMR010021
 Rural,4275,21906,26181,Ngazun,MMR010021
 Total,5093,22745,27838,Ngazun,MMR010021
 Urban,6441,3074,9515,Nyaung U,MMR010022
 Rural,9422,25725,35147,Nyaung U,MMR010022
 Total,15863,28799,44662,Nyaung U,MMR010022
 Urban,3165,2162,5327,Yame`thin,MMR010023
 Rural,9828,42104,51932,Yame`thin,MMR010023
 Total,12993,44266,57259,Yame`thin,MMR010023
 Urban,3726,3148,6874,Pyawbwe,MMR010024
 Rural,11789,40200,51989,Pyawbwe,MMR010024
 Total,15515,43348,58863,Pyawbwe,MMR010024
 Urban,14856,9107,23963,Meiktila,MMR010028
 Rural,12767,31709,44476,Meiktila,MMR010028
 Total,27623,40816,68439,Meiktila,MMR010028
 Urban,3023,1697,4720,Thazi,MMR010030
 Rural,9519,30653,40172,Thazi,MMR010030
 Total,12542,32350,44892,Thazi,MMR010030
 Urban,3383,3917,7300,Wundwin,MMR010031
 Rural,9692,36577,46269,Wundwin,MMR010031
 Total,13075,40494,53569,Wundwin,MMR010031
 Urban,31088,18646,49734,Mawlamyine,MMR011001
 Rural,3639,4084,7723,Mawlamyine,MMR011001
 Total,34727,22730,57457,Mawlamyine,MMR011001
 Urban,992,1184,2176,Kyaikemaraw,MMR011002
 Rural,7581,29131,36712,Kyaikemaraw,MMR011002
 Total,8573,30315,38888,Kyaikemaraw,MMR011002
 Urban,820,924,1744,Chaungzon,MMR011003
 Rural,7924,18276,26200,Chaungzon,MMR011003
 Total,8744,19200,27944,Chaungzon,MMR011003
 Urban,5752,5963,11715,Thanbyuzayat,MMR011004
 Rural,6417,18102,24519,Thanbyuzayat,MMR011004
 Total,12169,24065,36234,Thanbyuzayat,MMR011004
 Urban,6210,4582,10792,Mudon,MMR011005
 Rural,10035,18485,28520,Mudon,MMR011005
 Total,16245,23067,39312,Mudon,MMR011005
 Urban,3720,2393,6113,Ye,MMR011006
 Rural,5715,18163,23878,Ye,MMR011006
 Total,9435,20556,29991,Ye,MMR011006
 Urban,1176,1791,2967,Lamine,MMR011006
 Rural,3834,11838,15672,Lamine,MMR011006
 Total,5010,13629,18639,Lamine,MMR011006
 Urban,125,653,778,Khawzar,MMR011006
 Rural,580,3460,4040,Khawzar,MMR011006
 Total,705,4113,4818,Khawzar,MMR011006
 Urban,5177,5529,10706,Thaton,MMR011007
 Rural,9784,27794,37578,Thaton,MMR011007
 Total,14961,33323,48284,Thaton,MMR011007
 Urban,2410,3492,5902,Paung,MMR011008
 Rural,10628,27196,37824,Paung,MMR011008
 Total,13038,30688,43726,Paung,MMR011008
 Urban,3730,3786,7516,Kyaikto,MMR011009
 Rural,8285,22287,30572,Kyaikto,MMR011009
 Total,12015,26073,38088,Kyaikto,MMR011009
 Urban,2134,1910,4044,Bilin,MMR011010
 Rural,6758,28429,35187,Bilin,MMR011010
 Total,8892,30339,39231,Bilin,MMR011010
 Urban,9905,9001,18906,Sittway,MMR012001
 Rural,3000,7130,10130,Sittway,MMR012001
 Total,12905,16131,29036,Sittway,MMR012001
 Urban,1084,1382,2466,Ponnagyun,MMR012002
 Rural,1065,21804,22869,Ponnagyun,MMR012002
 Total,2149,23186,25335,Ponnagyun,MMR012002
 Urban,814,1656,2470,Pauktaw,MMR012007
 Rural,1471,26603,28074,Pauktaw,MMR012007
 Total,2285,28259,30544,Pauktaw,MMR012007
 Urban,870,640,1510,Yethedaung,MMR012008
 Rural,2809,20022,22831,Yethedaung,MMR012008
 Total,3679,20662,24341,Yethedaung,MMR012008
 Urban,1902,5372,7274,Myauk U,MMR012003
 Rural,2168,32083,34251,Myauk U,MMR012003
 Total,4070,37455,41525,Myauk U,MMR012003
 Urban,1915,1924,3839,Kyauktaw,MMR012004
 Rural,3062,29594,32656,Kyauktaw,MMR012004
 Total,4977,31518,36495,Kyauktaw,MMR012004
 Urban,1632,2983,4615,Minbya,MMR012005
 Rural,1639,30374,32013,Minbya,MMR012005
 Total,3271,33357,36628,Minbya,MMR012005
 Urban,807,1811,2618,Myebon,MMR012006
 Rural,1689,27032,28721,Myebon,MMR012006
 Total,2496,28843,31339,Myebon,MMR012006
 Urban,1391,923,2314,Maungtaw,MMR012009
 Rural,1117,3959,5076,Maungtaw,MMR012009
 Total,2508,4882,7390,Maungtaw,MMR012009
 Urban,1191,871,2062,Buthidaung,MMR012010
 Rural,1387,7815,9202,Buthidaung,MMR012010
 Total,2578,8686,11264,Buthidaung,MMR012010
 Urban,23,135,158,Taungpyoletwe(ST),MMR012009
 Rural,6,342,348,Taungpyoletwe(ST),MMR012009
 Total,29,477,506,Taungpyoletwe(ST),MMR012009
 Urban,2718,1536,4254,Kyaukpyu,MMR012011
 Rural,3219,29791,33010,Kyaukpyu,MMR012011
 Total,5937,31327,37264,Kyaukpyu,MMR012011
 Urban,705,601,1306,Mannaung,MMR017011
 Rural,1700,11729,13429,Mannaung,MMR017011
 Total,2405,12330,14735,Mannaung,MMR017011
 Urban,920,1328,2248,Yanbye,MMR012013
 Rural,1059,19111,20170,Yanbye,MMR012013
 Total,1979,20439,22418,Yanbye,MMR012013
 Urban,1099,779,1878,An,MMR012014
 Rural,2838,22643,25481,An,MMR012014
 Total,3937,23422,27359,An,MMR012014
 Urban,2107,1243,3350,Thandwe,MMR012015
 Rural,6598,21127,27725,Thandwe,MMR012015
 Total,8705,22370,31075,Thandwe,MMR012015
 Urban,3428,2750,6178,Toungup,MMR012016
 Rural,2340,16721,19061,Toungup,MMR012016
 Total,5768,19471,25239,Toungup,MMR012016
 Urban,1076,1412,2488,Gwa,MMR012017
 Rural,809,7948,8757,Gwa,MMR012017
 Total,1885,9360,11245,Gwa,MMR012017
 Urban,98,1117,1215,Maei(ST),MMR012016
 Rural,235,8503,8738,Maei(ST),MMR012016
 Total,333,9620,9953,Maei(ST),MMR012016
 Urban,439,1036,1475,Kyeintali(ST),MMR012017
 Rural,502,4104,4606,Kyeintali(ST),MMR012017
 Total,941,5140,6081,Kyeintali(ST),MMR012017
 Urban,45976,15700,61676,Insein,MMR013001
 Total,45976,15700,61676,Insein,MMR013001
 Urban,30469,11172,41641,Mingaladon,MMR013002
 Rural,14057,10605,24662,Mingaladon,MMR013002
 Total,44526,21777,66303,Mingaladon,MMR013002
 Urban,3756,2186,5942,Hmawby,MMR013003
 Rural,24104,26423,50527,Hmawby,MMR013003
 Total,27860,28609,56469,Hmawby,MMR013003
 Urban,5789,2960,8749,Hlegu,MMR013004
 Rural,21981,27293,49274,Hlegu,MMR013004
 Total,27770,30253,58023,Hlegu,MMR013004
 Urban,9120,11239,20359,Taikkyi,MMR013005
 Rural,10723,35917,46640,Taikkyi,MMR013005
 Total,19843,47156,66999,Taikkyi,MMR013005
 Urban,993,1063,2056,Htantabin,MMR013006
 Rural,11092,21063,32155,Htantabin,MMR013006
 Total,12085,22126,34211,Htantabin,MMR013006
 Urban,34191,24320,58511,Shwepyitha,MMR013007
 Rural,7768,7496,15264,Shwepyitha,MMR013007
 Total,41959,31816,73775,Shwepyitha,MMR013007
 Urban,54661,49146,103807,Hlinethaya,MMR013008
 Rural,16771,28133,44904,Hlinethaya,MMR013008
 Total,71432,77279,148711,Hlinethaya,MMR013008
 Urban,35436,7884,43320,Thingangyun,MMR013009
 Total,35436,7884,43320,Thingangyun,MMR013009
 Urban,13270,1367,14637,Yankin,MMR013010
 Total,13270,1367,14637,Yankin,MMR013010
 Urban,27068,5657,32725,South Okkalapa,MMR013011
 Total,27068,5657,32725,South Okkalapa,MMR013011
 Urban,46986,17770,64756,North Okkalapa,MMR013012
 Total,46986,17770,64756,North Okkalapa,MMR013012
 Urban,35359,10097,45456,Thakayta,MMR013013
 Total,35359,10097,45456,Thakayta,MMR013013
 Urban,11236,3173,14409,Dawbon,MMR013014
 Total,11236,3173,14409,Dawbon,MMR013014
 Urban,33432,1928,35360,Tamway,MMR013015
 Total,33432,1928,35360,Tamway,MMR013015
 Urban,9704,602,10306,Pazuntaung,MMR013016
 Total,9704,602,10306,Pazuntaung,MMR013016
 Urban,7823,574,8397,Botahtaung,MMR013017
 Total,7823,574,8397,Botahtaung,MMR013017
 Urban,47585,29399,76984,Dagon Myothit(South),MMR013018
 Total,47585,29399,76984,Dagon Myothit(South),MMR013018
 Urban,35386,7318,42704,Dagon Myothit(North),MMR013019
 Total,35386,7318,42704,Dagon Myothit(North),MMR013019
 Urban,22070,9825,31895,Dagon Myothit(East),MMR013020
 Rural,868,1150,2018,Dagon Myothit(East),MMR013020
 Total,22938,10975,33913,Dagon Myothit(East),MMR013020
 Urban,19158,15014,34172,Dagon Myothit(Seik),MMR013021
 Rural,1448,2285,3733,Dagon Myothit(Seik),MMR013021
 Total,20606,17299,37905,Dagon Myothit(Seik),MMR013021
 Urban,23591,2327,25918,Mingala Taungnyunt,MMR013022
 Total,23591,2327,25918,Mingala Taungnyunt,MMR013022
 Urban,13197,5512,18709,Thanlyin,MMR013023
 Rural,21024,21864,42888,Thanlyin,MMR013023
 Total,34221,27376,61597,Thanlyin,MMR013023
 Urban,5667,4197,9864,Kyauktan,MMR013024
 Rural,9324,13788,23112,Kyauktan,MMR013024
 Total,14991,17985,32976,Kyauktan,MMR013024
 Urban,3101,3655,6756,Thongwa,MMR013025
 Rural,9477,23854,33331,Thongwa,MMR013025
 Total,12578,27509,40087,Thongwa,MMR013025
 Urban,3433,4445,7878,Khayan,MMR013026
 Rural,7680,23756,31436,Khayan,MMR013026
 Total,11113,28201,39314,Khayan,MMR013026
 Urban,4220,4977,9197,Twantay,MMR013027
 Rural,12608,29797,42405,Twantay,MMR013027
 Total,16828,34774,51602,Twantay,MMR013027
 Urban,1125,1106,2231,Kawhmu,MMR013028
 Rural,7847,19714,27561,Kawhmu,MMR013028
 Total,8972,20820,29792,Kawhmu,MMR013028
 Urban,2019,1939,3958,Kungyangon,MMR013029
 Rural,7482,16912,24394,Kungyangon,MMR013029
 Total,9501,18851,28352,Kungyangon,MMR013029
 Urban,13152,12179,25331,Dala,MMR013030
 Rural,5056,7525,12581,Dala,MMR013030
 Total,18208,19704,37912,Dala,MMR013030
 Urban,93,258,351,Cocogyun,MMR013032
 Total,93,258,351,Cocogyun,MMR013032
 Urban,788,1702,2490,Tada(ST),MMR013024
 Rural,1611,5392,7003,Tada(ST),MMR013024
 Total,2399,7094,9493,Tada(ST),MMR013024
 Urban,5807,313,6120,Kyauktada,MMR013033
 Total,5807,313,6120,Kyauktada,MMR013033
 Urban,6201,362,6563,Pabedan,MMR013034
 Total,6201,362,6563,Pabedan,MMR013034
 Urban,8166,433,8599,Lanmadaw,MMR013035
 Total,8166,433,8599,Lanmadaw,MMR013035
 Urban,4143,330,4473,Latha,MMR013036
 Total,4143,330,4473,Latha,MMR013036
 Urban,10069,874,10943,Ahlon,MMR013037
 Total,10069,874,10943,Ahlon,MMR013037
 Urban,17242,5820,23062,Kyimyindine,MMR013038
 Total,17242,5820,23062,Kyimyindine,MMR013038
 Urban,19611,1024,20635,Sangyoung,MMR013039
 Total,19611,1024,20635,Sangyoung,MMR013039
 Urban,29369,3468,32837,Hline,MMR013040
 Total,29369,3468,32837,Hline,MMR013040
 Urban,15536,763,16299,Kamayut,MMR013041
 Total,15536,763,16299,Kamayut,MMR013041
 Urban,32722,6085,38807,Mayangon,MMR013042
 Total,32722,6085,38807,Mayangon,MMR013042
 Urban,4397,211,4608,Dagon,MMR013043
 Total,4397,211,4608,Dagon,MMR013043
 Urban,16326,1100,17426,Bahan,MMR013044
 Total,16326,1100,17426,Bahan,MMR013044
 Urban,380,30,410,Seikkan,MMR013045
 Total,380,30,410,Seikkan,MMR013045
 Urban,38687,17961,56648,Taunggyi,MMR014001
 Rural,9774,16182,25956,Taunggyi,MMR014001
 Total,48461,34143,82604,Taunggyi,MMR014001
 Urban,2305,754,3059,Nyaungshwe,MMR014002
 Rural,12668,26907,39575,Nyaungshwe,MMR014002
 Total,14973,27661,42634,Nyaungshwe,MMR014002
 Urban,2497,2039,4536,Hopon,MMR014003
 Rural,2695,17497,20192,Hopon,MMR014003
 Total,5192,19536,24728,Hopon,MMR014003
 Urban,1270,1379,2649,Hsihseng,MMR014004
 Rural,3485,26637,30122,Hsihseng,MMR014004
 Total,4755,28016,32771,Hsihseng,MMR014004
 Urban,8416,4182,12598,Kalaw,MMR014005
 Rural,8484,20259,28743,Kalaw,MMR014005
 Total,16900,24441,41341,Kalaw,MMR014005
 Urban,1333,926,2259,Pindaya,MMR014006
 Rural,1516,13769,15285,Pindaya,MMR014006
 Total,2849,14695,17544,Pindaya,MMR014006
 Urban,760,395,1155,Ywarngan,MMR014007
 Rural,1447,15746,17193,Ywarngan,MMR014007
 Total,2207,16141,18348,Ywarngan,MMR014007
 Urban,3893,1784,5677,Yatsauk,MMR014008
 Rural,4428,15852,20280,Yatsauk,MMR014008
 Total,8321,17636,25957,Yatsauk,MMR014008
 Urban,2109,661,2770,Pinlaung,MMR014009
 Rural,4254,18480,22734,Pinlaung,MMR014009
 Total,6363,19141,25504,Pinlaung,MMR014009
 Urban,1614,1817,3431,Phekon,MMR014010
 Rural,2701,13952,16653,Phekon,MMR014010
 Total,4315,15769,20084,Phekon,MMR014010
 Urban,112,490,602,Kyauktalongyi(ST),MMR014001
 Rural,2187,9476,11663,Kyauktalongyi(ST),MMR014001
 Total,2299,9966,12265,Kyauktalongyi(ST),MMR014001
 Urban,950,886,1836,Indaw(ST),MMR014008
 Rural,500,5814,6314,Indaw(ST),MMR014008
 Total,1450,6700,8150,Indaw(ST),MMR014008
 Urban,722,257,979,Naungtayar(ST),MMR014009
 Rural,2747,12853,15600,Naungtayar(ST),MMR014009
 Total,3469,13110,16579,Naungtayar(ST),MMR014009
 Urban,1811,1042,2853,Loilem,MMR014011
 Rural,947,7101,8048,Loilem,MMR014011
 Total,2758,8143,10901,Loilem,MMR014011
 Urban,959,371,1330,Le`char,MMR014012
 Rural,1339,6121,7460,Le`char,MMR014012
 Total,2298,6492,8790,Le`char,MMR014012
 Urban,3442,1399,4841,Nanhsam(South),MMR014013
 Rural,2493,11529,14022,Nanhsam(South),MMR014013
 Total,5935,12928,18863,Nanhsam(South),MMR014013
 Urban,997,545,1542,Kunhing,MMR014014
 Rural,559,2469,3028,Kunhing,MMR014014
 Total,1556,3014,4570,Kunhing,MMR014014
 Urban,251,591,842,Kehsi,MMR014015
 Rural,547,7512,8059,Kehsi,MMR014015
 Total,798,8103,8901,Kehsi,MMR014015
 Urban,612,1607,2219,Mongkai,MMR014016
 Rural,217,13896,14113,Mongkai,MMR014016
 Total,829,15503,16332,Mongkai,MMR014016
 Urban,1147,936,2083,Mineshu,MMR014017
 Rural,979,6139,7118,Mineshu,MMR014017
 Total,2126,7075,9201,Mineshu,MMR014017
 Urban,2882,2342,5224,Panglong(ST),MMR014011
 Rural,1253,8039,9292,Panglong(ST),MMR014011
 Total,4135,10381,14516,Panglong(ST),MMR014011
 Urban,1097,651,1748,Kholan(ST),MMR014013
 Rural,667,1949,2616,Kholan(ST),MMR014013
 Total,1764,2600,4364,Kholan(ST),MMR014013
 Urban,1050,615,1665,Karli(ST),MMR014014
 Rural,574,4328,4902,Karli(ST),MMR014014
 Total,1624,4943,6567,Karli(ST),MMR014014
 Urban,52,700,752,Minenaung(ST),MMR014015
 Rural,183,4876,5059,Minenaung(ST),MMR014015
 Total,235,5576,5811,Minenaung(ST),MMR014015
 Urban,45,462,507,Minesan(Monsan)(ST),MMR014017
 Rural,1311,4848,6159,Minesan(Monsan)(ST),MMR014017
 Total,1356,5310,6666,Minesan(Monsan)(ST),MMR014017
 Urban,1508,210,1718,Linkhe`,MMR014018
 Rural,1880,4790,6670,Linkhe`,MMR014018
 Total,3388,5000,8388,Linkhe`,MMR014018
 Urban,1104,999,2103,Mone`,MMR014019
 Rural,561,3560,4121,Mone`,MMR014019
 Total,1665,4559,6224,Mone`,MMR014019
 Urban,208,984,1192,Maukme`,MMR014020
 Rural,54,5948,6002,Maukme`,MMR014020
 Total,262,6932,7194,Maukme`,MMR014020
 Urban,1283,676,1959,Minepan,MMR014021
 Rural,1090,2372,3462,Minepan,MMR014021
 Total,2373,3048,5421,Minepan,MMR014021
 Urban,11,663,674,Homane(ST),MMR014018
 Rural,2,484,486,Homane(ST),MMR014018
 Total,13,1147,1160,Homane(ST),MMR014018
 Urban,156,1941,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,156,2105,2261,Kengtaung(ST),MMR014019
 Urban,24466,9633,34099,Lashio,MMR015001
 Rural,5652,25181,30833,Lashio,MMR015001
 Total,30118,34814,64932,Lashio,MMR015001
 Urban,1625,298,1923,Theinni,MMR015002
 Rural,3462,6394,9856,Theinni,MMR015002
 Total,5087,6692,11779,Theinni,MMR015002
 Urban,859,611,1470,Mineye`,MMR015003
 Rural,942,10916,11858,Mineye`,MMR015003
 Total,1801,11527,13328,Mineye`,MMR015003
 Urban,2876,3932,6808,Tantyan,MMR015004
 Rural,822,27512,28334,Tantyan,MMR015004
 Total,3698,31444,35142,Tantyan,MMR015004
 Urban,11069,2265,13334,MuSe,MMR015009
 Rural,4768,4112,8880,MuSe,MMR015009
 Total,15837,6377,22214,MuSe,MMR015009
 Urban,5266,866,6132,Namkham,MMR015010
 Rural,7509,7776,15285,Namkham,MMR015010
 Total,12775,8642,21417,Namkham,MMR015010
 Urban,2962,1721,4683,Kukai,MMR015011
 Rural,2074,12274,14348,Kukai,MMR015011
 Total,5036,13995,19031,Kukai,MMR015011
 Urban,1372,97,1469,Monekoe(ST),MMR015009
 Rural,1677,1212,2889,Monekoe(ST),MMR015009
 Total,3049,1309,4358,Monekoe(ST),MMR015009
 Urban,319,27,346,Manhero(ST),MMR015009
 Rural,1152,145,1297,Manhero(ST),MMR015009
 Total,1471,172,1643,Manhero(ST),MMR015009
 Urban,1623,145,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,1125,1650,2775,Pansai(KyuKute)(ST),MMR015009
 Total,2748,1795,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,1291,1196,2487,Tamoenye(ST),MMR015011
 Rural,425,10137,10562,Tamoenye(ST),MMR015011
 Total,1716,11333,13049,Tamoenye(ST),MMR015011
 Urban,5758,2895,8653,Kyukme,MMR015012
 Rural,4810,14908,19718,Kyukme,MMR015012
 Total,10568,17803,28371,Kyukme,MMR015012
 Urban,2606,1565,4171,Naungkhio,MMR015013
 Rural,7803,20250,28053,Naungkhio,MMR015013
 Total,10409,21815,32224,Naungkhio,MMR015013
 Urban,2930,1079,4009,Hsipaw,MMR015014
 Rural,7270,26627,33897,Hsipaw,MMR015014
 Total,10200,27706,37906,Hsipaw,MMR015014
 Urban,611,2646,3257,Namtu,MMR015015
 Rural,612,7772,8384,Namtu,MMR015015
 Total,1223,10418,11641,Namtu,MMR015015
 Urban,384,551,935,Namsan(North),MMR015016
 Rural,954,11796,12750,Namsan(North),MMR015016
 Total,1338,12347,13685,Namsan(North),MMR015016
 Urban,1266,967,2233,Momeik,MMR015017
 Rural,2293,9126,11419,Momeik,MMR015017
 Total,3559,10093,13652,Momeik,MMR015017
 Urban,522,192,714,Mabane,MMR015018
 Rural,2867,5051,7918,Mabane,MMR015018
 Total,3389,5243,8632,Mabane,MMR015018
 Urban,243,536,779,Manton,MMR015019
 Rural,178,6726,6904,Manton,MMR015019
 Total,421,7262,7683,Manton,MMR015019
 Urban,171,442,613,Minengaw(ST),MMR015012
 Rural,148,3268,3416,Minengaw(ST),MMR015012
 Total,319,3710,4029,Minengaw(ST),MMR015012
 Urban,134,452,586,Minelon(ST),MMR015012
 Rural,213,5057,5270,Minelon(ST),MMR015012
 Total,347,5509,5856,Minelon(ST),MMR015012
 Urban,468,690,1158,Kunlon,MMR015020
 Rural,2001,7233,9234,Kunlon,MMR015020
 Total,2469,7923,10392,Kunlon,MMR015020
 Urban,2811,130,2941,Laukine,MMR015022
 Rural,7389,3901,11290,Laukine,MMR015022
 Total,10200,4031,14231,Laukine,MMR015022
 Urban,161,33,194,Kongyan,MMR015023
 Rural,1569,3699,5268,Kongyan,MMR015023
 Total,1730,3732,5462,Kongyan,MMR015023
 Urban,400,219,619,Chinshwehaw(ST),MMR015022
 Rural,175,156,331,Chinshwehaw(ST),MMR015022
 Total,575,375,950,Chinshwehaw(ST),MMR015022
 Urban,81,4,85,Mawhtike(ST),MMR015023
 Rural,2870,1248,4118,Mawhtike(ST),MMR015023
 Total,2951,1252,4203,Mawhtike(ST),MMR015023
 Urban,2399,979,3378,Hopan,MMR015021
 Rural,2493,4160,6653,Hopan,MMR015021
 Total,4892,5139,10031,Hopan,MMR015021
 Urban,684,169,853,Minemaw,MMR015008
 Rural,3755,5837,9592,Minemaw,MMR015008
 Total,4439,6006,10445,Minemaw,MMR015008
 Urban,382,87,469,Panwine,MMR015007
 Rural,6856,6644,13500,Panwine,MMR015007
 Total,7238,6731,13969,Panwine,MMR015007
 Urban,89,572,661,Panlon(ST),MMR015021
 Rural,97,427,524,Panlon(ST),MMR015021
 Total,186,999,1185,Panlon(ST),MMR015021
 Urban,41,26,67,Makman,MMR015024
 Rural,109,3142,3251,Makman,MMR015024
 Total,150,3168,3318,Makman,MMR015024
 Urban,1950,72,2022,Pan San(Pan Kham),MMR015005
 Rural,5166,8954,14120,Pan San(Pan Kham),MMR015005
 Total,7116,9026,16142,Pan San(Pan Kham),MMR015005
 Urban,132,23,155,Naphang,MMR015006
 Rural,4897,11422,16319,Naphang,MMR015006
 Total,5029,11445,16474,Naphang,MMR015006
 Urban,29,52,81,ManKan(ST),MMR015005
 Rural,13,221,234,ManKan(ST),MMR015005
 Total,42,273,315,ManKan(ST),MMR015005
 Urban,7150,1952,9102,Kengtung,MMR016001
 Rural,9466,15528,24994,Kengtung,MMR016001
 Total,16616,17480,34096,Kengtung,MMR016001
 Urban,276,282,558,Minekat,MMR016002
 Rural,644,6823,7467,Minekat,MMR016002
 Total,920,7105,8025,Minekat,MMR016002
 Urban,751,238,989,Mineyan,MMR016003
 Rural,3995,5135,9130,Mineyan,MMR016003
 Total,4746,5373,10119,Mineyan,MMR016003
 Urban,1522,38,1560,Minelar,MMR016005
 Rural,1369,2279,3648,Minelar,MMR016005
 Total,2891,2317,5208,Minelar,MMR016005
 Rural,5359,3926,9285,Mine Pauk(ST),MMR016003
 Total,5359,3926,9285,Mine Pauk(ST),MMR016003
 Urban,1104,457,1561,Minesat,MMR016006
 Rural,1911,12437,14348,Minesat,MMR016006
 Total,3015,12894,15909,Minesat,MMR016006
 Urban,901,432,1333,Minepyin,MMR016007
 Rural,1122,8150,9272,Minepyin,MMR016007
 Total,2023,8582,10605,Minepyin,MMR016007
 Urban,854,265,1119,Minetung,MMR016008
 Rural,383,2756,3139,Minetung,MMR016008
 Total,1237,3021,4258,Minetung,MMR016008
 Urban,79,205,284,Minekoke(ST),MMR016006
 Rural,226,2692,2918,Minekoke(ST),MMR016006
 Total,305,2897,3202,Minekoke(ST),MMR016006
 Urban,104,323,427,Tontar(ST),MMR016007
 Rural,72,2195,2267,Tontar(ST),MMR016007
 Total,176,2518,2694,Tontar(ST),MMR016007
 Urban,71,650,721,Ponparkyin(ST),MMR016008
 Rural,848,5765,6613,Ponparkyin(ST),MMR016008
 Total,919,6415,7334,Ponparkyin(ST),MMR016008
 Urban,3,88,91,Monehta(ST),MMR016008
 Rural,12,826,838,Monehta(ST),MMR016008
 Total,15,914,929,Monehta(ST),MMR016008
 Urban,9913,1181,11094,Tachileik,MMR016009
 Rural,13017,7068,20085,Tachileik,MMR016009
 Total,22930,8249,31179,Tachileik,MMR016009
 Urban,499,374,873,Talay(ST),MMR016009
 Rural,663,2482,3145,Talay(ST),MMR016009
 Total,1162,2856,4018,Talay(ST),MMR016009
 Urban,714,48,762,Kenglat(ST),MMR016009
 Rural,749,965,1714,Kenglat(ST),MMR016009
 Total,1463,1013,2476,Kenglat(ST),MMR016009
 Urban,1000,323,1323,Minephyat,MMR016010
 Rural,1354,3488,4842,Minephyat,MMR016010
 Total,2354,3811,6165,Minephyat,MMR016010
 Urban,867,323,1190,Mineyaung,MMR016011
 Rural,1184,3955,5139,Mineyaung,MMR016011
 Total,2051,4278,6329,Mineyaung,MMR016011
 Urban,28,203,231,Mineyu(ST),MMR016011
 Rural,7497,3139,10636,Mineyu(ST),MMR016011
 Total,7525,3342,10867,Mineyu(ST),MMR016011
