Urban_Rural,Motorcycle_Moped_Yes,Motorcycle_Moped_No,Motorcycle_Moped_Total,Township,MIMU_code
 Total,4761,5771,10532,Htilin,MMR009024
 Urban,468,793,1261,Saw,MMR009025
 Rural,2631,4433,7064,Saw,MMR009025
 Total,3099,5226,8325,Saw,MMR009025
 Urban,580,560,1140,Kyaukhtu(ST),MMR009025
 Rural,3004,3465,6469,Kyaukhtu(ST),MMR009025
 Total,3584,4025,7609,Kyaukhtu(ST),MMR009025
 Urban,38404,11327,49731,Aungmyetharzan,MMR010001
 Total,38404,11327,49731,Aungmyetharzan,MMR010001
 Urban,26954,6327,33281,Chanayeharzan,MMR010002
 Total,26954,6327,33281,Chanayeharzan,MMR010002
 Urban,33346,8581,41927,Mahaaungmye,MMR010003
 Total,33346,8581,41927,Mahaaungmye,MMR010003
 Urban,41942,11105,53047,Chanmyatharzi,MMR010004
 Total,41942,11105,53047,Chanmyatharzi,MMR010004
 Urban,33243,10632,43875,Pyigyidagun,MMR010005
 Total,33243,10632,43875,Pyigyidagun,MMR010005
 Urban,11261,5369,16630,Amarapura,MMR010006
 Rural,22684,10312,32996,Amarapura,MMR010006
 Total,33945,15681,49626,Amarapura,MMR010006
 Urban,2148,554,2702,Patheingyi,MMR010007
 Rural,34174,16114,50288,Patheingyi,MMR010007
 Total,36322,16668,52990,Patheingyi,MMR010007
 Urban,24588,7353,31941,Pyin Oo Lwin,MMR010008
 Rural,15653,5788,21441,Pyin Oo Lwin,MMR010008
 Total,40241,13141,53382,Pyin Oo Lwin,MMR010008
 Urban,3252,2059,5311,Madaya,MMR010009
 Rural,25447,27887,53334,Madaya,MMR010009
 Total,28699,29946,58645,Madaya,MMR010009
 Urban,993,739,1732,Sinku,MMR010010
 Rural,15472,17329,32801,Sinku,MMR010010
 Total,16465,18068,34533,Sinku,MMR010010
 Urban,11802,4884,16686,Mogok,MMR010011
 Rural,12532,6029,18561,Mogok,MMR010011
 Total,24334,10913,35247,Mogok,MMR010011
 Urban,417,771,1188,Thabeikkyin,MMR010012
 Rural,12187,12374,24561,Thabeikkyin,MMR010012
 Total,12604,13145,25749,Thabeikkyin,MMR010012
 Urban,938,855,1793,Tagaung,MMR010012
 Rural,3088,2511,5599,Tagaung,MMR010012
 Total,4026,3366,7392,Tagaung,MMR010012
 Urban,6059,2432,8491,Kyaukse,MMR010013
 Rural,27551,21723,49274,Kyaukse,MMR010013
 Total,33610,24155,57765,Kyaukse,MMR010013
 Urban,1334,446,1780,Singaing,MMR010014
 Rural,21237,10562,31799,Singaing,MMR010014
 Total,22571,11008,33579,Singaing,MMR010014
 Urban,2754,1592,4346,Myitthar,MMR010015
 Rural,21097,20574,41671,Myitthar,MMR010015
 Total,23851,22166,46017,Myitthar,MMR010015
 Urban,1910,742,2652,Tada U,MMR010016
 Rural,18175,11800,29975,Tada U,MMR010016
 Total,20085,12542,32627,Tada U,MMR010016
 Urban,11188,7709,18897,Myingyan,MMR010017
 Rural,23027,20416,43443,Myingyan,MMR010017
 Total,34215,28125,62340,Myingyan,MMR010017
 Urban,2354,1509,3863,Taungtha,MMR010018
 Rural,19426,26563,45989,Taungtha,MMR010018
 Total,21780,28072,49852,Taungtha,MMR010018
 Urban,1874,968,2842,Natogyi,MMR010019
 Rural,20524,17599,38123,Natogyi,MMR010019
 Total,22398,18567,40965,Natogyi,MMR010019
 Urban,6283,2730,9013,Kyaukpadaung,MMR010020
 Rural,18675,34273,52948,Kyaukpadaung,MMR010020
 Total,24958,37003,61961,Kyaukpadaung,MMR010020
 Urban,955,702,1657,Ngazun,MMR010021
 Rural,14266,11915,26181,Ngazun,MMR010021
 Total,15221,12617,27838,Ngazun,MMR010021
 Urban,6952,2563,9515,Nyaung U,MMR010022
 Rural,13832,21315,35147,Nyaung U,MMR010022
 Total,20784,23878,44662,Nyaung U,MMR010022
 Urban,3044,2283,5327,Yame`thin,MMR010023
 Rural,21939,29993,51932,Yame`thin,MMR010023
 Total,24983,32276,57259,Yame`thin,MMR010023
 Urban,3634,3240,6874,Pyawbwe,MMR010024
 Rural,21376,30613,51989,Pyawbwe,MMR010024
 Total,25010,33853,58863,Pyawbwe,MMR010024
 Urban,14805,9158,23963,Meiktila,MMR010028
 Rural,21350,23126,44476,Meiktila,MMR010028
 Total,36155,32284,68439,Meiktila,MMR010028
 Urban,2611,2109,4720,Thazi,MMR010030
 Rural,19781,20391,40172,Thazi,MMR010030
 Total,22392,22500,44892,Thazi,MMR010030
 Urban,4333,2967,7300,Wundwin,MMR010031
 Rural,25086,21183,46269,Wundwin,MMR010031
 Total,29419,24150,53569,Wundwin,MMR010031
 Urban,24322,25412,49734,Mawlamyine,MMR011001
 Rural,3075,4648,7723,Mawlamyine,MMR011001
 Total,27397,30060,57457,Mawlamyine,MMR011001
 Urban,904,1272,2176,Kyaikemaraw,MMR011002
 Rural,16141,20571,36712,Kyaikemaraw,MMR011002
 Total,17045,21843,38888,Kyaikemaraw,MMR011002
 Urban,762,982,1744,Chaungzon,MMR011003
 Rural,10166,16034,26200,Chaungzon,MMR011003
 Total,10928,17016,27944,Chaungzon,MMR011003
 Urban,6061,5654,11715,Thanbyuzayat,MMR011004
 Rural,13848,10671,24519,Thanbyuzayat,MMR011004
 Total,19909,16325,36234,Thanbyuzayat,MMR011004
 Urban,6140,4652,10792,Mudon,MMR011005
 Rural,17045,11475,28520,Mudon,MMR011005
 Total,23185,16127,39312,Mudon,MMR011005
 Urban,3744,2369,6113,Ye,MMR011006
 Rural,11438,12440,23878,Ye,MMR011006
 Total,15182,14809,29991,Ye,MMR011006
 Urban,1823,1144,2967,Lamine,MMR011006
 Rural,8336,7336,15672,Lamine,MMR011006
 Total,10159,8480,18639,Lamine,MMR011006
 Urban,455,323,778,Khawzar,MMR011006
 Rural,2185,1855,4040,Khawzar,MMR011006
 Total,2640,2178,4818,Khawzar,MMR011006
 Urban,3829,6877,10706,Thaton,MMR011007
 Rural,10573,27005,37578,Thaton,MMR011007
 Total,14402,33882,48284,Thaton,MMR011007
 Urban,1933,3969,5902,Paung,MMR011008
 Rural,10778,27046,37824,Paung,MMR011008
 Total,12711,31015,43726,Paung,MMR011008
 Urban,3172,4344,7516,Kyaikto,MMR011009
 Rural,9865,20707,30572,Kyaikto,MMR011009
 Total,13037,25051,38088,Kyaikto,MMR011009
 Urban,1744,2300,4044,Bilin,MMR011010
 Rural,9010,26177,35187,Bilin,MMR011010
 Total,10754,28477,39231,Bilin,MMR011010
 Urban,6806,12100,18906,Sittway,MMR012001
 Rural,1356,8774,10130,Sittway,MMR012001
 Total,8162,20874,29036,Sittway,MMR012001
 Urban,411,2055,2466,Ponnagyun,MMR012002
 Rural,357,22512,22869,Ponnagyun,MMR012002
 Total,768,24567,25335,Ponnagyun,MMR012002
 Urban,246,2224,2470,Pauktaw,MMR012007
 Rural,97,27977,28074,Pauktaw,MMR012007
 Total,343,30201,30544,Pauktaw,MMR012007
 Urban,214,1296,1510,Yethedaung,MMR012008
 Rural,601,22230,22831,Yethedaung,MMR012008
 Total,815,23526,24341,Yethedaung,MMR012008
 Urban,1628,5646,7274,Myauk U,MMR012003
 Rural,1842,32409,34251,Myauk U,MMR012003
 Total,3470,38055,41525,Myauk U,MMR012003
 Urban,1135,2704,3839,Kyauktaw,MMR012004
 Rural,1988,30668,32656,Kyauktaw,MMR012004
 Total,3123,33372,36495,Kyauktaw,MMR012004
 Urban,928,3687,4615,Minbya,MMR012005
 Rural,904,31109,32013,Minbya,MMR012005
 Total,1832,34796,36628,Minbya,MMR012005
 Urban,371,2247,2618,Myebon,MMR012006
 Rural,932,27789,28721,Myebon,MMR012006
 Total,1303,30036,31339,Myebon,MMR012006
 Urban,779,1535,2314,Maungtaw,MMR012009
 Rural,693,4383,5076,Maungtaw,MMR012009
 Total,1472,5918,7390,Maungtaw,MMR012009
 Urban,571,1491,2062,Buthidaung,MMR012010
 Rural,518,8684,9202,Buthidaung,MMR012010
 Total,1089,10175,11264,Buthidaung,MMR012010
 Urban,22,136,158,Taungpyoletwe(ST),MMR012009
 Rural,13,335,348,Taungpyoletwe(ST),MMR012009
 Total,35,471,506,Taungpyoletwe(ST),MMR012009
 Urban,1972,2282,4254,Kyaukpyu,MMR012011
 Rural,2699,30311,33010,Kyaukpyu,MMR012011
 Total,4671,32593,37264,Kyaukpyu,MMR012011
 Urban,510,796,1306,Mannaung,MMR017011
 Rural,2346,11083,13429,Mannaung,MMR017011
 Total,2856,11879,14735,Mannaung,MMR017011
 Urban,622,1626,2248,Yanbye,MMR012013
 Rural,1458,18712,20170,Yanbye,MMR012013
 Total,2080,20338,22418,Yanbye,MMR012013
 Urban,849,1029,1878,An,MMR012014
 Rural,3000,22481,25481,An,MMR012014
 Total,3849,23510,27359,An,MMR012014
 Urban,1412,1938,3350,Thandwe,MMR012015
 Rural,7110,20615,27725,Thandwe,MMR012015
 Total,8522,22553,31075,Thandwe,MMR012015
 Urban,2362,3816,6178,Toungup,MMR012016
 Rural,2400,16661,19061,Toungup,MMR012016
 Total,4762,20477,25239,Toungup,MMR012016
 Urban,880,1608,2488,Gwa,MMR012017
 Rural,1995,6762,8757,Gwa,MMR012017
 Total,2875,8370,11245,Gwa,MMR012017
 Urban,259,956,1215,Maei(ST),MMR012016
 Rural,767,7971,8738,Maei(ST),MMR012016
 Total,1026,8927,9953,Maei(ST),MMR012016
 Urban,406,1069,1475,Kyeintali(ST),MMR012017
 Rural,1048,3558,4606,Kyeintali(ST),MMR012017
 Total,1454,4627,6081,Kyeintali(ST),MMR012017
 Urban,2792,58884,61676,Insein,MMR013001
 Total,2792,58884,61676,Insein,MMR013001
 Urban,6229,35412,41641,Mingaladon,MMR013002
 Rural,4850,19812,24662,Mingaladon,MMR013002
 Total,11079,55224,66303,Mingaladon,MMR013002
 Urban,1656,4286,5942,Hmawby,MMR013003
 Rural,15060,35467,50527,Hmawby,MMR013003
 Total,16716,39753,56469,Hmawby,MMR013003
 Urban,2559,6190,8749,Hlegu,MMR013004
 Rural,14992,34282,49274,Hlegu,MMR013004
 Total,17551,40472,58023,Hlegu,MMR013004
 Urban,6452,13907,20359,Taikkyi,MMR013005
 Rural,11995,34645,46640,Taikkyi,MMR013005
 Total,18447,48552,66999,Taikkyi,MMR013005
 Urban,444,1612,2056,Htantabin,MMR013006
 Rural,5967,26188,32155,Htantabin,MMR013006
 Total,6411,27800,34211,Htantabin,MMR013006
 Urban,7209,51302,58511,Shwepyitha,MMR013007
 Rural,1602,13662,15264,Shwepyitha,MMR013007
 Total,8811,64964,73775,Shwepyitha,MMR013007
 Urban,9808,93999,103807,Hlinethaya,MMR013008
 Rural,4773,40131,44904,Hlinethaya,MMR013008
 Total,14581,134130,148711,Hlinethaya,MMR013008
 Urban,1145,42175,43320,Thingangyun,MMR013009
 Total,1145,42175,43320,Thingangyun,MMR013009
 Urban,273,14364,14637,Yankin,MMR013010
 Total,273,14364,14637,Yankin,MMR013010
 Urban,1258,31467,32725,South Okkalapa,MMR013011
 Total,1258,31467,32725,South Okkalapa,MMR013011
 Urban,5500,59256,64756,North Okkalapa,MMR013012
 Total,5500,59256,64756,North Okkalapa,MMR013012
 Urban,1932,43524,45456,Thakayta,MMR013013
 Total,1932,43524,45456,Thakayta,MMR013013
 Urban,226,14183,14409,Dawbon,MMR013014
 Total,226,14183,14409,Dawbon,MMR013014
 Urban,329,35031,35360,Tamway,MMR013015
 Total,329,35031,35360,Tamway,MMR013015
 Urban,47,10259,10306,Pazuntaung,MMR013016
 Total,47,10259,10306,Pazuntaung,MMR013016
 Urban,121,8276,8397,Botahtaung,MMR013017
 Total,121,8276,8397,Botahtaung,MMR013017
 Urban,7836,69148,76984,Dagon Myothit(South),MMR013018
 Total,7836,69148,76984,Dagon Myothit(South),MMR013018
 Urban,3242,39462,42704,Dagon Myothit(North),MMR013019
 Total,3242,39462,42704,Dagon Myothit(North),MMR013019
 Urban,3212,28683,31895,Dagon Myothit(East),MMR013020
 Rural,340,1678,2018,Dagon Myothit(East),MMR013020
 Total,3552,30361,33913,Dagon Myothit(East),MMR013020
 Urban,3766,30406,34172,Dagon Myothit(Seik),MMR013021
 Rural,857,2876,3733,Dagon Myothit(Seik),MMR013021
 Total,4623,33282,37905,Dagon Myothit(Seik),MMR013021
 Urban,204,25714,25918,Mingala Taungnyunt,MMR013022
 Total,204,25714,25918,Mingala Taungnyunt,MMR013022
 Urban,6082,12627,18709,Thanlyin,MMR013023
 Rural,11925,30963,42888,Thanlyin,MMR013023
 Total,18007,43590,61597,Thanlyin,MMR013023
 Urban,3193,6671,9864,Kyauktan,MMR013024
 Rural,6681,16431,23112,Kyauktan,MMR013024
 Total,9874,23102,32976,Kyauktan,MMR013024
 Urban,2012,4744,6756,Thongwa,MMR013025
 Rural,10453,22878,33331,Thongwa,MMR013025
 Total,12465,27622,40087,Thongwa,MMR013025
 Urban,2277,5601,7878,Khayan,MMR013026
 Rural,10040,21396,31436,Khayan,MMR013026
 Total,12317,26997,39314,Khayan,MMR013026
 Urban,2602,6595,9197,Twantay,MMR013027
 Rural,7683,34722,42405,Twantay,MMR013027
 Total,10285,41317,51602,Twantay,MMR013027
 Urban,522,1709,2231,Kawhmu,MMR013028
 Rural,5457,22104,27561,Kawhmu,MMR013028
 Total,5979,23813,29792,Kawhmu,MMR013028
 Urban,951,3007,3958,Kungyangon,MMR013029
 Rural,5168,19226,24394,Kungyangon,MMR013029
 Total,6119,22233,28352,Kungyangon,MMR013029
 Urban,4068,21263,25331,Dala,MMR013030
 Rural,2658,9923,12581,Dala,MMR013030
 Total,6726,31186,37912,Dala,MMR013030
 Urban,90,261,351,Cocogyun,MMR013032
 Total,90,261,351,Cocogyun,MMR013032
 Urban,688,1802,2490,Tada(ST),MMR013024
 Rural,1950,5053,7003,Tada(ST),MMR013024
 Total,2638,6855,9493,Tada(ST),MMR013024
 Urban,26,6094,6120,Kyauktada,MMR013033
 Total,26,6094,6120,Kyauktada,MMR013033
 Urban,7,6556,6563,Pabedan,MMR013034
 Total,7,6556,6563,Pabedan,MMR013034
 Urban,63,8536,8599,Lanmadaw,MMR013035
 Total,63,8536,8599,Lanmadaw,MMR013035
 Urban,11,4462,4473,Latha,MMR013036
 Total,11,4462,4473,Latha,MMR013036
 Urban,142,10801,10943,Ahlon,MMR013037
 Total,142,10801,10943,Ahlon,MMR013037
 Urban,872,22190,23062,Kyimyindine,MMR013038
 Total,872,22190,23062,Kyimyindine,MMR013038
 Urban,142,20493,20635,Sangyoung,MMR013039
 Total,142,20493,20635,Sangyoung,MMR013039
 Urban,709,32128,32837,Hline,MMR013040
 Total,709,32128,32837,Hline,MMR013040
 Urban,200,16099,16299,Kamayut,MMR013041
 Total,200,16099,16299,Kamayut,MMR013041
 Urban,1556,37251,38807,Mayangon,MMR013042
 Total,1556,37251,38807,Mayangon,MMR013042
 Urban,65,4543,4608,Dagon,MMR013043
 Total,65,4543,4608,Dagon,MMR013043
 Urban,209,17217,17426,Bahan,MMR013044
 Total,209,17217,17426,Bahan,MMR013044
 Urban,9,401,410,Seikkan,MMR013045
 Total,9,401,410,Seikkan,MMR013045
 Urban,36562,20086,56648,Taunggyi,MMR014001
 Rural,16213,9743,25956,Taunggyi,MMR014001
 Total,52775,29829,82604,Taunggyi,MMR014001
 Urban,1999,1060,3059,Nyaungshwe,MMR014002
 Rural,15053,24522,39575,Nyaungshwe,MMR014002
 Total,17052,25582,42634,Nyaungshwe,MMR014002
 Urban,2889,1647,4536,Hopon,MMR014003
 Rural,11440,8752,20192,Hopon,MMR014003
 Total,14329,10399,24728,Hopon,MMR014003
 Urban,1427,1222,2649,Hsihseng,MMR014004
 Rural,17347,12775,30122,Hsihseng,MMR014004
 Total,18774,13997,32771,Hsihseng,MMR014004
 Urban,7955,4643,12598,Kalaw,MMR014005
 Rural,15333,13410,28743,Kalaw,MMR014005
 Total,23288,18053,41341,Kalaw,MMR014005
 Urban,1509,750,2259,Pindaya,MMR014006
 Rural,7339,7946,15285,Pindaya,MMR014006
 Total,8848,8696,17544,Pindaya,MMR014006
 Urban,723,432,1155,Ywarngan,MMR014007
 Rural,7697,9496,17193,Ywarngan,MMR014007
 Total,8420,9928,18348,Ywarngan,MMR014007
 Urban,3827,1850,5677,Yatsauk,MMR014008
 Rural,11197,9083,20280,Yatsauk,MMR014008
 Total,15024,10933,25957,Yatsauk,MMR014008
 Urban,1834,936,2770,Pinlaung,MMR014009
 Rural,14952,7782,22734,Pinlaung,MMR014009
 Total,16786,8718,25504,Pinlaung,MMR014009
 Urban,2378,1053,3431,Phekon,MMR014010
 Rural,11291,5362,16653,Phekon,MMR014010
 Total,13669,6415,20084,Phekon,MMR014010
 Urban,446,156,602,Kyauktalongyi(ST),MMR014001
 Rural,7574,4089,11663,Kyauktalongyi(ST),MMR014001
 Total,8020,4245,12265,Kyauktalongyi(ST),MMR014001
 Urban,1389,447,1836,Indaw(ST),MMR014008
 Rural,4160,2154,6314,Indaw(ST),MMR014008
 Total,5549,2601,8150,Indaw(ST),MMR014008
 Urban,657,322,979,Naungtayar(ST),MMR014009
 Rural,9490,6110,15600,Naungtayar(ST),MMR014009
 Total,10147,6432,16579,Naungtayar(ST),MMR014009
 Urban,2095,758,2853,Loilem,MMR014011
 Rural,5592,2456,8048,Loilem,MMR014011
 Total,7687,3214,10901,Loilem,MMR014011
 Urban,1133,197,1330,Le`char,MMR014012
 Rural,5869,1591,7460,Le`char,MMR014012
 Total,7002,1788,8790,Le`char,MMR014012
 Urban,3587,1254,4841,Nanhsam(South),MMR014013
 Rural,10166,3856,14022,Nanhsam(South),MMR014013
 Total,13753,5110,18863,Nanhsam(South),MMR014013
 Urban,1174,368,1542,Kunhing,MMR014014
 Rural,1905,1123,3028,Kunhing,MMR014014
 Total,3079,1491,4570,Kunhing,MMR014014
 Urban,685,157,842,Kehsi,MMR014015
 Rural,5719,2340,8059,Kehsi,MMR014015
 Total,6404,2497,8901,Kehsi,MMR014015
 Urban,1710,509,2219,Mongkai,MMR014016
 Rural,7185,6928,14113,Mongkai,MMR014016
 Total,8895,7437,16332,Mongkai,MMR014016
 Urban,1522,561,2083,Mineshu,MMR014017
 Rural,4876,2242,7118,Mineshu,MMR014017
 Total,6398,2803,9201,Mineshu,MMR014017
 Urban,4113,1111,5224,Panglong(ST),MMR014011
 Rural,7204,2088,9292,Panglong(ST),MMR014011
 Total,11317,3199,14516,Panglong(ST),MMR014011
 Urban,1339,409,1748,Kholan(ST),MMR014013
 Rural,1705,911,2616,Kholan(ST),MMR014013
 Total,3044,1320,4364,Kholan(ST),MMR014013
 Urban,1282,383,1665,Karli(ST),MMR014014
 Rural,3247,1655,4902,Karli(ST),MMR014014
 Total,4529,2038,6567,Karli(ST),MMR014014
 Urban,566,186,752,Minenaung(ST),MMR014015
 Rural,3097,1962,5059,Minenaung(ST),MMR014015
 Total,3663,2148,5811,Minenaung(ST),MMR014015
 Urban,305,202,507,Minesan(Monsan)(ST),MMR014017
 Rural,2064,4095,6159,Minesan(Monsan)(ST),MMR014017
 Total,2369,4297,6666,Minesan(Monsan)(ST),MMR014017
 Urban,1347,371,1718,Linkhe`,MMR014018
 Rural,4788,1882,6670,Linkhe`,MMR014018
 Total,6135,2253,8388,Linkhe`,MMR014018
 Urban,1625,478,2103,Mone`,MMR014019
 Rural,2860,1261,4121,Mone`,MMR014019
 Total,4485,1739,6224,Mone`,MMR014019
 Urban,929,263,1192,Maukme`,MMR014020
 Rural,3046,2956,6002,Maukme`,MMR014020
 Total,3975,3219,7194,Maukme`,MMR014020
 Urban,1579,380,1959,Minepan,MMR014021
 Rural,1808,1654,3462,Minepan,MMR014021
 Total,3387,2034,5421,Minepan,MMR014021
 Urban,441,233,674,Homane(ST),MMR014018
 Rural,212,274,486,Homane(ST),MMR014018
 Total,653,507,1160,Homane(ST),MMR014018
 Urban,1521,576,2097,Kengtaung(ST),MMR014019
 Rural,83,81,164,Kengtaung(ST),MMR014019
 Total,1604,657,2261,Kengtaung(ST),MMR014019
 Urban,26674,7425,34099,Lashio,MMR015001
 Rural,19895,10938,30833,Lashio,MMR015001
 Total,46569,18363,64932,Lashio,MMR015001
 Urban,1632,291,1923,Theinni,MMR015002
 Rural,6945,2911,9856,Theinni,MMR015002
 Total,8577,3202,11779,Theinni,MMR015002
 Urban,1180,290,1470,Mineye`,MMR015003
 Rural,6607,5251,11858,Mineye`,MMR015003
 Total,7787,5541,13328,Mineye`,MMR015003
 Urban,5517,1291,6808,Tantyan,MMR015004
 Rural,17544,10790,28334,Tantyan,MMR015004
 Total,23061,12081,35142,Tantyan,MMR015004
 Urban,10744,2590,13334,MuSe,MMR015009
 Rural,7151,1729,8880,MuSe,MMR015009
 Total,17895,4319,22214,MuSe,MMR015009
 Urban,5605,527,6132,Namkham,MMR015010
 Rural,10742,4543,15285,Namkham,MMR015010
 Total,16347,5070,21417,Namkham,MMR015010
 Urban,3422,1261,4683,Kukai,MMR015011
 Rural,8209,6139,14348,Kukai,MMR015011
 Total,11631,7400,19031,Kukai,MMR015011
 Urban,1213,256,1469,Monekoe(ST),MMR015009
 Rural,1781,1108,2889,Monekoe(ST),MMR015009
 Total,2994,1364,4358,Monekoe(ST),MMR015009
 Urban,320,26,346,Manhero(ST),MMR015009
 Rural,1176,121,1297,Manhero(ST),MMR015009
 Total,1496,147,1643,Manhero(ST),MMR015009
 Urban,1339,429,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,1924,851,2775,Pansai(KyuKute)(ST),MMR015009
 Total,3263,1280,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,1877,610,2487,Tamoenye(ST),MMR015011
 Rural,6031,4531,10562,Tamoenye(ST),MMR015011
 Total,7908,5141,13049,Tamoenye(ST),MMR015011
 Urban,6791,1862,8653,Kyukme,MMR015012
 Rural,13439,6279,19718,Kyukme,MMR015012
 Total,20230,8141,28371,Kyukme,MMR015012
 Urban,2980,1191,4171,Naungkhio,MMR015013
 Rural,18235,9818,28053,Naungkhio,MMR015013
 Total,21215,11009,32224,Naungkhio,MMR015013
 Urban,3261,748,4009,Hsipaw,MMR015014
 Rural,24341,9556,33897,Hsipaw,MMR015014
 Total,27602,10304,37906,Hsipaw,MMR015014
 Urban,1951,1306,3257,Namtu,MMR015015
 Rural,5217,3167,8384,Namtu,MMR015015
 Total,7168,4473,11641,Namtu,MMR015015
 Urban,629,306,935,Namsan(North),MMR015016
 Rural,6108,6642,12750,Namsan(North),MMR015016
 Total,6737,6948,13685,Namsan(North),MMR015016
 Urban,1826,407,2233,Momeik,MMR015017
 Rural,8426,2993,11419,Momeik,MMR015017
 Total,10252,3400,13652,Momeik,MMR015017
 Urban,612,102,714,Mabane,MMR015018
 Rural,6906,1012,7918,Mabane,MMR015018
 Total,7518,1114,8632,Mabane,MMR015018
 Urban,455,324,779,Manton,MMR015019
 Rural,2241,4663,6904,Manton,MMR015019
 Total,2696,4987,7683,Manton,MMR015019
 Urban,403,210,613,Minengaw(ST),MMR015012
 Rural,1350,2066,3416,Minengaw(ST),MMR015012
 Total,1753,2276,4029,Minengaw(ST),MMR015012
 Urban,395,191,586,Minelon(ST),MMR015012
 Rural,2312,2958,5270,Minelon(ST),MMR015012
 Total,2707,3149,5856,Minelon(ST),MMR015012
 Urban,798,360,1158,Kunlon,MMR015020
 Rural,5974,3260,9234,Kunlon,MMR015020
 Total,6772,3620,10392,Kunlon,MMR015020
 Urban,1686,1255,2941,Laukine,MMR015022
 Rural,6575,4715,11290,Laukine,MMR015022
 Total,8261,5970,14231,Laukine,MMR015022
 Urban,146,48,194,Kongyan,MMR015023
 Rural,2365,2903,5268,Kongyan,MMR015023
 Total,2511,2951,5462,Kongyan,MMR015023
 Urban,284,335,619,Chinshwehaw(ST),MMR015022
 Rural,209,122,331,Chinshwehaw(ST),MMR015022
 Total,493,457,950,Chinshwehaw(ST),MMR015022
 Urban,48,37,85,Mawhtike(ST),MMR015023
 Rural,2211,1907,4118,Mawhtike(ST),MMR015023
 Total,2259,1944,4203,Mawhtike(ST),MMR015023
 Urban,2216,1162,3378,Hopan,MMR015021
 Rural,3066,3587,6653,Hopan,MMR015021
 Total,5282,4749,10031,Hopan,MMR015021
 Urban,533,320,853,Minemaw,MMR015008
 Rural,4576,5016,9592,Minemaw,MMR015008
 Total,5109,5336,10445,Minemaw,MMR015008
 Urban,325,144,469,Panwine,MMR015007
 Rural,5745,7755,13500,Panwine,MMR015007
 Total,6070,7899,13969,Panwine,MMR015007
 Urban,345,316,661,Panlon(ST),MMR015021
 Rural,197,327,524,Panlon(ST),MMR015021
 Total,542,643,1185,Panlon(ST),MMR015021
 Urban,40,27,67,Makman,MMR015024
 Rural,1385,1866,3251,Makman,MMR015024
 Total,1425,1893,3318,Makman,MMR015024
 Urban,1380,642,2022,Pan San(Pan Kham),MMR015005
 Rural,7688,6432,14120,Pan San(Pan Kham),MMR015005
 Total,9068,7074,16142,Pan San(Pan Kham),MMR015005
 Urban,125,30,155,Naphang,MMR015006
 Rural,7286,9033,16319,Naphang,MMR015006
 Total,7411,9063,16474,Naphang,MMR015006
 Urban,53,28,81,ManKan(ST),MMR015005
 Rural,53,181,234,ManKan(ST),MMR015005
 Total,106,209,315,ManKan(ST),MMR015005
 Urban,7776,1326,9102,Kengtung,MMR016001
 Rural,19019,5975,24994,Kengtung,MMR016001
 Total,26795,7301,34096,Kengtung,MMR016001
 Urban,436,122,558,Minekat,MMR016002
 Rural,4816,2651,7467,Minekat,MMR016002
 Total,5252,2773,8025,Minekat,MMR016002
 Urban,816,173,989,Mineyan,MMR016003
 Rural,6807,2323,9130,Mineyan,MMR016003
 Total,7623,2496,10119,Mineyan,MMR016003
 Urban,1412,148,1560,Minelar,MMR016005
 Rural,3015,633,3648,Minelar,MMR016005
 Total,4427,781,5208,Minelar,MMR016005
 Rural,6448,2837,9285,Mine Pauk(ST),MMR016003
 Total,6448,2837,9285,Mine Pauk(ST),MMR016003
 Urban,1201,360,1561,Minesat,MMR016006
 Rural,8038,6310,14348,Minesat,MMR016006
 Total,9239,6670,15909,Minesat,MMR016006
 Urban,930,403,1333,Minepyin,MMR016007
 Rural,4908,4364,9272,Minepyin,MMR016007
 Total,5838,4767,10605,Minepyin,MMR016007
 Urban,825,294,1119,Minetung,MMR016008
 Rural,1814,1325,3139,Minetung,MMR016008
 Total,2639,1619,4258,Minetung,MMR016008
 Urban,219,65,284,Minekoke(ST),MMR016006
 Rural,1622,1296,2918,Minekoke(ST),MMR016006
 Total,1841,1361,3202,Minekoke(ST),MMR016006
 Urban,335,92,427,Tontar(ST),MMR016007
 Rural,1384,883,2267,Tontar(ST),MMR016007
 Total,1719,975,2694,Tontar(ST),MMR016007
 Urban,412,309,721,Ponparkyin(ST),MMR016008
 Rural,3175,3438,6613,Ponparkyin(ST),MMR016008
 Total,3587,3747,7334,Ponparkyin(ST),MMR016008
 Urban,53,38,91,Monehta(ST),MMR016008
 Rural,154,684,838,Monehta(ST),MMR016008
 Total,207,722,929,Monehta(ST),MMR016008
 Urban,8420,2674,11094,Tachileik,MMR016009
 Rural,15112,4973,20085,Tachileik,MMR016009
 Total,23532,7647,31179,Tachileik,MMR016009
 Urban,613,260,873,Talay(ST),MMR016009
 Rural,2084,1061,3145,Talay(ST),MMR016009
 Total,2697,1321,4018,Talay(ST),MMR016009
 Urban,549,213,762,Kenglat(ST),MMR016009
 Rural,1105,609,1714,Kenglat(ST),MMR016009
 Total,1654,822,2476,Kenglat(ST),MMR016009
 Urban,1034,289,1323,Minephyat,MMR016010
 Rural,3479,1363,4842,Minephyat,MMR016010
 Total,4513,1652,6165,Minephyat,MMR016010
 Urban,997,193,1190,Mineyaung,MMR016011
 Rural,4492,647,5139,Mineyaung,MMR016011
 Total,5489,840,6329,Mineyaung,MMR016011
