Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total,Township,MIMU_code
 Urban,6811,35116,41927,Mahaaungmye,MMR010003
 Total,6811,35116,41927,Mahaaungmye,MMR010003
 Urban,6520,46527,53047,Chanmyatharzi,MMR010004
 Total,6520,46527,53047,Chanmyatharzi,MMR010004
 Urban,4024,39851,43875,Pyigyidagun,MMR010005
 Total,4024,39851,43875,Pyigyidagun,MMR010005
 Urban,1097,15533,16630,Amarapura,MMR010006
 Rural,1808,31188,32996,Amarapura,MMR010006
 Total,2905,46721,49626,Amarapura,MMR010006
 Urban,266,2436,2702,Patheingyi,MMR010007
 Rural,2004,48284,50288,Patheingyi,MMR010007
 Total,2270,50720,52990,Patheingyi,MMR010007
 Urban,3280,28661,31941,Pyin Oo Lwin,MMR010008
 Rural,1108,20333,21441,Pyin Oo Lwin,MMR010008
 Total,4388,48994,53382,Pyin Oo Lwin,MMR010008
 Urban,381,4930,5311,Madaya,MMR010009
 Rural,576,52758,53334,Madaya,MMR010009
 Total,957,57688,58645,Madaya,MMR010009
 Urban,60,1672,1732,Sinku,MMR010010
 Rural,463,32338,32801,Sinku,MMR010010
 Total,523,34010,34533,Sinku,MMR010010
 Urban,945,15741,16686,Mogok,MMR010011
 Rural,473,18088,18561,Mogok,MMR010011
 Total,1418,33829,35247,Mogok,MMR010011
 Urban,26,1162,1188,Thabeikkyin,MMR010012
 Rural,395,24166,24561,Thabeikkyin,MMR010012
 Total,421,25328,25749,Thabeikkyin,MMR010012
 Urban,67,1726,1793,Tagaung,MMR010012
 Rural,82,5517,5599,Tagaung,MMR010012
 Total,149,7243,7392,Tagaung,MMR010012
 Urban,726,7765,8491,Kyaukse,MMR010013
 Rural,641,48633,49274,Kyaukse,MMR010013
 Total,1367,56398,57765,Kyaukse,MMR010013
 Urban,215,1565,1780,Singaing,MMR010014
 Rural,722,31077,31799,Singaing,MMR010014
 Total,937,32642,33579,Singaing,MMR010014
 Urban,319,4027,4346,Myitthar,MMR010015
 Rural,481,41190,41671,Myitthar,MMR010015
 Total,800,45217,46017,Myitthar,MMR010015
 Urban,232,2420,2652,Tada U,MMR010016
 Rural,410,29565,29975,Tada U,MMR010016
 Total,642,31985,32627,Tada U,MMR010016
 Urban,886,18011,18897,Myingyan,MMR010017
 Rural,295,43148,43443,Myingyan,MMR010017
 Total,1181,61159,62340,Myingyan,MMR010017
 Urban,191,3672,3863,Taungtha,MMR010018
 Rural,357,45632,45989,Taungtha,MMR010018
 Total,548,49304,49852,Taungtha,MMR010018
 Urban,144,2698,2842,Natogyi,MMR010019
 Rural,407,37716,38123,Natogyi,MMR010019
 Total,551,40414,40965,Natogyi,MMR010019
 Urban,674,8339,9013,Kyaukpadaung,MMR010020
 Rural,407,52541,52948,Kyaukpadaung,MMR010020
 Total,1081,60880,61961,Kyaukpadaung,MMR010020
 Urban,37,1620,1657,Ngazun,MMR010021
 Rural,212,25969,26181,Ngazun,MMR010021
 Total,249,27589,27838,Ngazun,MMR010021
 Urban,760,8755,9515,Nyaung U,MMR010022
 Rural,510,34637,35147,Nyaung U,MMR010022
 Total,1270,43392,44662,Nyaung U,MMR010022
 Urban,280,5047,5327,Yame`thin,MMR010023
 Rural,338,51594,51932,Yame`thin,MMR010023
 Total,618,56641,57259,Yame`thin,MMR010023
 Urban,394,6480,6874,Pyawbwe,MMR010024
 Rural,361,51628,51989,Pyawbwe,MMR010024
 Total,755,58108,58863,Pyawbwe,MMR010024
 Urban,1578,22385,23963,Meiktila,MMR010028
 Rural,547,43929,44476,Meiktila,MMR010028
 Total,2125,66314,68439,Meiktila,MMR010028
 Urban,183,4537,4720,Thazi,MMR010030
 Rural,424,39748,40172,Thazi,MMR010030
 Total,607,44285,44892,Thazi,MMR010030
 Urban,330,6970,7300,Wundwin,MMR010031
 Rural,534,45735,46269,Wundwin,MMR010031
 Total,864,52705,53569,Wundwin,MMR010031
 Urban,3306,46428,49734,Mawlamyine,MMR011001
 Rural,223,7500,7723,Mawlamyine,MMR011001
 Total,3529,53928,57457,Mawlamyine,MMR011001
 Urban,83,2093,2176,Kyaikemaraw,MMR011002
 Rural,838,35874,36712,Kyaikemaraw,MMR011002
 Total,921,37967,38888,Kyaikemaraw,MMR011002
 Urban,30,1714,1744,Chaungzon,MMR011003
 Rural,241,25959,26200,Chaungzon,MMR011003
 Total,271,27673,27944,Chaungzon,MMR011003
 Urban,518,11197,11715,Thanbyuzayat,MMR011004
 Rural,567,23952,24519,Thanbyuzayat,MMR011004
 Total,1085,35149,36234,Thanbyuzayat,MMR011004
 Urban,692,10100,10792,Mudon,MMR011005
 Rural,651,27869,28520,Mudon,MMR011005
 Total,1343,37969,39312,Mudon,MMR011005
 Urban,220,5893,6113,Ye,MMR011006
 Rural,293,23585,23878,Ye,MMR011006
 Total,513,29478,29991,Ye,MMR011006
 Urban,72,2895,2967,Lamine,MMR011006
 Rural,314,15358,15672,Lamine,MMR011006
 Total,386,18253,18639,Lamine,MMR011006
 Urban,20,758,778,Khawzar,MMR011006
 Rural,70,3970,4040,Khawzar,MMR011006
 Total,90,4728,4818,Khawzar,MMR011006
 Urban,400,10306,10706,Thaton,MMR011007
 Rural,468,37110,37578,Thaton,MMR011007
 Total,868,47416,48284,Thaton,MMR011007
 Urban,172,5730,5902,Paung,MMR011008
 Rural,574,37250,37824,Paung,MMR011008
 Total,746,42980,43726,Paung,MMR011008
 Urban,297,7219,7516,Kyaikto,MMR011009
 Rural,418,30154,30572,Kyaikto,MMR011009
 Total,715,37373,38088,Kyaikto,MMR011009
 Urban,164,3880,4044,Bilin,MMR011010
 Rural,255,34932,35187,Bilin,MMR011010
 Total,419,38812,39231,Bilin,MMR011010
 Urban,491,18415,18906,Sittway,MMR012001
 Rural,53,10077,10130,Sittway,MMR012001
 Total,544,28492,29036,Sittway,MMR012001
 Urban,11,2455,2466,Ponnagyun,MMR012002
 Rural,6,22863,22869,Ponnagyun,MMR012002
 Total,17,25318,25335,Ponnagyun,MMR012002
 Urban,7,2463,2470,Pauktaw,MMR012007
 Rural,13,28061,28074,Pauktaw,MMR012007
 Total,20,30524,30544,Pauktaw,MMR012007
 Urban,2,1508,1510,Yethedaung,MMR012008
 Rural,22,22809,22831,Yethedaung,MMR012008
 Total,24,24317,24341,Yethedaung,MMR012008
 Urban,79,7195,7274,Myauk U,MMR012003
 Rural,40,34211,34251,Myauk U,MMR012003
 Total,119,41406,41525,Myauk U,MMR012003
 Urban,31,3808,3839,Kyauktaw,MMR012004
 Rural,75,32581,32656,Kyauktaw,MMR012004
 Total,106,36389,36495,Kyauktaw,MMR012004
 Urban,27,4588,4615,Minbya,MMR012005
 Rural,59,31954,32013,Minbya,MMR012005
 Total,86,36542,36628,Minbya,MMR012005
 Urban,5,2613,2618,Myebon,MMR012006
 Rural,28,28693,28721,Myebon,MMR012006
 Total,33,31306,31339,Myebon,MMR012006
 Urban,73,2241,2314,Maungtaw,MMR012009
 Rural,33,5043,5076,Maungtaw,MMR012009
 Total,106,7284,7390,Maungtaw,MMR012009
 Urban,36,2026,2062,Buthidaung,MMR012010
 Rural,14,9188,9202,Buthidaung,MMR012010
 Total,50,11214,11264,Buthidaung,MMR012010
 Urban,2,156,158,Taungpyoletwe(ST),MMR012009
 Rural,-,348,348,Taungpyoletwe(ST),MMR012009
 Total,2,504,506,Taungpyoletwe(ST),MMR012009
 Urban,113,4141,4254,Kyaukpyu,MMR012011
 Rural,98,32912,33010,Kyaukpyu,MMR012011
 Total,211,37053,37264,Kyaukpyu,MMR012011
 Urban,39,1267,1306,Mannaung,MMR017011
 Rural,37,13392,13429,Mannaung,MMR017011
 Total,76,14659,14735,Mannaung,MMR017011
 Urban,33,2215,2248,Yanbye,MMR012013
 Rural,30,20140,20170,Yanbye,MMR012013
 Total,63,22355,22418,Yanbye,MMR012013
 Urban,55,1823,1878,An,MMR012014
 Rural,100,25381,25481,An,MMR012014
 Total,155,27204,27359,An,MMR012014
 Urban,109,3241,3350,Thandwe,MMR012015
 Rural,324,27401,27725,Thandwe,MMR012015
 Total,433,30642,31075,Thandwe,MMR012015
 Urban,158,6020,6178,Toungup,MMR012016
 Rural,57,19004,19061,Toungup,MMR012016
 Total,215,25024,25239,Toungup,MMR012016
 Urban,38,2450,2488,Gwa,MMR012017
 Rural,58,8699,8757,Gwa,MMR012017
 Total,96,11149,11245,Gwa,MMR012017
 Urban,7,1208,1215,Maei(ST),MMR012016
 Rural,12,8726,8738,Maei(ST),MMR012016
 Total,19,9934,9953,Maei(ST),MMR012016
 Urban,22,1453,1475,Kyeintali(ST),MMR012017
 Rural,18,4588,4606,Kyeintali(ST),MMR012017
 Total,40,6041,6081,Kyeintali(ST),MMR012017
 Urban,5539,56137,61676,Insein,MMR013001
 Total,5539,56137,61676,Insein,MMR013001
 Urban,3080,38561,41641,Mingaladon,MMR013002
 Rural,1065,23597,24662,Mingaladon,MMR013002
 Total,4145,62158,66303,Mingaladon,MMR013002
 Urban,362,5580,5942,Hmawby,MMR013003
 Rural,1273,49254,50527,Hmawby,MMR013003
 Total,1635,54834,56469,Hmawby,MMR013003
 Urban,584,8165,8749,Hlegu,MMR013004
 Rural,1175,48099,49274,Hlegu,MMR013004
 Total,1759,56264,58023,Hlegu,MMR013004
 Urban,578,19781,20359,Taikkyi,MMR013005
 Rural,236,46404,46640,Taikkyi,MMR013005
 Total,814,66185,66999,Taikkyi,MMR013005
 Urban,73,1983,2056,Htantabin,MMR013006
 Rural,325,31830,32155,Htantabin,MMR013006
 Total,398,33813,34211,Htantabin,MMR013006
 Urban,2431,56080,58511,Shwepyitha,MMR013007
 Rural,345,14919,15264,Shwepyitha,MMR013007
 Total,2776,70999,73775,Shwepyitha,MMR013007
 Urban,3422,100385,103807,Hlinethaya,MMR013008
 Rural,646,44258,44904,Hlinethaya,MMR013008
 Total,4068,144643,148711,Hlinethaya,MMR013008
 Urban,6765,36555,43320,Thingangyun,MMR013009
 Total,6765,36555,43320,Thingangyun,MMR013009
 Urban,3650,10987,14637,Yankin,MMR013010
 Total,3650,10987,14637,Yankin,MMR013010
 Urban,5541,27184,32725,South Okkalapa,MMR013011
 Total,5541,27184,32725,South Okkalapa,MMR013011
 Urban,4977,59779,64756,North Okkalapa,MMR013012
 Total,4977,59779,64756,North Okkalapa,MMR013012
 Urban,3884,41572,45456,Thakayta,MMR013013
 Total,3884,41572,45456,Thakayta,MMR013013
 Urban,968,13441,14409,Dawbon,MMR013014
 Total,968,13441,14409,Dawbon,MMR013014
 Urban,8064,27296,35360,Tamway,MMR013015
 Total,8064,27296,35360,Tamway,MMR013015
 Urban,2664,7642,10306,Pazuntaung,MMR013016
 Total,2664,7642,10306,Pazuntaung,MMR013016
 Urban,2143,6254,8397,Botahtaung,MMR013017
 Total,2143,6254,8397,Botahtaung,MMR013017
 Urban,3702,73282,76984,Dagon Myothit(South),MMR013018
 Total,3702,73282,76984,Dagon Myothit(South),MMR013018
 Urban,6360,36344,42704,Dagon Myothit(North),MMR013019
 Total,6360,36344,42704,Dagon Myothit(North),MMR013019
 Urban,1714,30181,31895,Dagon Myothit(East),MMR013020
 Rural,48,1970,2018,Dagon Myothit(East),MMR013020
 Total,1762,32151,33913,Dagon Myothit(East),MMR013020
 Urban,963,33209,34172,Dagon Myothit(Seik),MMR013021
 Rural,140,3593,3733,Dagon Myothit(Seik),MMR013021
 Total,1103,36802,37905,Dagon Myothit(Seik),MMR013021
 Urban,4602,21316,25918,Mingala Taungnyunt,MMR013022
 Total,4602,21316,25918,Mingala Taungnyunt,MMR013022
 Urban,1325,17384,18709,Thanlyin,MMR013023
 Rural,815,42073,42888,Thanlyin,MMR013023
 Total,2140,59457,61597,Thanlyin,MMR013023
 Urban,372,9492,9864,Kyauktan,MMR013024
 Rural,210,22902,23112,Kyauktan,MMR013024
 Total,582,32394,32976,Kyauktan,MMR013024
 Urban,256,6500,6756,Thongwa,MMR013025
 Rural,272,33059,33331,Thongwa,MMR013025
 Total,528,39559,40087,Thongwa,MMR013025
 Urban,266,7612,7878,Khayan,MMR013026
 Rural,202,31234,31436,Khayan,MMR013026
 Total,468,38846,39314,Khayan,MMR013026
 Urban,256,8941,9197,Twantay,MMR013027
 Rural,278,42127,42405,Twantay,MMR013027
 Total,534,51068,51602,Twantay,MMR013027
 Urban,75,2156,2231,Kawhmu,MMR013028
 Rural,133,27428,27561,Kawhmu,MMR013028
 Total,208,29584,29792,Kawhmu,MMR013028
 Urban,105,3853,3958,Kungyangon,MMR013029
 Rural,106,24288,24394,Kungyangon,MMR013029
 Total,211,28141,28352,Kungyangon,MMR013029
 Urban,271,25060,25331,Dala,MMR013030
 Rural,95,12486,12581,Dala,MMR013030
 Total,366,37546,37912,Dala,MMR013030
 Urban,2,349,351,Cocogyun,MMR013032
 Total,2,349,351,Cocogyun,MMR013032
 Urban,24,2466,2490,Tada(ST),MMR013024
 Rural,17,6986,7003,Tada(ST),MMR013024
 Total,41,9452,9493,Tada(ST),MMR013024
 Urban,1526,4594,6120,Kyauktada,MMR013033
 Total,1526,4594,6120,Kyauktada,MMR013033
 Urban,1539,5024,6563,Pabedan,MMR013034
 Total,1539,5024,6563,Pabedan,MMR013034
 Urban,2789,5810,8599,Lanmadaw,MMR013035
 Total,2789,5810,8599,Lanmadaw,MMR013035
 Urban,1273,3200,4473,Latha,MMR013036
 Total,1273,3200,4473,Latha,MMR013036
 Urban,2511,8432,10943,Ahlon,MMR013037
 Total,2511,8432,10943,Ahlon,MMR013037
 Urban,2954,20108,23062,Kyimyindine,MMR013038
 Total,2954,20108,23062,Kyimyindine,MMR013038
 Urban,5244,15391,20635,Sangyoung,MMR013039
 Total,5244,15391,20635,Sangyoung,MMR013039
 Urban,5904,26933,32837,Hline,MMR013040
 Total,5904,26933,32837,Hline,MMR013040
 Urban,4216,12083,16299,Kamayut,MMR013041
 Total,4216,12083,16299,Kamayut,MMR013041
 Urban,6664,32143,38807,Mayangon,MMR013042
 Total,6664,32143,38807,Mayangon,MMR013042
 Urban,1635,2973,4608,Dagon,MMR013043
 Total,1635,2973,4608,Dagon,MMR013043
 Urban,4426,13000,17426,Bahan,MMR013044
 Total,4426,13000,17426,Bahan,MMR013044
 Urban,31,379,410,Seikkan,MMR013045
 Total,31,379,410,Seikkan,MMR013045
 Urban,6265,50383,56648,Taunggyi,MMR014001
 Rural,875,25081,25956,Taunggyi,MMR014001
 Total,7140,75464,82604,Taunggyi,MMR014001
 Urban,320,2739,3059,Nyaungshwe,MMR014002
 Rural,375,39200,39575,Nyaungshwe,MMR014002
 Total,695,41939,42634,Nyaungshwe,MMR014002
 Urban,277,4259,4536,Hopon,MMR014003
 Rural,268,19924,20192,Hopon,MMR014003
 Total,545,24183,24728,Hopon,MMR014003
 Urban,90,2559,2649,Hsihseng,MMR014004
 Rural,611,29511,30122,Hsihseng,MMR014004
 Total,701,32070,32771,Hsihseng,MMR014004
 Urban,787,11811,12598,Kalaw,MMR014005
 Rural,413,28330,28743,Kalaw,MMR014005
 Total,1200,40141,41341,Kalaw,MMR014005
 Urban,132,2127,2259,Pindaya,MMR014006
 Rural,121,15164,15285,Pindaya,MMR014006
 Total,253,17291,17544,Pindaya,MMR014006
 Urban,50,1105,1155,Ywarngan,MMR014007
 Rural,166,17027,17193,Ywarngan,MMR014007
 Total,216,18132,18348,Ywarngan,MMR014007
 Urban,340,5337,5677,Yatsauk,MMR014008
 Rural,328,19952,20280,Yatsauk,MMR014008
 Total,668,25289,25957,Yatsauk,MMR014008
 Urban,213,2557,2770,Pinlaung,MMR014009
 Rural,529,22205,22734,Pinlaung,MMR014009
 Total,742,24762,25504,Pinlaung,MMR014009
 Urban,144,3287,3431,Phekon,MMR014010
 Rural,421,16232,16653,Phekon,MMR014010
 Total,565,19519,20084,Phekon,MMR014010
 Urban,24,578,602,Kyauktalongyi(ST),MMR014001
 Rural,365,11298,11663,Kyauktalongyi(ST),MMR014001
 Total,389,11876,12265,Kyauktalongyi(ST),MMR014001
 Urban,59,1777,1836,Indaw(ST),MMR014008
 Rural,115,6199,6314,Indaw(ST),MMR014008
 Total,174,7976,8150,Indaw(ST),MMR014008
 Urban,81,898,979,Naungtayar(ST),MMR014009
 Rural,255,15345,15600,Naungtayar(ST),MMR014009
 Total,336,16243,16579,Naungtayar(ST),MMR014009
 Urban,152,2701,2853,Loilem,MMR014011
 Rural,144,7904,8048,Loilem,MMR014011
 Total,296,10605,10901,Loilem,MMR014011
 Urban,128,1202,1330,Le`char,MMR014012
 Rural,259,7201,7460,Le`char,MMR014012
 Total,387,8403,8790,Le`char,MMR014012
 Urban,436,4405,4841,Nanhsam(South),MMR014013
 Rural,609,13413,14022,Nanhsam(South),MMR014013
 Total,1045,17818,18863,Nanhsam(South),MMR014013
 Urban,117,1425,1542,Kunhing,MMR014014
 Rural,40,2988,3028,Kunhing,MMR014014
 Total,157,4413,4570,Kunhing,MMR014014
 Urban,62,780,842,Kehsi,MMR014015
 Rural,265,7794,8059,Kehsi,MMR014015
 Total,327,8574,8901,Kehsi,MMR014015
 Urban,225,1994,2219,Mongkai,MMR014016
 Rural,188,13925,14113,Mongkai,MMR014016
 Total,413,15919,16332,Mongkai,MMR014016
 Urban,116,1967,2083,Mineshu,MMR014017
 Rural,148,6970,7118,Mineshu,MMR014017
 Total,264,8937,9201,Mineshu,MMR014017
 Urban,384,4840,5224,Panglong(ST),MMR014011
 Rural,104,9188,9292,Panglong(ST),MMR014011
 Total,488,14028,14516,Panglong(ST),MMR014011
 Urban,120,1628,1748,Kholan(ST),MMR014013
 Rural,80,2536,2616,Kholan(ST),MMR014013
 Total,200,4164,4364,Kholan(ST),MMR014013
 Urban,172,1493,1665,Karli(ST),MMR014014
 Rural,108,4794,4902,Karli(ST),MMR014014
 Total,280,6287,6567,Karli(ST),MMR014014
 Urban,35,717,752,Minenaung(ST),MMR014015
 Rural,73,4986,5059,Minenaung(ST),MMR014015
 Total,108,5703,5811,Minenaung(ST),MMR014015
 Urban,19,488,507,Minesan(Monsan)(ST),MMR014017
 Rural,29,6130,6159,Minesan(Monsan)(ST),MMR014017
 Total,48,6618,6666,Minesan(Monsan)(ST),MMR014017
 Urban,74,1644,1718,Linkhe`,MMR014018
 Rural,131,6539,6670,Linkhe`,MMR014018
 Total,205,8183,8388,Linkhe`,MMR014018
 Urban,108,1995,2103,Mone`,MMR014019
 Rural,41,4080,4121,Mone`,MMR014019
 Total,149,6075,6224,Mone`,MMR014019
 Urban,40,1152,1192,Maukme`,MMR014020
 Rural,37,5965,6002,Maukme`,MMR014020
 Total,77,7117,7194,Maukme`,MMR014020
 Urban,97,1862,1959,Minepan,MMR014021
 Rural,60,3402,3462,Minepan,MMR014021
 Total,157,5264,5421,Minepan,MMR014021
 Urban,95,579,674,Homane(ST),MMR014018
 Rural,13,473,486,Homane(ST),MMR014018
 Total,108,1052,1160,Homane(ST),MMR014018
 Urban,120,1977,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,120,2141,2261,Kengtaung(ST),MMR014019
 Urban,4258,29841,34099,Lashio,MMR015001
 Rural,869,29964,30833,Lashio,MMR015001
 Total,5127,59805,64932,Lashio,MMR015001
 Urban,203,1720,1923,Theinni,MMR015002
 Rural,323,9533,9856,Theinni,MMR015002
 Total,526,11253,11779,Theinni,MMR015002
 Urban,83,1387,1470,Mineye`,MMR015003
 Rural,237,11621,11858,Mineye`,MMR015003
 Total,320,13008,13328,Mineye`,MMR015003
 Urban,497,6311,6808,Tantyan,MMR015004
 Rural,377,27957,28334,Tantyan,MMR015004
 Total,874,34268,35142,Tantyan,MMR015004
 Urban,2288,11046,13334,MuSe,MMR015009
 Rural,757,8123,8880,MuSe,MMR015009
 Total,3045,19169,22214,MuSe,MMR015009
 Urban,735,5397,6132,Namkham,MMR015010
 Rural,329,14956,15285,Namkham,MMR015010
 Total,1064,20353,21417,Namkham,MMR015010
 Urban,441,4242,4683,Kukai,MMR015011
 Rural,296,14052,14348,Kukai,MMR015011
 Total,737,18294,19031,Kukai,MMR015011
 Urban,140,1329,1469,Monekoe(ST),MMR015009
 Rural,85,2804,2889,Monekoe(ST),MMR015009
 Total,225,4133,4358,Monekoe(ST),MMR015009
 Urban,7,339,346,Manhero(ST),MMR015009
 Rural,101,1196,1297,Manhero(ST),MMR015009
 Total,108,1535,1643,Manhero(ST),MMR015009
 Urban,203,1565,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,180,2595,2775,Pansai(KyuKute)(ST),MMR015009
 Total,383,4160,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,153,2334,2487,Tamoenye(ST),MMR015011
 Rural,267,10295,10562,Tamoenye(ST),MMR015011
 Total,420,12629,13049,Tamoenye(ST),MMR015011
 Urban,603,8050,8653,Kyukme,MMR015012
 Rural,398,19320,19718,Kyukme,MMR015012
 Total,1001,27370,28371,Kyukme,MMR015012
 Urban,308,3863,4171,Naungkhio,MMR015013
 Rural,849,27204,28053,Naungkhio,MMR015013
 Total,1157,31067,32224,Naungkhio,MMR015013
 Urban,303,3706,4009,Hsipaw,MMR015014
 Rural,736,33161,33897,Hsipaw,MMR015014
 Total,1039,36867,37906,Hsipaw,MMR015014
 Urban,80,3177,3257,Namtu,MMR015015
 Rural,169,8215,8384,Namtu,MMR015015
 Total,249,11392,11641,Namtu,MMR015015
 Urban,54,881,935,Namsan(North),MMR015016
 Rural,91,12659,12750,Namsan(North),MMR015016
 Total,145,13540,13685,Namsan(North),MMR015016
 Urban,125,2108,2233,Momeik,MMR015017
 Rural,203,11216,11419,Momeik,MMR015017
 Total,328,13324,13652,Momeik,MMR015017
 Urban,69,645,714,Mabane,MMR015018
 Rural,729,7189,7918,Mabane,MMR015018
 Total,798,7834,8632,Mabane,MMR015018
 Urban,39,740,779,Manton,MMR015019
 Rural,36,6868,6904,Manton,MMR015019
 Total,75,7608,7683,Manton,MMR015019
 Urban,18,595,613,Minengaw(ST),MMR015012
 Rural,14,3402,3416,Minengaw(ST),MMR015012
 Total,32,3997,4029,Minengaw(ST),MMR015012
 Urban,19,567,586,Minelon(ST),MMR015012
 Rural,30,5240,5270,Minelon(ST),MMR015012
 Total,49,5807,5856,Minelon(ST),MMR015012
 Urban,118,1040,1158,Kunlon,MMR015020
 Rural,303,8931,9234,Kunlon,MMR015020
 Total,421,9971,10392,Kunlon,MMR015020
 Urban,1221,1720,2941,Laukine,MMR015022
 Rural,1033,10257,11290,Laukine,MMR015022
 Total,2254,11977,14231,Laukine,MMR015022
 Urban,58,136,194,Kongyan,MMR015023
 Rural,141,5127,5268,Kongyan,MMR015023
 Total,199,5263,5462,Kongyan,MMR015023
 Urban,79,540,619,Chinshwehaw(ST),MMR015022
 Rural,16,315,331,Chinshwehaw(ST),MMR015022
 Total,95,855,950,Chinshwehaw(ST),MMR015022
 Urban,28,57,85,Mawhtike(ST),MMR015023
 Rural,88,4030,4118,Mawhtike(ST),MMR015023
 Total,116,4087,4203,Mawhtike(ST),MMR015023
 Urban,358,3020,3378,Hopan,MMR015021
 Rural,231,6422,6653,Hopan,MMR015021
 Total,589,9442,10031,Hopan,MMR015021
 Urban,149,704,853,Minemaw,MMR015008
 Rural,260,9332,9592,Minemaw,MMR015008
 Total,409,10036,10445,Minemaw,MMR015008
 Urban,65,404,469,Panwine,MMR015007
 Rural,401,13099,13500,Panwine,MMR015007
 Total,466,13503,13969,Panwine,MMR015007
 Urban,25,636,661,Panlon(ST),MMR015021
 Rural,-,524,524,Panlon(ST),MMR015021
 Total,25,1160,1185,Panlon(ST),MMR015021
 Urban,6,61,67,Makman,MMR015024
 Rural,10,3241,3251,Makman,MMR015024
 Total,16,3302,3318,Makman,MMR015024
 Urban,757,1265,2022,Pan San(Pan Kham),MMR015005
 Rural,834,13286,14120,Pan San(Pan Kham),MMR015005
 Total,1591,14551,16142,Pan San(Pan Kham),MMR015005
 Urban,13,142,155,Naphang,MMR015006
 Rural,155,16164,16319,Naphang,MMR015006
 Total,168,16306,16474,Naphang,MMR015006
 Urban,1,80,81,ManKan(ST),MMR015005
 Rural,2,232,234,ManKan(ST),MMR015005
 Total,3,312,315,ManKan(ST),MMR015005
 Urban,938,8164,9102,Kengtung,MMR016001
 Rural,374,24620,24994,Kengtung,MMR016001
 Total,1312,32784,34096,Kengtung,MMR016001
 Urban,22,536,558,Minekat,MMR016002
 Rural,40,7427,7467,Minekat,MMR016002
 Total,62,7963,8025,Minekat,MMR016002
 Urban,116,873,989,Mineyan,MMR016003
 Rural,872,8258,9130,Mineyan,MMR016003
 Total,988,9131,10119,Mineyan,MMR016003
 Urban,611,949,1560,Minelar,MMR016005
 Rural,318,3330,3648,Minelar,MMR016005
 Total,929,4279,5208,Minelar,MMR016005
 Rural,619,8666,9285,Mine Pauk(ST),MMR016003
 Total,619,8666,9285,Mine Pauk(ST),MMR016003
 Urban,167,1394,1561,Minesat,MMR016006
 Rural,809,13539,14348,Minesat,MMR016006
 Total,976,14933,15909,Minesat,MMR016006
 Urban,70,1263,1333,Minepyin,MMR016007
 Rural,88,9184,9272,Minepyin,MMR016007
 Total,158,10447,10605,Minepyin,MMR016007
 Urban,88,1031,1119,Minetung,MMR016008
 Rural,79,3060,3139,Minetung,MMR016008
 Total,167,4091,4258,Minetung,MMR016008
 Urban,23,261,284,Minekoke(ST),MMR016006
 Rural,52,2866,2918,Minekoke(ST),MMR016006
 Total,75,3127,3202,Minekoke(ST),MMR016006
 Urban,26,401,427,Tontar(ST),MMR016007
 Rural,6,2261,2267,Tontar(ST),MMR016007
 Total,32,2662,2694,Tontar(ST),MMR016007
 Urban,48,673,721,Ponparkyin(ST),MMR016008
 Rural,284,6329,6613,Ponparkyin(ST),MMR016008
 Total,332,7002,7334,Ponparkyin(ST),MMR016008
 Urban,2,89,91,Monehta(ST),MMR016008
 Rural,10,828,838,Monehta(ST),MMR016008
 Total,12,917,929,Monehta(ST),MMR016008
 Urban,1703,9391,11094,Tachileik,MMR016009
 Rural,2045,18040,20085,Tachileik,MMR016009
 Total,3748,27431,31179,Tachileik,MMR016009
 Urban,53,820,873,Talay(ST),MMR016009
 Rural,85,3060,3145,Talay(ST),MMR016009
 Total,138,3880,4018,Talay(ST),MMR016009
 Urban,52,710,762,Kenglat(ST),MMR016009
 Rural,35,1679,1714,Kenglat(ST),MMR016009
 Total,87,2389,2476,Kenglat(ST),MMR016009
 Urban,60,1263,1323,Minephyat,MMR016010
 Rural,62,4780,4842,Minephyat,MMR016010
 Total,122,6043,6165,Minephyat,MMR016010
 Urban,77,1113,1190,Mineyaung,MMR016011
 Rural,54,5085,5139,Mineyaung,MMR016011
 Total,131,6198,6329,Mineyaung,MMR016011
 Urban,7,224,231,Mineyu(ST),MMR016011
 Rural,546,10090,10636,Mineyu(ST),MMR016011
 Total,553,10314,10867,Mineyu(ST),MMR016011
 Urban,43,2631,2674,Kangyidaunt,MMR017002
 Rural,209,40083,40292,Kangyidaunt,MMR017002
 Total,252,42714,42966,Kangyidaunt,MMR017002
 Urban,86,3864,3950,Kyaungon,MMR017007
 Rural,71,37381,37452,Kyaungon,MMR017007
 Total,157,41245,41402,Kyaungon,MMR017007
 Urban,118,5881,5999,Kyonpyaw,MMR017005
 Rural,137,53352,53489,Kyonpyaw,MMR017005
 Total,255,59233,59488,Kyonpyaw,MMR017005
 Urban,17,2524,2541,Ngaputaw,MMR017004
 Rural,126,34709,34835,Ngaputaw,MMR017004
 Total,143,37233,37376,Ngaputaw,MMR017004
 Urban,1510,35931,37441,Pathein,MMR017001
 Rural,143,28452,28595,Pathein,MMR017001
 Total,1653,64383,66036,Pathein,MMR017001
 Urban,58,2708,2766,Yekyi,MMR017006
 Rural,166,24870,25036,Yekyi,MMR017006
