Urban_Rural,Computer_Yes,Computer_No,Computer_Total,Township,MIMU_code
 Total,5683,36244,41927,Mahaaungmye,MMR010003
 Urban,5527,47520,53047,Chanmyatharzi,MMR010004
 Total,5527,47520,53047,Chanmyatharzi,MMR010004
 Urban,2677,41198,43875,Pyigyidagun,MMR010005
 Total,2677,41198,43875,Pyigyidagun,MMR010005
 Urban,1049,15581,16630,Amarapura,MMR010006
 Rural,967,32029,32996,Amarapura,MMR010006
 Total,2016,47610,49626,Amarapura,MMR010006
 Urban,381,2321,2702,Patheingyi,MMR010007
 Rural,1342,48946,50288,Patheingyi,MMR010007
 Total,1723,51267,52990,Patheingyi,MMR010007
 Urban,3480,28461,31941,Pyin Oo Lwin,MMR010008
 Rural,526,20915,21441,Pyin Oo Lwin,MMR010008
 Total,4006,49376,53382,Pyin Oo Lwin,MMR010008
 Urban,292,5019,5311,Madaya,MMR010009
 Rural,337,52997,53334,Madaya,MMR010009
 Total,629,58016,58645,Madaya,MMR010009
 Urban,71,1661,1732,Sinku,MMR010010
 Rural,307,32494,32801,Sinku,MMR010010
 Total,378,34155,34533,Sinku,MMR010010
 Urban,1057,15629,16686,Mogok,MMR010011
 Rural,337,18224,18561,Mogok,MMR010011
 Total,1394,33853,35247,Mogok,MMR010011
 Urban,32,1156,1188,Thabeikkyin,MMR010012
 Rural,327,24234,24561,Thabeikkyin,MMR010012
 Total,359,25390,25749,Thabeikkyin,MMR010012
 Urban,36,1757,1793,Tagaung,MMR010012
 Rural,10,5589,5599,Tagaung,MMR010012
 Total,46,7346,7392,Tagaung,MMR010012
 Urban,886,7605,8491,Kyaukse,MMR010013
 Rural,634,48640,49274,Kyaukse,MMR010013
 Total,1520,56245,57765,Kyaukse,MMR010013
 Urban,157,1623,1780,Singaing,MMR010014
 Rural,638,31161,31799,Singaing,MMR010014
 Total,795,32784,33579,Singaing,MMR010014
 Urban,224,4122,4346,Myitthar,MMR010015
 Rural,250,41421,41671,Myitthar,MMR010015
 Total,474,45543,46017,Myitthar,MMR010015
 Urban,193,2459,2652,Tada U,MMR010016
 Rural,160,29815,29975,Tada U,MMR010016
 Total,353,32274,32627,Tada U,MMR010016
 Urban,888,18009,18897,Myingyan,MMR010017
 Rural,193,43250,43443,Myingyan,MMR010017
 Total,1081,61259,62340,Myingyan,MMR010017
 Urban,151,3712,3863,Taungtha,MMR010018
 Rural,198,45791,45989,Taungtha,MMR010018
 Total,349,49503,49852,Taungtha,MMR010018
 Urban,115,2727,2842,Natogyi,MMR010019
 Rural,148,37975,38123,Natogyi,MMR010019
 Total,263,40702,40965,Natogyi,MMR010019
 Urban,502,8511,9013,Kyaukpadaung,MMR010020
 Rural,229,52719,52948,Kyaukpadaung,MMR010020
 Total,731,61230,61961,Kyaukpadaung,MMR010020
 Urban,63,1594,1657,Ngazun,MMR010021
 Rural,92,26089,26181,Ngazun,MMR010021
 Total,155,27683,27838,Ngazun,MMR010021
 Urban,678,8837,9515,Nyaung U,MMR010022
 Rural,266,34881,35147,Nyaung U,MMR010022
 Total,944,43718,44662,Nyaung U,MMR010022
 Urban,337,4990,5327,Yame`thin,MMR010023
 Rural,169,51763,51932,Yame`thin,MMR010023
 Total,506,56753,57259,Yame`thin,MMR010023
 Urban,343,6531,6874,Pyawbwe,MMR010024
 Rural,199,51790,51989,Pyawbwe,MMR010024
 Total,542,58321,58863,Pyawbwe,MMR010024
 Urban,1663,22300,23963,Meiktila,MMR010028
 Rural,593,43883,44476,Meiktila,MMR010028
 Total,2256,66183,68439,Meiktila,MMR010028
 Urban,226,4494,4720,Thazi,MMR010030
 Rural,294,39878,40172,Thazi,MMR010030
 Total,520,44372,44892,Thazi,MMR010030
 Urban,249,7051,7300,Wundwin,MMR010031
 Rural,208,46061,46269,Wundwin,MMR010031
 Total,457,53112,53569,Wundwin,MMR010031
 Urban,3780,45954,49734,Mawlamyine,MMR011001
 Rural,253,7470,7723,Mawlamyine,MMR011001
 Total,4033,53424,57457,Mawlamyine,MMR011001
 Urban,75,2101,2176,Kyaikemaraw,MMR011002
 Rural,397,36315,36712,Kyaikemaraw,MMR011002
 Total,472,38416,38888,Kyaikemaraw,MMR011002
 Urban,79,1665,1744,Chaungzon,MMR011003
 Rural,397,25803,26200,Chaungzon,MMR011003
 Total,476,27468,27944,Chaungzon,MMR011003
 Urban,562,11153,11715,Thanbyuzayat,MMR011004
 Rural,456,24063,24519,Thanbyuzayat,MMR011004
 Total,1018,35216,36234,Thanbyuzayat,MMR011004
 Urban,517,10275,10792,Mudon,MMR011005
 Rural,454,28066,28520,Mudon,MMR011005
 Total,971,38341,39312,Mudon,MMR011005
 Urban,307,5806,6113,Ye,MMR011006
 Rural,295,23583,23878,Ye,MMR011006
 Total,602,29389,29991,Ye,MMR011006
 Urban,108,2859,2967,Lamine,MMR011006
 Rural,326,15346,15672,Lamine,MMR011006
 Total,434,18205,18639,Lamine,MMR011006
 Urban,20,758,778,Khawzar,MMR011006
 Rural,31,4009,4040,Khawzar,MMR011006
 Total,51,4767,4818,Khawzar,MMR011006
 Urban,548,10158,10706,Thaton,MMR011007
 Rural,522,37056,37578,Thaton,MMR011007
 Total,1070,47214,48284,Thaton,MMR011007
 Urban,194,5708,5902,Paung,MMR011008
 Rural,482,37342,37824,Paung,MMR011008
 Total,676,43050,43726,Paung,MMR011008
 Urban,351,7165,7516,Kyaikto,MMR011009
 Rural,443,30129,30572,Kyaikto,MMR011009
 Total,794,37294,38088,Kyaikto,MMR011009
 Urban,166,3878,4044,Bilin,MMR011010
 Rural,263,34924,35187,Bilin,MMR011010
 Total,429,38802,39231,Bilin,MMR011010
 Urban,1453,17453,18906,Sittway,MMR012001
 Rural,155,9975,10130,Sittway,MMR012001
 Total,1608,27428,29036,Sittway,MMR012001
 Urban,75,2391,2466,Ponnagyun,MMR012002
 Rural,33,22836,22869,Ponnagyun,MMR012002
 Total,108,25227,25335,Ponnagyun,MMR012002
 Urban,64,2406,2470,Pauktaw,MMR012007
 Rural,36,28038,28074,Pauktaw,MMR012007
 Total,100,30444,30544,Pauktaw,MMR012007
 Urban,83,1427,1510,Yethedaung,MMR012008
 Rural,142,22689,22831,Yethedaung,MMR012008
 Total,225,24116,24341,Yethedaung,MMR012008
 Urban,184,7090,7274,Myauk U,MMR012003
 Rural,159,34092,34251,Myauk U,MMR012003
 Total,343,41182,41525,Myauk U,MMR012003
 Urban,161,3678,3839,Kyauktaw,MMR012004
 Rural,194,32462,32656,Kyauktaw,MMR012004
 Total,355,36140,36495,Kyauktaw,MMR012004
 Urban,129,4486,4615,Minbya,MMR012005
 Rural,124,31889,32013,Minbya,MMR012005
 Total,253,36375,36628,Minbya,MMR012005
 Urban,116,2502,2618,Myebon,MMR012006
 Rural,103,28618,28721,Myebon,MMR012006
 Total,219,31120,31339,Myebon,MMR012006
 Urban,190,2124,2314,Maungtaw,MMR012009
 Rural,104,4972,5076,Maungtaw,MMR012009
 Total,294,7096,7390,Maungtaw,MMR012009
 Urban,105,1957,2062,Buthidaung,MMR012010
 Rural,94,9108,9202,Buthidaung,MMR012010
 Total,199,11065,11264,Buthidaung,MMR012010
 Urban,3,155,158,Taungpyoletwe(ST),MMR012009
 Rural,1,347,348,Taungpyoletwe(ST),MMR012009
 Total,4,502,506,Taungpyoletwe(ST),MMR012009
 Urban,296,3958,4254,Kyaukpyu,MMR012011
 Rural,170,32840,33010,Kyaukpyu,MMR012011
 Total,466,36798,37264,Kyaukpyu,MMR012011
 Urban,73,1233,1306,Mannaung,MMR017011
 Rural,44,13385,13429,Mannaung,MMR017011
 Total,117,14618,14735,Mannaung,MMR017011
 Urban,78,2170,2248,Yanbye,MMR012013
 Rural,30,20140,20170,Yanbye,MMR012013
 Total,108,22310,22418,Yanbye,MMR012013
 Urban,67,1811,1878,An,MMR012014
 Rural,165,25316,25481,An,MMR012014
 Total,232,27127,27359,An,MMR012014
 Urban,218,3132,3350,Thandwe,MMR012015
 Rural,326,27399,27725,Thandwe,MMR012015
 Total,544,30531,31075,Thandwe,MMR012015
 Urban,272,5906,6178,Toungup,MMR012016
 Rural,57,19004,19061,Toungup,MMR012016
 Total,329,24910,25239,Toungup,MMR012016
 Urban,88,2400,2488,Gwa,MMR012017
 Rural,41,8716,8757,Gwa,MMR012017
 Total,129,11116,11245,Gwa,MMR012017
 Urban,22,1193,1215,Maei(ST),MMR012016
 Rural,16,8722,8738,Maei(ST),MMR012016
 Total,38,9915,9953,Maei(ST),MMR012016
 Urban,38,1437,1475,Kyeintali(ST),MMR012017
 Rural,37,4569,4606,Kyeintali(ST),MMR012017
 Total,75,6006,6081,Kyeintali(ST),MMR012017
 Urban,8286,53390,61676,Insein,MMR013001
 Total,8286,53390,61676,Insein,MMR013001
 Urban,4408,37233,41641,Mingaladon,MMR013002
 Rural,1282,23380,24662,Mingaladon,MMR013002
 Total,5690,60613,66303,Mingaladon,MMR013002
 Urban,444,5498,5942,Hmawby,MMR013003
 Rural,1669,48858,50527,Hmawby,MMR013003
 Total,2113,54356,56469,Hmawby,MMR013003
 Urban,778,7971,8749,Hlegu,MMR013004
 Rural,1353,47921,49274,Hlegu,MMR013004
 Total,2131,55892,58023,Hlegu,MMR013004
 Urban,636,19723,20359,Taikkyi,MMR013005
 Rural,268,46372,46640,Taikkyi,MMR013005
 Total,904,66095,66999,Taikkyi,MMR013005
 Urban,52,2004,2056,Htantabin,MMR013006
 Rural,256,31899,32155,Htantabin,MMR013006
 Total,308,33903,34211,Htantabin,MMR013006
 Urban,2971,55540,58511,Shwepyitha,MMR013007
 Rural,416,14848,15264,Shwepyitha,MMR013007
 Total,3387,70388,73775,Shwepyitha,MMR013007
 Urban,4093,99714,103807,Hlinethaya,MMR013008
 Rural,750,44154,44904,Hlinethaya,MMR013008
 Total,4843,143868,148711,Hlinethaya,MMR013008
 Urban,8570,34750,43320,Thingangyun,MMR013009
 Total,8570,34750,43320,Thingangyun,MMR013009
 Urban,4767,9870,14637,Yankin,MMR013010
 Total,4767,9870,14637,Yankin,MMR013010
 Urban,6447,26278,32725,South Okkalapa,MMR013011
 Total,6447,26278,32725,South Okkalapa,MMR013011
 Urban,6906,57850,64756,North Okkalapa,MMR013012
 Total,6906,57850,64756,North Okkalapa,MMR013012
 Urban,5264,40192,45456,Thakayta,MMR013013
 Total,5264,40192,45456,Thakayta,MMR013013
 Urban,1313,13096,14409,Dawbon,MMR013014
 Total,1313,13096,14409,Dawbon,MMR013014
 Urban,12194,23166,35360,Tamway,MMR013015
 Total,12194,23166,35360,Tamway,MMR013015
 Urban,4241,6065,10306,Pazuntaung,MMR013016
 Total,4241,6065,10306,Pazuntaung,MMR013016
 Urban,3354,5043,8397,Botahtaung,MMR013017
 Total,3354,5043,8397,Botahtaung,MMR013017
 Urban,4223,72761,76984,Dagon Myothit(South),MMR013018
 Total,4223,72761,76984,Dagon Myothit(South),MMR013018
 Urban,8598,34106,42704,Dagon Myothit(North),MMR013019
 Total,8598,34106,42704,Dagon Myothit(North),MMR013019
 Urban,2211,29684,31895,Dagon Myothit(East),MMR013020
 Rural,31,1987,2018,Dagon Myothit(East),MMR013020
 Total,2242,31671,33913,Dagon Myothit(East),MMR013020
 Urban,1999,32173,34172,Dagon Myothit(Seik),MMR013021
 Rural,40,3693,3733,Dagon Myothit(Seik),MMR013021
 Total,2039,35866,37905,Dagon Myothit(Seik),MMR013021
 Urban,6655,19263,25918,Mingala Taungnyunt,MMR013022
 Total,6655,19263,25918,Mingala Taungnyunt,MMR013022
 Urban,2103,16606,18709,Thanlyin,MMR013023
 Rural,1205,41683,42888,Thanlyin,MMR013023
 Total,3308,58289,61597,Thanlyin,MMR013023
 Urban,499,9365,9864,Kyauktan,MMR013024
 Rural,169,22943,23112,Kyauktan,MMR013024
 Total,668,32308,32976,Kyauktan,MMR013024
 Urban,300,6456,6756,Thongwa,MMR013025
 Rural,304,33027,33331,Thongwa,MMR013025
 Total,604,39483,40087,Thongwa,MMR013025
 Urban,282,7596,7878,Khayan,MMR013026
 Rural,244,31192,31436,Khayan,MMR013026
 Total,526,38788,39314,Khayan,MMR013026
 Urban,351,8846,9197,Twantay,MMR013027
 Rural,240,42165,42405,Twantay,MMR013027
 Total,591,51011,51602,Twantay,MMR013027
 Urban,91,2140,2231,Kawhmu,MMR013028
 Rural,172,27389,27561,Kawhmu,MMR013028
 Total,263,29529,29792,Kawhmu,MMR013028
 Urban,118,3840,3958,Kungyangon,MMR013029
 Rural,98,24296,24394,Kungyangon,MMR013029
 Total,216,28136,28352,Kungyangon,MMR013029
 Urban,1026,24305,25331,Dala,MMR013030
 Rural,134,12447,12581,Dala,MMR013030
 Total,1160,36752,37912,Dala,MMR013030
 Urban,15,336,351,Cocogyun,MMR013032
 Total,15,336,351,Cocogyun,MMR013032
 Urban,53,2437,2490,Tada(ST),MMR013024
 Rural,14,6989,7003,Tada(ST),MMR013024
 Total,67,9426,9493,Tada(ST),MMR013024
 Urban,2794,3326,6120,Kyauktada,MMR013033
 Total,2794,3326,6120,Kyauktada,MMR013033
 Urban,2192,4371,6563,Pabedan,MMR013034
 Total,2192,4371,6563,Pabedan,MMR013034
 Urban,4058,4541,8599,Lanmadaw,MMR013035
 Total,4058,4541,8599,Lanmadaw,MMR013035
 Urban,1720,2753,4473,Latha,MMR013036
 Total,1720,2753,4473,Latha,MMR013036
 Urban,4041,6902,10943,Ahlon,MMR013037
 Total,4041,6902,10943,Ahlon,MMR013037
 Urban,4820,18242,23062,Kyimyindine,MMR013038
 Total,4820,18242,23062,Kyimyindine,MMR013038
 Urban,9029,11606,20635,Sangyoung,MMR013039
 Total,9029,11606,20635,Sangyoung,MMR013039
 Urban,9641,23196,32837,Hline,MMR013040
 Total,9641,23196,32837,Hline,MMR013040
 Urban,7220,9079,16299,Kamayut,MMR013041
 Total,7220,9079,16299,Kamayut,MMR013041
 Urban,8991,29816,38807,Mayangon,MMR013042
 Total,8991,29816,38807,Mayangon,MMR013042
 Urban,2200,2408,4608,Dagon,MMR013043
 Total,2200,2408,4608,Dagon,MMR013043
 Urban,6307,11119,17426,Bahan,MMR013044
 Total,6307,11119,17426,Bahan,MMR013044
 Urban,53,357,410,Seikkan,MMR013045
 Total,53,357,410,Seikkan,MMR013045
 Urban,6404,50244,56648,Taunggyi,MMR014001
 Rural,301,25655,25956,Taunggyi,MMR014001
 Total,6705,75899,82604,Taunggyi,MMR014001
 Urban,349,2710,3059,Nyaungshwe,MMR014002
 Rural,320,39255,39575,Nyaungshwe,MMR014002
 Total,669,41965,42634,Nyaungshwe,MMR014002
 Urban,270,4266,4536,Hopon,MMR014003
 Rural,88,20104,20192,Hopon,MMR014003
 Total,358,24370,24728,Hopon,MMR014003
 Urban,117,2532,2649,Hsihseng,MMR014004
 Rural,208,29914,30122,Hsihseng,MMR014004
 Total,325,32446,32771,Hsihseng,MMR014004
 Urban,942,11656,12598,Kalaw,MMR014005
 Rural,283,28460,28743,Kalaw,MMR014005
 Total,1225,40116,41341,Kalaw,MMR014005
 Urban,150,2109,2259,Pindaya,MMR014006
 Rural,76,15209,15285,Pindaya,MMR014006
 Total,226,17318,17544,Pindaya,MMR014006
 Urban,45,1110,1155,Ywarngan,MMR014007
 Rural,36,17157,17193,Ywarngan,MMR014007
 Total,81,18267,18348,Ywarngan,MMR014007
 Urban,449,5228,5677,Yatsauk,MMR014008
 Rural,116,20164,20280,Yatsauk,MMR014008
 Total,565,25392,25957,Yatsauk,MMR014008
 Urban,176,2594,2770,Pinlaung,MMR014009
 Rural,175,22559,22734,Pinlaung,MMR014009
 Total,351,25153,25504,Pinlaung,MMR014009
 Urban,199,3232,3431,Phekon,MMR014010
 Rural,182,16471,16653,Phekon,MMR014010
 Total,381,19703,20084,Phekon,MMR014010
 Urban,12,590,602,Kyauktalongyi(ST),MMR014001
 Rural,79,11584,11663,Kyauktalongyi(ST),MMR014001
 Total,91,12174,12265,Kyauktalongyi(ST),MMR014001
 Urban,29,1807,1836,Indaw(ST),MMR014008
 Rural,19,6295,6314,Indaw(ST),MMR014008
 Total,48,8102,8150,Indaw(ST),MMR014008
 Urban,41,938,979,Naungtayar(ST),MMR014009
 Rural,128,15472,15600,Naungtayar(ST),MMR014009
 Total,169,16410,16579,Naungtayar(ST),MMR014009
 Urban,303,2550,2853,Loilem,MMR014011
 Rural,46,8002,8048,Loilem,MMR014011
 Total,349,10552,10901,Loilem,MMR014011
 Urban,159,1171,1330,Le`char,MMR014012
 Rural,85,7375,7460,Le`char,MMR014012
 Total,244,8546,8790,Le`char,MMR014012
 Urban,438,4403,4841,Nanhsam(South),MMR014013
 Rural,140,13882,14022,Nanhsam(South),MMR014013
 Total,578,18285,18863,Nanhsam(South),MMR014013
 Urban,99,1443,1542,Kunhing,MMR014014
 Rural,20,3008,3028,Kunhing,MMR014014
 Total,119,4451,4570,Kunhing,MMR014014
 Urban,55,787,842,Kehsi,MMR014015
 Rural,59,8000,8059,Kehsi,MMR014015
 Total,114,8787,8901,Kehsi,MMR014015
 Urban,98,2121,2219,Mongkai,MMR014016
 Rural,39,14074,14113,Mongkai,MMR014016
 Total,137,16195,16332,Mongkai,MMR014016
 Urban,81,2002,2083,Mineshu,MMR014017
 Rural,33,7085,7118,Mineshu,MMR014017
 Total,114,9087,9201,Mineshu,MMR014017
 Urban,335,4889,5224,Panglong(ST),MMR014011
 Rural,40,9252,9292,Panglong(ST),MMR014011
 Total,375,14141,14516,Panglong(ST),MMR014011
 Urban,86,1662,1748,Kholan(ST),MMR014013
 Rural,77,2539,2616,Kholan(ST),MMR014013
 Total,163,4201,4364,Kholan(ST),MMR014013
 Urban,107,1558,1665,Karli(ST),MMR014014
 Rural,51,4851,4902,Karli(ST),MMR014014
 Total,158,6409,6567,Karli(ST),MMR014014
 Urban,26,726,752,Minenaung(ST),MMR014015
 Rural,25,5034,5059,Minenaung(ST),MMR014015
 Total,51,5760,5811,Minenaung(ST),MMR014015
 Urban,6,501,507,Minesan(Monsan)(ST),MMR014017
 Rural,86,6073,6159,Minesan(Monsan)(ST),MMR014017
 Total,92,6574,6666,Minesan(Monsan)(ST),MMR014017
 Urban,131,1587,1718,Linkhe`,MMR014018
 Rural,140,6530,6670,Linkhe`,MMR014018
 Total,271,8117,8388,Linkhe`,MMR014018
 Urban,150,1953,2103,Mone`,MMR014019
 Rural,26,4095,4121,Mone`,MMR014019
 Total,176,6048,6224,Mone`,MMR014019
 Urban,41,1151,1192,Maukme`,MMR014020
 Rural,15,5987,6002,Maukme`,MMR014020
 Total,56,7138,7194,Maukme`,MMR014020
 Urban,145,1814,1959,Minepan,MMR014021
 Rural,107,3355,3462,Minepan,MMR014021
 Total,252,5169,5421,Minepan,MMR014021
 Urban,23,651,674,Homane(ST),MMR014018
 Rural,-,486,486,Homane(ST),MMR014018
 Total,23,1137,1160,Homane(ST),MMR014018
 Urban,102,1995,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,102,2159,2261,Kengtaung(ST),MMR014019
 Urban,3662,30437,34099,Lashio,MMR015001
 Rural,248,30585,30833,Lashio,MMR015001
 Total,3910,61022,64932,Lashio,MMR015001
 Urban,131,1792,1923,Theinni,MMR015002
 Rural,101,9755,9856,Theinni,MMR015002
 Total,232,11547,11779,Theinni,MMR015002
 Urban,66,1404,1470,Mineye`,MMR015003
 Rural,59,11799,11858,Mineye`,MMR015003
 Total,125,13203,13328,Mineye`,MMR015003
 Urban,326,6482,6808,Tantyan,MMR015004
 Rural,98,28236,28334,Tantyan,MMR015004
 Total,424,34718,35142,Tantyan,MMR015004
 Urban,1715,11619,13334,MuSe,MMR015009
 Rural,313,8567,8880,MuSe,MMR015009
 Total,2028,20186,22214,MuSe,MMR015009
 Urban,516,5616,6132,Namkham,MMR015010
 Rural,130,15155,15285,Namkham,MMR015010
 Total,646,20771,21417,Namkham,MMR015010
 Urban,301,4382,4683,Kukai,MMR015011
 Rural,100,14248,14348,Kukai,MMR015011
 Total,401,18630,19031,Kukai,MMR015011
 Urban,61,1408,1469,Monekoe(ST),MMR015009
 Rural,8,2881,2889,Monekoe(ST),MMR015009
 Total,69,4289,4358,Monekoe(ST),MMR015009
 Urban,14,332,346,Manhero(ST),MMR015009
 Rural,12,1285,1297,Manhero(ST),MMR015009
 Total,26,1617,1643,Manhero(ST),MMR015009
 Urban,69,1699,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,46,2729,2775,Pansai(KyuKute)(ST),MMR015009
 Total,115,4428,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,41,2446,2487,Tamoenye(ST),MMR015011
 Rural,50,10512,10562,Tamoenye(ST),MMR015011
 Total,91,12958,13049,Tamoenye(ST),MMR015011
 Urban,632,8021,8653,Kyukme,MMR015012
 Rural,246,19472,19718,Kyukme,MMR015012
 Total,878,27493,28371,Kyukme,MMR015012
 Urban,250,3921,4171,Naungkhio,MMR015013
 Rural,258,27795,28053,Naungkhio,MMR015013
 Total,508,31716,32224,Naungkhio,MMR015013
 Urban,310,3699,4009,Hsipaw,MMR015014
 Rural,243,33654,33897,Hsipaw,MMR015014
 Total,553,37353,37906,Hsipaw,MMR015014
 Urban,161,3096,3257,Namtu,MMR015015
 Rural,71,8313,8384,Namtu,MMR015015
 Total,232,11409,11641,Namtu,MMR015015
 Urban,83,852,935,Namsan(North),MMR015016
 Rural,40,12710,12750,Namsan(North),MMR015016
 Total,123,13562,13685,Namsan(North),MMR015016
 Urban,88,2145,2233,Momeik,MMR015017
 Rural,78,11341,11419,Momeik,MMR015017
 Total,166,13486,13652,Momeik,MMR015017
 Urban,43,671,714,Mabane,MMR015018
 Rural,99,7819,7918,Mabane,MMR015018
 Total,142,8490,8632,Mabane,MMR015018
 Urban,19,760,779,Manton,MMR015019
 Rural,9,6895,6904,Manton,MMR015019
 Total,28,7655,7683,Manton,MMR015019
 Urban,10,603,613,Minengaw(ST),MMR015012
 Rural,4,3412,3416,Minengaw(ST),MMR015012
 Total,14,4015,4029,Minengaw(ST),MMR015012
 Urban,10,576,586,Minelon(ST),MMR015012
 Rural,9,5261,5270,Minelon(ST),MMR015012
 Total,19,5837,5856,Minelon(ST),MMR015012
 Urban,91,1067,1158,Kunlon,MMR015020
 Rural,125,9109,9234,Kunlon,MMR015020
 Total,216,10176,10392,Kunlon,MMR015020
 Urban,358,2583,2941,Laukine,MMR015022
 Rural,148,11142,11290,Laukine,MMR015022
 Total,506,13725,14231,Laukine,MMR015022
 Urban,52,142,194,Kongyan,MMR015023
 Rural,7,5261,5268,Kongyan,MMR015023
 Total,59,5403,5462,Kongyan,MMR015023
 Urban,65,554,619,Chinshwehaw(ST),MMR015022
 Rural,1,330,331,Chinshwehaw(ST),MMR015022
 Total,66,884,950,Chinshwehaw(ST),MMR015022
 Urban,4,81,85,Mawhtike(ST),MMR015023
 Rural,14,4104,4118,Mawhtike(ST),MMR015023
 Total,18,4185,4203,Mawhtike(ST),MMR015023
 Urban,197,3181,3378,Hopan,MMR015021
 Rural,49,6604,6653,Hopan,MMR015021
 Total,246,9785,10031,Hopan,MMR015021
 Urban,76,777,853,Minemaw,MMR015008
 Rural,42,9550,9592,Minemaw,MMR015008
 Total,118,10327,10445,Minemaw,MMR015008
 Urban,13,456,469,Panwine,MMR015007
 Rural,71,13429,13500,Panwine,MMR015007
 Total,84,13885,13969,Panwine,MMR015007
 Urban,6,655,661,Panlon(ST),MMR015021
 Rural,-,524,524,Panlon(ST),MMR015021
 Total,6,1179,1185,Panlon(ST),MMR015021
 Urban,14,53,67,Makman,MMR015024
 Rural,6,3245,3251,Makman,MMR015024
 Total,20,3298,3318,Makman,MMR015024
 Urban,515,1507,2022,Pan San(Pan Kham),MMR015005
 Rural,299,13821,14120,Pan San(Pan Kham),MMR015005
 Total,814,15328,16142,Pan San(Pan Kham),MMR015005
 Urban,3,152,155,Naphang,MMR015006
 Rural,51,16268,16319,Naphang,MMR015006
 Total,54,16420,16474,Naphang,MMR015006
 Urban,11,70,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,11,304,315,ManKan(ST),MMR015005
 Urban,1201,7901,9102,Kengtung,MMR016001
 Rural,420,24574,24994,Kengtung,MMR016001
 Total,1621,32475,34096,Kengtung,MMR016001
 Urban,44,514,558,Minekat,MMR016002
 Rural,11,7456,7467,Minekat,MMR016002
 Total,55,7970,8025,Minekat,MMR016002
 Urban,64,925,989,Mineyan,MMR016003
 Rural,66,9064,9130,Mineyan,MMR016003
 Total,130,9989,10119,Mineyan,MMR016003
 Urban,296,1264,1560,Minelar,MMR016005
 Rural,30,3618,3648,Minelar,MMR016005
 Total,326,4882,5208,Minelar,MMR016005
 Rural,119,9166,9285,Mine Pauk(ST),MMR016003
 Total,119,9166,9285,Mine Pauk(ST),MMR016003
 Urban,193,1368,1561,Minesat,MMR016006
 Rural,170,14178,14348,Minesat,MMR016006
 Total,363,15546,15909,Minesat,MMR016006
 Urban,85,1248,1333,Minepyin,MMR016007
 Rural,38,9234,9272,Minepyin,MMR016007
 Total,123,10482,10605,Minepyin,MMR016007
 Urban,74,1045,1119,Minetung,MMR016008
 Rural,19,3120,3139,Minetung,MMR016008
 Total,93,4165,4258,Minetung,MMR016008
 Urban,3,281,284,Minekoke(ST),MMR016006
 Rural,11,2907,2918,Minekoke(ST),MMR016006
 Total,14,3188,3202,Minekoke(ST),MMR016006
 Urban,24,403,427,Tontar(ST),MMR016007
 Rural,2,2265,2267,Tontar(ST),MMR016007
 Total,26,2668,2694,Tontar(ST),MMR016007
 Urban,23,698,721,Ponparkyin(ST),MMR016008
 Rural,56,6557,6613,Ponparkyin(ST),MMR016008
 Total,79,7255,7334,Ponparkyin(ST),MMR016008
 Urban,-,91,91,Monehta(ST),MMR016008
 Rural,1,837,838,Monehta(ST),MMR016008
 Total,1,928,929,Monehta(ST),MMR016008
 Urban,1899,9195,11094,Tachileik,MMR016009
 Rural,982,19103,20085,Tachileik,MMR016009
 Total,2881,28298,31179,Tachileik,MMR016009
 Urban,52,821,873,Talay(ST),MMR016009
 Rural,39,3106,3145,Talay(ST),MMR016009
 Total,91,3927,4018,Talay(ST),MMR016009
 Urban,20,742,762,Kenglat(ST),MMR016009
 Rural,7,1707,1714,Kenglat(ST),MMR016009
 Total,27,2449,2476,Kenglat(ST),MMR016009
 Urban,106,1217,1323,Minephyat,MMR016010
 Rural,49,4793,4842,Minephyat,MMR016010
 Total,155,6010,6165,Minephyat,MMR016010
 Urban,58,1132,1190,Mineyaung,MMR016011
 Rural,39,5100,5139,Mineyaung,MMR016011
 Total,97,6232,6329,Mineyaung,MMR016011
 Urban,12,219,231,Mineyu(ST),MMR016011
 Rural,128,10508,10636,Mineyu(ST),MMR016011
 Total,140,10727,10867,Mineyu(ST),MMR016011
 Urban,76,2598,2674,Kangyidaunt,MMR017002
 Rural,265,40027,40292,Kangyidaunt,MMR017002
 Total,341,42625,42966,Kangyidaunt,MMR017002
 Urban,140,3810,3950,Kyaungon,MMR017007
 Rural,96,37356,37452,Kyaungon,MMR017007
 Total,236,41166,41402,Kyaungon,MMR017007
 Urban,233,5766,5999,Kyonpyaw,MMR017005
 Rural,203,53286,53489,Kyonpyaw,MMR017005
 Total,436,59052,59488,Kyonpyaw,MMR017005
 Urban,95,2446,2541,Ngaputaw,MMR017004
 Rural,135,34700,34835,Ngaputaw,MMR017004
 Total,230,37146,37376,Ngaputaw,MMR017004
 Urban,2653,34788,37441,Pathein,MMR017001
 Rural,244,28351,28595,Pathein,MMR017001
 Total,2897,63139,66036,Pathein,MMR017001
 Urban,136,2630,2766,Yekyi,MMR017006
 Rural,210,24826,25036,Yekyi,MMR017006
 Total,346,27456,27802,Yekyi,MMR017006
 Urban,50,1690,1740,Thapaung,MMR017003
