Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total,Township,MIMU_code
 Male,20,4,3,2,-,1,4,1,1,2,2,1,2,-,1,5,2,2,3,2,2,4,3,4,2,1,5,4,5,5,9,6,2,5,12,11,6,9,9,13,11,4,9,5,17,16,14,10,13,11,6,10,16,11,10,13,13,9,10,7,8,8,13,3,10,12,8,9,10,7,11,3,6,6,7,17,11,9,6,9,11,12,10,9,8,10,8,3,8,4,14,660,Shwebo,MMR005004
 Female,19,3,1,-,-,-,-,1,-,3,2,-,-,-,1,1,1,1,1,-,2,3,3,-,2,1,2,1,1,1,1,4,4,1,3,1,1,7,3,-,-,5,4,1,4,4,3,2,1,3,5,3,4,4,2,8,4,5,9,3,9,7,6,4,4,9,3,12,4,1,9,5,7,7,10,14,7,8,9,6,12,10,9,5,8,8,13,3,6,6,42,412,Shwebo,MMR005004
 Total,39,7,4,2,-,1,4,2,1,5,4,1,2,-,2,6,3,3,4,2,4,7,6,4,4,2,7,5,6,6,10,10,6,6,15,12,7,16,12,13,11,9,13,6,21,20,17,12,14,14,11,13,20,15,12,21,17,14,19,10,17,15,19,7,14,21,11,21,14,8,20,8,13,13,17,31,18,17,15,15,23,22,19,14,16,18,21,6,14,10,56,1072,Shwebo,MMR005004
 Male,22,4,1,5,-,1,1,-,2,1,-,-,-,3,-,1,1,1,-,-,3,-,1,2,1,2,6,1,-,4,1,3,2,6,2,7,4,5,3,4,5,4,5,5,8,5,3,7,5,1,4,6,4,7,6,7,4,6,8,-,10,3,7,7,3,8,7,6,5,1,7,1,6,4,5,12,4,6,9,-,17,2,5,6,6,6,2,5,2,1,9,372,Khin U,MMR005005
 Female,12,2,-,-,-,1,-,-,-,2,1,-,-,2,-,1,1,2,2,-,-,1,-,1,1,1,1,2,1,2,-,1,1,-,1,4,3,2,3,3,3,-,1,-,-,2,3,1,5,2,1,4,3,4,3,3,1,1,4,4,5,1,5,5,2,4,5,3,3,3,3,1,11,5,3,11,6,6,16,7,8,6,6,9,9,6,4,11,8,2,21,294,Khin U,MMR005005
 Total,34,6,1,5,-,2,1,-,2,3,1,-,-,5,-,2,2,3,2,-,3,1,1,3,2,3,7,3,1,6,1,4,3,6,3,11,7,7,6,7,8,4,6,5,8,7,6,8,10,3,5,10,7,11,9,10,5,7,12,4,15,4,12,12,5,12,12,9,8,4,10,2,17,9,8,23,10,12,25,7,25,8,11,15,15,12,6,16,10,3,30,666,Khin U,MMR005005
 Male,23,4,1,1,-,3,-,-,2,1,-,-,-,1,1,3,-,3,1,1,2,3,4,2,3,3,4,2,6,8,7,6,1,6,3,9,7,7,7,3,12,5,5,5,12,13,4,9,6,7,11,5,11,6,5,5,10,5,5,5,6,3,7,6,9,9,16,8,8,6,11,8,7,9,6,16,10,8,10,10,9,11,13,9,8,8,2,1,2,1,19,540,Wetlet,MMR005006
 Female,22,2,-,-,1,-,-,1,-,-,2,-,1,-,-,2,2,1,1,2,2,2,2,2,2,1,2,-,4,-,-,1,1,-,1,2,1,3,3,3,1,3,3,2,3,1,2,1,5,5,4,1,3,2,2,5,6,3,4,1,2,4,4,6,3,7,7,9,8,8,12,9,13,12,5,18,6,12,10,7,12,11,14,10,13,13,4,4,11,6,27,413,Wetlet,MMR005006
 Total,45,6,1,1,1,3,-,1,2,1,2,-,1,1,1,5,2,4,2,3,4,5,6,4,5,4,6,2,10,8,7,7,2,6,4,11,8,10,10,6,13,8,8,7,15,14,6,10,11,12,15,6,14,8,7,10,16,8,9,6,8,7,11,12,12,16,23,17,16,14,23,17,20,21,11,34,16,20,20,17,21,22,27,19,21,21,6,5,13,7,46,953,Wetlet,MMR005006
 Male,35,6,2,1,1,2,-,1,2,1,2,1,1,3,2,1,2,2,2,3,3,3,-,2,2,2,7,2,8,7,7,3,9,8,3,8,12,2,7,2,9,7,7,15,5,5,9,14,9,9,9,6,16,4,7,15,4,8,9,4,10,12,9,11,10,8,15,8,4,6,14,2,14,8,10,14,13,13,10,8,11,9,9,7,8,4,12,4,3,2,20,626,Kambalu,MMR005007
 Female,22,4,2,-,-,-,1,-,2,1,1,1,1,1,6,-,3,-,2,4,3,1,1,3,2,2,-,2,3,3,1,1,3,4,1,-,4,1,4,5,4,4,3,2,3,3,5,6,4,5,3,2,6,7,3,2,3,4,5,4,8,5,7,3,8,4,15,8,13,3,8,1,14,10,12,8,9,7,8,7,14,5,8,7,10,5,9,11,8,5,40,453,Kambalu,MMR005007
 Total,57,10,4,1,1,2,1,1,4,2,3,2,2,4,8,1,5,2,4,7,6,4,1,5,4,4,7,4,11,10,8,4,12,12,4,8,16,3,11,7,13,11,10,17,8,8,14,20,13,14,12,8,22,11,10,17,7,12,14,8,18,17,16,14,18,12,30,16,17,9,22,3,28,18,22,22,22,20,18,15,25,14,17,14,18,9,21,15,11,7,60,1079,Kambalu,MMR005007
 Male,14,2,-,-,1,1,-,1,1,1,1,1,1,-,-,-,1,4,1,-,-,1,1,4,1,2,1,2,2,1,-,3,-,4,1,1,-,-,1,2,1,-,1,1,4,2,4,2,2,2,2,5,2,2,2,4,1,4,2,-,4,1,3,3,4,1,7,3,3,-,7,2,6,4,1,4,5,5,3,1,6,-,4,3,6,-,1,2,-,1,6,196,Kyunhlau,MMR005008
 Female,10,1,-,-,-,-,1,2,-,-,-,-,-,-,1,-,-,1,-,-,-,1,-,-,1,2,-,2,-,-,-,1,-,-,1,-,2,-,1,2,-,-,-,1,1,1,2,-,1,-,4,2,-,2,1,3,2,3,2,3,-,2,1,1,1,2,4,1,2,5,5,1,4,6,6,2,4,4,5,2,4,2,4,7,5,1,3,4,5,-,8,158,Kyunhlau,MMR005008
 Total,24,3,-,-,1,1,1,3,1,1,1,1,1,-,1,-,1,5,1,-,-,2,1,4,2,4,1,4,2,1,-,4,-,4,2,1,2,-,2,4,1,-,1,2,5,3,6,2,3,2,6,7,2,4,3,7,3,7,4,3,4,3,4,4,5,3,11,4,5,5,12,3,10,10,7,6,9,9,8,3,10,2,8,10,11,1,4,6,5,1,14,354,Kyunhlau,MMR005008
 Male,15,3,-,2,1,-,-,-,-,-,3,-,-,1,1,-,2,3,2,3,1,-,1,3,-,2,3,1,1,2,2,3,1,2,3,5,1,2,1,2,8,2,5,3,3,6,8,7,5,4,3,2,5,4,5,8,9,3,6,5,8,2,3,3,4,4,6,7,4,9,2,5,7,7,7,7,9,8,14,5,7,3,7,6,6,9,3,6,1,2,7,351,Ye U,MMR005009
 Female,16,3,1,-,-,1,-,1,-,1,-,1,-,1,1,-,-,-,2,-,2,2,2,1,2,2,-,1,1,3,1,1,-,3,1,1,-,-,2,3,2,-,1,2,2,1,1,1,2,3,2,1,3,2,3,3,2,1,1,1,2,3,2,3,6,4,2,2,3,4,5,4,3,7,6,7,8,11,10,6,7,5,9,5,3,7,3,8,5,5,20,265,Ye U,MMR005009
 Total,31,6,1,2,1,1,-,1,-,1,3,1,-,2,2,-,2,3,4,3,3,2,3,4,2,4,3,2,2,5,3,4,1,5,4,6,1,2,3,5,10,2,6,5,5,7,9,8,7,7,5,3,8,6,8,11,11,4,7,6,10,5,5,6,10,8,8,9,7,13,7,9,10,14,13,14,17,19,24,11,14,8,16,11,9,16,6,14,6,7,27,616,Ye U,MMR005009
 Male,28,3,3,-,2,3,1,-,1,-,2,-,-,2,-,1,-,2,4,1,2,1,1,-,1,2,2,4,4,1,4,3,6,3,5,8,3,-,4,3,4,2,4,2,5,6,5,6,11,10,2,4,3,6,7,8,5,4,8,3,5,4,5,4,7,7,11,10,7,3,9,5,5,4,4,9,3,3,4,3,12,5,8,9,5,5,4,1,-,4,9,389,Depayin,MMR005010
 Female,15,-,-,1,1,1,1,-,1,-,-,1,2,-,1,-,3,2,1,-,2,1,1,-,2,2,-,1,-,2,-,-,-,1,1,3,3,1,1,1,1,1,2,1,-,1,3,1,2,2,2,1,1,-,-,2,2,2,2,3,8,6,3,3,6,6,4,7,6,4,3,4,4,6,4,14,1,5,8,7,6,4,12,6,4,6,5,9,8,6,13,269,Depayin,MMR005010
 Total,43,3,3,1,3,4,2,-,2,-,2,1,2,2,1,1,3,4,5,1,4,2,2,-,3,4,2,5,4,3,4,3,6,4,6,11,6,1,5,4,5,3,6,3,5,7,8,7,13,12,4,5,4,6,7,10,7,6,10,6,13,10,8,7,13,13,15,17,13,7,12,9,9,10,8,23,4,8,12,10,18,9,20,15,9,11,9,10,8,10,22,658,Depayin,MMR005010
 Male,30,6,1,1,1,-,-,1,1,-,3,-,1,3,2,1,2,-,7,2,1,-,1,2,3,4,3,1,2,2,2,5,3,4,4,4,10,-,6,3,4,5,12,6,5,7,9,6,11,8,4,3,2,7,7,3,4,2,3,1,7,3,5,8,6,9,14,8,8,6,12,10,9,11,7,12,14,7,9,12,9,6,9,6,13,10,6,2,5,5,10,489,Tasei,MMR005011
 Female,23,4,1,1,-,1,-,1,-,1,-,-,-,2,2,-,1,3,1,-,-,1,1,-,1,2,2,3,-,2,1,2,2,1,-,4,2,-,4,-,2,3,2,2,4,1,3,3,-,1,5,1,3,4,2,2,3,-,3,2,4,6,3,6,8,4,5,11,6,5,3,6,8,5,5,10,12,10,20,7,7,14,16,11,11,4,6,13,8,4,25,378,Tasei,MMR005011
 Total,53,10,2,2,1,1,-,2,1,1,3,-,1,5,4,1,3,3,8,2,1,1,2,2,4,6,5,4,2,4,3,7,5,5,4,8,12,-,10,3,6,8,14,8,9,8,12,9,11,9,9,4,5,11,9,5,7,2,6,3,11,9,8,14,14,13,19,19,14,11,15,16,17,16,12,22,26,17,29,19,16,20,25,17,24,14,12,15,13,9,35,867,Tasei,MMR005011
 Male,4,2,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,1,1,3,-,1,1,-,-,-,1,1,-,1,1,1,1,1,-,-,-,3,-,1,1,2,-,2,1,1,-,2,1,-,5,-,1,1,-,1,-,-,-,-,1,2,-,1,-,3,1,3,1,1,-,4,-,1,1,2,-,-,-,-,-,2,-,-,2,71,Kyaukmyaung(ST),MMR005004
 Female,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,1,-,-,1,1,-,-,1,-,-,-,1,-,1,-,-,-,-,3,-,-,-,-,1,-,1,-,1,3,-,1,-,-,1,2,-,-,-,-,-,2,-,-,1,-,1,-,1,1,-,3,1,3,2,2,-,-,1,-,1,-,-,-,43,Kyaukmyaung(ST),MMR005004
 Total,5,3,-,-,-,1,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,2,-,1,1,4,-,1,2,-,-,1,2,1,-,2,1,1,1,2,-,1,-,3,-,1,4,2,-,2,1,2,-,3,1,1,8,-,2,1,-,2,2,-,-,-,1,2,2,1,-,4,1,4,1,2,1,4,3,2,4,4,2,-,-,1,-,3,-,-,2,114,Kyaukmyaung(ST),MMR005004
 Male,35,7,1,-,1,2,3,2,-,1,-,2,2,1,4,-,3,-,2,4,1,4,4,9,4,1,6,8,14,10,19,11,12,20,12,24,14,21,18,14,13,16,15,13,15,19,17,16,12,16,17,12,11,20,11,15,16,11,9,7,18,8,14,18,13,17,17,12,10,7,18,13,12,19,10,23,12,10,14,17,11,7,12,15,7,17,7,12,3,3,27,980,Monywa,MMR005012
 Female,23,4,1,1,2,1,1,1,2,1,1,1,-,1,-,-,1,1,-,2,4,2,3,-,3,1,1,1,1,1,-,-,2,2,3,4,1,5,2,4,4,3,6,6,2,10,5,7,5,9,10,2,3,7,7,7,4,7,5,11,8,7,9,10,5,17,6,15,11,13,12,6,17,13,15,24,15,9,20,10,19,10,19,15,8,13,11,9,4,11,47,612,Monywa,MMR005012
 Total,58,11,2,1,3,3,4,3,2,2,1,3,2,2,4,-,4,1,2,6,5,6,7,9,7,2,7,9,15,11,19,11,14,22,15,28,15,26,20,18,17,19,21,19,17,29,22,23,17,25,27,14,14,27,18,22,20,18,14,18,26,15,23,28,18,34,23,27,21,20,30,19,29,32,25,47,27,19,34,27,30,17,31,30,15,30,18,21,7,14,74,1592,Monywa,MMR005012
 Male,21,6,2,2,1,1,-,1,-,-,2,-,1,-,1,2,-,-,2,1,3,4,-,3,-,1,3,-,2,1,2,8,4,5,7,7,3,3,2,3,5,7,6,7,6,11,4,4,6,6,6,7,8,10,5,8,6,5,8,5,2,6,5,4,15,9,9,9,4,6,10,8,4,6,2,9,8,7,7,-,7,10,6,7,3,4,5,8,-,3,4,421,Butalin,MMR005013
 Female,14,5,2,1,1,1,-,1,-,-,1,-,-,1,1,1,-,1,2,-,-,1,-,2,-,-,-,1,4,-,1,3,2,-,2,1,1,-,-,2,-,-,1,2,1,3,4,1,2,1,4,3,-,4,4,5,3,5,4,1,5,4,4,3,4,6,10,6,2,1,10,3,5,5,5,12,10,6,2,4,9,5,5,10,10,11,2,4,4,4,27,298,Butalin,MMR005013
 Total,35,11,4,3,2,2,-,2,-,-,3,-,1,1,2,3,-,1,4,1,3,5,-,5,-,1,3,1,6,1,3,11,6,5,9,8,4,3,2,5,5,7,7,9,7,14,8,5,8,7,10,10,8,14,9,13,9,10,12,6,7,10,9,7,19,15,19,15,6,7,20,11,9,11,7,21,18,13,9,4,16,15,11,17,13,15,7,12,4,7,31,719,Butalin,MMR005013
 Male,21,2,1,1,2,-,1,-,1,2,-,1,-,-,1,1,2,1,1,1,2,1,1,2,-,2,3,4,2,3,4,3,5,8,3,8,2,6,2,7,1,4,7,2,7,9,3,6,2,2,5,2,7,4,4,8,7,3,5,3,5,4,6,6,4,7,6,10,9,7,13,5,7,12,4,17,3,2,2,6,5,8,3,7,5,8,3,-,2,2,7,383,Ayartaw,MMR005014
 Female,22,4,1,3,1,2,1,1,-,-,-,-,1,1,2,1,-,-,-,2,4,1,1,1,-,3,1,2,1,-,-,1,-,2,3,2,1,-,1,1,2,1,2,2,2,3,4,4,1,3,1,-,5,2,4,3,3,-,4,4,5,1,3,5,3,3,5,4,1,3,5,2,3,7,1,18,7,3,6,1,9,5,1,6,7,11,2,3,3,2,23,275,Ayartaw,MMR005014
 Total,43,6,2,4,3,2,2,1,1,2,-,1,1,1,3,2,2,1,1,3,6,2,2,3,-,5,4,6,3,3,4,4,5,10,6,10,3,6,3,8,3,5,9,4,9,12,7,10,3,5,6,2,12,6,8,11,10,3,9,7,10,5,9,11,7,10,11,14,10,10,18,7,10,19,5,35,10,5,8,7,14,13,4,13,12,19,5,3,5,4,30,658,Ayartaw,MMR005014
 Male,15,6,-,-,-,-,1,-,-,1,-,1,1,1,1,4,1,-,-,-,1,1,1,1,-,-,2,2,2,1,5,3,5,4,3,11,4,2,6,-,4,3,5,2,3,10,2,7,6,4,4,1,3,1,2,1,2,4,4,4,3,2,3,7,5,2,6,-,1,4,9,2,6,4,2,4,3,4,5,4,4,6,2,5,7,6,2,4,2,1,8,281,Chaung Oo,MMR005015
 Female,8,2,2,1,2,-,1,-,-,-,-,2,-,-,-,1,-,1,-,-,1,-,-,1,-,-,1,-,-,1,3,-,-,-,-,2,1,1,1,3,1,1,1,-,2,1,3,2,1,1,1,-,-,4,2,2,2,2,1,4,1,1,3,4,4,5,1,-,1,1,3,6,3,8,2,12,1,5,5,3,4,7,2,6,8,7,5,7,7,2,13,203,Chaung Oo,MMR005015
 Total,23,8,2,1,2,-,2,-,-,1,-,3,1,1,1,5,1,1,-,-,2,1,1,2,-,-,3,2,2,2,8,3,5,4,3,13,5,3,7,3,5,4,6,2,5,11,5,9,7,5,5,1,3,5,4,3,4,6,5,8,4,3,6,11,9,7,7,-,2,5,12,8,9,12,4,16,4,9,10,7,8,13,4,11,15,13,7,11,9,3,21,484,Chaung Oo,MMR005015
 Male,29,3,3,4,2,2,2,2,4,-,1,1,-,-,1,1,2,2,1,3,1,1,1,2,4,2,4,1,1,3,5,2,2,2,5,6,8,2,9,6,5,4,3,7,4,8,4,3,7,5,2,2,5,2,8,5,6,4,8,4,6,4,5,4,6,10,9,7,2,4,3,7,5,9,7,8,9,6,5,1,4,4,5,5,2,3,-,1,1,1,4,373,Katha,MMR005020
 Female,21,2,-,2,1,1,1,1,-,1,3,1,-,2,1,-,1,3,-,-,2,3,1,2,-,1,-,-,-,1,2,1,1,2,-,1,1,3,-,1,2,1,2,2,6,1,2,3,5,2,3,1,5,6,4,9,8,3,6,4,6,8,5,3,5,3,6,4,6,6,3,1,5,5,5,17,7,3,7,5,8,3,6,2,2,3,4,1,3,3,13,296,Katha,MMR005020
 Total,50,5,3,6,3,3,3,3,4,1,4,2,-,2,2,1,3,5,1,3,3,4,2,4,4,3,4,1,1,4,7,3,3,4,5,7,9,5,9,7,7,5,5,9,10,9,6,6,12,7,5,3,10,8,12,14,14,7,14,8,12,12,10,7,11,13,15,11,8,10,6,8,10,14,12,25,16,9,12,6,12,7,11,7,4,6,4,2,4,4,17,669,Katha,MMR005020
 Male,18,1,2,-,2,-,1,2,2,3,1,1,-,1,1,2,2,3,2,-,1,-,3,3,3,1,4,1,2,3,3,-,1,4,3,2,3,6,2,4,3,4,9,4,6,6,6,5,5,2,4,8,3,5,5,5,7,3,3,3,2,2,4,3,2,5,11,8,3,6,4,6,2,4,5,6,10,8,7,7,4,3,3,7,9,5,4,2,3,2,9,345,Indaw,MMR005021
 Female,15,-,2,4,1,2,1,-,-,1,-,-,-,1,-,1,-,-,-,2,1,-,2,1,-,1,6,-,-,-,-,-,-,1,1,1,1,1,1,1,2,5,5,-,-,2,7,2,4,2,3,3,8,6,6,4,2,5,4,4,1,3,7,3,4,2,4,3,-,2,2,2,8,5,5,7,5,3,7,4,5,3,4,6,4,7,6,9,-,3,12,258,Indaw,MMR005021
 Total,33,1,4,4,3,2,2,2,2,4,1,1,-,2,1,3,2,3,2,2,2,-,5,4,3,2,10,1,2,3,3,-,1,5,4,3,4,7,3,5,5,9,14,4,6,8,13,7,9,4,7,11,11,11,11,9,9,8,7,7,3,5,11,6,6,7,15,11,3,8,6,8,10,9,10,13,15,11,14,11,9,6,7,13,13,12,10,11,3,5,21,603,Indaw,MMR005021
 Male,12,6,1,2,1,-,2,1,-,-,-,1,-,-,1,-,-,-,4,-,5,-,2,1,2,2,1,1,-,-,5,1,4,3,-,2,3,1,7,1,6,1,4,4,3,5,1,3,6,2,2,5,7,9,4,3,5,1,5,6,3,6,4,6,8,6,9,3,2,3,5,3,3,3,2,6,5,5,4,3,4,2,5,2,2,-,-,2,1,3,5,269,Tigyaing,MMR005022
 Female,7,-,1,2,1,-,1,-,1,-,-,-,-,1,-,-,1,-,-,-,1,1,4,1,2,1,2,1,-,1,1,-,-,5,1,-,4,2,1,1,1,1,3,2,1,4,4,3,3,2,-,6,2,3,-,1,4,3,6,1,2,2,1,4,1,3,7,2,4,5,1,2,3,1,8,5,5,7,8,1,9,2,3,3,6,2,3,1,3,1,12,211,Tigyaing,MMR005022
 Total,19,6,2,4,2,-,3,1,1,-,-,1,-,1,1,-,1,-,4,-,6,1,6,2,4,3,3,2,-,1,6,1,4,8,1,2,7,3,8,2,7,2,7,6,4,9,5,6,9,4,2,11,9,12,4,4,9,4,11,7,5,8,5,10,9,9,16,5,6,8,6,5,6,4,10,11,10,12,12,4,13,4,8,5,8,2,3,3,4,4,17,480,Tigyaing,MMR005022
 Male,57,6,6,1,4,3,2,3,3,1,-,3,-,1,2,-,2,1,3,4,1,3,1,3,2,2,2,2,7,5,7,4,4,1,3,6,7,3,5,4,4,3,4,2,8,4,3,3,1,4,1,2,2,8,3,4,4,3,2,5,7,4,4,8,5,-,4,4,1,2,5,3,4,4,1,6,10,6,-,4,1,2,1,2,2,3,-,1,2,2,1,343,Banmauk,MMR005023
 Female,38,6,4,1,3,3,1,-,2,-,-,2,1,-,2,2,2,1,1,1,2,1,2,-,1,1,4,-,1,-,-,-,3,-,2,2,1,1,-,2,3,4,2,1,3,-,3,-,2,1,2,2,2,2,2,2,3,3,3,3,9,3,2,4,3,2,5,3,2,4,2,5,3,5,9,9,5,2,8,3,3,5,4,3,2,2,3,-,1,2,5,254,Banmauk,MMR005023
 Total,95,12,10,2,7,6,3,3,5,1,-,5,1,1,4,2,4,2,4,5,3,4,3,3,3,3,6,2,8,5,7,4,7,1,5,8,8,4,5,6,7,7,6,3,11,4,6,3,3,5,3,4,4,10,5,6,7,6,5,8,16,7,6,12,8,2,9,7,3,6,7,8,7,9,10,15,15,8,8,7,4,7,5,5,4,5,3,1,3,4,6,597,Banmauk,MMR005023
 Male,14,-,-,-,-,1,1,-,-,-,1,-,1,-,1,3,-,2,2,2,-,3,2,2,2,2,1,2,3,1,3,6,2,1,1,5,2,2,4,6,3,4,3,2,3,5,5,3,5,2,2,4,3,3,10,9,8,5,5,6,6,2,3,4,8,10,7,8,4,2,6,6,4,3,9,9,13,9,10,5,3,7,3,10,5,7,8,6,2,3,12,362,Kawlin,MMR005024
 Female,11,3,1,3,-,1,3,-,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,2,-,1,1,2,1,1,-,1,-,1,1,-,3,-,1,-,1,2,4,2,1,3,3,2,2,3,2,1,2,3,6,1,6,3,5,2,3,-,1,1,7,4,2,7,4,3,6,-,3,8,7,8,5,5,10,6,3,6,10,8,10,11,5,8,4,3,16,269,Kawlin,MMR005024
 Total,25,3,1,3,-,2,4,-,1,-,1,-,2,-,2,4,-,2,2,2,-,3,2,4,2,3,2,4,4,2,3,7,2,2,2,5,5,2,5,6,4,6,7,4,4,8,8,5,7,5,4,5,5,6,16,10,14,8,10,8,9,2,4,5,15,14,9,15,8,5,12,6,7,11,16,17,18,14,20,11,6,13,13,18,15,18,13,14,6,6,28,631,Kawlin,MMR005024
 Male,11,2,-,-,-,-,-,3,-,2,-,-,1,1,-,-,1,1,5,-,-,4,2,1,-,3,-,2,2,4,2,2,-,2,-,1,3,4,1,7,3,2,2,1,5,2,4,3,5,3,4,2,3,5,3,4,5,3,-,2,3,3,1,4,3,1,7,3,2,1,2,5,2,8,3,6,2,5,1,2,3,4,3,1,3,2,1,2,-,1,3,215,Wuntho,MMR005025
 Female,11,3,1,1,-,-,-,-,-,1,-,1,1,1,1,1,1,-,1,-,-,1,2,-,3,-,-,1,-,-,3,1,-,1,1,1,-,-,-,1,1,1,-,2,2,1,3,2,2,-,3,-,3,1,-,1,2,3,-,5,2,1,3,1,2,4,-,2,3,1,3,3,3,4,4,4,2,6,5,1,3,2,1,2,7,2,3,2,1,1,10,159,Wuntho,MMR005025
 Total,22,5,1,1,-,-,-,3,-,3,-,1,2,2,1,1,2,1,6,-,-,5,4,1,3,3,-,3,2,4,5,3,-,3,1,2,3,4,1,8,4,3,2,3,7,3,7,5,7,3,7,2,6,6,3,5,7,6,-,7,5,4,4,5,5,5,7,5,5,2,5,8,5,12,7,10,4,11,6,3,6,6,4,3,10,4,4,4,1,2,13,374,Wuntho,MMR005025
 Male,43,4,5,5,-,1,1,1,1,1,1,2,-,1,-,-,2,2,2,1,3,2,3,1,4,4,8,3,4,3,7,-,5,3,4,10,8,5,7,6,6,8,4,5,3,8,6,5,5,7,6,2,9,1,5,3,8,2,1,7,3,7,9,7,4,6,4,5,3,5,4,2,7,7,7,9,7,7,3,6,7,2,2,4,4,5,1,1,4,2,4,412,Pinlebu,MMR005026
 Female,25,3,3,4,1,2,1,1,1,-,1,1,-,-,1,1,-,-,2,3,2,-,2,-,1,-,-,-,1,1,-,-,-,2,-,-,1,1,1,1,2,-,3,1,3,2,-,2,2,5,-,4,4,2,3,5,6,2,3,2,1,5,5,8,5,6,2,3,4,2,2,5,8,3,2,6,12,9,2,6,5,10,2,7,4,3,6,1,2,2,7,259,Pinlebu,MMR005026
 Total,68,7,8,9,1,3,2,2,2,1,2,3,-,1,1,1,2,2,4,4,5,2,5,1,5,4,8,3,5,4,7,-,5,5,4,10,9,6,8,7,8,8,7,6,6,10,6,7,7,12,6,6,13,3,8,8,14,4,4,9,4,12,14,15,9,12,6,8,7,7,6,7,15,10,9,15,19,16,5,12,12,12,4,11,8,8,7,2,6,4,11,671,Pinlebu,MMR005026
 Male,58,10,9,1,2,3,1,1,2,3,1,4,4,3,3,2,2,-,10,4,6,6,8,5,3,3,8,12,9,9,6,11,6,15,5,11,15,15,15,15,17,10,11,19,12,22,11,7,17,11,15,8,15,10,15,6,16,13,14,11,24,4,11,12,6,15,14,14,13,12,15,7,15,22,14,10,18,8,8,7,11,7,8,10,15,7,6,5,4,4,12,904,Kalay,MMR014005
 Female,43,10,2,4,1,2,2,1,4,1,4,-,-,2,2,1,4,1,3,3,3,1,1,1,-,3,4,2,11,4,3,4,3,2,3,10,4,7,4,8,-,7,6,2,6,14,6,5,14,7,4,7,9,10,6,8,11,8,8,8,9,4,5,12,9,17,3,6,6,7,11,11,8,14,6,16,16,8,17,7,10,10,8,7,7,13,11,7,5,2,17,603,Kalay,MMR014005
 Total,101,20,11,5,3,5,3,2,6,4,5,4,4,5,5,3,6,1,13,7,9,7,9,6,3,6,12,14,20,13,9,15,9,17,8,21,19,22,19,23,17,17,17,21,18,36,17,12,31,18,19,15,24,20,21,14,27,21,22,19,33,8,16,24,15,32,17,20,19,19,26,18,23,36,20,26,34,16,25,14,21,17,16,17,22,20,17,12,9,6,29,1507,Kalay,MMR014005
 Male,17,-,-,1,1,-,-,-,-,-,-,-,1,-,2,-,-,1,7,1,-,1,2,1,-,1,-,1,1,-,2,3,2,4,2,4,2,-,1,1,-,2,2,2,4,1,4,1,1,4,-,3,-,4,6,1,7,2,1,4,1,2,2,2,2,2,2,7,4,1,4,2,3,2,3,1,2,2,3,1,5,2,-,3,2,-,1,6,1,1,1,178,Kalewa,MMR005028
 Female,16,2,2,-,-,-,-,1,-,-,-,1,-,-,1,-,-,2,2,1,-,-,-,-,-,1,-,-,-,-,2,-,1,2,2,-,-,1,-,2,1,-,2,-,-,-,1,1,-,1,3,1,1,-,1,1,3,-,1,3,1,2,3,-,1,-,6,2,1,1,2,3,-,3,2,1,5,2,3,1,3,1,3,7,5,1,2,3,2,-,2,127,Kalewa,MMR005028
 Total,33,2,2,1,1,-,-,1,-,-,-,1,1,-,3,-,-,3,9,2,-,1,2,1,-,2,-,1,1,-,4,3,3,6,4,4,2,1,1,3,1,2,4,2,4,1,5,2,1,5,3,4,1,4,7,2,10,2,2,7,2,4,5,2,3,2,8,9,5,2,6,5,3,5,5,2,7,4,6,2,8,3,3,10,7,1,3,9,3,1,3,305,Kalewa,MMR005028
