Urban_Rural,Motorboat_Yes,Motorboat_No,Motorboat_Total,Township,MIMU_code
 Total,2596,34641,37237,Thapaung,MMR017003
 Urban,108,725,833,Ngayokaung(ST),MMR017004
 Rural,749,8619,9368,Ngayokaung(ST),MMR017004
 Total,857,9344,10201,Ngayokaung(ST),MMR017004
 Urban,238,3311,3549,Hainggyikyun(ST),MMR017004
 Rural,2617,22909,25526,Hainggyikyun(ST),MMR017004
 Total,2855,26220,29075,Hainggyikyun(ST),MMR017004
 Urban,77,742,819,Shwethaungyan(ST),MMR017001
 Rural,904,8458,9362,Shwethaungyan(ST),MMR017001
 Total,981,9200,10181,Shwethaungyan(ST),MMR017001
 Urban,72,2603,2675,Ngwehsaung(ST),MMR017001
 Rural,240,6555,6795,Ngwehsaung(ST),MMR017001
 Total,312,9158,9470,Ngwehsaung(ST),MMR017001
 Urban,45,4552,4597,Ngathaingchaung(ST),MMR017006
 Rural,857,17459,18316,Ngathaingchaung(ST),MMR017006
 Total,902,22011,22913,Ngathaingchaung(ST),MMR017006
 Urban,120,5297,5417,Kyaiklatt,MMR017025
 Rural,6152,32179,38331,Kyaiklatt,MMR017025
 Total,6272,37476,43748,Kyaiklatt,MMR017025
 Urban,135,3431,3566,Daydaye,MMR017026
 Rural,7919,37125,45044,Daydaye,MMR017026
 Total,8054,40556,48610,Daydaye,MMR017026
 Urban,206,9848,10054,Phyapon,MMR017023
 Rural,3679,27897,31576,Phyapon,MMR017023
 Total,3885,37745,41630,Phyapon,MMR017023
 Urban,214,9901,10115,Bogale,MMR017024
 Rural,9582,56290,65872,Bogale,MMR017024
 Total,9796,66191,75987,Bogale,MMR017024
 Urban,100,677,777,Ahmar(ST),MMR017023
 Rural,2805,24204,27009,Ahmar(ST),MMR017023
 Total,2905,24881,27786,Ahmar(ST),MMR017023
 Urban,40,5860,5900,Nyaungdon,MMR017021
 Rural,2850,42451,45301,Nyaungdon,MMR017021
 Total,2890,48311,51201,Nyaungdon,MMR017021
 Urban,25,5155,5180,Danubyu,MMR017022
 Rural,1479,38138,39617,Danubyu,MMR017022
 Total,1504,43293,44797,Danubyu,MMR017022
 Urban,82,4210,4292,Pantanaw,MMR017020
 Rural,3382,52603,55985,Pantanaw,MMR017020
 Total,3464,56813,60277,Pantanaw,MMR017020
 Urban,75,9062,9137,Maubin,MMR017019
 Rural,6089,56578,62667,Maubin,MMR017019
 Total,6164,65640,71804,Maubin,MMR017019
 Urban,176,12337,12513,Myaungmya,MMR017014
 Rural,4552,49107,53659,Myaungmya,MMR017014
 Total,4728,61444,66172,Myaungmya,MMR017014
 Urban,109,5196,5305,Wakema,MMR017017
 Rural,6608,55535,62143,Wakema,MMR017017
 Total,6717,60731,67448,Wakema,MMR017017
 Urban,99,2947,3046,Einme,MMR017015
 Rural,1956,41453,43409,Einme,MMR017015
 Total,2055,44400,46455,Einme,MMR017015
 Urban,332,7251,7583,Mawlamyinegyun,MMR017018
 Rural,10780,56523,67303,Mawlamyinegyun,MMR017018
 Total,11112,63774,74886,Mawlamyinegyun,MMR017018
 Urban,197,7006,7203,Labutta,MMR017016
 Rural,5564,42379,47943,Labutta,MMR017016
 Total,5761,49385,55146,Labutta,MMR017016
 Urban,72,429,501,Pyinsalu(ST),MMR017016
 Rural,2899,17037,19936,Pyinsalu(ST),MMR017016
 Total,2971,17466,20437,Pyinsalu(ST),MMR017016
 Urban,28,5278,5306,Kyangin,MMR017012
 Rural,155,21396,21551,Kyangin,MMR017012
 Total,183,26674,26857,Kyangin,MMR017012
 Urban,58,5199,5257,Zalun,MMR017009
 Rural,1009,35807,36816,Zalun,MMR017009
 Total,1067,41006,42073,Zalun,MMR017009
 Urban,92,5957,6049,Myanaung,MMR017011
 Rural,367,53504,53871,Myanaung,MMR017011
 Total,459,59461,59920,Myanaung,MMR017011
 Urban,4,766,770,Laymyethna,MMR017010
 Rural,251,25223,25474,Laymyethna,MMR017010
 Total,255,25989,26244,Laymyethna,MMR017010
 Urban,81,19748,19829,Hinthada,MMR017008
 Rural,934,65366,66300,Hinthada,MMR017008
 Total,1015,85114,86129,Hinthada,MMR017008
 Urban,1,3577,3578,Ingapu,MMR017013
 Rural,377,53274,53651,Ingapu,MMR017013
 Total,378,56851,57229,Ingapu,MMR017013
 Urban,2,9144,9146,Tatkon,MMR018003
 Rural,14,42587,42601,Tatkon,MMR018003
 Total,16,51731,51747,Tatkon,MMR018003
 Urban,2,8244,8246,Zeyarthiri,MMR018001
 Rural,15,17814,17829,Zeyarthiri,MMR018001
 Total,17,26058,26075,Zeyarthiri,MMR018001
 Urban,-,4895,4895,Ottarathiri,MMR018008
 Rural,12,13754,13766,Ottarathiri,MMR018008
 Total,12,18649,18661,Ottarathiri,MMR018008
 Urban,5,10243,10248,Pobbathiri,MMR018005
 Rural,1,17367,17368,Pobbathiri,MMR018005
 Total,6,27610,27616,Pobbathiri,MMR018005
 Urban,8,14448,14456,Pyinmana,MMR018006
 Rural,13,25194,25207,Pyinmana,MMR018006
 Total,21,39642,39663,Pyinmana,MMR018006
 Urban,2,6121,6123,Lewe,MMR018007
 Rural,42,59009,59051,Lewe,MMR018007
 Total,44,65130,65174,Lewe,MMR018007
 Urban,14,24708,24722,Zabuthiri,MMR018002
 Rural,1,1597,1598,Zabuthiri,MMR018002
 Total,15,26305,26320,Zabuthiri,MMR018002
 Urban,-,908,908,Dekkhinathiri,MMR018004
 Rural,11,6078,6089,Dekkhinathiri,MMR018004
 Total,11,6986,6997,Dekkhinathiri,MMR018004
 Urban,15190,3034243,3049433,Dekkhinathiri,MMR018004
 Rural,221400,7606999,7828399,Dekkhinathiri,MMR018004
 Total,236590,10641242,10877832,Dekkhinathiri,MMR018004
