Type_residence,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Hut 1 year,-,16,16,Falam,MMR004001
 Other,10,150,160,Falam,MMR004001
 Total,2002,6426,8428,Falam,MMR004001
 Condominium/Apartment/Flat,44,5,49,Tedim,MMR004004
 Bungalow/Brick house,139,56,195,Tedim,MMR004004
 Semi-pacca house,151,116,267,Tedim,MMR004004
 Wooden house,1882,11186,13068,Tedim,MMR004004
 Bamboo,22,901,923,Tedim,MMR004004
 Hut 2 - 3 years,3,90,93,Tedim,MMR004004
 Hut 1 year,-,21,21,Tedim,MMR004004
 Other,9,58,67,Tedim,MMR004004
 Total,2250,12433,14683,Tedim,MMR004004
 Bungalow/Brick house,4,2,6,Tonzaung,MMR004005
 Semi-pacca house,24,1,25,Tonzaung,MMR004005
 Wooden house,600,1902,2502,Tonzaung,MMR004005
 Bamboo,3,756,759,Tonzaung,MMR004005
 Hut 2 - 3 years,1,77,78,Tonzaung,MMR004005
 Hut 1 year,1,28,29,Tonzaung,MMR004005
 Other,7,5,12,Tonzaung,MMR004005
 Total,640,2771,3411,Tonzaung,MMR004005
 Condominium/Apartment/Flat,12,-,12,Rihkhuadal(ST),MMR004001
 Bungalow/Brick house,30,-,30,Rihkhuadal(ST),MMR004001
 Semi-pacca house,100,2,102,Rihkhuadal(ST),MMR004001
 Wooden house,447,427,874,Rihkhuadal(ST),MMR004001
 Bamboo,72,97,169,Rihkhuadal(ST),MMR004001
 Hut 2 - 3 years,1,-,1,Rihkhuadal(ST),MMR004001
 Other,8,2,10,Rihkhuadal(ST),MMR004001
 Total,670,528,1198,Rihkhuadal(ST),MMR004001
 Condominium/Apartment/Flat,1,-,1,Cikha(ST),MMR004005
 Bungalow/Brick house,2,-,2,Cikha(ST),MMR004005
 Semi-pacca house,11,2,13,Cikha(ST),MMR004005
 Wooden house,142,929,1071,Cikha(ST),MMR004005
 Bamboo,59,255,314,Cikha(ST),MMR004005
 Hut 2 - 3 years,-,102,102,Cikha(ST),MMR004005
 Hut 1 year,-,21,21,Cikha(ST),MMR004005
 Other,-,6,6,Cikha(ST),MMR004005
 Total,215,1315,1530,Cikha(ST),MMR004005
 Condominium/Apartment/Flat,120,1,121,Mindat,MMR004006
 Bungalow/Brick house,45,3,48,Mindat,MMR004006
 Semi-pacca house,131,7,138,Mindat,MMR004006
 Wooden house,1589,3394,4983,Mindat,MMR004006
 Bamboo,442,2678,3120,Mindat,MMR004006
 Hut 2 - 3 years,3,56,59,Mindat,MMR004006
 Hut 1 year,4,31,35,Mindat,MMR004006
 Other,9,9,18,Mindat,MMR004006
 Total,2343,6179,8522,Mindat,MMR004006
 Condominium/Apartment/Flat,192,3,195,Matupi,MMR004007
 Bungalow/Brick house,41,6,47,Matupi,MMR004007
 Semi-pacca house,118,15,133,Matupi,MMR004007
 Wooden house,1185,4347,5532,Matupi,MMR004007
 Bamboo,132,1568,1700,Matupi,MMR004007
 Hut 2 - 3 years,-,15,15,Matupi,MMR004007
 Hut 1 year,-,6,6,Matupi,MMR004007
 Other,2,6,8,Matupi,MMR004007
 Total,1670,5966,7636,Matupi,MMR004007
 Condominium/Apartment/Flat,3,1,4,Kanpalet,MMR004008
 Bungalow/Brick house,20,4,24,Kanpalet,MMR004008
 Semi-pacca house,41,5,46,Kanpalet,MMR004008
 Wooden house,545,1064,1609,Kanpalet,MMR004008
 Bamboo,194,2079,2273,Kanpalet,MMR004008
 Hut 2 - 3 years,-,5,5,Kanpalet,MMR004008
 Hut 1 year,-,1,1,Kanpalet,MMR004008
 Other,4,11,15,Kanpalet,MMR004008
 Total,807,3170,3977,Kanpalet,MMR004008
 Condominium/Apartment/Flat,93,-,93,Paletwat,MMR004009
 Bungalow/Brick house,53,-,53,Paletwat,MMR004009
 Semi-pacca house,95,26,121,Paletwat,MMR004009
 Wooden house,481,2213,2694,Paletwat,MMR004009
 Bamboo,618,9593,10211,Paletwat,MMR004009
 Hut 2 - 3 years,2,66,68,Paletwat,MMR004009
 Hut 1 year,4,37,41,Paletwat,MMR004009
 Other,4,8,12,Paletwat,MMR004009
 Total,1350,11943,13293,Paletwat,MMR004009
 Condominium/Apartment/Flat,2,-,2,Reazu(ST),MMR004007
 Bungalow/Brick house,14,-,14,Reazu(ST),MMR004007
 Semi-pacca house,16,2,18,Reazu(ST),MMR004007
 Wooden house,427,1957,2384,Reazu(ST),MMR004007
 Bamboo,2,90,92,Reazu(ST),MMR004007
 Hut 2 - 3 years,1,5,6,Reazu(ST),MMR004007
 Other,-,5,5,Reazu(ST),MMR004007
 Total,462,2059,2521,Reazu(ST),MMR004007
 Condominium/Apartment/Flat,3,1,4,Sami(ST),MMR004009
 Bungalow/Brick house,1,-,1,Sami(ST),MMR004009
 Semi-pacca house,12,2,14,Sami(ST),MMR004009
 Wooden house,112,999,1111,Sami(ST),MMR004009
 Bamboo,501,4493,4994,Sami(ST),MMR004009
 Hut 2 - 3 years,3,85,88,Sami(ST),MMR004009
 Hut 1 year,1,10,11,Sami(ST),MMR004009
 Total,633,5590,6223,Sami(ST),MMR004009
 Condominium/Apartment/Flat,520,748,1268,Sagaing,MMR005001
 Bungalow/Brick house,2523,4554,7077,Sagaing,MMR005001
 Semi-pacca house,1117,2366,3483,Sagaing,MMR005001
 Wooden house,8091,20325,28416,Sagaing,MMR005001
 Bamboo,3972,19556,23528,Sagaing,MMR005001
 Hut 2 - 3 years,152,667,819,Sagaing,MMR005001
 Hut 1 year,65,266,331,Sagaing,MMR005001
 Other,56,165,221,Sagaing,MMR005001
 Total,16496,48647,65143,Sagaing,MMR005001
 Condominium/Apartment/Flat,58,12,70,Myinmu,MMR005002
 Bungalow/Brick house,507,1265,1772,Myinmu,MMR005002
 Semi-pacca house,246,833,1079,Myinmu,MMR005002
 Wooden house,1023,4561,5584,Myinmu,MMR005002
 Bamboo,1760,14711,16471,Myinmu,MMR005002
 Hut 2 - 3 years,26,242,268,Myinmu,MMR005002
 Hut 1 year,2,39,41,Myinmu,MMR005002
 Other,9,10,19,Myinmu,MMR005002
 Total,3631,21673,25304,Myinmu,MMR005002
 Condominium/Apartment/Flat,9,15,24,Myaung,MMR005003
 Bungalow/Brick house,167,803,970,Myaung,MMR005003
 Semi-pacca house,83,605,688,Myaung,MMR005003
 Wooden house,1026,12462,13488,Myaung,MMR005003
 Bamboo,640,8106,8746,Myaung,MMR005003
 Hut 2 - 3 years,19,165,184,Myaung,MMR005003
 Hut 1 year,4,76,80,Myaung,MMR005003
 Other,5,77,82,Myaung,MMR005003
 Total,1953,22309,24262,Myaung,MMR005003
 Condominium/Apartment/Flat,369,320,689,Shwebo,MMR005004
 Bungalow/Brick house,2006,2175,4181,Shwebo,MMR005004
 Semi-pacca house,1042,1579,2621,Shwebo,MMR005004
 Wooden house,4881,14680,19561,Shwebo,MMR005004
 Bamboo,5067,16744,21811,Shwebo,MMR005004
 Hut 2 - 3 years,74,488,562,Shwebo,MMR005004
 Hut 1 year,20,87,107,Shwebo,MMR005004
 Other,72,643,715,Shwebo,MMR005004
 Total,13531,36716,50247,Shwebo,MMR005004
 Condominium/Apartment/Flat,29,13,42,Khin U,MMR005005
 Bungalow/Brick house,196,1909,2105,Khin U,MMR005005
 Semi-pacca house,246,1815,2061,Khin U,MMR005005
 Wooden house,444,8233,8677,Khin U,MMR005005
 Bamboo,1330,17287,18617,Khin U,MMR005005
 Hut 2 - 3 years,26,696,722,Khin U,MMR005005
 Hut 1 year,5,190,195,Khin U,MMR005005
 Other,15,190,205,Khin U,MMR005005
 Total,2291,30333,32624,Khin U,MMR005005
 Condominium/Apartment/Flat,3,40,43,Wetlet,MMR005006
 Bungalow/Brick house,307,2379,2686,Wetlet,MMR005006
 Semi-pacca house,146,1749,1895,Wetlet,MMR005006
 Wooden house,230,13843,14073,Wetlet,MMR005006
 Bamboo,1607,25406,27013,Wetlet,MMR005006
 Hut 2 - 3 years,9,689,698,Wetlet,MMR005006
 Hut 1 year,4,162,166,Wetlet,MMR005006
 Other,-,138,138,Wetlet,MMR005006
 Total,2306,44406,46712,Wetlet,MMR005006
 Condominium/Apartment/Flat,172,265,437,Kambalu,MMR005007
 Bungalow/Brick house,670,2259,2929,Kambalu,MMR005007
 Semi-pacca house,429,3144,3573,Kambalu,MMR005007
 Wooden house,1672,22599,24271,Kambalu,MMR005007
 Bamboo,2166,26555,28721,Kambalu,MMR005007
 Hut 2 - 3 years,27,994,1021,Kambalu,MMR005007
 Hut 1 year,1,180,181,Kambalu,MMR005007
 Other,46,147,193,Kambalu,MMR005007
 Total,5183,56143,61326,Kambalu,MMR005007
 Condominium/Apartment/Flat,121,25,146,Kyunhlau,MMR005008
 Bungalow/Brick house,537,443,980,Kyunhlau,MMR005008
 Semi-pacca house,129,683,812,Kyunhlau,MMR005008
 Wooden house,1020,10421,11441,Kyunhlau,MMR005008
 Bamboo,651,5665,6316,Kyunhlau,MMR005008
 Hut 2 - 3 years,38,583,621,Kyunhlau,MMR005008
 Hut 1 year,3,363,366,Kyunhlau,MMR005008
 Other,-,181,181,Kyunhlau,MMR005008
 Total,2499,18364,20863,Kyunhlau,MMR005008
 Condominium/Apartment/Flat,100,12,112,Ye U,MMR005009
 Bungalow/Brick house,462,511,973,Ye U,MMR005009
 Semi-pacca house,376,953,1329,Ye U,MMR005009
 Wooden house,928,13574,14502,Ye U,MMR005009
 Bamboo,2076,6554,8630,Ye U,MMR005009
 Hut 2 - 3 years,7,680,687,Ye U,MMR005009
 Hut 1 year,10,62,72,Ye U,MMR005009
 Other,6,62,68,Ye U,MMR005009
 Total,3965,22408,26373,Ye U,MMR005009
 Condominium/Apartment/Flat,2,35,37,Depayin,MMR005010
 Bungalow/Brick house,100,1261,1361,Depayin,MMR005010
 Semi-pacca house,69,1606,1675,Depayin,MMR005010
 Wooden house,291,7824,8115,Depayin,MMR005010
 Bamboo,485,16161,16646,Depayin,MMR005010
 Hut 2 - 3 years,8,2060,2068,Depayin,MMR005010
 Hut 1 year,-,247,247,Depayin,MMR005010
 Other,-,196,196,Depayin,MMR005010
 Total,955,29390,30345,Depayin,MMR005010
 Condominium/Apartment/Flat,13,10,23,Tasei,MMR005011
 Bungalow/Brick house,702,637,1339,Tasei,MMR005011
 Semi-pacca house,237,908,1145,Tasei,MMR005011
 Wooden house,1256,27162,28418,Tasei,MMR005011
 Bamboo,756,3158,3914,Tasei,MMR005011
 Hut 2 - 3 years,8,904,912,Tasei,MMR005011
 Hut 1 year,-,133,133,Tasei,MMR005011
 Other,-,53,53,Tasei,MMR005011
 Total,2972,32965,35937,Tasei,MMR005011
 Condominium/Apartment/Flat,108,2,110,Kyaukmyaung(ST),MMR005004
 Bungalow/Brick house,184,217,401,Kyaukmyaung(ST),MMR005004
 Semi-pacca house,94,227,321,Kyaukmyaung(ST),MMR005004
 Wooden house,857,1704,2561,Kyaukmyaung(ST),MMR005004
 Bamboo,974,2328,3302,Kyaukmyaung(ST),MMR005004
 Hut 2 - 3 years,53,214,267,Kyaukmyaung(ST),MMR005004
 Hut 1 year,5,39,44,Kyaukmyaung(ST),MMR005004
 Other,31,13,44,Kyaukmyaung(ST),MMR005004
 Total,2306,4744,7050,Kyaukmyaung(ST),MMR005004
 Condominium/Apartment/Flat,1441,1178,2619,Monywa,MMR005012
 Bungalow/Brick house,5202,1842,7044,Monywa,MMR005012
 Semi-pacca house,4200,2213,6413,Monywa,MMR005012
 Wooden house,11395,9582,20977,Monywa,MMR005012
 Bamboo,17770,20268,38038,Monywa,MMR005012
 Hut 2 - 3 years,231,301,532,Monywa,MMR005012
 Hut 1 year,99,69,168,Monywa,MMR005012
 Other,68,103,171,Monywa,MMR005012
 Total,40406,35556,75962,Monywa,MMR005012
 Condominium/Apartment/Flat,83,81,164,Butalin,MMR005013
 Bungalow/Brick house,184,2396,2580,Butalin,MMR005013
 Semi-pacca house,152,3076,3228,Butalin,MMR005013
 Wooden house,134,4801,4935,Butalin,MMR005013
 Bamboo,619,14473,15092,Butalin,MMR005013
 Hut 2 - 3 years,6,1791,1797,Butalin,MMR005013
 Hut 1 year,4,299,303,Butalin,MMR005013
 Other,11,506,517,Butalin,MMR005013
 Total,1193,27423,28616,Butalin,MMR005013
 Condominium/Apartment/Flat,69,229,298,Ayartaw,MMR005014
 Bungalow/Brick house,136,2143,2279,Ayartaw,MMR005014
 Semi-pacca house,344,2083,2427,Ayartaw,MMR005014
 Wooden house,87,4101,4188,Ayartaw,MMR005014
 Bamboo,1458,20335,21793,Ayartaw,MMR005014
 Hut 2 - 3 years,47,3805,3852,Ayartaw,MMR005014
 Hut 1 year,12,216,228,Ayartaw,MMR005014
 Other,2,524,526,Ayartaw,MMR005014
 Total,2155,33436,35591,Ayartaw,MMR005014
 Condominium/Apartment/Flat,21,13,34,Chaung Oo,MMR005015
 Bungalow/Brick house,483,1313,1796,Chaung Oo,MMR005015
 Semi-pacca house,331,909,1240,Chaung Oo,MMR005015
 Wooden house,2969,8842,11811,Chaung Oo,MMR005015
 Bamboo,1225,6992,8217,Chaung Oo,MMR005015
 Hut 2 - 3 years,25,142,167,Chaung Oo,MMR005015
 Hut 1 year,19,34,53,Chaung Oo,MMR005015
 Other,8,50,58,Chaung Oo,MMR005015
 Total,5081,18295,23376,Chaung Oo,MMR005015
 Condominium/Apartment/Flat,165,89,254,Katha,MMR005020
 Bungalow/Brick house,621,559,1180,Katha,MMR005020
 Semi-pacca house,533,617,1150,Katha,MMR005020
 Wooden house,3054,17706,20760,Katha,MMR005020
 Bamboo,843,6968,7811,Katha,MMR005020
 Hut 2 - 3 years,27,532,559,Katha,MMR005020
 Hut 1 year,5,183,188,Katha,MMR005020
 Other,15,44,59,Katha,MMR005020
 Total,5263,26698,31961,Katha,MMR005020
 Condominium/Apartment/Flat,19,20,39,Indaw,MMR005021
 Bungalow/Brick house,196,835,1031,Indaw,MMR005021
 Semi-pacca house,225,1467,1692,Indaw,MMR005021
 Wooden house,668,12925,13593,Indaw,MMR005021
 Bamboo,729,5943,6672,Indaw,MMR005021
 Hut 2 - 3 years,5,113,118,Indaw,MMR005021
 Hut 1 year,-,46,46,Indaw,MMR005021
 Other,-,39,39,Indaw,MMR005021
 Total,1842,21388,23230,Indaw,MMR005021
 Condominium/Apartment/Flat,21,30,51,Tigyaing,MMR005022
 Bungalow/Brick house,491,544,1035,Tigyaing,MMR005022
 Semi-pacca house,210,647,857,Tigyaing,MMR005022
 Wooden house,1378,13123,14501,Tigyaing,MMR005022
 Bamboo,897,8431,9328,Tigyaing,MMR005022
 Hut 2 - 3 years,64,344,408,Tigyaing,MMR005022
 Hut 1 year,5,134,139,Tigyaing,MMR005022
 Other,4,66,70,Tigyaing,MMR005022
 Total,3070,23319,26389,Tigyaing,MMR005022
 Condominium/Apartment/Flat,22,1,23,Banmauk,MMR005023
 Bungalow/Brick house,159,101,260,Banmauk,MMR005023
 Semi-pacca house,107,309,416,Banmauk,MMR005023
 Wooden house,808,12467,13275,Banmauk,MMR005023
 Bamboo,112,4205,4317,Banmauk,MMR005023
 Hut 2 - 3 years,3,432,435,Banmauk,MMR005023
 Hut 1 year,-,130,130,Banmauk,MMR005023
 Other,1,11,12,Banmauk,MMR005023
 Total,1212,17656,18868,Banmauk,MMR005023
 Condominium/Apartment/Flat,31,42,73,Kawlin,MMR005024
 Bungalow/Brick house,423,795,1218,Kawlin,MMR005024
 Semi-pacca house,423,876,1299,Kawlin,MMR005024
 Wooden house,1861,14434,16295,Kawlin,MMR005024
 Bamboo,1815,10105,11920,Kawlin,MMR005024
 Hut 2 - 3 years,1,380,381,Kawlin,MMR005024
 Hut 1 year,8,171,179,Kawlin,MMR005024
 Other,7,31,38,Kawlin,MMR005024
 Total,4569,26834,31403,Kawlin,MMR005024
 Condominium/Apartment/Flat,22,181,203,Wuntho,MMR005025
 Bungalow/Brick house,248,275,523,Wuntho,MMR005025
 Semi-pacca house,340,452,792,Wuntho,MMR005025
 Wooden house,1174,7359,8533,Wuntho,MMR005025
 Bamboo,804,3104,3908,Wuntho,MMR005025
 Hut 2 - 3 years,-,210,210,Wuntho,MMR005025
 Hut 1 year,1,31,32,Wuntho,MMR005025
 Other,1,3,4,Wuntho,MMR005025
 Total,2590,11615,14205,Wuntho,MMR005025
 Condominium/Apartment/Flat,3,4,7,Pinlebu,MMR005026
 Bungalow/Brick house,265,304,569,Pinlebu,MMR005026
 Semi-pacca house,120,582,702,Pinlebu,MMR005026
 Wooden house,313,15601,15914,Pinlebu,MMR005026
 Bamboo,743,3799,4542,Pinlebu,MMR005026
 Hut 2 - 3 years,10,94,104,Pinlebu,MMR005026
 Hut 1 year,3,42,45,Pinlebu,MMR005026
 Other,12,5,17,Pinlebu,MMR005026
 Total,1469,20431,21900,Pinlebu,MMR005026
 Condominium/Apartment/Flat,852,575,1427,Kalay,MMR014005
 Bungalow/Brick house,2931,1370,4301,Kalay,MMR014005
 Semi-pacca house,3427,2087,5514,Kalay,MMR014005
 Wooden house,9636,26378,36014,Kalay,MMR014005
 Bamboo,8646,15857,24503,Kalay,MMR014005
 Hut 2 - 3 years,103,477,580,Kalay,MMR014005
 Hut 1 year,77,255,332,Kalay,MMR014005
 Other,49,49,98,Kalay,MMR014005
 Total,25721,47048,72769,Kalay,MMR014005
 Condominium/Apartment/Flat,3,1,4,Kalewa,MMR005028
 Bungalow/Brick house,148,60,208,Kalewa,MMR005028
 Semi-pacca house,245,261,506,Kalewa,MMR005028
 Wooden house,1107,7969,9076,Kalewa,MMR005028
 Bamboo,413,1348,1761,Kalewa,MMR005028
 Hut 2 - 3 years,2,81,83,Kalewa,MMR005028
 Hut 1 year,3,54,57,Kalewa,MMR005028
 Other,32,8,40,Kalewa,MMR005028
 Total,1953,9782,11735,Kalewa,MMR005028
 Condominium/Apartment/Flat,8,10,18,Mingin,MMR005029
 Bungalow/Brick house,58,149,207,Mingin,MMR005029
 Semi-pacca house,88,703,791,Mingin,MMR005029
 Wooden house,278,15670,15948,Mingin,MMR005029
 Bamboo,385,4088,4473,Mingin,MMR005029
 Hut 2 - 3 years,9,333,342,Mingin,MMR005029
 Hut 1 year,9,147,156,Mingin,MMR005029
 Other,1,122,123,Mingin,MMR005029
 Total,836,21222,22058,Mingin,MMR005029
 Condominium/Apartment/Flat,100,1,101,Tamu,MMR005030
 Bungalow/Brick house,457,12,469,Tamu,MMR005030
 Semi-pacca house,711,76,787,Tamu,MMR005030
 Wooden house,3640,1396,5036,Tamu,MMR005030
 Bamboo,4001,1461,5462,Tamu,MMR005030
 Hut 2 - 3 years,50,15,65,Tamu,MMR005030
 Hut 1 year,17,20,37,Tamu,MMR005030
 Other,13,16,29,Tamu,MMR005030
 Total,8989,2997,11986,Tamu,MMR005030
 Condominium/Apartment/Flat,2,8,10,Myothit(ST),MMR005030
 Bungalow/Brick house,15,19,34,Myothit(ST),MMR005030
 Semi-pacca house,6,74,80,Myothit(ST),MMR005030
 Wooden house,131,1372,1503,Myothit(ST),MMR005030
 Bamboo,148,1264,1412,Myothit(ST),MMR005030
 Hut 2 - 3 years,-,35,35,Myothit(ST),MMR005030
 Hut 1 year,4,11,15,Myothit(ST),MMR005030
 Other,2,6,8,Myothit(ST),MMR005030
 Total,308,2789,3097,Myothit(ST),MMR005030
 Condominium/Apartment/Flat,19,1,20,Khampat(ST),MMR005030
 Bungalow/Brick house,75,62,137,Khampat(ST),MMR005030
 Semi-pacca house,107,124,231,Khampat(ST),MMR005030
 Wooden house,1167,1428,2595,Khampat(ST),MMR005030
 Bamboo,1461,3015,4476,Khampat(ST),MMR005030
 Hut 2 - 3 years,4,26,30,Khampat(ST),MMR005030
 Hut 1 year,5,7,12,Khampat(ST),MMR005030
 Other,-,7,7,Khampat(ST),MMR005030
 Total,2838,4670,7508,Khampat(ST),MMR005030
 Condominium/Apartment/Flat,230,-,230,Mawlaik,MMR005031
 Bungalow/Brick house,112,123,235,Mawlaik,MMR005031
 Semi-pacca house,96,253,349,Mawlaik,MMR005031
 Wooden house,1096,6567,7663,Mawlaik,MMR005031
 Bamboo,202,1340,1542,Mawlaik,MMR005031
 Hut 2 - 3 years,49,137,186,Mawlaik,MMR005031
 Hut 1 year,37,92,129,Mawlaik,MMR005031
 Other,2,9,11,Mawlaik,MMR005031
 Total,1824,8521,10345,Mawlaik,MMR005031
 Condominium/Apartment/Flat,152,2,154,Phaungpyin,MMR005032
 Bungalow/Brick house,36,331,367,Phaungpyin,MMR005032
 Semi-pacca house,160,758,918,Phaungpyin,MMR005032
 Wooden house,1329,14456,15785,Phaungpyin,MMR005032
 Bamboo,261,2450,2711,Phaungpyin,MMR005032
 Hut 2 - 3 years,4,139,143,Phaungpyin,MMR005032
 Hut 1 year,-,148,148,Phaungpyin,MMR005032
 Other,-,20,20,Phaungpyin,MMR005032
 Total,1942,18304,20246,Phaungpyin,MMR005032
 Condominium/Apartment/Flat,183,4,187,Hkamti,MMR005033
 Bungalow/Brick house,116,5,121,Hkamti,MMR005033
 Semi-pacca house,294,36,330,Hkamti,MMR005033
 Wooden house,1063,2267,3330,Hkamti,MMR005033
 Bamboo,495,2298,2793,Hkamti,MMR005033
 Hut 2 - 3 years,7,190,197,Hkamti,MMR005033
 Hut 1 year,14,236,250,Hkamti,MMR005033
 Other,11,142,153,Hkamti,MMR005033
 Total,2183,5178,7361,Hkamti,MMR005033
 Condominium/Apartment/Flat,213,13,226,Homalin,MMR005034
 Bungalow/Brick house,260,188,448,Homalin,MMR005034
 Semi-pacca house,260,633,893,Homalin,MMR005034
 Wooden house,2388,23976,26364,Homalin,MMR005034
 Bamboo,392,6255,6647,Homalin,MMR005034
 Hut 2 - 3 years,30,659,689,Homalin,MMR005034
 Hut 1 year,27,318,345,Homalin,MMR005034
 Other,5,126,131,Homalin,MMR005034
 Total,3575,32168,35743,Homalin,MMR005034
 Condominium/Apartment/Flat,1,-,1,Leshi,MMR005035
 Semi-pacca house,4,-,4,Leshi,MMR005035
 Wooden house,116,707,823,Leshi,MMR005035
 Bamboo,118,676,794,Leshi,MMR005035
 Hut 2 - 3 years,14,19,33,Leshi,MMR005035
 Other,-,1,1,Leshi,MMR005035
 Total,253,1403,1656,Leshi,MMR005035
 Condominium/Apartment/Flat,62,1,63,Lahe,MMR005036
 Bungalow/Brick house,7,-,7,Lahe,MMR005036
 Semi-pacca house,22,-,22,Lahe,MMR005036
 Wooden house,129,141,270,Lahe,MMR005036
 Bamboo,318,6193,6511,Lahe,MMR005036
 Hut 2 - 3 years,-,93,93,Lahe,MMR005036
 Other,-,11,11,Lahe,MMR005036
 Total,538,6439,6977,Lahe,MMR005036
 Condominium/Apartment/Flat,53,1,54,Nanyun,MMR005037
 Bungalow/Brick house,3,-,3,Nanyun,MMR005037
 Semi-pacca house,7,2,9,Nanyun,MMR005037
 Wooden house,88,58,146,Nanyun,MMR005037
 Bamboo,224,1130,1354,Nanyun,MMR005037
 Hut 2 - 3 years,-,2,2,Nanyun,MMR005037
 Total,375,1193,1568,Nanyun,MMR005037
 Condominium/Apartment/Flat,32,-,32,Mobaingluk(ST),MMR005035
 Semi-pacca house,3,-,3,Mobaingluk(ST),MMR005035
 Wooden house,82,64,146,Mobaingluk(ST),MMR005035
 Bamboo,88,35,123,Mobaingluk(ST),MMR005035
 Hut 2 - 3 years,5,1,6,Mobaingluk(ST),MMR005035
 Total,210,100,310,Mobaingluk(ST),MMR005035
 Semi-pacca house,-,1,1,Sonemara(ST),MMR005035
 Wooden house,285,892,1177,Sonemara(ST),MMR005035
 Bamboo,-,14,14,Sonemara(ST),MMR005035
 Hut 2 - 3 years,1,-,1,Sonemara(ST),MMR005035
 Other,-,1,1,Sonemara(ST),MMR005035
 Total,286,908,1194,Sonemara(ST),MMR005035
 Wooden house,81,228,309,Htanparkway(ST),MMR005036
 Bamboo,37,404,441,Htanparkway(ST),MMR005036
 Hut 1 year,9,-,9,Htanparkway(ST),MMR005036
 Other,1,1,2,Htanparkway(ST),MMR005036
 Total,128,633,761,Htanparkway(ST),MMR005036
 Condominium/Apartment/Flat,-,2,2,Pansaung(ST),MMR005037
 Semi-pacca house,1,-,1,Pansaung(ST),MMR005037
 Wooden house,57,50,107,Pansaung(ST),MMR005037
 Bamboo,280,1956,2236,Pansaung(ST),MMR005037
 Hut 2 - 3 years,-,1,1,Pansaung(ST),MMR005037
 Hut 1 year,-,2,2,Pansaung(ST),MMR005037
 Total,338,2011,2349,Pansaung(ST),MMR005037
 Condominium/Apartment/Flat,-,1,1,Donhee(ST),MMR005037
 Wooden house,2,74,76,Donhee(ST),MMR005037
 Bamboo,167,3626,3793,Donhee(ST),MMR005037
 Hut 2 - 3 years,-,53,53,Donhee(ST),MMR005037
 Total,169,3754,3923,Donhee(ST),MMR005037
 Condominium/Apartment/Flat,27,3,30,Yinmarpin,MMR005016
 Bungalow/Brick house,96,740,836,Yinmarpin,MMR005016
 Semi-pacca house,80,2101,2181,Yinmarpin,MMR005016
 Wooden house,298,10692,10990,Yinmarpin,MMR005016
 Bamboo,570,13723,14293,Yinmarpin,MMR005016
 Hut 2 - 3 years,4,1120,1124,Yinmarpin,MMR005016
 Hut 1 year,-,48,48,Yinmarpin,MMR005016
 Other,2,28,30,Yinmarpin,MMR005016
 Total,1077,28455,29532,Yinmarpin,MMR005016
 Condominium/Apartment/Flat,5,26,31,Salingyi,MMR005018
 Bungalow/Brick house,72,451,523,Salingyi,MMR005018
 Semi-pacca house,48,1138,1186,Salingyi,MMR005018
 Wooden house,252,8374,8626,Salingyi,MMR005018
 Bamboo,838,14230,15068,Salingyi,MMR005018
 Hut 2 - 3 years,5,885,890,Salingyi,MMR005018
 Hut 1 year,-,82,82,Salingyi,MMR005018
 Other,2,59,61,Salingyi,MMR005018
 Total,1222,25245,26467,Salingyi,MMR005018
 Condominium/Apartment/Flat,-,3,3,Palae,MMR005019
 Bungalow/Brick house,43,361,404,Palae,MMR005019
 Semi-pacca house,48,1054,1102,Palae,MMR005019
 Wooden house,488,12569,13057,Palae,MMR005019
 Bamboo,345,16959,17304,Palae,MMR005019
 Hut 2 - 3 years,6,383,389,Palae,MMR005019
 Hut 1 year,-,54,54,Palae,MMR005019
 Other,1,48,49,Palae,MMR005019
 Total,931,31431,32362,Palae,MMR005019
 Condominium/Apartment/Flat,1,10,11,Kani,MMR005017
 Bungalow/Brick house,38,1708,1746,Kani,MMR005017
 Semi-pacca house,133,4651,4784,Kani,MMR005017
 Wooden house,656,12725,13381,Kani,MMR005017
 Bamboo,304,7306,7610,Kani,MMR005017
 Hut 2 - 3 years,3,1375,1378,Kani,MMR005017
 Hut 1 year,-,194,194,Kani,MMR005017
 Other,3,116,119,Kani,MMR005017
 Total,1138,28085,29223,Kani,MMR005017
 Condominium/Apartment/Flat,793,488,1281,Dawei,MMR006001
 Bungalow/Brick house,2415,767,3182,Dawei,MMR006001
 Semi-pacca house,2632,811,3443,Dawei,MMR006001
 Wooden house,7402,5018,12420,Dawei,MMR006001
 Bamboo,1925,2239,4164,Dawei,MMR006001
 Hut 2 - 3 years,59,143,202,Dawei,MMR006001
 Hut 1 year,12,42,54,Dawei,MMR006001
 Other,144,53,197,Dawei,MMR006001
 Total,15382,9561,24943,Dawei,MMR006001
 Condominium/Apartment/Flat,6,73,79,Lounglon,MMR006002
 Bungalow/Brick house,197,3292,3489,Lounglon,MMR006002
 Semi-pacca house,240,3203,3443,Lounglon,MMR006002
 Wooden house,658,13206,13864,Lounglon,MMR006002
 Bamboo,108,4043,4151,Lounglon,MMR006002
 Hut 2 - 3 years,10,440,450,Lounglon,MMR006002
 Hut 1 year,14,170,184,Lounglon,MMR006002
 Other,7,68,75,Lounglon,MMR006002
 Total,1240,24495,25735,Lounglon,MMR006002
 Condominium/Apartment/Flat,235,36,271,Thayetchaung,MMR006003
