Urban_Rural,Radio_Yes,Radio_No,Radio_Total,Township,MIMU_code
 Urban,1500,2968,4468,Padaung,MMR008003
 Rural,17803,16621,34424,Padaung,MMR008003
 Total,19303,19589,38892,Padaung,MMR008003
 Urban,1967,4514,6481,Paunde,MMR008004
 Rural,14684,15535,30219,Paunde,MMR008004
 Total,16651,20049,36700,Paunde,MMR008004
 Urban,1520,2746,4266,Thegon,MMR008005
 Rural,15458,16226,31684,Thegon,MMR008005
 Total,16978,18972,35950,Thegon,MMR008005
 Urban,1712,2806,4518,Shwedaung,MMR008006
 Rural,14199,14847,29046,Shwedaung,MMR008006
 Total,15911,17653,33564,Shwedaung,MMR008006
 Urban,2260,5904,8164,Tharyarwaddy,MMR008007
 Rural,11821,16641,28462,Tharyarwaddy,MMR008007
 Total,14081,22545,36626,Tharyarwaddy,MMR008007
 Urban,1471,4264,5735,Letpadan,MMR008008
 Rural,16625,21124,37749,Letpadan,MMR008008
 Total,18096,25388,43484,Letpadan,MMR008008
 Urban,735,1967,2702,Minhla,MMR009013
 Rural,11726,16466,28192,Minhla,MMR009013
 Total,12461,18433,30894,Minhla,MMR009013
 Urban,741,2059,2800,Okpo,MMR008010
 Rural,11020,18074,29094,Okpo,MMR008010
 Total,11761,20133,31894,Okpo,MMR008010
 Urban,1043,2924,3967,Zigon,MMR008011
 Rural,5331,8912,14243,Zigon,MMR008011
 Total,6374,11836,18210,Zigon,MMR008011
 Urban,1587,3055,4642,Nattalin,MMR008012
 Rural,19106,22021,41127,Nattalin,MMR008012
 Total,20693,25076,45769,Nattalin,MMR008012
 Urban,914,1466,2380,Monyo,MMR008013
 Rural,14737,16170,30907,Monyo,MMR008013
 Total,15651,17636,33287,Monyo,MMR008013
 Urban,1222,4362,5584,Gyobingauk,MMR008014
 Rural,10149,14853,25002,Gyobingauk,MMR008014
 Total,11371,19215,30586,Gyobingauk,MMR008014
 Urban,3953,15917,19870,Magway,MMR009001
 Rural,21476,27331,48807,Magway,MMR009001
 Total,25429,43248,68677,Magway,MMR009001
 Urban,2710,7966,10676,Yenangyoung,MMR009002
 Rural,10420,11404,21824,Yenangyoung,MMR009002
 Total,13130,19370,32500,Yenangyoung,MMR009002
 Urban,2667,7734,10401,Chauk,MMR009003
 Rural,16605,17612,34217,Chauk,MMR009003
 Total,19272,25346,44618,Chauk,MMR009003
 Urban,3146,6909,10055,Taungdwingyi,MMR009004
 Rural,28183,22025,50208,Taungdwingyi,MMR009004
 Total,31329,28934,60263,Taungdwingyi,MMR009004
 Urban,881,865,1746,Myothit,MMR009005
 Rural,19889,15313,35202,Myothit,MMR009005
 Total,20770,16178,36948,Myothit,MMR009005
 Urban,1476,1698,3174,Natmauk,MMR009006
 Rural,27230,18022,45252,Natmauk,MMR009006
 Total,28706,19720,48426,Natmauk,MMR009006
 Urban,2110,7080,9190,Minbu,MMR009007
 Rural,14540,20087,34627,Minbu,MMR009007
 Total,16650,27167,43817,Minbu,MMR009007
 Urban,491,963,1454,Pwint Phyu,MMR009008
 Rural,16855,21455,38310,Pwint Phyu,MMR009008
 Total,17346,22418,39764,Pwint Phyu,MMR009008
 Urban,319,660,979,Ngape,MMR009009
 Rural,5499,5979,11478,Ngape,MMR009009
 Total,5818,6639,12457,Ngape,MMR009009
 Urban,1070,1716,2786,Salin,MMR009010
 Rural,29102,23717,52819,Salin,MMR009010
 Total,30172,25433,55605,Salin,MMR009010
 Urban,434,1091,1525,Saytottara,MMR009011
 Rural,4760,4495,9255,Saytottara,MMR009011
 Total,5194,5586,10780,Saytottara,MMR009011
 Urban,970,3593,4563,Thayet,MMR009012
 Rural,10639,10770,21409,Thayet,MMR009012
 Total,11609,14363,25972,Thayet,MMR009012
 Urban,707,2274,2981,Minhla,MMR009013
 Rural,13301,15340,28641,Minhla,MMR009013
 Total,14008,17614,31622,Minhla,MMR009013
 Urban,607,663,1270,Mindon,MMR009014
 Rural,7842,7697,15539,Mindon,MMR009014
 Total,8449,8360,16809,Mindon,MMR009014
