Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Total,2852,5473,8325,Saw,MMR009025
 Urban,699,441,1140,Kyaukhtu(ST),MMR009025
 Rural,2309,4160,6469,Kyaukhtu(ST),MMR009025
 Total,3008,4601,7609,Kyaukhtu(ST),MMR009025
 Urban,41866,7865,49731,Aungmyetharzan,MMR010001
 Total,41866,7865,49731,Aungmyetharzan,MMR010001
 Urban,28955,4326,33281,Chanayeharzan,MMR010002
 Total,28955,4326,33281,Chanayeharzan,MMR010002
 Urban,35273,6654,41927,Mahaaungmye,MMR010003
 Total,35273,6654,41927,Mahaaungmye,MMR010003
 Urban,43352,9695,53047,Chanmyatharzi,MMR010004
 Total,43352,9695,53047,Chanmyatharzi,MMR010004
 Urban,31987,11888,43875,Pyigyidagun,MMR010005
 Total,31987,11888,43875,Pyigyidagun,MMR010005
 Urban,12731,3899,16630,Amarapura,MMR010006
 Rural,18895,14101,32996,Amarapura,MMR010006
 Total,31626,18000,49626,Amarapura,MMR010006
 Urban,2346,356,2702,Patheingyi,MMR010007
 Rural,30373,19915,50288,Patheingyi,MMR010007
 Total,32719,20271,52990,Patheingyi,MMR010007
 Urban,25398,6543,31941,Pyin Oo Lwin,MMR010008
 Rural,13111,8330,21441,Pyin Oo Lwin,MMR010008
 Total,38509,14873,53382,Pyin Oo Lwin,MMR010008
 Urban,3994,1317,5311,Madaya,MMR010009
 Rural,25169,28165,53334,Madaya,MMR010009
 Total,29163,29482,58645,Madaya,MMR010009
 Urban,1193,539,1732,Sinku,MMR010010
 Rural,13273,19528,32801,Sinku,MMR010010
 Total,14466,20067,34533,Sinku,MMR010010
 Urban,11906,4780,16686,Mogok,MMR010011
 Rural,10787,7774,18561,Mogok,MMR010011
 Total,22693,12554,35247,Mogok,MMR010011
 Urban,642,546,1188,Thabeikkyin,MMR010012
 Rural,10338,14223,24561,Thabeikkyin,MMR010012
 Total,10980,14769,25749,Thabeikkyin,MMR010012
 Urban,784,1009,1793,Tagaung,MMR010012
 Rural,1776,3823,5599,Tagaung,MMR010012
 Total,2560,4832,7392,Tagaung,MMR010012
 Urban,6916,1575,8491,Kyaukse,MMR010013
 Rural,25432,23842,49274,Kyaukse,MMR010013
 Total,32348,25417,57765,Kyaukse,MMR010013
 Urban,1455,325,1780,Singaing,MMR010014
 Rural,18221,13578,31799,Singaing,MMR010014
 Total,19676,13903,33579,Singaing,MMR010014
 Urban,3253,1093,4346,Myitthar,MMR010015
 Rural,20351,21320,41671,Myitthar,MMR010015
 Total,23604,22413,46017,Myitthar,MMR010015
 Urban,2129,523,2652,Tada U,MMR010016
 Rural,13600,16375,29975,Tada U,MMR010016
 Total,15729,16898,32627,Tada U,MMR010016
 Urban,12917,5980,18897,Myingyan,MMR010017
 Rural,14455,28988,43443,Myingyan,MMR010017
 Total,27372,34968,62340,Myingyan,MMR010017
 Urban,2451,1412,3863,Taungtha,MMR010018
 Rural,12077,33912,45989,Taungtha,MMR010018
 Total,14528,35324,49852,Taungtha,MMR010018
 Urban,2080,762,2842,Natogyi,MMR010019
 Rural,13945,24178,38123,Natogyi,MMR010019
 Total,16025,24940,40965,Natogyi,MMR010019
 Urban,7341,1672,9013,Kyaukpadaung,MMR010020
 Rural,16582,36366,52948,Kyaukpadaung,MMR010020
 Total,23923,38038,61961,Kyaukpadaung,MMR010020
 Urban,1096,561,1657,Ngazun,MMR010021
 Rural,8341,17840,26181,Ngazun,MMR010021
 Total,9437,18401,27838,Ngazun,MMR010021
 Urban,7149,2366,9515,Nyaung U,MMR010022
 Rural,9818,25329,35147,Nyaung U,MMR010022
 Total,16967,27695,44662,Nyaung U,MMR010022
 Urban,3865,1462,5327,Yame`thin,MMR010023
 Rural,15359,36573,51932,Yame`thin,MMR010023
 Total,19224,38035,57259,Yame`thin,MMR010023
 Urban,4716,2158,6874,Pyawbwe,MMR010024
 Rural,16273,35716,51989,Pyawbwe,MMR010024
 Total,20989,37874,58863,Pyawbwe,MMR010024
 Urban,18259,5704,23963,Meiktila,MMR010028
 Rural,18914,25562,44476,Meiktila,MMR010028
 Total,37173,31266,68439,Meiktila,MMR010028
 Urban,3579,1141,4720,Thazi,MMR010030
 Rural,15301,24871,40172,Thazi,MMR010030
 Total,18880,26012,44892,Thazi,MMR010030
 Urban,5027,2273,7300,Wundwin,MMR010031
 Rural,16315,29954,46269,Wundwin,MMR010031
 Total,21342,32227,53569,Wundwin,MMR010031
 Urban,39744,9990,49734,Mawlamyine,MMR011001
 Rural,5398,2325,7723,Mawlamyine,MMR011001
 Total,45142,12315,57457,Mawlamyine,MMR011001
 Urban,1574,602,2176,Kyaikemaraw,MMR011002
 Rural,20258,16454,36712,Kyaikemaraw,MMR011002
 Total,21832,17056,38888,Kyaikemaraw,MMR011002
 Urban,1133,611,1744,Chaungzon,MMR011003
 Rural,16038,10162,26200,Chaungzon,MMR011003
 Total,17171,10773,27944,Chaungzon,MMR011003
 Urban,8711,3004,11715,Thanbyuzayat,MMR011004
 Rural,15251,9268,24519,Thanbyuzayat,MMR011004
 Total,23962,12272,36234,Thanbyuzayat,MMR011004
 Urban,8679,2113,10792,Mudon,MMR011005
 Rural,20228,8292,28520,Mudon,MMR011005
 Total,28907,10405,39312,Mudon,MMR011005
 Urban,4358,1755,6113,Ye,MMR011006
 Rural,13528,10350,23878,Ye,MMR011006
 Total,17886,12105,29991,Ye,MMR011006
 Urban,2243,724,2967,Lamine,MMR011006
 Rural,9992,5680,15672,Lamine,MMR011006
 Total,12235,6404,18639,Lamine,MMR011006
 Urban,545,233,778,Khawzar,MMR011006
 Rural,2243,1797,4040,Khawzar,MMR011006
 Total,2788,2030,4818,Khawzar,MMR011006
 Urban,7873,2833,10706,Thaton,MMR011007
 Rural,17629,19949,37578,Thaton,MMR011007
 Total,25502,22782,48284,Thaton,MMR011007
 Urban,4209,1693,5902,Paung,MMR011008
 Rural,22749,15075,37824,Paung,MMR011008
 Total,26958,16768,43726,Paung,MMR011008
 Urban,5324,2192,7516,Kyaikto,MMR011009
 Rural,13808,16764,30572,Kyaikto,MMR011009
 Total,19132,18956,38088,Kyaikto,MMR011009
 Urban,2829,1215,4044,Bilin,MMR011010
 Rural,14124,21063,35187,Bilin,MMR011010
 Total,16953,22278,39231,Bilin,MMR011010
 Urban,10613,8293,18906,Sittway,MMR012001
 Rural,2909,7221,10130,Sittway,MMR012001
 Total,13522,15514,29036,Sittway,MMR012001
 Urban,1161,1305,2466,Ponnagyun,MMR012002
 Rural,2512,20357,22869,Ponnagyun,MMR012002
 Total,3673,21662,25335,Ponnagyun,MMR012002
 Urban,1028,1442,2470,Pauktaw,MMR012007
 Rural,3052,25022,28074,Pauktaw,MMR012007
 Total,4080,26464,30544,Pauktaw,MMR012007
 Urban,725,785,1510,Yethedaung,MMR012008
 Rural,3275,19556,22831,Yethedaung,MMR012008
 Total,4000,20341,24341,Yethedaung,MMR012008
 Urban,2394,4880,7274,Myauk U,MMR012003
 Rural,4864,29387,34251,Myauk U,MMR012003
 Total,7258,34267,41525,Myauk U,MMR012003
 Urban,2045,1794,3839,Kyauktaw,MMR012004
 Rural,4768,27888,32656,Kyauktaw,MMR012004
 Total,6813,29682,36495,Kyauktaw,MMR012004
 Urban,1854,2761,4615,Minbya,MMR012005
 Rural,3855,28158,32013,Minbya,MMR012005
 Total,5709,30919,36628,Minbya,MMR012005
 Urban,841,1777,2618,Myebon,MMR012006
 Rural,4455,24266,28721,Myebon,MMR012006
 Total,5296,26043,31339,Myebon,MMR012006
 Urban,1210,1104,2314,Maungtaw,MMR012009
 Rural,970,4106,5076,Maungtaw,MMR012009
 Total,2180,5210,7390,Maungtaw,MMR012009
 Urban,1036,1026,2062,Buthidaung,MMR012010
 Rural,1619,7583,9202,Buthidaung,MMR012010
 Total,2655,8609,11264,Buthidaung,MMR012010
 Urban,38,120,158,Taungpyoletwe(ST),MMR012009
 Rural,28,320,348,Taungpyoletwe(ST),MMR012009
 Total,66,440,506,Taungpyoletwe(ST),MMR012009
 Urban,3128,1126,4254,Kyaukpyu,MMR012011
 Rural,6173,26837,33010,Kyaukpyu,MMR012011
 Total,9301,27963,37264,Kyaukpyu,MMR012011
 Urban,725,581,1306,Mannaung,MMR017011
 Rural,2143,11286,13429,Mannaung,MMR017011
 Total,2868,11867,14735,Mannaung,MMR017011
 Urban,826,1422,2248,Yanbye,MMR012013
 Rural,879,19291,20170,Yanbye,MMR012013
 Total,1705,20713,22418,Yanbye,MMR012013
 Urban,914,964,1878,An,MMR012014
 Rural,4830,20651,25481,An,MMR012014
 Total,5744,21615,27359,An,MMR012014
 Urban,2279,1071,3350,Thandwe,MMR012015
 Rural,9467,18258,27725,Thandwe,MMR012015
 Total,11746,19329,31075,Thandwe,MMR012015
 Urban,3707,2471,6178,Toungup,MMR012016
 Rural,3893,15168,19061,Toungup,MMR012016
 Total,7600,17639,25239,Toungup,MMR012016
 Urban,1353,1135,2488,Gwa,MMR012017
 Rural,2174,6583,8757,Gwa,MMR012017
 Total,3527,7718,11245,Gwa,MMR012017
 Urban,468,747,1215,Maei(ST),MMR012016
 Rural,1676,7062,8738,Maei(ST),MMR012016
 Total,2144,7809,9953,Maei(ST),MMR012016
 Urban,621,854,1475,Kyeintali(ST),MMR012017
 Rural,1138,3468,4606,Kyeintali(ST),MMR012017
 Total,1759,4322,6081,Kyeintali(ST),MMR012017
 Urban,51707,9969,61676,Insein,MMR013001
 Total,51707,9969,61676,Insein,MMR013001
 Urban,35780,5861,41641,Mingaladon,MMR013002
 Rural,18336,6326,24662,Mingaladon,MMR013002
 Total,54116,12187,66303,Mingaladon,MMR013002
 Urban,4627,1315,5942,Hmawby,MMR013003
 Rural,31452,19075,50527,Hmawby,MMR013003
 Total,36079,20390,56469,Hmawby,MMR013003
 Urban,6909,1840,8749,Hlegu,MMR013004
 Rural,27970,21304,49274,Hlegu,MMR013004
 Total,34879,23144,58023,Hlegu,MMR013004
 Urban,12724,7635,20359,Taikkyi,MMR013005
 Rural,16758,29882,46640,Taikkyi,MMR013005
 Total,29482,37517,66999,Taikkyi,MMR013005
 Urban,1311,745,2056,Htantabin,MMR013006
 Rural,16171,15984,32155,Htantabin,MMR013006
 Total,17482,16729,34211,Htantabin,MMR013006
 Urban,41246,17265,58511,Shwepyitha,MMR013007
 Rural,9532,5732,15264,Shwepyitha,MMR013007
 Total,50778,22997,73775,Shwepyitha,MMR013007
 Urban,70557,33250,103807,Hlinethaya,MMR013008
 Rural,22665,22239,44904,Hlinethaya,MMR013008
 Total,93222,55489,148711,Hlinethaya,MMR013008
 Urban,38352,4968,43320,Thingangyun,MMR013009
 Total,38352,4968,43320,Thingangyun,MMR013009
 Urban,13631,1006,14637,Yankin,MMR013010
 Total,13631,1006,14637,Yankin,MMR013010
 Urban,29667,3058,32725,South Okkalapa,MMR013011
 Total,29667,3058,32725,South Okkalapa,MMR013011
 Urban,54959,9797,64756,North Okkalapa,MMR013012
 Total,54959,9797,64756,North Okkalapa,MMR013012
 Urban,39125,6331,45456,Thakayta,MMR013013
 Total,39125,6331,45456,Thakayta,MMR013013
 Urban,12512,1897,14409,Dawbon,MMR013014
 Total,12512,1897,14409,Dawbon,MMR013014
 Urban,33464,1896,35360,Tamway,MMR013015
 Total,33464,1896,35360,Tamway,MMR013015
 Urban,9714,592,10306,Pazuntaung,MMR013016
 Total,9714,592,10306,Pazuntaung,MMR013016
 Urban,7920,477,8397,Botahtaung,MMR013017
 Total,7920,477,8397,Botahtaung,MMR013017
 Urban,60271,16713,76984,Dagon Myothit(South),MMR013018
 Total,60271,16713,76984,Dagon Myothit(South),MMR013018
 Urban,37961,4743,42704,Dagon Myothit(North),MMR013019
 Total,37961,4743,42704,Dagon Myothit(North),MMR013019
 Urban,24285,7610,31895,Dagon Myothit(East),MMR013020
 Rural,1007,1011,2018,Dagon Myothit(East),MMR013020
 Total,25292,8621,33913,Dagon Myothit(East),MMR013020
 Urban,21509,12663,34172,Dagon Myothit(Seik),MMR013021
 Rural,2077,1656,3733,Dagon Myothit(Seik),MMR013021
 Total,23586,14319,37905,Dagon Myothit(Seik),MMR013021
 Urban,23847,2071,25918,Mingala Taungnyunt,MMR013022
 Total,23847,2071,25918,Mingala Taungnyunt,MMR013022
 Urban,14766,3943,18709,Thanlyin,MMR013023
 Rural,25712,17176,42888,Thanlyin,MMR013023
 Total,40478,21119,61597,Thanlyin,MMR013023
 Urban,6473,3391,9864,Kyauktan,MMR013024
 Rural,10970,12142,23112,Kyauktan,MMR013024
 Total,17443,15533,32976,Kyauktan,MMR013024
 Urban,4361,2395,6756,Thongwa,MMR013025
 Rural,15879,17452,33331,Thongwa,MMR013025
 Total,20240,19847,40087,Thongwa,MMR013025
 Urban,4917,2961,7878,Khayan,MMR013026
 Rural,13529,17907,31436,Khayan,MMR013026
 Total,18446,20868,39314,Khayan,MMR013026
 Urban,5950,3247,9197,Twantay,MMR013027
 Rural,21164,21241,42405,Twantay,MMR013027
 Total,27114,24488,51602,Twantay,MMR013027
 Urban,1307,924,2231,Kawhmu,MMR013028
 Rural,11626,15935,27561,Kawhmu,MMR013028
 Total,12933,16859,29792,Kawhmu,MMR013028
 Urban,2623,1335,3958,Kungyangon,MMR013029
 Rural,8298,16096,24394,Kungyangon,MMR013029
 Total,10921,17431,28352,Kungyangon,MMR013029
 Urban,16872,8459,25331,Dala,MMR013030
 Rural,6578,6003,12581,Dala,MMR013030
 Total,23450,14462,37912,Dala,MMR013030
 Urban,203,148,351,Cocogyun,MMR013032
 Total,203,148,351,Cocogyun,MMR013032
 Urban,1425,1065,2490,Tada(ST),MMR013024
 Rural,2876,4127,7003,Tada(ST),MMR013024
 Total,4301,5192,9493,Tada(ST),MMR013024
 Urban,5734,386,6120,Kyauktada,MMR013033
 Total,5734,386,6120,Kyauktada,MMR013033
 Urban,5995,568,6563,Pabedan,MMR013034
 Total,5995,568,6563,Pabedan,MMR013034
 Urban,8108,491,8599,Lanmadaw,MMR013035
 Total,8108,491,8599,Lanmadaw,MMR013035
 Urban,4163,310,4473,Latha,MMR013036
 Total,4163,310,4473,Latha,MMR013036
 Urban,10229,714,10943,Ahlon,MMR013037
 Total,10229,714,10943,Ahlon,MMR013037
 Urban,18708,4354,23062,Kyimyindine,MMR013038
 Total,18708,4354,23062,Kyimyindine,MMR013038
 Urban,19630,1005,20635,Sangyoung,MMR013039
 Total,19630,1005,20635,Sangyoung,MMR013039
 Urban,30292,2545,32837,Hline,MMR013040
 Total,30292,2545,32837,Hline,MMR013040
 Urban,14942,1357,16299,Kamayut,MMR013041
 Total,14942,1357,16299,Kamayut,MMR013041
 Urban,35007,3800,38807,Mayangon,MMR013042
 Total,35007,3800,38807,Mayangon,MMR013042
 Urban,4438,170,4608,Dagon,MMR013043
 Total,4438,170,4608,Dagon,MMR013043
 Urban,16412,1014,17426,Bahan,MMR013044
 Total,16412,1014,17426,Bahan,MMR013044
 Urban,350,60,410,Seikkan,MMR013045
 Total,350,60,410,Seikkan,MMR013045
 Urban,47021,9627,56648,Taunggyi,MMR014001
 Rural,15367,10589,25956,Taunggyi,MMR014001
 Total,62388,20216,82604,Taunggyi,MMR014001
 Urban,2616,443,3059,Nyaungshwe,MMR014002
 Rural,21024,18551,39575,Nyaungshwe,MMR014002
 Total,23640,18994,42634,Nyaungshwe,MMR014002
 Urban,3246,1290,4536,Hopon,MMR014003
 Rural,8026,12166,20192,Hopon,MMR014003
 Total,11272,13456,24728,Hopon,MMR014003
 Urban,1894,755,2649,Hsihseng,MMR014004
 Rural,14674,15448,30122,Hsihseng,MMR014004
 Total,16568,16203,32771,Hsihseng,MMR014004
 Urban,10629,1969,12598,Kalaw,MMR014005
 Rural,14656,14087,28743,Kalaw,MMR014005
 Total,25285,16056,41341,Kalaw,MMR014005
 Urban,1848,411,2259,Pindaya,MMR014006
 Rural,7014,8271,15285,Pindaya,MMR014006
 Total,8862,8682,17544,Pindaya,MMR014006
 Urban,693,462,1155,Ywarngan,MMR014007
 Rural,4088,13105,17193,Ywarngan,MMR014007
 Total,4781,13567,18348,Ywarngan,MMR014007
 Urban,4962,715,5677,Yatsauk,MMR014008
 Rural,11391,8889,20280,Yatsauk,MMR014008
 Total,16353,9604,25957,Yatsauk,MMR014008
 Urban,2287,483,2770,Pinlaung,MMR014009
 Rural,11529,11205,22734,Pinlaung,MMR014009
 Total,13816,11688,25504,Pinlaung,MMR014009
 Urban,2605,826,3431,Phekon,MMR014010
 Rural,8157,8496,16653,Phekon,MMR014010
 Total,10762,9322,20084,Phekon,MMR014010
 Urban,321,281,602,Kyauktalongyi(ST),MMR014001
 Rural,5568,6095,11663,Kyauktalongyi(ST),MMR014001
 Total,5889,6376,12265,Kyauktalongyi(ST),MMR014001
 Urban,1246,590,1836,Indaw(ST),MMR014008
 Rural,3075,3239,6314,Indaw(ST),MMR014008
 Total,4321,3829,8150,Indaw(ST),MMR014008
 Urban,759,220,979,Naungtayar(ST),MMR014009
 Rural,7521,8079,15600,Naungtayar(ST),MMR014009
 Total,8280,8299,16579,Naungtayar(ST),MMR014009
 Urban,2356,497,2853,Loilem,MMR014011
 Rural,3668,4380,8048,Loilem,MMR014011
 Total,6024,4877,10901,Loilem,MMR014011
 Urban,1134,196,1330,Le`char,MMR014012
 Rural,4057,3403,7460,Le`char,MMR014012
 Total,5191,3599,8790,Le`char,MMR014012
 Urban,3999,842,4841,Nanhsam(South),MMR014013
 Rural,7049,6973,14022,Nanhsam(South),MMR014013
 Total,11048,7815,18863,Nanhsam(South),MMR014013
 Urban,942,600,1542,Kunhing,MMR014014
 Rural,1220,1808,3028,Kunhing,MMR014014
 Total,2162,2408,4570,Kunhing,MMR014014
 Urban,564,278,842,Kehsi,MMR014015
 Rural,3416,4643,8059,Kehsi,MMR014015
 Total,3980,4921,8901,Kehsi,MMR014015
 Urban,1241,978,2219,Mongkai,MMR014016
 Rural,654,13459,14113,Mongkai,MMR014016
 Total,1895,14437,16332,Mongkai,MMR014016
 Urban,1458,625,2083,Mineshu,MMR014017
 Rural,2820,4298,7118,Mineshu,MMR014017
 Total,4278,4923,9201,Mineshu,MMR014017
 Urban,4099,1125,5224,Panglong(ST),MMR014011
 Rural,4332,4960,9292,Panglong(ST),MMR014011
 Total,8431,6085,14516,Panglong(ST),MMR014011
 Urban,1290,458,1748,Kholan(ST),MMR014013
 Rural,1148,1468,2616,Kholan(ST),MMR014013
 Total,2438,1926,4364,Kholan(ST),MMR014013
 Urban,1132,533,1665,Karli(ST),MMR014014
 Rural,1922,2980,4902,Karli(ST),MMR014014
 Total,3054,3513,6567,Karli(ST),MMR014014
 Urban,397,355,752,Minenaung(ST),MMR014015
 Rural,1541,3518,5059,Minenaung(ST),MMR014015
 Total,1938,3873,5811,Minenaung(ST),MMR014015
 Urban,248,259,507,Minesan(Monsan)(ST),MMR014017
 Rural,2685,3474,6159,Minesan(Monsan)(ST),MMR014017
 Total,2933,3733,6666,Minesan(Monsan)(ST),MMR014017
 Urban,1310,408,1718,Linkhe`,MMR014018
 Rural,3615,3055,6670,Linkhe`,MMR014018
 Total,4925,3463,8388,Linkhe`,MMR014018
 Urban,1597,506,2103,Mone`,MMR014019
 Rural,1614,2507,4121,Mone`,MMR014019
 Total,3211,3013,6224,Mone`,MMR014019
 Urban,973,219,1192,Maukme`,MMR014020
 Rural,714,5288,6002,Maukme`,MMR014020
 Total,1687,5507,7194,Maukme`,MMR014020
 Urban,1664,295,1959,Minepan,MMR014021
 Rural,1140,2322,3462,Minepan,MMR014021
 Total,2804,2617,5421,Minepan,MMR014021
 Urban,387,287,674,Homane(ST),MMR014018
 Rural,166,320,486,Homane(ST),MMR014018
 Total,553,607,1160,Homane(ST),MMR014018
 Urban,1581,516,2097,Kengtaung(ST),MMR014019
 Rural,27,137,164,Kengtaung(ST),MMR014019
 Total,1608,653,2261,Kengtaung(ST),MMR014019
 Urban,28124,5975,34099,Lashio,MMR015001
 Rural,16081,14752,30833,Lashio,MMR015001
 Total,44205,20727,64932,Lashio,MMR015001
 Urban,1639,284,1923,Theinni,MMR015002
 Rural,5768,4088,9856,Theinni,MMR015002
 Total,7407,4372,11779,Theinni,MMR015002
 Urban,1009,461,1470,Mineye`,MMR015003
 Rural,3846,8012,11858,Mineye`,MMR015003
 Total,4855,8473,13328,Mineye`,MMR015003
 Urban,4625,2183,6808,Tantyan,MMR015004
 Rural,11304,17030,28334,Tantyan,MMR015004
 Total,15929,19213,35142,Tantyan,MMR015004
 Urban,11777,1557,13334,MuSe,MMR015009
 Rural,6939,1941,8880,MuSe,MMR015009
 Total,18716,3498,22214,MuSe,MMR015009
 Urban,5523,609,6132,Namkham,MMR015010
 Rural,8474,6811,15285,Namkham,MMR015010
 Total,13997,7420,21417,Namkham,MMR015010
 Urban,3716,967,4683,Kukai,MMR015011
 Rural,5305,9043,14348,Kukai,MMR015011
 Total,9021,10010,19031,Kukai,MMR015011
 Urban,1202,267,1469,Monekoe(ST),MMR015009
 Rural,1077,1812,2889,Monekoe(ST),MMR015009
 Total,2279,2079,4358,Monekoe(ST),MMR015009
 Urban,325,21,346,Manhero(ST),MMR015009
 Rural,1194,103,1297,Manhero(ST),MMR015009
 Total,1519,124,1643,Manhero(ST),MMR015009
 Urban,1574,194,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,1807,968,2775,Pansai(KyuKute)(ST),MMR015009
 Total,3381,1162,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,1667,820,2487,Tamoenye(ST),MMR015011
 Rural,4188,6374,10562,Tamoenye(ST),MMR015011
 Total,5855,7194,13049,Tamoenye(ST),MMR015011
 Urban,6976,1677,8653,Kyukme,MMR015012
 Rural,10080,9638,19718,Kyukme,MMR015012
 Total,17056,11315,28371,Kyukme,MMR015012
 Urban,3079,1092,4171,Naungkhio,MMR015013
 Rural,14578,13475,28053,Naungkhio,MMR015013
 Total,17657,14567,32224,Naungkhio,MMR015013
 Urban,3451,558,4009,Hsipaw,MMR015014
 Rural,14587,19310,33897,Hsipaw,MMR015014
 Total,18038,19868,37906,Hsipaw,MMR015014
 Urban,2612,645,3257,Namtu,MMR015015
 Rural,4729,3655,8384,Namtu,MMR015015
 Total,7341,4300,11641,Namtu,MMR015015
 Urban,788,147,935,Namsan(North),MMR015016
 Rural,4556,8194,12750,Namsan(North),MMR015016
 Total,5344,8341,13685,Namsan(North),MMR015016
 Urban,1577,656,2233,Momeik,MMR015017
 Rural,5988,5431,11419,Momeik,MMR015017
 Total,7565,6087,13652,Momeik,MMR015017
 Urban,585,129,714,Mabane,MMR015018
 Rural,5532,2386,7918,Mabane,MMR015018
 Total,6117,2515,8632,Mabane,MMR015018
 Urban,509,270,779,Manton,MMR015019
 Rural,938,5966,6904,Manton,MMR015019
 Total,1447,6236,7683,Manton,MMR015019
 Urban,396,217,613,Minengaw(ST),MMR015012
 Rural,957,2459,3416,Minengaw(ST),MMR015012
 Total,1353,2676,4029,Minengaw(ST),MMR015012
 Urban,387,199,586,Minelon(ST),MMR015012
 Rural,1734,3536,5270,Minelon(ST),MMR015012
 Total,2121,3735,5856,Minelon(ST),MMR015012
 Urban,1025,133,1158,Kunlon,MMR015020
 Rural,5104,4130,9234,Kunlon,MMR015020
 Total,6129,4263,10392,Kunlon,MMR015020
 Urban,2788,153,2941,Laukine,MMR015022
 Rural,8291,2999,11290,Laukine,MMR015022
 Total,11079,3152,14231,Laukine,MMR015022
 Urban,155,39,194,Kongyan,MMR015023
 Rural,1413,3855,5268,Kongyan,MMR015023
 Total,1568,3894,5462,Kongyan,MMR015023
 Urban,389,230,619,Chinshwehaw(ST),MMR015022
 Rural,236,95,331,Chinshwehaw(ST),MMR015022
 Total,625,325,950,Chinshwehaw(ST),MMR015022
 Urban,71,14,85,Mawhtike(ST),MMR015023
 Rural,1834,2284,4118,Mawhtike(ST),MMR015023
 Total,1905,2298,4203,Mawhtike(ST),MMR015023
 Urban,2764,614,3378,Hopan,MMR015021
 Rural,2822,3831,6653,Hopan,MMR015021
 Total,5586,4445,10031,Hopan,MMR015021
 Urban,753,100,853,Minemaw,MMR015008
 Rural,4602,4990,9592,Minemaw,MMR015008
 Total,5355,5090,10445,Minemaw,MMR015008
 Urban,369,100,469,Panwine,MMR015007
 Rural,4754,8746,13500,Panwine,MMR015007
 Total,5123,8846,13969,Panwine,MMR015007
 Urban,399,262,661,Panlon(ST),MMR015021
 Rural,243,281,524,Panlon(ST),MMR015021
 Total,642,543,1185,Panlon(ST),MMR015021
 Urban,43,24,67,Makman,MMR015024
 Rural,685,2566,3251,Makman,MMR015024
 Total,728,2590,3318,Makman,MMR015024
 Urban,1891,131,2022,Pan San(Pan Kham),MMR015005
 Rural,6024,8096,14120,Pan San(Pan Kham),MMR015005
 Total,7915,8227,16142,Pan San(Pan Kham),MMR015005
 Urban,123,32,155,Naphang,MMR015006
 Rural,3338,12981,16319,Naphang,MMR015006
 Total,3461,13013,16474,Naphang,MMR015006
 Urban,24,57,81,ManKan(ST),MMR015005
 Rural,41,193,234,ManKan(ST),MMR015005
 Total,65,250,315,ManKan(ST),MMR015005
 Urban,8141,961,9102,Kengtung,MMR016001
 Rural,13605,11389,24994,Kengtung,MMR016001
 Total,21746,12350,34096,Kengtung,MMR016001
 Urban,485,73,558,Minekat,MMR016002
 Rural,2030,5437,7467,Minekat,MMR016002
 Total,2515,5510,8025,Minekat,MMR016002
 Urban,840,149,989,Mineyan,MMR016003
 Rural,4921,4209,9130,Mineyan,MMR016003
 Total,5761,4358,10119,Mineyan,MMR016003
 Urban,1515,45,1560,Minelar,MMR016005
 Rural,1991,1657,3648,Minelar,MMR016005
 Total,3506,1702,5208,Minelar,MMR016005
 Rural,4938,4347,9285,Mine Pauk(ST),MMR016003
 Total,4938,4347,9285,Mine Pauk(ST),MMR016003
 Urban,1395,166,1561,Minesat,MMR016006
 Rural,5925,8423,14348,Minesat,MMR016006
 Total,7320,8589,15909,Minesat,MMR016006
 Urban,906,427,1333,Minepyin,MMR016007
 Rural,2603,6669,9272,Minepyin,MMR016007
 Total,3509,7096,10605,Minepyin,MMR016007
 Urban,852,267,1119,Minetung,MMR016008
 Rural,802,2337,3139,Minetung,MMR016008
 Total,1654,2604,4258,Minetung,MMR016008
 Urban,182,102,284,Minekoke(ST),MMR016006
 Rural,639,2279,2918,Minekoke(ST),MMR016006
 Total,821,2381,3202,Minekoke(ST),MMR016006
 Urban,306,121,427,Tontar(ST),MMR016007
 Rural,423,1844,2267,Tontar(ST),MMR016007
 Total,729,1965,2694,Tontar(ST),MMR016007
 Urban,413,308,721,Ponparkyin(ST),MMR016008
 Rural,2065,4548,6613,Ponparkyin(ST),MMR016008
 Total,2478,4856,7334,Ponparkyin(ST),MMR016008
 Urban,28,63,91,Monehta(ST),MMR016008
 Rural,92,746,838,Monehta(ST),MMR016008
 Total,120,809,929,Monehta(ST),MMR016008
 Urban,9732,1362,11094,Tachileik,MMR016009
 Rural,13946,6139,20085,Tachileik,MMR016009
 Total,23678,7501,31179,Tachileik,MMR016009
 Urban,683,190,873,Talay(ST),MMR016009
 Rural,1618,1527,3145,Talay(ST),MMR016009
 Total,2301,1717,4018,Talay(ST),MMR016009
 Urban,521,241,762,Kenglat(ST),MMR016009
 Rural,729,985,1714,Kenglat(ST),MMR016009
 Total,1250,1226,2476,Kenglat(ST),MMR016009
 Urban,1029,294,1323,Minephyat,MMR016010
 Rural,2074,2768,4842,Minephyat,MMR016010
 Total,3103,3062,6165,Minephyat,MMR016010
 Urban,964,226,1190,Mineyaung,MMR016011
 Rural,3715,1424,5139,Mineyaung,MMR016011
 Total,4679,1650,6329,Mineyaung,MMR016011
 Urban,199,32,231,Mineyu(ST),MMR016011
 Rural,6759,3877,10636,Mineyu(ST),MMR016011
