Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total,Township,MIMU_code
 Rural,199,31969,32168,Homalin,MMR005034
 Total,331,35412,35743,Homalin,MMR005034
 Urban,-,253,253,Leshi,MMR005035
 Rural,1,1402,1403,Leshi,MMR005035
 Total,1,1655,1656,Leshi,MMR005035
 Urban,-,538,538,Lahe,MMR005036
 Rural,2,6437,6439,Lahe,MMR005036
 Total,2,6975,6977,Lahe,MMR005036
 Urban,3,372,375,Nanyun,MMR005037
 Rural,-,1193,1193,Nanyun,MMR005037
 Total,3,1565,1568,Nanyun,MMR005037
 Urban,1,209,210,Mobaingluk(ST),MMR005035
 Rural,-,100,100,Mobaingluk(ST),MMR005035
 Total,1,309,310,Mobaingluk(ST),MMR005035
 Urban,1,285,286,Sonemara(ST),MMR005035
 Rural,1,907,908,Sonemara(ST),MMR005035
 Total,2,1192,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,1,337,338,Pansaung(ST),MMR005037
 Rural,2,2009,2011,Pansaung(ST),MMR005037
 Total,3,2346,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,-,3754,3754,Donhee(ST),MMR005037
 Total,-,3923,3923,Donhee(ST),MMR005037
 Urban,167,910,1077,Yinmarpin,MMR005016
 Rural,405,28050,28455,Yinmarpin,MMR005016
 Total,572,28960,29532,Yinmarpin,MMR005016
 Urban,133,1089,1222,Salingyi,MMR005018
 Rural,871,24374,25245,Salingyi,MMR005018
 Total,1004,25463,26467,Salingyi,MMR005018
 Urban,105,826,931,Palae,MMR005019
 Rural,577,30854,31431,Palae,MMR005019
 Total,682,31680,32362,Palae,MMR005019
 Urban,131,1007,1138,Kani,MMR005017
 Rural,100,27985,28085,Kani,MMR005017
 Total,231,28992,29223,Kani,MMR005017
 Urban,3074,12308,15382,Dawei,MMR006001
 Rural,468,9093,9561,Dawei,MMR006001
 Total,3542,21401,24943,Dawei,MMR006001
 Urban,276,964,1240,Lounglon,MMR006002
 Rural,1321,23174,24495,Lounglon,MMR006002
 Total,1597,24138,25735,Lounglon,MMR006002
 Urban,392,2015,2407,Thayetchaung,MMR006003
 Rural,271,20196,20467,Thayetchaung,MMR006003
 Total,663,22211,22874,Thayetchaung,MMR006003
 Urban,177,900,1077,Yebyu,MMR006004
 Rural,212,20784,20996,Yebyu,MMR006004
 Total,389,21684,22073,Yebyu,MMR006004
 Urban,2,494,496,Myitta(ST),MMR006001
 Rural,5,3689,3694,Myitta(ST),MMR006001
 Total,7,4183,4190,Myitta(ST),MMR006001
 Urban,7,617,624,Kaleinaung(ST),MMR006004
 Rural,21,3632,3653,Kaleinaung(ST),MMR006004
 Total,28,4249,4277,Kaleinaung(ST),MMR006004
 Urban,4325,17223,21548,Myeik,MMR006005
 Rural,2018,30783,32801,Myeik,MMR006005
 Total,6343,48006,54349,Myeik,MMR006005
 Urban,261,881,1142,Kyunsu,MMR006006
 Rural,211,31635,31846,Kyunsu,MMR006006
 Total,472,32516,32988,Kyunsu,MMR006006
 Urban,271,3300,3571,Palaw,MMR006007
 Rural,287,14667,14954,Palaw,MMR006007
 Total,558,17967,18525,Palaw,MMR006007
 Urban,342,784,1126,Tanintharyi,MMR006008
 Rural,101,18702,18803,Tanintharyi,MMR006008
 Total,443,19486,19929,Tanintharyi,MMR006008
 Urban,108,1103,1211,Palauk(ST),MMR006007
 Rural,56,5861,5917,Palauk(ST),MMR006007
 Total,164,6964,7128,Palauk(ST),MMR006007
 Urban,799,11781,12580,Kawthoung,MMR006009
 Rural,206,12695,12901,Kawthoung,MMR006009
 Total,1005,24476,25481,Kawthoung,MMR006009
 Urban,209,838,1047,Bokepyin,MMR006010
 Rural,170,7659,7829,Bokepyin,MMR006010
 Total,379,8497,8876,Bokepyin,MMR006010
 Urban,25,2330,2355,Khamaukgyi,MMR006009
 Rural,36,2474,2510,Khamaukgyi,MMR006009
 Total,61,4804,4865,Khamaukgyi,MMR006009
 Urban,2,713,715,Pyigyimandaing,MMR006010
 Rural,1,2388,2389,Pyigyimandaing,MMR006010
 Total,3,3101,3104,Pyigyimandaing,MMR006010
 Urban,3,283,286,Karathuri(ST),MMR006010
 Rural,5,3471,3476,Karathuri(ST),MMR006010
 Total,8,3754,3762,Karathuri(ST),MMR006010
 Urban,7322,47570,54892,Bago,MMR007001
 Rural,2041,50199,52240,Bago,MMR007001
 Total,9363,97769,107132,Bago,MMR007001
 Urban,406,3223,3629,Tanatpin,MMR007002
 Rural,400,28498,28898,Tanatpin,MMR007002
 Total,806,31721,32527,Tanatpin,MMR007002
 Urban,209,4045,4254,Kawa,MMR007003
 Rural,327,41494,41821,Kawa,MMR007003
 Total,536,45539,46075,Kawa,MMR007003
 Urban,353,4693,5046,Waw,MMR007004
 Rural,367,31670,32037,Waw,MMR007004
 Total,720,36363,37083,Waw,MMR007004
 Urban,233,12829,13062,Nyaunglebin,MMR007005
 Rural,83,31617,31700,Nyaunglebin,MMR007005
 Total,316,44446,44762,Nyaunglebin,MMR007005
 Urban,86,6787,6873,Kyauktaga,MMR007006
 Rural,161,44614,44775,Kyauktaga,MMR007006
 Total,247,51401,51648,Kyauktaga,MMR007006
 Urban,807,7933,8740,Daik U,MMR007007
 Rural,859,36154,37013,Daik U,MMR007007
 Total,1666,44087,45753,Daik U,MMR007007
 Urban,493,4372,4865,Shwegyin,MMR007008
 Rural,224,16693,16917,Shwegyin,MMR007008
 Total,717,21065,21782,Shwegyin,MMR007008
 Urban,3215,18685,21900,Toungoo,MMR007009
 Rural,1482,34078,35560,Toungoo,MMR007009
 Total,4697,52763,57460,Toungoo,MMR007009
 Urban,677,5278,5955,Yaedashe,MMR007010
 Rural,1621,42951,44572,Yaedashe,MMR007010
 Total,2298,48229,50527,Yaedashe,MMR007010
 Urban,259,1999,2258,Kyaukkyi,MMR007011
 Rural,388,20237,20625,Kyaukkyi,MMR007011
 Total,647,22236,22883,Kyaukkyi,MMR007011
 Urban,1613,12214,13827,Pyu,MMR007012
 Rural,1193,39911,41104,Pyu,MMR007012
 Total,2806,52125,54931,Pyu,MMR007012
 Urban,298,2911,3209,Oatwin,MMR007013
 Rural,1294,32367,33661,Oatwin,MMR007013
 Total,1592,35278,36870,Oatwin,MMR007013
 Urban,294,2082,2376,Htantapin,MMR007014
 Rural,586,23819,24405,Htantapin,MMR007014
 Total,880,25901,26781,Htantapin,MMR007014
 Urban,3197,25618,28815,Pyay,MMR008001
 Rural,1659,28083,29742,Pyay,MMR008001
 Total,4856,53701,58557,Pyay,MMR008001
 Urban,337,3269,3606,Paukkhaung,MMR008002
 Rural,428,28313,28741,Paukkhaung,MMR008002
 Total,765,31582,32347,Paukkhaung,MMR008002
 Urban,500,3968,4468,Padaung,MMR008003
 Rural,773,33651,34424,Padaung,MMR008003
 Total,1273,37619,38892,Padaung,MMR008003
 Urban,268,6213,6481,Paunde,MMR008004
 Rural,295,29924,30219,Paunde,MMR008004
 Total,563,36137,36700,Paunde,MMR008004
 Urban,371,3895,4266,Thegon,MMR008005
 Rural,856,30828,31684,Thegon,MMR008005
 Total,1227,34723,35950,Thegon,MMR008005
 Urban,511,4007,4518,Shwedaung,MMR008006
 Rural,814,28232,29046,Shwedaung,MMR008006
 Total,1325,32239,33564,Shwedaung,MMR008006
 Urban,756,7408,8164,Tharyarwaddy,MMR008007
 Rural,437,28025,28462,Tharyarwaddy,MMR008007
 Total,1193,35433,36626,Tharyarwaddy,MMR008007
 Urban,394,5341,5735,Letpadan,MMR008008
 Rural,667,37082,37749,Letpadan,MMR008008
 Total,1061,42423,43484,Letpadan,MMR008008
 Urban,240,2462,2702,Minhla,MMR009013
 Rural,425,27767,28192,Minhla,MMR009013
 Total,665,30229,30894,Minhla,MMR009013
 Urban,341,2459,2800,Okpo,MMR008010
 Rural,830,28264,29094,Okpo,MMR008010
 Total,1171,30723,31894,Okpo,MMR008010
 Urban,258,3709,3967,Zigon,MMR008011
 Rural,241,14002,14243,Zigon,MMR008011
 Total,499,17711,18210,Zigon,MMR008011
 Urban,586,4056,4642,Nattalin,MMR008012
 Rural,589,40538,41127,Nattalin,MMR008012
 Total,1175,44594,45769,Nattalin,MMR008012
 Urban,25,2355,2380,Monyo,MMR008013
 Rural,83,30824,30907,Monyo,MMR008013
 Total,108,33179,33287,Monyo,MMR008013
 Urban,541,5043,5584,Gyobingauk,MMR008014
 Rural,508,24494,25002,Gyobingauk,MMR008014
 Total,1049,29537,30586,Gyobingauk,MMR008014
 Urban,1515,18355,19870,Magway,MMR009001
 Rural,641,48166,48807,Magway,MMR009001
 Total,2156,66521,68677,Magway,MMR009001
 Urban,1035,9641,10676,Yenangyoung,MMR009002
 Rural,271,21553,21824,Yenangyoung,MMR009002
 Total,1306,31194,32500,Yenangyoung,MMR009002
 Urban,798,9603,10401,Chauk,MMR009003
 Rural,590,33627,34217,Chauk,MMR009003
 Total,1388,43230,44618,Chauk,MMR009003
 Urban,851,9204,10055,Taungdwingyi,MMR009004
 Rural,980,49228,50208,Taungdwingyi,MMR009004
 Total,1831,58432,60263,Taungdwingyi,MMR009004
 Urban,318,1428,1746,Myothit,MMR009005
 Rural,610,34592,35202,Myothit,MMR009005
 Total,928,36020,36948,Myothit,MMR009005
 Urban,424,2750,3174,Natmauk,MMR009006
 Rural,561,44691,45252,Natmauk,MMR009006
 Total,985,47441,48426,Natmauk,MMR009006
 Urban,609,8581,9190,Minbu,MMR009007
 Rural,707,33920,34627,Minbu,MMR009007
 Total,1316,42501,43817,Minbu,MMR009007
 Urban,361,1093,1454,Pwint Phyu,MMR009008
 Rural,1190,37120,38310,Pwint Phyu,MMR009008
 Total,1551,38213,39764,Pwint Phyu,MMR009008
 Urban,90,889,979,Ngape,MMR009009
 Rural,288,11190,11478,Ngape,MMR009009
 Total,378,12079,12457,Ngape,MMR009009
 Urban,483,2303,2786,Salin,MMR009010
 Rural,885,51934,52819,Salin,MMR009010
 Total,1368,54237,55605,Salin,MMR009010
 Urban,14,1511,1525,Saytottara,MMR009011
 Rural,6,9249,9255,Saytottara,MMR009011
 Total,20,10760,10780,Saytottara,MMR009011
 Urban,649,3914,4563,Thayet,MMR009012
 Rural,283,21126,21409,Thayet,MMR009012
 Total,932,25040,25972,Thayet,MMR009012
 Urban,454,2527,2981,Minhla,MMR009013
 Rural,1044,27597,28641,Minhla,MMR009013
 Total,1498,30124,31622,Minhla,MMR009013
 Urban,276,994,1270,Mindon,MMR009014
 Rural,380,15159,15539,Mindon,MMR009014
 Total,656,16153,16809,Mindon,MMR009014
 Urban,148,1146,1294,Kamma,MMR009015
 Rural,241,17608,17849,Kamma,MMR009015
 Total,389,18754,19143,Kamma,MMR009015
 Urban,1116,10509,11625,Aunglan,MMR009016
 Rural,1852,44132,45984,Aunglan,MMR009016
 Total,2968,54641,57609,Aunglan,MMR009016
 Urban,146,1135,1281,Sinpaungwe`,MMR009017
 Rural,419,26984,27403,Sinpaungwe`,MMR009017
 Total,565,28119,28684,Sinpaungwe`,MMR009017
 Urban,1967,17102,19069,Pakokku,MMR009018
 Rural,1807,45464,47271,Pakokku,MMR009018
 Total,3774,62566,66340,Pakokku,MMR009018
